id,label,type,category,jungian_meaning,psychological_significance,somatic_correlate,saju_element,polarity,description
DA_singing,노래,dream_action,communication,자기표현/기쁨/조화,자유로운자기표현/감정의조화로운표출,호흡과성대의조화,화,길,"노래하는 꿈은 자유로운 자기표현. 기쁨과 조화의 상징."
DA_crying,울기,dream_action,emotion,해방/슬픔/정화,억압된감정의해방/슬픔의인정과처리,눈물샘활성화/정서적정화,수,중립,"우는 꿈은 감정의 해방. 억압된 슬픔이나 스트레스의 정화."
DA_laughing,웃기,dream_action,emotion,기쁨/해방/방어,순수한기쁨/또는불안의방어기제,엔돌핀분비/스트레스해소,화,길,"웃는 꿈은 기쁨과 해방. 때로는 불안을 감추는 방어일 수도."
DA_searching,찾기,dream_action,quest,탐색/추구/결핍,잃어버린것에대한갈망/정체성탐색,주의집중/시각적탐색,토,중립,"무언가를 찾는 꿈은 삶에서 부족한 것의 탐색. 찾는 대상이 핵심."
DA_searching_found,찾아냄,dream_action,quest,발견/통합/완성,잃어버린자아의일부회복/목표달성,안도감/이완,토,길,"찾던 것을 발견하는 꿈은 탐색의 완성. 자아의 통합."
DA_searching_lost,찾지못함,dream_action,quest,상실/좌절/미완,지속되는결핍감/미해결과제,불안/초조함,토,흉,"찾지 못하는 꿈은 지속되는 결핍. 다른 방법의 탐색 필요."
DA_hiding,숨기,dream_action,avoidance,회피/보호/비밀,직면회피/자기보호/숨기고싶은것,자율신경계억제/위축,수,중립,"숨는 꿈은 회피와 자기보호. 숨어야 하는 이유가 핵심."
DA_chasing,쫓기,dream_action,pursuit,추구/집착/압박,목표에대한집착/외부압박,아드레날린상승/긴장,화,중립,"쫓는 꿈은 목표 추구 또는 집착. 쫓는 대상과 감정이 의미 결정."
DA_being_chased,쫓김,dream_action,pursuit,회피/공포/추격,피하고싶은것의존재/불안,교감신경활성화/공포반응,수,흉,"쫓기는 꿈은 회피하고 싶은 것의 존재. 추격자가 무엇을 상징하는지 중요."
DA_driving,운전,dream_action,control,인생통제/방향/책임,삶의방향에대한통제력/책임감,손과눈의협응/반응성,금,중립,"운전하는 꿈은 인생의 통제. 운전 상태가 삶의 통제력을 반영."
DA_driving_lost_control,운전_통제상실,dream_action,control,혼란/불안/무력,삶의방향상실/통제력저하,자율신경불균형/혼란,금,흉,"운전 중 통제를 잃는 꿈은 삶의 방향 상실. 도움 요청 필요."
DA_studying,공부,dream_action,learning,배움/준비/불안,새로운것의흡수/시험에대한불안,뇌활동증가/집중력,목,중립,"공부하는 꿈은 배움과 준비. 때로는 시험 불안의 표현."
DA_taking_exam,시험보기,dream_action,learning,평가/불안/증명,자기능력에대한평가/인정욕구,스트레스반응/긴장,금,중립,"시험 보는 꿈은 평가에 대한 불안. 자기 능력 증명 욕구."
DA_failing_exam,시험낙제,dream_action,learning,실패두려움/자기의심/준비부족,실패에대한두려움/자기불신,스트레스/불안,금,흉,"시험에 떨어지는 꿈은 실패 두려움. 준비 상태 점검 필요."
DA_working,일하기,dream_action,occupation,의무/역할/생산,직업적정체성/책임감/생산성,근육사용/에너지소비,토,중립,"일하는 꿈은 직업적 정체성. 일의 종류와 상태가 의미."
DA_late_work,지각,dream_action,occupation,불안/통제상실/죄책감,시간에대한불안/책임미이행에대한죄책,자율신경활성화/급박함,화,흉,"지각하는 꿈은 시간과 책임에 대한 불안. 현실의 일정 점검."
DA_naked_public,대중앞나체,dream_action,exposure,취약성/수치/진실노출,숨기고싶은것의노출두려움/취약함,피부민감도/체온변화,화,흉,"대중 앞에 벗은 꿈은 취약성의 노출. 숨기고 싶은 것에 대한 불안."
DA_teeth_falling,이빨빠짐,dream_action,body,상실/노화/무력,통제력상실/매력저하우려/노화불안,치아건강/칼슘부족,금,흉,"이가 빠지는 꿈은 상실과 무력감. 자기 이미지에 대한 불안."
DA_pregnancy,임신,dream_action,creation,창조/새로운시작/잠재력,새로운프로젝트/아이디어의잉태,생식기건강/호르몬,수,길,"임신 꿈은 새로운 것의 잉태. 창조적 가능성의 상징."
DA_giving_birth,출산,dream_action,creation,창조완성/탄생/실현,프로젝트완성/새로운시작의구체화,출산관련/에너지폭발,수,길,"출산하는 꿈은 창조의 완성. 새로운 것의 탄생."
DA_dying,죽어가기,dream_action,transformation,변환/종결/재탄생,삶의한단계종결/자아의변환,세포재생/면역활동,금,중립,"죽어가는 꿈은 변환의 과정. 끝이 아닌 새로운 시작의 준비."
DA_resurrection,부활,dream_action,transformation,재탄생/희망/새시작,위기극복/새로운삶의시작,활력회복/에너지상승,화,길,"부활하는 꿈은 재탄생. 위기를 넘어 새로운 삶의 시작."
DA_making_love,성관계,dream_action,union,통합/합일/창조,대극의통합/친밀감욕구/창조적에너지,성호르몬/쾌감신경,화,중립,"성관계 꿈은 에너지의 통합. 상대방이 자아의 어떤 측면인지 중요."
DA_wedding,결혼식,dream_action,union,결합/약속/새단계,삶의새단계진입/파트너십형성,사회적유대호르몬,토,길,"결혼식 꿈은 새로운 결합과 약속. 삶의 새로운 단계."
DA_divorce,이혼,dream_action,separation,분리/종결/해방,관계나상황의종결욕구/독립,스트레스/분리불안,금,중립,"이혼 꿈은 분리와 종결. 해방의 욕구 또는 분리 불안."
