id,label,type,category,description,traditional_meaning,psychological_meaning,fortune_rating,action_advice
DKH_비행꿈_높이,비행꿈_자유비행,korean_haemong,영적,"높이 자유롭게 나는 꿈. 한국에서는 목표 달성과 자유의 상징.","높이 날수록 높은 목표 달성. 하늘에서 아래를 내려다보면 통찰력 확대. 구름 위를 날면 최상의 길몽.","자아 초월과 영적 상승. 물질적 제약에서 벗어난 의식의 확장. 높은 관점에서 인생을 조망.","★★★★☆","큰 꿈을 꾸세요. 현재 제한을 넘어설 에너지가 충분합니다."
DKH_장례꿈,장례_참석꿈,korean_haemong,역설,"장례식에 참석하는 꿈. 역설적으로 새로운 시작과 변화의 길몽.","죽음=재탄생. 장례꿈은 끝과 시작의 교차점. 누군가의 장례에 참석하면 그 관계의 새로운 국면.","과거의 자아를 장사지내고 새로운 자아가 태어나는 과정. 심리적 죽음과 부활. 개성화 과정의 일부.","★★★☆☆","과거를 정리하고 새 출발할 준비를 하세요. 끝은 항상 새 시작입니다."
DKH_황금꿈,황금_발견꿈,korean_haemong,재물,"황금/금덩어리를 발견하거나 받는 꿈. 한국에서 대표적인 재물 대길몽.","큰 재물이 들어올 전조. 금이 클수록 큰 재물. 금목걸이/금반지는 좋은 인연+재물. 금괴는 사업 성공.","자기(Self)의 발견. 융 심리학에서 금은 자기실현의 상징. 내면의 가장 귀중한 가치를 발견하는 과정.","★★★★★","재물 기회에 적극적으로 나서세요. 투자/사업 관련 좋은 기회가 올 수 있습니다."
DKH_쫓기는꿈,쫓기는_도망꿈,korean_haemong,경고,"누군가에게 쫓기는 꿈. 현실의 스트레스나 회피하고 있는 문제의 반영.","도망치면 문제가 더 커짐. 용기를 내어 맞서면 문제가 해결됨. 쫓는 존재의 정체가 문제의 핵심.","그림자(Shadow) 원형의 추격. 자신이 인정하지 않으려는 내면의 어두운 측면이 의식에 편입되려는 시도.","★★☆☆☆","피하고 있는 문제를 직면하세요. 도망칠수록 그림자는 커집니다."
DKH_알몸꿈,벗은몸_노출꿈,korean_haemong,심리,"알몸/나체가 되는 꿈. 비밀이 드러나거나 취약함이 노출되는 불안의 반영.","비밀이 알려질 수 있다는 경고. 또는 진정한 자기를 드러내야 할 때가 왔다는 신호. 수치심vs자유.","페르소나(가면)가 벗겨지는 상태. 사회적 역할 뒤의 진짜 자아가 드러나는 불안과 해방의 이중성.","★★☆☆☆","진정한 자기를 숨기지 마세요. 취약함을 인정하는 것이 진정한 강함입니다."
DKH_전생꿈,전생_환생꿈,korean_haemong,영적,"전생이나 과거의 삶을 경험하는 꿈. 한국 불교 전통에서 카르마적 메시지.","전생의 인연이 현세에 영향을 미치고 있음. 꿈에서 본 시대/장소/관계가 현세 관계의 원인을 설명.","집단무의식의 깊은 층에서 올라오는 원형적 경험. 개인을 초월한 인류 공통의 기억에 접근.","★★★☆☆","꿈의 내용을 기록하세요. 현세의 관계나 성향을 이해하는 데 중요한 단서가 됩니다."
DKH_똥꿈,똥꿈_대변,korean_haemong,재물,"똥/대변을 보거나 밟는 꿈. 한국에서 대표적인 재물 길몽 중 하나.","똥=돈. 똥을 많이 싸면 큰 재물. 똥을 밟으면 횡재. 화장실이 더러울수록 오히려 길몽. 똥물에 빠지면 대박.","억압된 것의 방출과 정화. 더럽다고 여기는 것(그림자)이 사실은 귀중한 자원(금)임을 깨닫는 연금술적 변환.","★★★★☆","재물 기회를 놓치지 마세요. 더럽게 느껴지는 기회도 알고 보면 금맥입니다."
DKH_선녀꿈,선녀_천사꿈,korean_haemong,영적,"선녀나 천사 같은 신성한 존재가 나타나는 꿈. 영적 축복과 보호의 메시지.","선녀가 무언가를 주면 큰 복. 선녀와 대화하면 중요한 깨달음. 선녀가 하늘로 올라가면 소원이 이루어짐.","아니마의 신성한 형태. 내면의 영적 인도자와의 만남. 상위 자아(Higher Self)로부터의 메시지.","★★★★★","꿈에서 받은 메시지를 소중히 기억하세요. 영적으로 중요한 전환점입니다."
DKH_절꿈,절_사찰꿈,korean_haemong,영적,"절이나 사찰에 가는 꿈. 영적 정화와 마음의 평화를 찾는 과정.","절에서 기도하면 소원 성취. 스님을 만나면 귀인을 만남. 부처님을 뵈면 큰 복. 종소리를 들으면 깨달음.","영적 자아와의 접촉. 내면의 성스러운 공간으로의 여행. 명상적 상태와 자기 성찰의 필요성.","★★★★☆","영적 수행이나 명상을 시작하기 좋은 시기입니다. 마음의 정화가 필요합니다."
DKH_산꿈_오르기,산_등산꿈,korean_haemong,성취,"산을 오르는 꿈. 목표를 향한 노력과 성취의 과정을 상징.","정상에 오르면 목표 달성. 오르다 힘들면 과정의 어려움. 산 중턱에서 멈추면 포기하지 말라는 메시지.","자아 초월의 여정. 높은 곳=높은 의식 상태. 오르는 과정은 개성화 과정과 동일.","★★★★☆","목표를 향해 꾸준히 나아가세요. 정상은 반드시 옵니다."
DKH_바다꿈_잔잔,바다_평온꿈,korean_haemong,심리,"잔잔한 바다를 보는 꿈. 마음의 평화와 감정적 안정의 상징.","잔잔한 바다=내면의 평화. 푸른 바다=희망. 바다에서 수영하면 감정의 자유. 바다 위 배=인생 여정.","무의식(바다)이 안정된 상태. 감정의 통합이 이루어지고 있음. 심리적 건강의 지표.","★★★★☆","현재의 평화를 유지하세요. 좋은 컨디션입니다."
DKH_무지개꿈,무지개_발견꿈,korean_haemong,희망,"무지개를 보는 꿈. 한국에서 폭풍 후 희망과 약속의 상징.","무지개 끝에 가면 재물. 쌍무지개는 더 큰 행운. 무지개 아래 서면 모든 소원 성취. 비 온 후 무지개=고난 후 성공.","대극의 통합. 비(음)와 해(양)가 만나 만드는 조화로운 현상. 갈등 후 화해, 위기 후 기회.","★★★★★","어려움 뒤에 반드시 좋은 일이 옵니다. 희망을 잃지 마세요."
DKH_새꿈_날기,새_비상꿈,korean_haemong,자유,"새가 나는 것을 보거나 새가 되어 나는 꿈. 자유와 영적 상승의 상징.","학은 장수와 승진. 봉황은 최고의 길몽. 까치는 좋은 소식. 참새는 작은 기쁨. 독수리는 권력.","영혼의 자유로운 비상. 물질 세계의 제약에서 벗어난 의식. 새로운 관점의 획득.","★★★★☆","높은 시각에서 인생을 바라보세요. 작은 것에 얽매이지 마세요."
DKH_거북꿈,거북이_꿈,korean_haemong,장수,"거북이가 나타나는 꿈. 한국에서 장수와 지혜의 상징.","거북이=장수/지혜/재물. 바다거북은 큰 재물. 거북이가 집에 들어오면 가정의 안정. 금거북은 큰 부.","원형적 지혜의 상징. 느리지만 확실한 성장. 인내와 끈기의 가치. 집단무의식의 오래된 지혜.","★★★★★","천천히 가도 됩니다. 인내가 결국 승리합니다."
DKH_소꿈,소_황소꿈,korean_haemong,재물,"소가 나타나는 꿈. 한국 농경 문화에서 부와 근면의 상징.","황소=큰 재물과 힘. 젖소=풍요와 양육. 소가 집에 들어오면 큰 재산. 소를 끄는 꿈=노력의 결실.","본능적 힘과 생산성. 대지의 에너지. 꾸준한 노력을 통한 물질적 성취.","★★★★☆","성실하게 일하면 반드시 보상이 옵니다. 소처럼 꾸준히."
DKH_말꿈,말_백마꿈,korean_haemong,성취,"말이 나타나는 꿈. 빠른 성취와 명예의 상징.","백마=순수한 성공/귀인. 흑마=강력한 힘/비밀 조력자. 말을 타고 달리면 빠른 승진. 말이 울면 좋은 소식.","리비도 에너지와 추진력. 목표를 향해 달려가는 열정. 통제된 본능의 힘.","★★★★☆","적극적으로 나서세요. 지금은 빠르게 움직일 때입니다."
DKH_잉어꿈,잉어_등용문꿈,korean_haemong,성취,"잉어가 뛰어오르는 꿈. 등용문 전설처럼 큰 출세의 상징.","잉어가 용이 되면 인생 대역전. 잉어가 뛰어오르면 시험합격/승진. 큰 잉어를 잡으면 큰 기회.","변환과 초월. 평범한 상태에서 비범한 상태로의 도약. 노력 끝의 큰 성취.","★★★★★","큰 도약의 기회가 옵니다. 용기를 내어 뛰어오르세요."
DKH_꽃비꿈,꽃잎_떨어짐꿈,korean_haemong,경사,"꽃잎이 비처럼 흩날리는 꿈. 축복과 경사의 상징.","결혼식/큰 잔치의 전조. 벚꽃비는 로맨스. 꽃비 맞으면 인기와 축복. 꽃길을 걸으면 순탄한 인생.","아름다움의 절정과 덧없음의 공존. 순간의 완벽함을 즐기라는 메시지. 카이로스적 시간.","★★★★☆","좋은 일이 올 것입니다. 아름다운 순간을 충분히 즐기세요."
DKH_달꿈_보름달,보름달_꿈,korean_haemong,성취,"보름달을 보는 꿈. 완성과 충만함의 상징.","보름달=목표 달성/소원 성취. 달을 안으면 임신 또는 큰 성취. 달빛을 받으면 지혜와 직관 증가.","무의식(달)의 완전한 밝음. 음성 에너지의 정점. 여성성/직관력의 극대화.","★★★★★","당신의 노력이 결실을 맺습니다. 완성의 순간이 가까워졌습니다."
DKH_천둥번개,천둥_번개꿈,korean_haemong,경고,"천둥번개가 치는 꿈. 큰 변화나 깨달음의 전조.","천둥=하늘의 경고 또는 계시. 번개가 치면 갑작스러운 변화. 벼락 맞으면 역설적으로 큰 깨달음/재물.","갑작스러운 의식의 확장. 무의식에서 의식으로의 강력한 에너지 분출. 일루미네이션(영적 깨달음).","★★★☆☆","큰 변화에 대비하세요. 충격적인 깨달음이 올 수 있습니다."
DKH_강꿈_건너기,강_도강꿈,korean_haemong,전환,"강을 건너는 꿈. 인생의 중요한 전환점을 의미.","강을 무사히 건너면 어려움 극복. 강물이 맑으면 순조로움. 다리로 건너면 귀인의 도움. 헤엄쳐 건너면 자력 극복.","의식과 무의식의 경계 넘기. 삶의 한 단계에서 다음 단계로의 이행. 중요한 결정의 순간.","★★★☆☆","중요한 결정의 시기입니다. 용기를 내어 건너면 새로운 세계가 펼쳐집니다."
DKH_해돋이,일출_꿈,korean_haemong,시작,"해돋이/일출을 보는 꿈. 새로운 시작과 희망의 상징.","동쪽에서 해가 뜨면 새 출발. 붉은 태양=열정적 시작. 산 위 일출=높은 목표의 시작. 바다 일출=감정적 새 시작.","의식(태양)의 탄생. 밤(무의식/고난)이 끝나고 낮(의식/희망)이 시작. 개성화 과정의 새 단계.","★★★★★","새로운 시작의 에너지가 가득합니다. 무엇이든 시작하기 좋은 때입니다."
DKH_편지꿈,편지_받는꿈,korean_haemong,소통,"편지를 받거나 보내는 꿈. 중요한 소식이나 메시지의 전조.","편지를 받으면 좋은 소식. 빨간 편지는 경사. 검은 편지는 주의. 편지를 쓰면 마음을 전할 기회.","무의식으로부터의 메시지. 자신의 내면이나 중요한 타인으로부터 전달되는 중요한 내용.","★★★☆☆","중요한 소식이 올 수 있습니다. 연락을 기다리거나 먼저 연락해보세요."
DKH_우물꿈,우물_발견꿈,korean_haemong,발견,"우물을 발견하거나 물을 길어 올리는 꿈. 내면의 자원을 발견하는 과정.","맑은 우물=숨겨진 재능/자원 발견. 우물물을 마시면 지혜 증가. 우물이 마르면 내면 고갈 주의. 우물 파면 노력으로 성과.","무의식의 깊은 곳에 있는 자원에 접근. 자기 내면의 풍요로움을 발견. 원형적 지혜의 샘.","★★★★☆","자신 안에 아직 발견하지 못한 재능이 있습니다. 내면을 탐색해보세요."
DKH_그네꿈,그네_타는꿈,korean_haemong,심리,"그네를 타는 꿈. 감정의 기복이나 인생의 오르내림을 상징.","높이 오르면 높은 목표. 떨어지면 조심. 즐겁게 타면 인생의 즐거움. 그네 줄 끊어지면 지지 상실 주의.","양극성 사이의 움직임. 기쁨과 슬픔, 성공과 실패 사이를 오가는 인생의 리듬. 균형점 찾기.","★★★☆☆","인생의 오르내림을 자연스럽게 받아들이세요. 중심을 잡는 것이 중요합니다."
DKH_음식먹기,맛있는_음식꿈,korean_haemong,풍요,"맛있는 음식을 먹는 꿈. 풍요와 만족의 상징.","진수성찬=큰 복. 고기를 먹으면 재물. 과일은 성과. 밥을 먹으면 안정. 함께 먹으면 좋은 인연.","심리적 영양 섭취. 필요한 에너지를 충전하는 과정. 욕구의 충족과 만족감.","★★★★☆","풍요로운 시기입니다. 충분히 누리세요."
