id,label,type,category,description,psychological_meaning,saju_correlation,astro_correlation,jung_archetype,positive_interpretation,negative_interpretation,advice,related_symbols
DL_화장실,화장실,dream_location,건물내부,"화장실은 정화와 해소를 상징한다. 불필요한 것을 버리고 정화하는 공간이다.","정화와 해소의 필요성. 화장실을 찾는 꿈은 감정적 해소 필요, 더러운 화장실은 정화 못함.","상관-배출/수(水)오행-정화","8하우스-정화/명왕성-제거","변환원형-해독정화","감정적 정화, 불필요한 것 제거, 새로운 시작.","정화 못함, 사적 영역 침해, 수치심.","버려야 할 것이 있나요? 정화가 필요한 부분은?",변기/샤워/거울/물/청소
DL_부엌,부엌,dream_location,건물내부,"부엌은 자양과 창조를 상징한다. 음식을 만드는 공간으로 자신과 타인을 돌보는 능력을 나타낸다.","양육과 창조 능력. 요리하는 꿈은 창작 활동, 음식이 넘치면 풍요, 빈 부엌은 결핍.","식신-음식/정재-풍요","4하우스-가정양육/달-돌봄","위대한어머니원형-양육","창조력, 양육 능력, 풍요로움.","정서적 결핍, 돌봄 부족, 창조력 고갈.","무엇을 만들고 계신가요? 누구를 위한 것인가요?",요리/음식/불/냉장고/식탁
DL_침실,침실,dream_location,건물내부,"침실은 사적 영역과 친밀함을 상징한다. 휴식과 성적 친밀감의 공간이다.","사적 자아와 친밀감. 침실의 상태가 내밀한 관계 상태를 반영. 낯선 침실은 정체성 탐색.","일지배우자궁-배우자/도화살-이성관계","7하우스-파트너십/금성-친밀감","아니마아니무스원형-내면이성","친밀한 관계, 내밀한 자아와의 만남, 휴식.","친밀감 문제, 성적 갈등, 사생활 침해.","가장 사적인 공간에서 무엇을 하고 있나요?",침대/베개/거울/옷장/창문
DL_미로,미로,dream_location,특수공간,"미로는 삶의 복잡함과 방향 상실을 상징한다. 답을 찾기 어려운 상황이나 혼란스러운 심리 상태를 나타낸다.","방향 상실과 혼란. 미로 탈출 성공은 문제 해결, 헤매면 혼란 지속. 미로의 중심 도달은 자기 발견.","공망-미로같은상황/편인-복잡한사고","12하우스-혼란/해왕성-미로","미궁의영웅원형-시련통과","문제 해결, 복잡한 상황 탈출, 자기 발견.","혼란, 방향 상실, 출구 없음의 절망.","미로에서 어떤 단서를 찾고 있나요? 중심에는 무엇이 있을까요?",벽/길/막다른곳/출구/중심
DL_무덤,무덤,dream_location,특수공간,"무덤은 끝과 새 시작, 죽음과 재생을 상징한다. 과거의 종결과 새로운 시작의 문턱이다.","변환과 재생. 자신의 무덤은 자아의 변환, 타인의 무덤은 관계의 끝. 무덤에서 나오면 재생.","묘(墓)운-저장/절(絶)운-종말재생","8하우스-죽음재생/명왕성-변환","죽음재생원형-변환","한 단계의 완성, 새로운 시작, 과거와의 결별.","끝에 대한 두려움, 상실의 슬픔, 변화 거부.","무엇이 끝나고 있나요? 새로운 시작을 위해 무엇을 묻어야 하나요?",관/비석/꽃/흙/부활
DL_다리,다리,dream_location,이동공간,"다리는 전환과 연결을 상징한다. 두 상태나 단계 사이를 연결하는 전환점이다.","전환기. 다리를 건너면 새 단계 진입, 다리가 끊어지면 전환의 장애물, 다리 위에서 멈춤은 결정 유보.","역마살-이동/관대운-전환기","1하우스-새시작/천왕성-변화","문지기원형-전환통과","성공적 전환, 두 세계의 연결, 새로운 가능성.","전환 실패, 연결 끊김, 결정 못함.","어디에서 어디로 건너고 있나요? 다리 저편에는 무엇이 있나요?",강/건너편/난간/떨어짐/도착
DL_도로,도로,dream_location,이동공간,"도로는 인생의 경로와 여정을 상징한다. 도로의 상태가 인생 여정의 상태를 반영한다.","인생의 여정. 평탄한 길은 순조로운 진행, 험한 길은 어려움, 갈림길은 선택의 기로.","역마살-여행/대운-인생경로","9하우스-여정/목성-확장","여행자원형-인생여정","순조로운 진행, 명확한 방향, 목적지 도달.","방향 상실, 험난한 여정, 막힌 길.","지금 어떤 길을 가고 있나요? 목적지는 어디인가요?",갈림길/표지판/차/걷기/목적지
DL_공항,공항,dream_location,이동공간,"공항은 큰 변화와 새로운 시작의 문턱을 상징한다. 이륙과 착륙은 삶의 큰 전환점이다.","큰 전환점. 비행기 놓침은 기회 상실, 이륙은 새 시작, 착륙은 목표 도달.","역마살-해외/천을귀인-큰이동","9하우스-해외여행/목성-확장","탐험가원형-새세계출발","큰 변화의 시작, 새로운 기회, 세계 확장.","기회 놓침, 준비 부족, 불안한 전환.","어디로 떠나려 하나요? 준비는 됐나요?",비행기/티켓/여권/대기/이륙
DL_지하철,지하철,dream_location,이동공간,"지하철은 무의식의 여행과 집단적 여정을 상징한다. 지하를 통과하는 것은 무의식을 통과하는 여정이다.","무의식의 여행. 지하철에서 길 잃음은 무의식에서 헤맴, 목적지 도착은 자기 이해 도달.","해(亥)수-지하/편인-무의식","8하우스-숨겨진것/명왕성-깊이","탐험가원형-무의식탐험","무의식 통과, 집단 경험, 목적지 도달.","길 잃음, 잘못된 방향, 출구 못 찾음.","지하에서 어디로 가고 있나요? 목적지를 알고 있나요?",역/승객/터널/환승/출구
DL_엘리베이터,엘리베이터,dream_location,이동공간,"엘리베이터는 의식 수준의 이동을 상징한다. 상승은 의식 상승, 하강은 무의식 탐험이다.","의식 수준의 변화. 올라가면 의식 상승/성공, 내려가면 무의식 탐험/하락, 고장은 진전 막힘.","십이운성-상승하락/관대-성장/쇠-하락","10하우스-상승/4하우스-하강","변환원형-수직이동","의식 상승, 빠른 진전, 새로운 높이 도달.","하락, 통제 상실, 갇힘.","어느 층으로 가고 있나요? 그 층에는 무엇이 있나요?",버튼/층수/문/갇힘/상승하강
DL_물속,물속,dream_location,특수공간,"물속은 무의식의 깊은 영역과 감정의 깊이를 상징한다. 물속에서 숨쉬면 무의식과의 조화, 익사는 감정에 압도됨.","무의식의 깊이. 물속에서 편안하면 감정 통제, 괴로우면 감정에 압도. 수중 보물은 무의식의 선물.","수(水)오행-깊은감정/해(亥)수-깊이","12하우스-무의식/해왕성-깊이","심해탐험가원형-무의식심층","무의식의 보물 발견, 감정의 깊이 탐험, 직관력.","감정에 압도, 익사의 두려움, 출구 없음.","물속에서 무엇을 찾고 있나요? 숨을 쉴 수 있나요?",물고기/보물/어둠/수면/해초
DL_낯선도시,낯선도시,dream_location,특수공간,"낯선 도시는 미지의 자아와 새로운 가능성을 상징한다. 탐험하는 자아의 새로운 영역이다.","자아의 새 영역. 낯선 도시에서 흥분은 새 가능성에 대한 기대, 불안은 미지에 대한 두려움.","역마살-새로운곳/역마대운-변화","9하우스-해외/천왕성-새로움","탐험가원형-미지탐험","새로운 가능성, 자아의 확장, 모험의 시작.","낯설음에 대한 불안, 소속감 부족, 길 잃음.","이 도시에서 무엇을 발견하고 싶나요?",거리/건물/사람들/지도/탐험
DL_유년시절집,유년시절집,dream_location,과거공간,"유년 시절 집은 과거의 자아와 어린 시절 경험을 상징한다. 뿌리와 기원으로의 회귀이다.","뿌리와 기원. 어린 시절 집은 원초적 자아, 그곳에서의 경험은 현재에 영향을 주는 과거.","년주월주-어린시절/인성-양육환경","4하우스-뿌리/달-어머니","영원한아이원형-원초적자아","뿌리와의 연결, 어린 시절 치유, 순수함 회복.","과거에 갇힘, 트라우마 재경험, 퇴행.","어린 시절 집에서 무엇을 찾고 있나요?",어린시절방/부모님/장난감/정원/기억
DL_폐허,폐허,dream_location,특수공간,"폐허는 과거의 종말과 새 시작의 가능성을 상징한다. 무너진 것 위에 새로운 것을 건설할 수 있다.","종말과 재건. 폐허 탐험은 과거 청산, 폐허에서 발견은 잃어버린 것 회복.","절(絶)운-끝/사(死)운-종말","8하우스-변환/명왕성-파괴재건","죽음재생원형-재건","과거 청산, 새 시작의 기반, 잃어버린 것 회복.","상실의 슬픔, 복구 불가능, 절망.","폐허에서 무엇을 건질 수 있나요? 새로 지을 준비가 됐나요?",무너진건물/잔해/잡초/발견/재건
DL_전쟁터,전쟁터,dream_location,특수공간,"전쟁터는 내면의 갈등과 극심한 스트레스 상황을 상징한다. 해결해야 할 갈등이나 싸우고 있는 상황이다.","내적외적 갈등. 전쟁에서 싸움은 갈등 직면, 피하면 회피. 전쟁 종료는 갈등 해결.","칠살-공격/편관-갈등","1하우스-자아/화성-전투","전사원형-갈등직면","갈등 해결, 용감한 직면, 승리.","극심한 스트레스, 압도당함, 상처.","어떤 전쟁을 치르고 있나요? 무엇을 위해 싸우나요?",군인/무기/폭발/피/승리패배
DL_정원,정원,dream_location,자연공간,"정원은 자아의 성장과 돌봄을 상징한다. 가꾸어진 자연으로 의식적으로 돌보는 내면을 나타낸다.","돌봄과 성장. 아름다운 정원은 잘 가꾸어진 자아, 황폐한 정원은 방치된 내면.","목(木)오행-성장/식신-재배","4하우스-뿌리/금성-아름다움","돌봄자원형-내면정원","내면의 아름다움, 성장, 결실.","방치, 성장 정체, 돌봄 부족.","정원에서 무엇을 기르고 있나요? 어떤 상태인가요?",꽃/나무/잡초/물주기/수확
DL_사막,사막,dream_location,자연공간,"사막은 고독과 시련, 정화의 공간을 상징한다. 불필요한 것이 제거되고 본질만 남는 곳이다.","정화와 시련. 사막 횡단은 시련 통과, 오아시스 발견은 구원, 사막에서 길 잃음은 고립.","토(土)오행건조-고독/공망-공허","12하우스-격리/토성-시련","은둔자원형-사막의시련","본질 발견, 시련 통과, 정신적 정화.","고립, 자원 부족, 희망 상실.","사막에서 무엇을 찾고 있나요? 오아시스가 보이나요?",모래/태양/갈증/오아시스/지평선
DL_감옥,감옥,dream_location,특수공간,"감옥은 제한과 억압, 자기 제한을 상징한다. 외부의 억압이거나 스스로 만든 감옥일 수 있다.","제한과 구속. 감옥에 갇힘은 자유 박탈, 탈옥은 해방, 자발적 감옥은 자기 제한.","공망-갇힘/편관-억압","12하우스-구속/토성-제한","희생자원형-구속된자아","자기 제한 인식, 해방의 시작, 자유를 향한 의지.","억압, 무력감, 출구 없음.","누가 당신을 가두었나요? 혹시 자신인가요?",철창/간수/열쇠/탈출/죄수
DL_궁전,궁전,dream_location,특수공간,"궁전은 웅장한 자아와 권력, 고차원적 의식을 상징한다. 내면의 왕국과 잠재력이다.","고차원 자아. 궁전의 왕/여왕은 내면의 지배자, 궁전 탐험은 잠재력 발견.","제왕운-권력/정관-지위","10하우스-정점/태양-권위","왕/여왕원형-내면왕국","자아의 권위 확립, 잠재력 실현, 내면의 풍요.","과대망상, 권력 집착, 고립된 권위.","궁전의 주인은 누구인가요? 당신인가요?",왕좌/보물/하인/방/왕관
DL_동굴,동굴,dream_location,자연공간,"동굴은 무의식의 깊은 곳과 은신처를 상징한다. 보호와 탐험의 양면적 의미를 가진다.","무의식 탐험과 은신. 동굴 탐험은 깊은 무의식 여행, 동굴에 숨음은 회피나 보호.","묘(墓)운-저장/공망-숨겨진것","8하우스-깊이/명왕성-심층","탐험가원형-심층탐험","무의식의 보물, 안전한 은신처, 자기 발견.","갇힘, 빛 없는 어둠, 출구 상실.","동굴 깊은 곳에서 무엇을 발견하셨나요?",어둠/횃불/보물/출구/박쥐
