id,label,type,category,korean_name,general_meaning,psychological_meaning,saju_correlation,jung_archetype,description
DC_artist,예술가,dream_character,creation,예술가/화가,창조/표현/아름다움/진실,창조적자아/자기표현욕구,상관식신-예술창조,Creative_Artist,"예술가는 창조적 자아. 작품을 만들면 표현 욕구, 그림이 망가지면 창조적 좌절."
DC_musician,음악가,dream_character,creation,음악가/가수,감정표현/조화/영혼/울림,감정의조화로운표현,상관-감정표현,Musical_Soul,"음악가는 감정의 표현. 아름다운 음악은 조화, 불협화음은 감정적 부조화."
DC_scientist,과학자,dream_character,intellect,과학자/연구원,탐구/진실/분석/발견,지적탐구/진실추구,인성편인-지적탐구,Seeker_Truth,"과학자는 지적 탐구와 진실. 발견하면 통찰, 실험 실패면 좌절이나 더 탐구 필요."
DC_philosopher,철학자,dream_character,wisdom,철학자/현자,지혜/의미/질문/깊이,삶의의미탐구/지혜추구,인성화개-지혜철학,Wise_Philosopher,"철학자는 의미의 탐구자. 가르침을 주면 깊은 통찰, 질문하면 삶의 의미 탐색."
DC_merchant,상인,dream_character,exchange,장사꾼/상인,교환/가치/흥정/거래,가치의교환/물질적관심,편재정재-가치교환,Merchant_Exchange,"상인은 가치와 교환. 좋은 거래면 공정한 교환, 속으면 불공정하게 대우받는 느낌."
DC_farmer,농부,dream_character,nature,농부,노동/수확/자연/인내,노력의결실/자연과의연결,편재정재-땅의결실,Earth_Worker,"농부는 노동과 수확. 풍년이면 노력의 결실, 흉년이면 좌절이나 인내 필요."
DC_fisherman,어부,dream_character,nature,어부,무의식탐사/인내/수확,무의식에서길어올리기,편인임수-무의식수확,Deep_Fisher,"어부는 무의식을 탐사하는 자. 물고기를 잡으면 무의식에서의 발견, 못잡으면 더 깊이 탐색 필요."
DC_hunter,사냥꾼,dream_character,pursuit,사냥꾼,추적/목표/본능/생존,목표를향한집중/본능적추구,편관-목표추적,Primal_Hunter,"사냥꾼은 목표를 향한 추적. 성공하면 목표 달성, 실패하면 더 전략 필요."
DC_builder,건축가,dream_character,creation,건축가/건설자,구조/창조/기반/계획,삶의구조를만드는자,정재토-구조건설,Master_Builder,"건축가는 삶의 구조를 만드는 자. 건물이 튼튼하면 안정적 기반, 무너지면 재건 필요."
DC_librarian,사서,dream_character,knowledge,사서/도서관장,지식/기억/보관/접근,지식의보관자/기억의관리,인성-지식보관,Knowledge_Keeper,"사서는 지식의 보관자. 책을 찾으면 필요한 지식 발견, 못찾으면 정보 탐색 필요."
DC_mailman,우편배달부,dream_character,messenger,우편배달원,메시지/소통/전달/연결,무의식의메신저/소식,식신상관-소통전달,Message_Bearer,"우편배달부는 메시지의 전달자. 편지를 받으면 중요한 소식, 전달하면 소통 욕구."
DC_photographer,사진사,dream_character,perception,사진가/촬영자,포착/관점/기억/진실,순간을포착하는시각,상관식신-시각포착,Moment_Capturer,"사진사는 순간을 포착하는 자. 좋은 사진이면 중요한 것 인식, 흐릿하면 명확히 볼 필요."
DC_mirror_self,거울속나,dream_character,self,거울에비친나,자기인식/진실/왜곡/대면,진정한자아와의대면,비겁-자아대면,Mirror_Self,"거울 속 자신은 자기 인식. 똑같으면 자기 수용, 다르면 자아 인식의 차이."
DC_clone,분신,dream_character,self,복제인간/분신,정체성/분열/통제/대체,자아의분열/정체성혼란,비겁겁재-자아분열,Clone_Self,"분신은 자아의 분열. 협력하면 다면적 자아 수용, 갈등하면 정체성 혼란."
DC_puppet,인형,dream_character,control,꼭두각시/인형,조종/통제/생명없음/조작,조종당하는느낌/자율성상실,정관칠살-조종피조종,Puppet_Controlled,"인형은 조종당하는 느낌. 자신이 인형이면 자율성 상실, 조종하면 타인에 대한 통제."
DC_robot,로봇,dream_character,modern,로봇/안드로이드,감정억압/기계적삶/효율,감정없이사는느낌/기계화,경금-감정억압,Mechanical_Self,로봇은 감정을 억압하고 사는 것. 자신이 로봇이면 감정과 단절된 삶.
DC_ghost,유령,dream_character,spiritual,귀신/유령,과거/미해결/존재감/죽음,과거의미해결/무시당하는느낌,공망-과거미해결,Ghost_Past,"유령은 과거의 미해결. 친숙한 유령이면 과거 관계, 무서운 유령이면 해결 안 된 트라우마."
DC_vampire,흡혈귀,dream_character,shadow,뱀파이어/흡혈귀,에너지착취/의존/불멸욕망,에너지를빼앗기는관계,칠살편인-에너지착취,Energy_Vampire,"흡혈귀는 에너지를 빼앗는 관계. 물리면 착취당함, 자신이 흡혈귀면 타인에게 의존."
DC_werewolf,늑대인간,dream_character,shadow,늑대인간,변신/이중성/억압된본능,억압된야수성/본능폭발,칠살편관-야수본능,Beast_Within,"늑대인간은 억압된 본능. 변신하면 본능의 분출, 통제하면 본능과 이성의 균형."
DC_fairy,요정,dream_character,magical,요정/선녀,마법/자연/순수/도움,자연과의연결/마법적도움,식신화개-마법순수,Magical_Helper,"요정은 마법적 도움이나 자연과의 연결. 도움주면 예상치 못한 지원, 속이면 환상 주의."
DC_giant,거인,dream_character,archetype,거인,권력/위협/거대함/압도,압도되는느낌/거대한힘,칠살편관-거대압도,Giant_Power,"거인은 압도적인 힘. 적대적이면 두려운 권위, 우호적이면 큰 보호자."
DC_dwarf,난쟁이,dream_character,archetype,난쟁이/드워프,숨겨진보물/노동/지하세계,무의식의보물/숨겨진재능,편재편인-숨겨진가치,Hidden_Treasure,난쟁이는 숨겨진 보물이나 재능. 보물을 주면 발견되지 않은 능력.
DC_mermaid,인어,dream_character,hybrid,인어,감정과이성/유혹/변환,감정과육체의갈등/이중세계,수화-감정변환,Emotional_Duality,인어는 감정과 육체 세계의 사이. 물과 땅 중 어디를 선택하는지가 핵심.
DC_dragon,용,dream_character,power,용/드래곤,힘/지혜/보물/변환,강력한본능/변환의힘,辰土-최강힘,Primal_Power,"용은 가장 강력한 힘과 변환. 싸우면 내면의 거대한 힘과 대면, 타면 힘의 통제."
DC_crowd,군중,dream_character,collective,많은사람들/군중,사회/집단무의식/익명,집단속의개인/사회적압력,비겁겁재-집단압력,Collective_Pressure,"군중은 사회적 압력이나 집단 무의식. 따르면 순응, 맞서면 개성 주장."
DC_faceless,얼굴없는사람,dream_character,unknown,얼굴없는인물,미지/익명/불확실,아직형성안된측면/불확실성,공망-미지불확실,Unknown_Aspect,얼굴 없는 사람은 아직 명확하지 않은 것. 정체를 알아가는 과정이 자기 발견.
DC_historical,역사적인물,dream_character,archetype,역사인물/위인,그들이상징하는특성,이상화된특성/영감,정관인성-이상화,Historical_Ideal,역사적 인물은 그들이 상징하는 특성. 누구인지가 현재 필요한 덕목을 암시.
DC_fictional,허구인물,dream_character,archetype,소설영화캐릭터,그들이상징하는특성,투사된이상/공감대상,상관식신-허구투사,Fictional_Projection,허구 인물은 그들에게 투사한 것. 그 캐릭터의 어떤 면이 자신과 공명하는지 중요.
