id,label,type,category,korean_meaning,jung_archetype,description,positive_interpretation,negative_interpretation,action_advice
DS_나무,나무,dream_symbol,식물,길,"자기/인생/성장","나무꿈은 인생 전체의 상징. 뿌리는 과거, 줄기는 현재, 가지는 미래를 나타냄.","무성한 나무는 번영. 열매 맺는 나무는 성과. 큰 나무는 든든한 후원.","쓰러지는 나무는 기반 상실. 잎이 떨어지면 상실. 벌레 먹은 나무는 건강 주의.","자신의 뿌리를 돌보세요. 인생의 성장을 위해 꾸준히 물을 주어야 합니다."
DS_집,집,dream_symbol,건물,현상태반영,"자아/정신","집꿈은 자아의 상태를 반영. 집의 각 부분이 자아의 다른 측면을 나타냄. 1층=의식, 지하=무의식, 다락=영성.","새 집은 새로운 자아. 넓은 집은 성장. 집수리는 자기 개선. 밝은 집은 긍정적 심리.","무너지는 집은 자아 위기. 좁은 집은 답답한 현실. 어두운 집은 우울.","내면을 돌보세요. 집의 상태가 곧 마음의 상태입니다."
DS_차,차/자동차,dream_symbol,탈것,상황반영,"자아/인생방향","차꿈은 인생의 방향과 통제력을 상징. 운전하는 사람이 인생의 주도권자.","빠르고 멋진 차를 운전하면 인생이 잘 풀림. 새 차는 새 출발. 고급차는 성공.","사고는 방향 이탈. 브레이크 고장은 통제력 상실. 뒷좌석은 주도권 없음.","인생의 핸들을 직접 잡으세요. 방향을 스스로 결정하는 것이 중요합니다."
DS_시험,시험,dream_symbol,상황,불안반영,"그림자/자기평가","시험꿈은 자기 평가와 불안의 상징. 현실의 도전에 대한 심리적 준비 상태를 반영.","시험에 합격하면 자신감 상승의 전조. 쉬운 문제는 문제 해결 능력.","시험에 떨어지면 자신감 부족. 답을 모르면 준비 부족 경고. 지각은 기회 놓침 불안.","현실의 도전에 대한 준비를 점검하세요. 불안감을 인정하고 대비하면 됩니다."
DS_죽음,죽음/장례,dream_symbol,상황,역설적길몽,"변환/재탄생","죽음꿈은 역설적으로 길몽인 경우가 많음. 한 단계의 끝과 새로운 시작을 의미.","자신이 죽으면 새로운 시작/변신. 타인의 죽음은 관계 변화. 장례는 과거 청산.","죽음에 대한 공포가 강하면 변화에 대한 저항. 잔인한 죽음은 트라우마 반영.","변화를 두려워하지 마세요. 끝은 새 시작입니다. 과거를 놓아보내세요."
DS_돈,돈/재물,dream_symbol,물건,길흉혼재,"가치/자존감","돈꿈은 물질적 가치뿐 아니라 자존감과 자기 가치의 상징. 돈의 흐름이 에너지의 흐름.","돈을 주우면 예상치 못한 수입. 많은 돈은 풍요. 돈을 세면 재물 관리 능력.","돈을 잃으면 가치 상실감. 도둑맞으면 에너지 유출. 빚은 감정적 부채.","자신의 가치를 인정하세요. 물질적 풍요는 내면의 풍요에서 시작됩니다."
DS_결혼,결혼/혼례,dream_symbol,상황,결합,"아니마아니무스 통합","결혼꿈은 내면의 남성성과 여성성의 통합을 의미. 대립하는 두 측면의 화해와 결합.","축복 받는 결혼은 내면 통합. 아름다운 예복은 새로운 정체성. 하객이 많으면 지지.","강제 결혼은 원치 않는 변화. 파혼은 통합 실패. 울면서 결혼은 억압된 감정.","내면의 다양한 측면을 통합하세요. 자신 안의 대립을 화해시키는 것이 핵심."
DS_아기,아기/출산,dream_symbol,인물,대길,"새로운 가능성/창조","아기꿈은 새로운 시작, 창조, 가능성의 상징. 태몽의 경우 실제 임신/출산 관련.","건강한 아기는 새 프로젝트 성공. 예쁜 아기는 좋은 결과. 쌍둥이는 두 배의 축복.","우는 아기는 돌봐야 할 문제. 아픈 아기는 프로젝트 위기. 아기를 잃으면 기회 상실.","새로운 시작을 소중히 키우세요. 아기처럼 인내와 돌봄이 필요합니다."
DS_비행,비행/날기,dream_symbol,행동,초월,"자아초월/자유","비행꿈은 제한에서 벗어나 자유를 느끼는 상태. 영적 상승과 의식 확장의 상징.","높이 자유롭게 나는 것은 목표 달성. 하늘 위에서 경치를 보면 통찰력 확대.","추락하면 현실 직면. 날지 못하면 좌절감. 너무 높이 날면 현실과 괴리.","꿈에서 느낀 자유로움을 현실에서도 추구하세요. 제한을 넘어설 수 있습니다."
DS_이빨,이빨빠짐,dream_symbol,신체,불안,"자신감/외모","이빨 빠지는 꿈은 자신감 상실, 노화 불안, 외모 걱정의 상징. 한국에서는 가족 건강 관련.","이빨이 다시 나면 회복. 하얀 이빨은 자신감 회복. 이빨을 치료하면 문제 해결.","이빨이 우수수 빠지면 큰 자신감 상실. 피가 나면 에너지 유출. 앞니는 외적 이미지.","자신감을 회복하는 활동을 하세요. 건강검진도 권장됩니다."
DS_바다,바다,dream_symbol,자연,무의식의깊이,"집단무의식/모성","바다꿈은 집단 무의식과 감정의 광대함을 상징. 바다의 상태가 내면의 깊은 감정 상태를 반영.","잔잔한 바다는 내면의 평화. 아름다운 일출/일몰의 바다는 새 시작/완성. 조개를 줍는 것은 보물 발견.","거친 파도는 감정적 폭풍. 해일은 감정 범람. 깊이 빠지면 우울/고립.","내면의 바다를 탐험하세요. 깊은 곳에 보물이 있습니다."
DS_길,길/도로,dream_symbol,장소,인생경로,"인생 여정","길꿈은 인생의 방향과 선택을 상징. 길의 상태가 앞으로의 여정을 예고.","넓고 밝은 길은 순탄한 미래. 꽃길은 행복한 시기. 새 길은 새로운 기회.","막다른 길은 장애물. 갈림길은 중요한 선택 앞에 섬. 어두운 길은 불확실한 미래.","인생의 방향을 점검하세요. 어떤 길을 선택할지 내면의 나침반을 따르세요."
DS_거울,거울,dream_symbol,물건,자아성찰,"그림자/자기인식","거울꿈은 자기 인식과 성찰의 상징. 거울에 비친 모습이 진정한 자아를 보여줌.","깨끗한 거울은 명확한 자기인식. 아름답게 비치면 자존감 상승.","깨진 거울은 자아의 분열. 못생기게 비치면 자존감 저하. 거울이 없으면 자기인식 부재.","자기 자신을 솔직하게 바라보세요. 거울은 진실을 보여주는 도구입니다."
DS_눈_날씨,눈(snow),dream_symbol,자연,정화/순수,"순수/정화/휴식","눈꿈은 정화와 순수, 새 출발의 상징. 모든 것을 덮어 새로 시작하게 하는 자연의 리셋.","하얗게 눈 내리면 순수한 시작. 눈밭에 발자국은 새로운 길 개척. 눈사람은 순수한 기쁨.","눈보라는 감정적 고립. 눈사태는 억눌린 감정 폭발. 녹는 눈은 희망 사라짐.","마음의 정화가 필요한 시기입니다. 깨끗하게 다시 시작하세요."
DS_비,비(rain),dream_symbol,자연,감정방출,"감정/정화/슬픔","비꿈은 감정의 방출과 정화를 의미. 그동안 쌓인 감정이 자연스럽게 해소되는 과정.","봄비/가랑비는 축복. 비 온 뒤 무지개는 고난 후 행복. 비를 맞으며 즐거우면 감정 해방.","폭우는 감정 폭발. 비에 젖어 추우면 외로움/우울. 오래 비가 그치지 않으면 장기 우울.","감정을 억누르지 마세요. 울어야 할 때 울고 나면 하늘이 맑아집니다."
DS_천사,천사/신선,dream_symbol,영적,대길,"자기(Self)/초월","천사/신선꿈은 영적 보호와 인도의 상징. 높은 차원의 존재와의 접촉. 영적 각성의 전조.","천사가 미소 짓으면 영적 축복. 메시지를 주면 중요한 인생 지침. 빛나는 존재는 깨달음.","어두운 천사는 시련 예고. 천사가 떠나면 보호 약화. 타락천사는 유혹 경고.","영적 메시지에 귀 기울이세요. 꿈에서 받은 느낌과 메시지를 기록해두세요."
DS_조상,조상/돌아가신분,dream_symbol,인물,메시지,"조상원형/집단무의식","조상꿈은 가문의 지혜와 보호, 경고의 메시지. 한국 문화에서 매우 중요한 꿈.","조상이 웃으면 축복/보호. 음식을 주면 재물운. 안아주면 위로와 치유.","조상이 화내면 행동 반성 필요. 우시면 가족에게 안 좋은 일. 데려가려 하면 건강 주의.","조상의 메시지를 겸허히 받아들이세요. 성묘/차례를 통해 감사를 표현하세요."
DS_전화,전화/연락,dream_symbol,물건,소식,"소통/연결","전화꿈은 중요한 소식이나 연결의 상징. 누군가와의 소통이 필요하다는 무의식의 신호.","전화가 오면 좋은 소식. 통화가 잘 되면 원활한 소통. 전화번호를 알게 되면 새 인연.","전화가 끊기면 단절. 잘못 걸린 전화는 오해. 전화를 받지 않으면 기회 놓침.","주변 사람들과의 소통을 점검하세요. 연락해야 할 사람이 있지 않나요?"
