id,label,type,category,description,frequency_meaning,psychological_cause,jung_interpretation,saju_parallel,resolution_path,warning_sign
DR_house,반복되는집꿈,dream_recurring,자아형,"같은 집이 반복해서 나옴. 어린 시절 집, 새 집, 폐허가 된 집 등.","집은 자아의 상징. 어떤 집이냐에 따라 자아 상태 해석.","어린 집=과거 자아 미해결, 새 집=새로운 정체성, 폐허=자아 위기.","집은 자기(Self)의 상징. 방마다 다른 심리 영역 표현.","년주/월주(가정운) 관련 이슈. 4하우스 트랜짓 시기.","꿈속 집의 각 방을 탐험하며 자아의 다양한 측면 통합.","폐허/무너지는 집 반복시 자아 재건 시급"
DR_baby,반복되는아기꿈,dream_recurring,창조형,"아기가 반복해서 나옴. 아기 돌봄, 아기 잃어버림, 아기 발견 등.","새로운 시작/프로젝트에 대한 무의식의 메시지. 돌봄 상태가 핵심.","새 프로젝트, 창조적 아이디어, 내면 아이, 양육 본능, 새 시작.","신성한 아이(Divine Child) 원형. 새로운 가능성의 탄생.","식신운/태(胎) 에너지. 장생운으로 새로운 시작 암시.","새로운 시작에 필요한 돌봄과 인내 제공. 내면 아이 치유.","아기를 잃어버리는 꿈 반복시 기회/아이디어 방치 경고"
DR_ex,반복되는전애인꿈,dream_recurring,관계형,"전 연인이 반복해서 꿈에 나옴. 재회, 갈등, 화해 등 다양한 상황.","미해결된 감정 존재. 반드시 그 사람이 아닌 그 관계 패턴의 상징.","미련이 아닌 미해결 감정, 관계 패턴 반복, 현 관계에 투사된 과거.","아니마/아니무스 투사의 미해결. 과거 관계에서 통합하지 못한 측면.","도화살 관련 운. 정재/편재(남성)/정관/편관(여성) 운의 영향.","과거 관계에서 배워야 할 교훈 정리. 현재 관계에 집중. 필요시 의례적 종결.","현재 파트너가 있는데 반복되면 현 관계 점검 필요"
DR_paralysis,반복되는가위눌림,dream_recurring,공포형,"수면 마비(가위눌림)가 반복됨. 움직이지 못함, 존재 느낌, 공포.","신체적(수면 패턴)과 심리적(무력감) 원인 모두 점검 필요.","통제력 상실, 무력감, 억압, 표현하지 못하는 것들, 스트레스.","그림자에 의한 마비. 억압된 것이 너무 커져서 자아를 압도.","공망/절지 에너지. 관살 과다로 억압. 비겁 부족으로 무력감.","수면 위생 개선. 억압된 감정 표현. 심하면 수면 전문의 상담.","주 3회 이상 반복시 수면장애 가능성. 의료 상담 권장"
DR_tsunami,반복되는해일/홍수꿈,dream_recurring,감정형,"거대한 파도나 홍수가 반복해서 나옴. 도망, 휩쓸림, 생존.","감정적 압도의 극단적 형태. 통제 불가능한 상황에 대한 공포.","감정적 쓰나미, 삶을 휩쓸어가는 변화, 통제 불가 상황, 집단적 위기.","집단 무의식의 파도. 개인을 넘어선 거대한 힘에 대한 인식.","역마살+편관 조합. 급격한 변화의 대운. 해왕성 트랜짓.","변화에 저항하지 말고 '서핑'하듯 타기. 유연성 개발. 안전 기반 확보.","실제 자연재해 경험자라면 PTSD 가능성 체크"
DR_teeth_growing,반복되는이빨나는꿈,dream_recurring,성장형,"새 이빨이 나거나 이빨이 자라는 꿈이 반복됨.","긍정적 변환. 새로운 능력/자신감의 성장을 암시.","새로운 능력 개발, 자신감 회복, 성장, 재생, 두 번째 기회.","자아 재생과 새로운 도구(능력) 획득. 변환 후 성장.","장생운/건록운. 비겁 강화로 자존감 회복. 새로운 시작.","새로운 능력을 개발하고 있다면 계속 노력. 성장의 신호.","대부분 긍정적. 통증이 동반되면 성장통의 과정 암시"
DR_pregnancy,반복되는임신꿈,dream_recurring,창조형,"임신 또는 출산 꿈이 반복됨. 성별 무관하게 나타남.","새로운 창조/프로젝트가 무르익고 있음. 곧 탄생할 것.","창조적 프로젝트, 새로운 아이디어, 자기실현, 성장하는 가능성.","창조적 에너지의 임신. 새로운 자아의 잉태 과정.","태(胎) 에너지. 식신생재의 창조력. 새로운 것의 잉태기.","창조하고 있는 것에 집중. 때가 되면 자연스럽게 탄생할 것.","실제 임신 가능성도 체크(해당되는 경우)"
DR_war,반복되는전쟁/폭력꿈,dream_recurring,갈등형,"전쟁, 폭력, 싸움 꿈이 반복됨. 직접 참여 또는 목격.","내면의 갈등 수준 반영. 또는 외부 환경의 적대성 인식.","내면 갈등, 억압된 분노, 경쟁 스트레스, 적대적 환경, 트라우마.","그림자와의 전쟁. 내면의 대립하는 힘들 사이의 갈등.","양인/겁재 강함. 상관견관 갈등. 형충파해 많은 사주.","분노 관리, 갈등 해결 기술 개발. 억압된 공격성의 건전한 표현.","실제 폭력 경험/목격 시 PTSD 가능성. 전문 상담 권장"
DR_school,반복되는학교꿈,dream_recurring,성장형,"학창 시절 학교가 반복해서 나옴. 교실, 복도, 운동장 등.","인생의 '학습' 과제 관련. 아직 배워야 할 것이 있음.","미완의 학습, 과거의 미해결 과제, 성장 욕구, 소속감.","영원한 학생 원형. 배움의 여정이 계속됨. 과거 자아와의 대화.","인성(학습) 관련 운. 학창 시절 트라우마 해결 시기.","현재 배워야 할 것은 무엇인지 점검. 과거 학창 시절 미해결 감정 정리.","학교에서 왕따/폭력 경험 있다면 그 트라우마 치유 필요"
DR_celebrity,반복되는유명인꿈,dream_recurring,투사형,"특정 유명인이 반복해서 꿈에 나옴. 만남, 대화, 관계.","그 유명인이 상징하는 특성을 자신 안에서 개발하라는 메시지.","이상화, 자기 안의 숨겨진 잠재력, 되고 싶은 모습의 투사.","아니마/아니무스 또는 자기(Self)의 투사. 내면의 이상적 자아.","정관/정인격의 이상향. 사회적으로 인정받는 모습의 상징.","그 유명인의 어떤 특성에 끌리는지 분석. 그 특성을 자신 안에서 개발.","집착 수준이라면 현실 관계 점검 필요"
