id,label,type,category,description,traditional_meaning,psychological_meaning,fortune_rating,action_advice
DKH_배꿈,배받는꿈,korean_haemong,태몽,"배(과일)를 받거나 따는 꿈. 딸 태몽 또는 부드러운 복의 상징.","하얗고 큰 배는 맑고 예쁜 딸. 시원한 배는 건강 회복. 배를 나누면 기쁨 공유.","정서적 시원함과 순수함. 갈증을 해소하는 심리적 정화.","★★★★☆","마음의 갈증이 해소될 일이 있습니다. 편안한 기쁨이 찾아옵니다."
DKH_복숭아꿈,복숭아꿈,korean_haemong,건강,"복숭아를 먹거나 받는 꿈. 한국과 동양에서 불로장생의 상징.","건강과 장수. 복숭아는 귀신을 쫓는 힘이 있다고 전해짐. 먹으면 건강 회복.","생명력과 치유. 도교의 신선 사상과 연결된 영적 건강의 상징.","★★★★☆","건강이 좋아지거나 활력이 생깁니다. 정신적으로도 맑아집니다."
DKH_할아버지꿈,할아버지나타남,korean_haemong,조상,"돌아가신 할아버지가 나타나는 꿈. 조상의 메시지로 해석.","할아버지=가문의 원로. 조언은 중요한 인생 지침. 선물은 조상의 축복.","지혜로운 노인(Wise Old Man) 원형. 집단무의식에서 오는 지혜와 안내.","★★★★☆","할아버지의 말씀이나 행동에 주목하세요. 중요한 메시지가 담겨 있습니다."
DKH_할머니꿈,할머니나타남,korean_haemong,조상,"돌아가신 할머니가 나타나는 꿈. 조상의 보살핌과 보호의 상징.","할머니=돌봄과 포용. 할머니의 음식은 사랑의 축복. 웃으면 후손이 잘 되고 있다는 확인.","대모(Great Mother) 원형. 무조건적 사랑과 보살핌의 집단무의식적 표현.","★★★★★","할머니의 사랑을 기억하세요. 가족과 조상에 대한 감사를 표현하면 좋습니다."
DKH_개꿈,개나타나는꿈,korean_haemong,경고,"개가 나오는 꿈. 한국에서는 대체로 조심하라는 경고로 해석.","개가 짖으면 구설수 주의. 개에게 물리면 배신 주의. 단 집을 지키는 개는 보호의 의미.","충성과 본능. 친숙한 본능적 자아 또는 경계해야 할 대상의 이중 상징.","★★☆☆☆","주변 사람들 관계에 주의하세요. 말조심과 신뢰 관계 점검이 필요합니다."
DKH_고양이꿈,고양이나타남,korean_haemong,경고,"고양이가 나오는 꿈. 한국 전통에서는 주로 경계의 대상.","여성 관련 문제 주의. 고양이가 할퀴면 험담/모함. 검은 고양이는 특히 주의.","숨겨진 여성성 또는 음흉한 무의식 내용. 직관과 신비로운 측면도.","★★☆☆☆","주변의 시기 질투에 주의하세요. 여성 관계에서 조심할 점이 있을 수 있습니다."
DKH_닭꿈,닭나타나는꿈,korean_haemong,소식,"닭이 나오는 꿈. 새벽을 알리는 닭은 새로운 소식의 전달자.","닭이 울면 좋은 소식. 암탉이 알을 낳으면 재물. 붉은 수탉은 승진/명예.","새로운 시작의 알림. 어둠을 몰아내고 새 아침을 여는 희망의 상징.","★★★☆☆","새로운 소식이나 기회가 올 수 있습니다. 귀를 열고 기다리세요."
DKH_말꿈,말타는꿈,korean_haemong,출세,"말을 타거나 보는 꿈. 한국 전통에서 출세와 빠른 성공의 상징.","백마는 최고의 출세운. 말을 잘 타면 목표 달성. 말이 달리면 빠른 성공.","에너지와 동력. 본능적 추진력과 통제된 힘의 조화.","★★★★☆","적극적으로 목표를 향해 나아가세요. 빠른 성과가 기대됩니다."
DKH_소꿈,소나타나는꿈,korean_haemong,재물,"소가 나오는 꿈. 한국 농경 사회에서 소는 재물 그 자체.","황소는 큰 재물과 노력의 결실. 송아지는 새로운 재물원. 소가 집에 들어오면 대길.","성실한 노동과 그 대가. 느리지만 확실한 축적의 상징.","★★★★☆","꾸준한 노력이 재물로 돌아옵니다. 성실하게 일하세요."
DKH_거북이꿈,거북이나타남,korean_haemong,장수,"거북이가 나오는 꿈. 동양에서 장수와 지혜의 최고 상징 중 하나.","장수/건강/재물 모두 좋음. 거북이를 잡으면 큰 복. 바다거북은 해외운/무역운.","영원과 보호. 단단한 등껍질은 안전과 보호를 상징. 느리지만 확실한 성공.","★★★★★","좋은 운이 다가옵니다. 장기적인 관점에서 꾸준히 나아가세요."
DKH_학꿈,학나타나는꿈,korean_haemong,명예,"학이 나오는 꿈. 한국과 동양에서 선비의 고결함과 장수를 상징.","학은 고귀한 신분의 상징. 학이 날면 출세/승진. 학이 알을 품으면 귀한 자식.","영적 상승과 고결함. 세속을 초월한 정신적 높이에 대한 지향.","★★★★★","품위를 유지하세요. 고귀한 기회와 만남이 찾아옵니다."
DKH_까치꿈,까치울음꿈,korean_haemong,소식,"까치가 우는 꿈. 한국에서 까치는 기쁜 소식을 전하는 새.","좋은 손님이 찾아옴. 반가운 소식을 듣게 됨. 오랜 지인과의 재회.","소통과 연결. 좋은 소식에 대한 기대와 사회적 연결에 대한 욕구.","★★★★☆","반가운 소식이나 손님이 찾아올 수 있습니다. 기대해도 좋습니다."
DKH_까마귀꿈,까마귀울음,korean_haemong,경고,"까마귀가 우는 꿈. 한국 전통에서 불길한 예감의 상징이나, 효도의 새이기도.","주의가 필요한 시기. 까마귀 울음은 경고. 그러나 까마귀가 먹이를 물어오면 효도/봉양 의미.","그림자 측면. 어두운 무의식 내용이 의식에 전하는 경고. 주의해야 할 메시지.","★★☆☆☆","주변 상황에 주의를 기울이세요. 조상에 대한 예를 갖추면 액을 피합니다."
DKH_독수리꿈,독수리나타남,korean_haemong,권력,"독수리가 나오는 꿈. 높은 곳에서 내려다보는 시야와 권력의 상징.","높은 지위에 오름. 사업가에게는 업계의 정상. 독수리가 먹이를 잡으면 경쟁 승리.","높은 관점과 통찰력. 상황 전체를 조망하는 능력. 포식자의 결단력.","★★★★☆","높은 목표를 향해 나아가세요. 넓은 시야로 상황을 파악하면 승리합니다."
DKH_나비꿈,나비나타나는꿈,korean_haemong,변화,"나비가 나오는 꿈. 변신과 변화의 대표적 상징.","아름다운 변화가 다가옴. 호접몽처럼 현실과 꿈의 경계가 흐려짐. 영혼의 상징이기도.","변환과 가벼움. 애벌레에서 나비로의 변신은 심리적 변환의 은유.","★★★☆☆","변화를 두려워하지 마세요. 아름다운 변신이 기다리고 있습니다."
DKH_산오르는꿈,등산꿈,korean_haemong,성취,"산을 오르는 꿈. 한국에서 목표 달성과 출세의 전형적 상징.","정상에 오르면 목표 달성. 힘들게 오를수록 성취감 큼. 높은 산일수록 큰 목표.","자아 성장과 성취. 어려움을 극복하고 높은 곳에 도달하는 영웅 여정.","★★★★☆","포기하지 마세요. 정상이 가까워지고 있습니다."
DKH_바다꿈,바다보는꿈,korean_haemong,무의식,"넓은 바다를 보는 꿈. 무한한 가능성과 무의식의 깊이.","잔잔한 바다는 평화로운 앞날. 거친 파도는 시련 예고. 바다 건너면 큰 변화/해외운.","집단무의식 자체. 개인을 초월한 광대한 정신의 영역. 감정의 심연.","★★★☆☆","넓은 마음을 가지세요. 무한한 가능성이 앞에 펼쳐져 있습니다."
DKH_비오는꿈,비내리는꿈,korean_haemong,정화,"비가 오는 꿈. 한국에서 비는 정화와 재물(농경)의 이중적 의미.","부드러운 비는 축복과 풍요. 폭우는 정화 후 새 시작. 비 맞으면 감정 방출.","감정의 정화. 눈물처럼 억눌린 감정이 흘러내리는 카타르시스.","★★★☆☆","감정을 억누르지 말고 흘려보내세요. 비 온 뒤 맑은 하늘이 옵니다."
DKH_눈오는꿈,눈내리는꿈,korean_haemong,순수,"눈이 내리는 꿈. 순수함과 새 시작의 상징.","흰 눈은 깨끗한 마음과 새 출발. 눈이 쌓이면 재물 축적. 눈이 녹으면 해결/해소.","순수함으로의 회귀. 모든 것을 덮는 눈처럼 과거를 덮고 새로 시작.","★★★☆☆","과거를 정리하고 새로운 마음으로 시작하세요."
DKH_무지개꿈,무지개보는꿈,korean_haemong,희망,"무지개를 보는 꿈. 시련 후 희망의 상징.","어려움이 끝나고 좋은 일이 옴. 무지개가 선명할수록 희망이 가까움. 무지개 건너면 소원 성취.","대극의 통합과 희망. 폭풍 후 하늘과 땅을 잇는 약속의 다리.","★★★★★","희망을 잃지 마세요. 어둠 뒤에 반드시 무지개가 옵니다."
DKH_절꿈,절방문꿈,korean_haemong,영적,"절이나 사찰을 방문하는 꿈. 영적 평화와 보호를 구하는 마음.","마음의 평화를 찾음. 승려를 만나면 좋은 조언. 부처님을 뵈면 보호와 축복.","영적 탐구. 자아를 초월한 더 높은 가치에 대한 무의식적 지향.","★★★★☆","마음의 평화를 찾을 시간입니다. 명상이나 종교 활동이 도움됩니다."
DKH_교회꿈,교회방문꿈,korean_haemong,영적,"교회를 방문하는 꿈. 영적 구원과 인도를 구하는 마음.","신앙적 위안을 찾음. 예배 참석은 공동체적 축복. 십자가는 보호와 희생.","구원에 대한 갈망. 더 높은 존재에 의지하고 싶은 무의식적 욕구.","★★★★☆","영적 성장의 시기입니다. 믿음을 강화하면 평안을 얻습니다."
DKH_왕꿈,왕이되는꿈,korean_haemong,권력,"왕이 되거나 왕을 만나는 꿈. 최고의 권력과 인정의 상징.","자기 분야에서 최고가 됨. 왕에게 인정받으면 사회적 성공. 왕좌에 앉으면 리더 됨.","자기(Self) 원형의 투사. 내면의 왕성(王性)이 외부로 인정받기를 원함.","★★★★★","자신의 가치를 믿으세요. 리더십을 발휘할 기회가 옵니다."
DKH_시험공부꿈,시험준비꿈,korean_haemong,준비,"시험 공부를 하는 꿈. 현실의 준비 상태를 반영.","준비가 필요하다는 신호. 공부가 잘 되면 준비 완료. 안 되면 더 노력 필요.","현실 점검. 무의식이 현재의 준비 상태를 객관적으로 평가해 알려줌.","★★★☆☆","실제로 준비가 필요한 것이 있는지 점검하세요."
DKH_늦는꿈,지각하는꿈,korean_haemong,불안,"약속이나 시험에 늦는 꿈. 현실의 불안과 압박의 반영.","통제력 상실에 대한 불안. 중요한 기회를 놓칠까 하는 두려움.","수행 불안. 완벽하게 해내야 한다는 압박감이 꿈으로 표출.","★★☆☆☆","불안을 내려놓으세요. 충분히 잘 하고 있습니다."
