id,label,type,category,symbol,element_connection,description,psychological_meaning,saju_connection,astro_connection,advice
DREAM_SYM_011,뱀 꿈,dream_symbol,동물,뱀,火,"뱀이 등장하는 꿈은 변화와 치유 그리고 숨겨진 위험을 상징한다. 뱀이 허물을 벗는 꿈은 재탄생을, 뱀에 물리는 꿈은 경고를, 뱀을 잡는 꿈은 재물운이나 문제 극복을 나타낸다. 한국 전통에서 뱀꿈은 재물의 상징이기도 하다.","프로이트: 남근(phallus)의 대표적 상징이며 성적 에너지와 욕망의 표현. 융: 쿤달리니 에너지이자 변환의 원형. 뱀은 치유(아스클레피오스의 지팡이)와 지혜(우로보로스)의 양면성을 지닌다.","巳火와 직결. 사(巳)는 십이지지에서 뱀을 상징하며 화(火) 기운을 담고 있다. 사주에 사화(巳火)가 있는 사람에게 자기 변혁의 메시지. 사해충(巳亥冲)이 발생하면 갈등의 신호.","명왕성(Pluto)의 변혁과 전갈자리의 죽음과 재탄생. 8하우스(변혁/유산/성)의 에너지. 쿤달리니 각성과 관련된 영적 변환.","변화를 거부하지 마세요. 뱀이 공격적이었다면 주변의 위험 인물을 살피고 평화로웠다면 내면의 지혜가 깨어나고 있습니다. 뱀을 잡았다면 재물이나 기회가 옵니다."
DREAM_SYM_012,용 꿈,dream_symbol,동물,용,土,"용이 등장하는 꿈은 권위와 성공 그리고 잠재된 거대한 힘을 상징한다. 동양에서 용꿈은 최고의 길몽으로 출세와 번영을 예고한다. 하늘을 나는 용은 비약적 성장을, 용이 여의주를 무는 꿈은 큰 행운을 의미한다.","융: 영웅이 싸워 이겨야 할 원형적 괴물이자 변환의 수호자. 용을 극복하면 보물(자기실현)을 얻는다. 동양에서는 왕권과 신성한 힘의 원형.","辰土와 직결. 진(辰)은 십이지지에서 용을 상징하며 토(土) 기운을 담고 있다. 사주에 진토(辰土)가 있으면 큰 그릇의 상징. 진술충(辰戌冲)이 있으면 권력 갈등.","목성(Jupiter)의 확장과 사수자리의 큰 비전. 태양(Sun)의 왕권과 사자자리의 리더십. 10하우스(명예/권위)와 9하우스(지혜/확장)의 에너지.","큰 꿈을 품으세요. 용꿈은 당신의 잠재력이 깨어나고 있다는 강력한 신호입니다. 주저하지 말고 도전하세요. 단 겸손을 잃지 않는 것이 진정한 용의 덕목입니다."
DREAM_SYM_013,호랑이 꿈,dream_symbol,동물,호랑이,木,"호랑이가 등장하는 꿈은 용기와 권위 그리고 본능적 힘을 상징한다. 호랑이를 타는 꿈은 권력 획득을, 호랑이에게 쫓기는 꿈은 두려움이나 압도적 상황을, 호랑이를 길들이는 꿈은 본능의 통제를 의미한다.","융: 그림자(Shadow)의 동물적 측면이자 길들여지지 않은 본능의 에너지. 호랑이를 직면하고 통합하면 엄청난 힘을 얻는다. 아니무스/아니마의 야생적 측면.","寅木과 직결. 인(寅)은 십이지지에서 호랑이를 상징하며 목(木) 기운을 담고 있다. 사주에 인목(寅木)이 있으면 진취적 리더십. 인신충(寅申冲)이 있으면 도전과 충돌.","화성(Mars)의 전투력과 양자리의 용맹함. 태양(Sun)의 왕권과 사자자리의 위엄. 1하우스(자아/행동)와 10하우스(사회적 지위)의 에너지.","두려움에 맞서세요. 호랑이가 공격했다면 회피하고 있는 문제를 직면할 때이고 길들였다면 당신의 내면의 힘이 성숙해지고 있습니다. 자신감을 가지되 무모하지 마세요."
DREAM_SYM_014,물고기 꿈,dream_symbol,동물,물고기,水,"물고기가 등장하는 꿈은 풍요와 행운 그리고 무의식의 내용물을 상징한다. 큰 물고기를 잡는 꿈은 재물운과 성취를, 물고기가 헤엄치는 꿈은 자유와 가능성을, 죽은 물고기는 기회 상실을 나타낸다.","융: 무의식의 바다에서 건져 올리는 통찰이자 자기(Self)의 상징. 물고기는 깊은 곳에서 올라오는 직관적 앎을 의미한다. 기독교적으로는 구원의 상징.","水 기운과 연결되며 해(亥)와 자(子)의 수기(水氣)를 반영. 사주에서 재성(財星)과 관련되어 물고기를 잡는 꿈은 재물 획득의 길몽. 편재(偏財)의 횡재운.","해왕성(Neptune)과 물고기자리의 영역 그 자체. 12하우스(무의식/영성)와 2하우스(재물/가치)의 에너지. 목성(Jupiter)의 풍요로움.","기회를 놓치지 마세요. 물고기를 잡았다면 재물이나 좋은 소식이 올 수 있습니다. 놓쳤다면 준비를 더 철저히 하세요. 직관적으로 느끼는 기회에 과감히 도전하세요."
DREAM_SYM_015,새/까마귀 꿈,dream_symbol,동물,새/까마귀,金,"새가 등장하는 꿈은 자유와 해방 그리고 영혼의 비상을 상징한다. 새가 하늘을 나는 꿈은 자유에 대한 갈망을, 까마귀는 전조와 변화를, 새장에 갇힌 새는 구속감을 나타낸다. 까마귀는 한국 전통에서 흉조이기도 하지만 지혜의 상징이기도 하다.","융: 영혼(anima/animus)의 상징이자 초월적 기능의 표현. 새는 의식과 무의식을 오가는 메신저. 까마귀는 트릭스터 원형의 동물적 표현으로 죽음과 재생의 매개자.","金 기운의 날카로움과 하늘 에너지를 반영. 유(酉)는 닭을 상징하며 새의 기운과 통한다. 사주에서 식상(食傷)이 발달하면 자유로운 표현 욕구의 꿈으로 나타난다.","수성(Mercury)의 소통과 쌍둥이자리의 이동. 천왕성(Uranus)의 자유와 물병자리의 해방. 3하우스(소통/이동)와 9하우스(여행/확장)의 에너지.","자유를 갈망하고 있다면 작은 것부터 변화를 시도하세요. 새가 날았다면 속박에서 벗어날 시기이고 갇혀 있었다면 무엇이 당신을 구속하는지 성찰하세요."
DREAM_SYM_016,개 꿈,dream_symbol,동물,개,土,"개가 등장하는 꿈은 충성과 우정 그리고 본능적 보호를 상징한다. 친근한 개는 신뢰할 수 있는 관계를, 짖는 개는 경고를, 개에게 물리는 꿈은 가까운 사람의 배신이나 갈등을 나타낸다.","융: 본능적 자아의 충실한 안내자이자 그림자의 순한 측면. 개는 무의식의 문지기로서 위험을 감지하고 주인(의식)에게 알린다. 프로이트: 성적 본능의 순화된 형태.","戌土와 직결. 술(戌)은 십이지지에서 개를 상징하며 토(土) 기운을 담고 있다. 사주에 술토(戌土)가 있으면 충성심과 정의감이 강하다. 진술충(辰戌冲)은 내면 갈등.","금성(Venus)의 사랑과 충성. 6하우스(봉사/일상/건강)의 에너지. 11하우스(우정/동료)와도 연결되어 사회적 관계의 질을 반영한다.","주변 관계를 돌아보세요. 개가 친근했다면 믿을 수 있는 동반자가 곁에 있습니다. 공격적이었다면 가까운 사람과의 갈등을 점검하세요. 신뢰를 기반으로 관계를 돌보세요."
DREAM_SYM_017,고양이 꿈,dream_symbol,동물,고양이,木,"고양이가 등장하는 꿈은 독립성과 신비함 그리고 여성적 직관을 상징한다. 고양이가 다가오는 꿈은 직관의 메시지를, 검은 고양이는 미신적 두려움이나 숨겨진 지혜를, 고양이가 할퀴는 꿈은 교활한 사람의 경고를 나타낸다.","융: 아니마의 독립적이고 신비로운 측면. 고양이는 길들여지지 않은 여성성과 직관을 상징한다. 이집트 신화의 바스테트처럼 보호와 비밀의 수호자.","木 기운의 유연함과 묘(卯)의 에너지를 반영. 묘(卯)는 토끼이지만 고양이과의 기운도 담고 있다. 사주에서 편인(偏印)이 강한 사람에게 자주 나타나는 꿈.","달(Moon)의 신비와 게자리의 직관. 해왕성(Neptune)의 초자연적 감각. 12하우스(숨겨진 세계/영성)와 8하우스(비밀/신비)의 에너지.","직관을 무시하지 마세요. 고양이가 평화로웠다면 내면의 지혜를 따르세요. 공격적이었다면 주변에 겉과 속이 다른 사람을 조심하세요. 독립성을 키우되 고립되지 마세요."
DREAM_SYM_018,거미 꿈,dream_symbol,동물,거미,金,"거미가 등장하는 꿈은 창조와 인내 그리고 운명의 그물을 상징한다. 거미줄을 치는 꿈은 계획과 전략을, 거미에게 물리는 꿈은 함정이나 음모를, 거미줄에 걸리는 꿈은 복잡한 상황에 얽히는 것을 의미한다.","융: 태모(Great Mother) 원형의 거미 형태. 운명을 짜는 존재(그리스 신화의 모이라이)이자 창조적 여성성. 프로이트: 어머니에 대한 양가감정과 삼켜지는 공포.","金 기운의 정교함과 섬세함을 반영. 신금(辛金)의 세밀한 분석력과 연결. 사주에서 편인(偏印)이나 정인(正印)이 강할 때 모성 관련 메시지로 나타난다.","명왕성(Pluto)의 조종과 전갈자리의 전략. 토성(Saturn)의 인내와 구조. 10하우스(야망/계획)와 12하우스(숨겨진 적/무의식)의 에너지.","복잡한 상황을 정리할 때입니다. 거미줄을 쳤다면 당신의 계획이 잘 진행되고 있습니다. 걸렸다면 얽힌 관계나 상황에서 빠져나올 전략을 세우세요."
DREAM_SYM_019,죽은 사람 꿈,dream_symbol,사람,죽은사람,水,"돌아가신 분이 등장하는 꿈은 미해결된 감정과 그리움 그리고 무의식의 메시지를 상징한다. 고인이 편안해 보이면 안식의 확인을, 말을 하면 중요한 조언을, 화가 나 보이면 미해결 과제를 의미한다. 한국 전통에서는 조상의 메시지로 해석한다.","프로이트: 상실에 대한 애도 작업이 완결되지 않은 상태. 융: 조상 원형과의 접촉이며 집단무의식에서 오는 지혜. 고인은 내면의 조언자 역할을 하는 원형적 이미지.","水 기운의 깊이와 조상운을 반영. 사주에서 인성(印星)은 어머니 계통, 관성(官星)은 아버지 계통의 조상과 연결. 편인(偏印)이 강하면 영적 교감이 활발.","명왕성(Pluto)의 죽음과 재탄생. 8하우스(죽음/유산/변혁)와 4하우스(뿌리/조상)의 에너지. 토성(Saturn)의 카르마적 교훈과도 연결.","고인에 대한 감사와 그리움을 표현하세요. 말씀이 있었다면 그 내용을 깊이 새기세요. 미안한 감정이 있다면 마음속으로 용서를 구하거나 성묘를 다녀오세요."
DREAM_SYM_020,아기 꿈,dream_symbol,사람,아기,木,"아기가 등장하는 꿈은 새로운 시작과 순수함 그리고 창조적 잠재력을 상징한다. 건강한 아기는 새 프로젝트의 탄생을, 우는 아기는 무시된 내면의 욕구를, 아기를 안는 꿈은 보호 본능과 책임감을 나타낸다.","융: 신성한 아이(Divine Child) 원형의 직접적 표현. 새로운 가능성과 전체성의 씨앗. 프로이트: 출산 욕구 또는 유아기로의 퇴행 욕구. 내면 아이(inner child)의 치유.","木 기운의 새싹과 시작을 상징. 갑목(甲木)의 생명력과 새 출발. 사주에서 식신(食神)은 자녀를 나타내며 식신이 있는 사람에게 창조적 탄생의 꿈으로 나타난다.","달(Moon)의 모성과 게자리의 양육. 5하우스(창조/자녀/즐거움)의 핵심 에너지. 금성(Venus)의 사랑과 관련되어 새 관계의 시작을 암시하기도 한다.","새로운 것을 시작할 좋은 시기입니다. 아기가 건강했다면 프로젝트나 관계가 잘 성장할 것입니다. 우는 아기였다면 당신의 내면 아이가 돌봄을 원하고 있습니다."
DREAM_SYM_021,낯선 사람 꿈,dream_symbol,사람,낯선사람,土,"낯선 사람이 등장하는 꿈은 자신의 알려지지 않은 측면이나 새로운 가능성을 상징한다. 친절한 낯선이는 내면의 조력자를, 위협적인 낯선이는 그림자를, 이성의 낯선이는 아니마/아니무스를 나타낸다.","융: 꿈에 등장하는 낯선 사람은 거의 항상 자신의 투영. 그림자(Shadow)나 아니마/아니무스의 인격화된 모습이다. 이들을 통해 자신이 인식하지 못한 면을 만난다.","土 기운의 중립성을 반영하며 사주에서 비겁(比劫)이 약한 사람에게 자주 나타나는 꿈. 새로운 인연이나 귀인의 출현을 암시하기도 하며 편관(偏官)의 에너지와 연결.","12하우스(무의식/숨겨진 자아)와 7하우스(타인/파트너)의 에너지. 해왕성(Neptune)의 신비로운 만남. 명왕성(Pluto)의 심층적 자기 발견과도 연결.","자신의 알지 못했던 면을 발견할 시기입니다. 그 낯선 사람의 특성이 바로 당신이 개발하거나 통합해야 할 부분입니다. 새로운 만남에도 열린 마음을 가지세요."
DREAM_SYM_022,연인/이성 꿈,dream_symbol,사람,연인/이성,火,"연인이나 이성이 등장하는 꿈은 사랑에 대한 갈망과 관계의 역동 그리고 내면의 이성적 원형을 상징한다. 현재 연인과의 꿈은 관계 상태를 반영하고 모르는 이성은 이상적 파트너상을 나타낸다.","융: 아니마(남성이 꾸는 여성 꿈) 또는 아니무스(여성이 꾸는 남성 꿈)의 직접적 표현. 이 원형과의 관계가 현실 연애 패턴을 결정한다. 프로이트: 성적 욕구의 충족.","火 기운의 열정과 관계를 반영. 사주에서 남성의 재성(財星)은 아내를, 여성의 관성(官星)은 남편을 상징. 정재(正財)/정관(正官)은 정식 파트너, 편재(偏財)/편관(偏官)은 비정식 관계.","금성(Venus)의 사랑과 천칭자리/황소자리의 관계성. 7하우스(파트너십/결혼)의 핵심 에너지. 5하우스(연애/로맨스)와도 연결된다.","관계에 대한 진솔한 감정을 점검하세요. 행복한 꿈이었다면 사랑의 에너지가 충만한 것이고 갈등이 있었다면 현실에서 소통이 필요합니다. 내면의 이상과 현실의 균형을 찾으세요."
DREAM_SYM_023,부모 꿈,dream_symbol,사람,부모,土,"부모가 등장하는 꿈은 근원적 안정감과 권위 그리고 미해결된 가족 역동을 상징한다. 부모와 화목한 꿈은 내면의 안정을, 갈등하는 꿈은 독립의 필요를, 부모가 위험한 꿈은 보호 본능을 나타낸다.","프로이트: 오이디푸스/엘렉트라 콤플렉스의 핵심 대상. 융: 태모(Great Mother)와 아버지(Father) 원형의 개인적 표현. 부모와의 관계가 모든 인간관계의 원형이 된다.","土 기운의 근본과 안정을 반영. 사주에서 인성(印星)은 어머니를, 편재(偏財)는 아버지를 상징. 인성이 강하면 모성에 대한 꿈이, 재성이 움직이면 부친에 대한 꿈이 나타난다.","달(Moon)의 어머니 원형과 토성(Saturn)의 아버지 원형. 4하우스(가정/어머니)와 10하우스(사회/아버지)의 축. IC(천저)와 MC(천정)의 에너지.","부모와의 관계를 성찰하세요. 화목한 꿈은 내면이 안정되어 있음을 보여주고 갈등이 있었다면 아직 미해결된 가족 문제가 있습니다. 감사를 표현하거나 대화를 시도하세요."
DREAM_SYM_024,유명인 꿈,dream_symbol,사람,유명인,火,"유명인이 등장하는 꿈은 동경과 야망 그리고 자신이 원하는 특질의 투영을 상징한다. 유명인과 친해지는 꿈은 성공에 대한 갈망을, 유명인이 되는 꿈은 인정 욕구를, 유명인을 만나는 꿈은 잠재력의 확인을 나타낸다.","융: 페르소나(Persona) 원형의 이상화된 투영. 그 유명인이 가진 특질이 바로 당신이 발전시키고 싶은 자질이다. 영웅 원형의 현대적 표현이기도 하다.","火 기운의 빛남과 표현을 반영. 사주에서 식상(食傷)이 발달한 사람에게 자기표현 욕구의 꿈으로 나타나며 편관(偏官)이 강하면 권력 지향의 꿈으로 나타난다.","태양(Sun)의 빛남과 사자자리의 스타성. 10하우스(명예/사회적 지위)와 5하우스(창조/표현)의 에너지. 목성(Jupiter)의 성공과 확장.","그 유명인의 어떤 면에 끌렸는지 생각해보세요. 그것이 당신이 개발해야 할 잠재력입니다. 인정에 대한 갈망이 있다면 자기 가치를 먼저 인정하세요. 비교보다 자기 성장에 집중하세요."
DREAM_SYM_025,돈/금 꿈,dream_symbol,물체,돈/금,金,"돈이나 금이 등장하는 꿈은 가치와 자기 worth 그리고 풍요를 상징한다. 돈을 줍는 꿈은 횡재운을, 돈을 잃는 꿈은 자기 가치감의 하락을, 금을 발견하는 꿈은 숨겨진 재능의 발견을 나타낸다.","프로이트: 항문기적 특성과 통제 욕구의 상징. 융: 자기 가치(Self-worth)의 외적 투영이며 내면의 보물(진정한 자기)을 상징. 연금술에서 금은 개성화의 최종 산물.","金 기운과 직결되며 재성(財星)의 에너지를 반영. 정재(正財)는 꾸준한 수입을, 편재(偏財)는 횡재를 상징. 사주에서 재성이 용신이면 재물운 상승의 길몽.","금성(Venus)의 가치와 황소자리의 물질적 안정. 2하우스(재물/소유)와 8하우스(타인의 재물/유산)의 에너지. 목성(Jupiter)의 풍요로움.","자기 가치를 점검하세요. 돈을 얻었다면 노력의 보상이 올 수 있습니다. 잃었다면 지출을 점검하거나 자존감을 돌보세요. 진정한 풍요는 내면에서 시작됩니다."
DREAM_SYM_026,칼/무기 꿈,dream_symbol,물체,칼/무기,金,"칼이나 무기가 등장하는 꿈은 결단력과 공격성 그리고 방어 본능을 상징한다. 칼을 드는 꿈은 결단이 필요한 상황을, 칼에 찔리는 꿈은 누군가에 의한 상처를, 무기를 버리는 꿈은 갈등 해소를 의미한다.","프로이트: 남근의 상징이자 공격성의 직접적 표현. 융: 분별력과 판단력의 상징. 칼은 혼란에서 명확함을 가려내는 지성의 도구이며 알렉산더의 칼처럼 복잡한 문제를 단번에 해결한다.","金 기운의 날카로움과 결단을 상징. 경금(庚金)의 강인한 의지와 직결. 사주에서 편관(偏官)이 강하면 위협의 꿈으로, 비겁(比劫)이 강하면 경쟁의 꿈으로 나타난다.","화성(Mars)의 전투력과 양자리의 공격성. 1하우스(자아/행동)와 8하우스(위기/생사)의 에너지. 명왕성(Pluto)의 파괴적 힘과도 연결.","결단이 필요한 상황입니다. 칼을 들었다면 망설이지 말고 결정하세요. 찔렸다면 누군가의 비판이나 공격에 상처받고 있을 수 있습니다. 경계를 세우되 공격적이 되지 마세요."
DREAM_SYM_027,거울 꿈,dream_symbol,물체,거울,金,"거울이 등장하는 꿈은 자기 인식과 진실 그리고 자아 성찰을 상징한다. 거울에 비친 자신이 다르게 보이면 자아 인식의 왜곡을, 거울이 깨지는 꿈은 자아상의 붕괴를, 맑은 거울은 자기 이해의 심화를 나타낸다.","융: 자기 인식과 그림자 대면의 도구. 거울에 비친 모습은 페르소나와 진정한 자기 사이의 괴리를 보여준다. 라캉: 거울 단계의 재경험이며 자아 형성의 상징.","金 기운의 반사와 성찰을 반영. 신금(辛金)의 거울같은 예리한 관찰력. 사주에서 정인(正印)이 있으면 자기 성찰의 꿈으로, 상관(傷官)이 있으면 자아 비판의 꿈으로 나타난다.","달(Moon)의 반사와 게자리의 내면 탐구. 1하우스(자아 이미지)와 7하우스(타인의 거울)의 축. 해왕성(Neptune)의 환상과 현실의 경계.","자신을 있는 그대로 바라보세요. 거울이 맑았다면 자기 이해가 깊어지고 있습니다. 깨졌다면 기존의 자아상을 내려놓고 진정한 자신을 받아들일 시기입니다."
