id,source,target,relation,category,description
DREAM_CROSS_014,DREAM_SYM_008,TM_19,꿈상징_행성,dream_to_astro_planet,태양 꿈과 태양(Sun)의 연결. 꿈에서의 태양은 점성술의 태양 에너지와 직접 연결된다. 태양 리턴(생일 전후) 시기에 태양 관련 꿈이 자주 나타나며 이는 자아 정체성의 재확인과 새로운 한 해의 방향 설정을 의미한다. 태양이 사자자리를 지나는 시기에 특히 강력하다.
DREAM_CROSS_015,DREAM_SYM_005,Pluto,꿈상징_행성,dream_to_astro_planet,지진 꿈과 명왕성(Pluto)의 연결. 지진은 점성술에서 명왕성의 파괴와 재건의 에너지를 직접적으로 반영한다. 명왕성 트랜짓이 출생차트의 주요 지점을 건드릴 때 지진 꿈이 자주 나타나며 이는 삶의 근본적 구조가 재편되는 시기임을 알린다. 전갈자리 시즌에 특히 빈번하다.
DREAM_CROSS_016,DREAM_SYM_002,Saturn,꿈상징_행성,dream_to_astro_planet,"산 꿈과 토성(Saturn)의 연결. 산은 점성술에서 토성의 구조와 인내 그리고 성취의 에너지를 반영한다. 토성 리턴(약 29세, 58세) 시기에 산 꿈이 자주 나타나며 이는 인생의 큰 도전과 성숙의 시기를 알린다. 토성이 염소자리를 지날 때 산 등반의 꿈이 특히 의미가 깊다."
DREAM_CROSS_017,DREAM_SYM_004,Uranus,꿈상징_행성,dream_to_astro_planet,폭풍/태풍 꿈과 천왕성(Uranus)의 연결. 폭풍은 점성술에서 천왕성의 갑작스러운 변화와 혁명적 에너지를 상징한다. 천왕성 트랜짓이 활발할 때 폭풍 꿈이 빈번해지며 이는 기존 질서의 붕괴와 새로운 시작이 임박했음을 알린다. 물병자리 시즌에 특히 강하게 나타난다.
DREAM_CROSS_018,DREAM_SYM_010,Venus,꿈상징_행성,dream_to_astro_planet,꽃 꿈과 금성(Venus)의 연결. 꽃은 점성술에서 금성의 아름다움과 사랑 그리고 조화의 에너지를 직접적으로 반영한다. 금성 트랜짓이 활발하거나 금성이 황소자리나 천칭자리를 지날 때 꽃꿈이 자주 나타나며 사랑과 아름다움에 대한 감수성이 높아지는 시기임을 의미한다.
DREAM_CROSS_019,DREAM_SYM_009,Jupiter,꿈상징_행성,dream_to_astro_planet,별 꿈과 목성(Jupiter)의 연결. 별은 점성술에서 목성의 희망과 확장 그리고 축복의 에너지를 반영한다. 목성 트랜짓이 좋은 위치에 있을 때 밝은 별꿈이 나타나며 이는 행운과 기회의 시기가 다가오고 있음을 알린다. 사수자리 시즌에 특히 희망적인 별꿈을 경험한다.
DREAM_CROSS_020,DREAM_SYM_043,Neptune,꿈상징_행성,dream_to_astro_planet,병원 꿈과 해왕성(Neptune)의 연결. 병원은 점성술에서 해왕성의 치유와 자비 그리고 물고기자리의 봉사 에너지를 반영한다. 해왕성이 12하우스를 지나거나 카이런(Chiron) 트랜짓이 활발할 때 병원 꿈이 자주 나타나며 심신의 치유가 필요한 시기임을 알린다.
DREAM_CROSS_021,DREAM_SYM_001,EL_수,꿈상징_오행,dream_to_oheng,물/바다 꿈과 오행 수(水)의 연결. 물꿈은 오행에서 수(水) 기운의 직접적 표현이다. 사주에서 수가 용신인 사람에게 맑은 물꿈은 운세 호전의 강력한 길몽이며 수가 기신인 사람에게 홍수나 탁류 꿈은 감정 범람의 경고이다. 수 기운의 특성인 지혜와 직관 그리고 유연성이 꿈을 통해 활성화된다.
DREAM_CROSS_022,DREAM_SYM_003,EL_화,꿈상징_오행,dream_to_oheng,불/화재 꿈과 오행 화(火)의 연결. 불꿈은 오행에서 화(火) 기운의 직접적 표현이다. 사주에서 화가 용신인 사람에게 밝은 불꿈은 열정과 추진력 상승의 길몽이며 화가 기신인 사람에게 화재 꿈은 분노와 조급함의 경고이다. 화 기운의 특성인 열정과 표현 그리고 리더십이 꿈을 통해 발현된다.
DREAM_CROSS_023,DREAM_SYM_002,EL_토,꿈상징_오행,dream_to_oheng,산 꿈과 오행 토(土)의 연결. 산꿈은 오행에서 토(土) 기운의 직접적 표현이다. 사주에서 토가 용신인 사람에게 높은 산을 오르는 꿈은 안정과 성취의 강력한 길몽이며 토가 기신인 사람에게 산이 무너지는 꿈은 기반 상실의 경고이다. 토 기운의 특성인 안정과 신뢰 그리고 포용력이 꿈을 통해 작용한다.
DREAM_CROSS_024,DREAM_SYM_013,EL_목,꿈상징_오행,dream_to_oheng,호랑이 꿈과 오행 목(木)의 연결. 호랑이꿈은 오행에서 목(木) 기운의 역동적 표현이다. 사주에서 목이 용신인 사람에게 호랑이를 타는 꿈은 성장과 도전의 최고 길몽이며 목이 기신인 사람에게 호랑이에게 쫓기는 꿈은 과도한 욕망의 경고이다. 목 기운의 특성인 진취성과 리더십이 꿈을 통해 발현된다.
DREAM_CROSS_025,DREAM_SYM_025,EL_금,꿈상징_오행,dream_to_oheng,돈/금 꿈과 오행 금(金)의 연결. 돈이나 금꿈은 오행에서 금(金) 기운의 직접적 표현이다. 사주에서 금이 용신인 사람에게 금을 줍는 꿈은 판단력 향상과 재물운의 길몽이며 금이 기신인 사람에게 금을 잃는 꿈은 자기 가치감 하락의 경고이다. 금 기운의 특성인 결단과 가치 판단이 꿈을 통해 작동한다.
DREAM_CROSS_026,DREAM_SYM_032,EL_목,꿈상징_오행,dream_to_oheng,날기 꿈과 오행 목(木)의 연결. 하늘을 나는 꿈은 오행에서 목(木) 기운의 상승 에너지를 반영한다. 사주에서 목이 용신인 사람에게 자유롭게 나는 꿈은 성장의 절정기를 알리는 길몽이며 목이 과다한 사람에게는 현실에서 떨어져 있다는 경고일 수 있다. 목 기운의 확장성이 꿈에서 비행으로 표현된다.
DREAM_CROSS_027,DREAM_SYM_006,EL_수,꿈상징_오행,dream_to_oheng,홍수 꿈과 오행 수(水)의 연결. 홍수꿈은 오행에서 수(水) 기운의 과잉 상태를 나타낸다. 사주에서 수가 이미 많은 사람에게 홍수 꿈은 감정 범람의 강한 경고이며 수가 부족한 사람에게는 억눌린 감정이 한꺼번에 분출되는 정화의 과정이다. 수극화(水剋火)의 역학이 꿈에서 작동한다.
DREAM_CROSS_028,DREAM_SYM_026,EL_금,꿈상징_오행,dream_to_oheng,칼/무기 꿈과 오행 금(金)의 연결. 칼이나 무기 꿈은 오행에서 금(金) 기운의 날카로운 측면을 직접적으로 반영한다. 사주에서 경금(庚金)이 강한 사람에게 칼꿈은 결단력의 활성화이며 금극목(金剋木)의 에너지가 작동할 때 타인과의 갈등을 경고하는 꿈으로 나타난다.
DREAM_CROSS_029,DREAM_SYM_060,EL_목,꿈상징_오행,dream_to_oheng,"나무 꿈과 오행 목(木)의 연결. 나무꿈은 오행에서 목(木) 기운의 가장 순수한 표현이다. 사주에서 목이 용신인 사람에게 푸른 나무 꿈은 건강과 성장의 최고 길몽이며 나무가 쓰러지는 꿈은 목 기운의 약화를 경고한다. 갑목(甲木)은 큰 나무로, 을목(乙木)은 화초나 덩굴로 꿈에 나타난다."
DREAM_CROSS_030,DREAM_SYM_038,EL_수,꿈상징_오행,dream_to_oheng,죽기 꿈과 오행 수(水)의 연결. 죽음의 꿈은 오행에서 수(水) 기운의 종결과 시작의 순환을 반영한다. 사주에서 대운이 절지(絶地)나 묘지(墓地)에 해당할 때 죽음 꿈이 나타나며 이는 기존 에너지의 소멸과 새로운 기운의 태동을 의미한다. 수의 순환적 특성이 꿈에서 죽음과 재탄생으로 표현된다.
DREAM_CROSS_031,DREAM_SYM_025,SS_정재,꿈상징_십신,dream_to_sipsin,돈/금 꿈과 정재(正財)의 연결. 꿈에서 돈을 받거나 모으는 것은 사주의 정재(正財) 에너지가 활성화되는 신호이다. 정재는 성실한 노력으로 얻는 안정적 재물을 상징하므로 돈을 꾸준히 모으는 꿈은 직장 수입이나 투자의 안정적 성장을 예고한다. 대운이나 세운에서 정재가 올 때 이 꿈이 자주 나타난다.
DREAM_CROSS_032,DREAM_SYM_036,SS_정관,꿈상징_십신,dream_to_sipsin,시험 꿈과 정관(正官)의 연결. 꿈에서 시험을 치르는 것은 사주의 정관(正官) 에너지가 작용하는 상태를 반영한다. 정관은 규율과 평가 그리고 사회적 질서를 상징하므로 시험 꿈은 현실에서 누군가에게 평가받는 상황에 처해 있음을 나타낸다. 정관이 용신이면 합격의 길몽이 되고 기신이면 불안의 꿈이 된다.
DREAM_CROSS_033,DREAM_SYM_020,SS_식신,꿈상징_십신,dream_to_sipsin,아기 꿈과 식신(食神)의 연결. 꿈에서 아기가 태어나는 것은 사주의 식신(食神) 에너지가 활발해지는 신호이다. 식신은 창조와 표현 그리고 생산을 상징하므로 건강한 아기 꿈은 새로운 프로젝트의 탄생이나 창작물의 완성을 예고한다. 식신이 용신인 사람에게 특히 강력한 길몽이며 재능 발현의 시기를 알린다.
DREAM_CROSS_034,DREAM_SYM_034,SS_편관,꿈상징_십신,dream_to_sipsin,쫓기기 꿈과 편관(偏官)/칠살(七殺)의 연결. 꿈에서 쫓기는 것은 사주의 편관(偏官) 에너지가 과도하게 작용하는 상태를 반영한다. 편관은 외부의 압력과 통제 불가능한 힘을 상징하므로 쫓기는 꿈은 현실에서 감당하기 어려운 압박에 처해 있음을 나타낸다. 편관 대운이 올 때 빈번히 나타나는 꿈이다.
DREAM_CROSS_035,DREAM_SYM_022,SS_정재,꿈상징_십신,dream_to_sipsin,연인/이성 꿈과 재성(財星)의 연결. 남성이 꾸는 연인 꿈은 사주의 정재(正財) 또는 편재(偏財) 에너지와 직접 연결된다. 정재는 정식 파트너를 편재는 새로운 인연을 상징한다. 재성 대운이 오면 이성 관련 꿈이 빈번해지며 이는 현실에서의 연애운 변화를 예고한다. 여성의 경우 관성(官星)이 이 역할을 한다.
DREAM_CROSS_036,DREAM_SYM_032,SS_식신,꿈상징_십신,dream_to_sipsin,날기 꿈과 식상(食傷)의 연결. 꿈에서 하늘을 나는 것은 사주의 식신(食神)과 상관(傷官) 에너지가 해방되는 상태를 반영한다. 식상은 자유로운 표현과 창의력을 상징하므로 비행 꿈은 억눌린 창작 에너지가 분출되려는 신호이다. 식상이 관성에 의해 억눌려 있다가 풀릴 때 이 꿈이 나타난다.
DREAM_CROSS_037,DREAM_SYM_023,SS_정인,꿈상징_십신,dream_to_sipsin,부모 꿈과 정인(正印)의 연결. 꿈에서 어머니가 나오는 것은 사주의 정인(正印) 에너지와 직접 연결된다. 정인은 보호와 양육 그리고 무조건적 사랑을 상징하므로 어머니의 따뜻한 꿈은 내면의 안정감이 회복되는 신호이다. 인성 대운이 오면 모성적 보살핌의 에너지가 강해지며 학업운과도 관련된다.
DREAM_CROSS_038,DREAM_SYM_014,SS_편재,꿈상징_십신,dream_to_sipsin,물고기 꿈과 편재(偏財)의 연결. 꿈에서 큰 물고기를 잡는 것은 사주의 편재(偏財) 에너지가 활성화되는 강력한 신호이다. 편재는 횡재와 예상치 못한 재물을 상징하므로 물고기를 잡는 꿈은 뜻밖의 행운이나 사업 기회를 예고한다. 편재 대운이나 세운에서 이 꿈이 나타나면 재물운이 크게 상승한다.
DREAM_CROSS_039,DREAM_SYM_040,SS_정인,꿈상징_십신,dream_to_sipsin,학교 꿈과 인성(印星)의 연결. 꿈에서 학교에 있는 것은 사주의 정인(正印)과 편인(偏印) 에너지가 작용하는 상태를 반영한다. 인성은 학문과 배움 그리고 지적 성장을 상징하므로 학교 꿈은 새로운 배움의 기회가 다가오고 있음을 알린다. 정인은 정식 교육을 편인은 독학이나 특수 분야의 깨달음과 연결된다.
DREAM_CROSS_040,DREAM_SYM_024,SS_식신,꿈상징_십신,dream_to_sipsin,유명인 꿈과 식상(食傷)의 연결. 꿈에서 유명인을 만나거나 자신이 유명해지는 것은 사주의 식신(食神)과 상관(傷官) 에너지가 표현을 갈망하는 상태를 반영한다. 식상은 자기표현과 인정 욕구를 상징하므로 유명인 꿈은 재능을 세상에 보여주고 싶은 강한 내적 욕구의 표출이다. 식상이 발달한 사람에게 자주 나타난다.
