id,label,type,category,description,psychological_meaning,saju_connection,advice
DE_사랑,사랑의꿈,dream_emotion,긍정,"꿈에서 깊은 사랑을 느끼는 경험. 누군가를 사랑하거나 사랑받는 느낌. 따뜻하고 충만한 감정.","아니마/아니무스와의 조화로운 만남. 내면의 남성성과 여성성의 통합. 사랑의 원형 활성화.","도화살이 긍정적으로 작용할 때. 정재/정관의 좋은 시기. 천희성이 발동하는 운에서 경험.","꿈의 사랑이 현실의 관계를 풍요롭게 합니다. 사랑을 주고받는 연습을 하세요."
DE_욕망,욕망의꿈,dream_emotion,중립,"꿈에서 강렬한 욕망을 느끼는 경험. 성적 욕구, 음식, 권력 등 다양한 형태의 욕구가 표출.","억압된 리비도의 분출. 이드(Id)의 표현. 현실에서 충족되지 않는 욕구의 보상적 만족.","편재/상관이 강한 사주에서 경험. 도화살/홍염살이 발동할 때. 화(火) 기운이 강한 시기.","욕망을 부정하지 마세요. 건전한 방법으로 표현하는 것이 억압보다 건강합니다."
DE_무력감,무력감의꿈,dream_emotion,부정,"꿈에서 무력감을 느끼는 경험. 소리를 지르려 해도 목소리가 안 나오거나 움직일 수 없는 꿈.","현실에서 통제력을 잃었다는 느낌. 상황에 압도당하는 자아. 결정을 내리지 못하는 마비 상태.","신약사주나 관살 과다 사주에서 경험. 공망 시기에 빈번. 큰 변화 앞에서 자주 나타남.","작은 것부터 통제하세요. 할 수 있는 일에 집중하면 무력감은 줄어듭니다."
DE_자유,자유의꿈,dream_emotion,긍정,"꿈에서 완전한 자유를 느끼는 경험. 하늘을 날거나 끝없이 달리거나 모든 것에서 해방된 느낌.","자아의 제약에서 벗어난 상태. 무의식의 무한한 가능성과 접촉. 자기(Self)의 확장 경험.","역마살이 긍정적으로 작용할 때. 상관이 자유롭게 발현되는 시기. 제약이 풀리는 대운.","꿈에서 느낀 자유를 현실에서도 추구하세요. 진짜 원하는 삶을 살 권리가 있습니다."
DE_초조함,초조함의꿈,dream_emotion,부정,"꿈에서 초조하고 안절부절못하는 경험. 시간에 쫓기거나 준비가 안 된 채 시험을 보는 꿈.","성취에 대한 압박감. 기대에 부응해야 한다는 내면의 요구. 완벽주의적 성향의 반영.","정관이 강하거나 상관이 억압된 사주에서 경험. 시험/면접 등 평가 앞둔 시기에 빈번.","완벽하지 않아도 괜찮습니다. 최선을 다하면 충분하며 결과는 받아들이면 됩니다."
DE_혼란,혼란의꿈,dream_emotion,부정,"꿈에서 극심한 혼란을 느끼는 경험. 길을 잃거나 무엇을 해야 할지 모르는 상태.","정체성의 위기. 삶의 방향에 대한 불확실함. 기존 가치관이 흔들리는 과도기적 상태.","공망 시기나 대운 교체기에 빈번. 형충파해가 많은 시기. 선택의 기로에 섰을 때.","혼란은 성장 전 단계입니다. 방향이 불명확할 때는 멈추고 자신에게 물어보세요."
DE_호기심,호기심의꿈,dream_emotion,긍정,"꿈에서 강렬한 호기심을 느끼는 경험. 미지의 공간을 탐험하거나 새로운 것을 발견하는 꿈.","무의식의 탐구. 자신에 대해 알고 싶은 욕구. 성장을 위한 탐색 에너지.","편인격이나 식신이 활성화된 시기. 역마살이 긍정적으로 작용할 때. 배움의 운에서 경험.","호기심을 따라가세요. 꿈이 가리키는 방향에 당신이 성장할 영역이 있습니다."
DE_감사,감사의꿈,dream_emotion,긍정,"꿈에서 깊은 감사함을 느끼는 경험. 축복받는 느낌이나 모든 것이 충분하다는 충만함.","자기(Self)와의 조화. 삶을 있는 그대로 받아들이는 수용의 상태. 영적 성숙의 표현.","천을귀인/천덕귀인 활성화 시기. 용신이 잘 작용하는 대운. 삼합/육합이 이루어질 때.","이 감사함을 일상에서도 유지하세요. 감사는 더 많은 축복을 불러옵니다."
DE_절망,절망의꿈,dream_emotion,부정,"꿈에서 깊은 절망을 느끼는 경험. 모든 것이 끝났다거나 희망이 없다는 느낌.","자아의 위기. 기존 정체성의 죽음 과정. 그러나 이는 재탄생 전의 필수 단계일 수 있음.","공망이 심한 시기. 관살 과다로 신약한 경우. 큰 상실이나 변화 후에 경험.","절망의 바닥에서 희망의 씨앗이 발아합니다. 이 시간도 지나갈 것입니다."
DE_희망,희망의꿈,dream_emotion,긍정,"꿈에서 밝은 희망을 느끼는 경험. 새벽이 밝아오거나 새로운 시작을 알리는 상징들.","무의식의 치유력. 어둠 후에 오는 빛. 자기(Self)가 보내는 격려의 메시지.","복(復)의 기운. 동지 후 양이 돌아오듯 어려움 후 좋은 운의 시작을 알림. 귀인 활성화.","희망의 꿈은 예언입니다. 좋은 일이 오고 있으니 마음을 열고 준비하세요."
DE_배신감,배신감의꿈,dream_emotion,부정,"꿈에서 배신당하는 느낌의 경험. 믿었던 사람에게 속거나 버림받는 꿈.","신뢰 상실의 트라우마. 과거의 배신 경험이 투사됨. 또는 자기 자신에 대한 배신감.","원진살이나 육해살 관련 시기. 친한 관계에서 갈등이 있을 때. 겁살이 발동하는 운.","모든 사람을 의심할 필요는 없습니다. 진정한 신뢰는 상처를 감수하고 여는 것입니다."
DE_안도,안도의꿈,dream_emotion,긍정,"꿈에서 큰 안도감을 느끼는 경험. 위험을 피하거나 걱정이 해결되는 꿈.","불안의 해소. 무의식이 '괜찮을 것'이라는 메시지를 보내는 것. 자기 신뢰의 회복.","귀인이 도와주는 운. 흉한 기운이 해소되는 시기. 걱정했던 일이 잘 풀릴 것을 암시.","꿈이 말해주듯 걱정은 줄이세요. 대부분의 걱정은 실현되지 않습니다."
DE_복수심,복수심의꿈,dream_emotion,부정,"꿈에서 복수심을 느끼는 경험. 누군가에게 앙갚음을 하거나 하고 싶은 강렬한 욕구.","그림자의 공격성. 불의에 대한 분노. 해결되지 않은 과거 상처의 표출.","양인살/편관이 강한 경우. 원진살 관련 운. 과거 트라우마가 자극받는 시기.","복수는 자신을 소모시킵니다. 놓아보내는 것이 진정한 승리입니다."
DE_자존감,자존감의꿈,dream_emotion,긍정,"꿈에서 높은 자존감을 느끼는 경험. 당당하거나 존경받거나 자신감이 넘치는 꿈.","건강한 자아상의 발현. 자기 가치에 대한 무의식의 확인. 성장의 결실.","건록격이나 양인이 긍정적으로 작용할 때. 자신감이 회복되는 운. 비겁이 도움이 되는 시기.","꿈이 보여준 자신감을 현실에서도 발휘하세요. 당신은 그만한 가치가 있습니다."
DE_경쟁심,경쟁심의꿈,dream_emotion,중립,"꿈에서 강렬한 경쟁심을 느끼는 경험. 누군가와 겨루거나 이기고 싶은 욕구.","그림자의 경쟁적 측면. 인정받고 싶은 욕구. 자신의 능력을 증명하고 싶은 마음.","겁재나 양인이 활성화될 때. 경쟁이 치열한 현실 상황의 반영. 비견/겁재 운에서 빈번.","경쟁은 성장의 자극제입니다. 다만 타인보다 어제의 자신과 비교하세요."
DE_포기,포기의꿈,dream_emotion,부정,"꿈에서 포기하는 경험. 더 이상 시도하지 않고 그만두는 느낌.","심리적 소진. 에너지의 고갈. 그러나 때로는 불필요한 것을 놓아야 한다는 메시지.","신약사주에서 관살 과다 시. 에너지가 바닥날 때. 기(氣)가 꺾인 시기.","잠시 쉬어가도 됩니다. 포기가 아닌 재충전이라고 생각하세요."
DE_충만함,충만함의꿈,dream_emotion,긍정,"꿈에서 완전한 충만함을 느끼는 경험. 부족함이 없고 모든 것이 완벽하다는 느낌.","자기(Self)와의 합일. 개성화 과정의 순간적 완성. 영적 정점의 경험.","대운/세운이 좋을 때. 사주 전체가 조화로울 때. 용신이 완전히 작용하는 시기.","이 충만함을 기억해두세요. 어려울 때 이 감각이 등대가 되어줄 것입니다."
DE_버림받음,버림받는꿈,dream_emotion,부정,"꿈에서 버림받는 경험. 홀로 남겨지거나 필요하지 않다는 느낌.","유기 불안의 재활성화. 어린 시절의 상처. 소속감에 대한 근본적 욕구.","공망이 있거나 인성이 약한 사주에서 경험. 고신살 발동 시기. 관계 변화 시.","버림받은 느낌은 과거의 기억입니다. 지금 당신은 스스로 선택할 수 있습니다."
DE_놀라움,놀라움의꿈,dream_emotion,중립,"꿈에서 깜짝 놀라는 경험. 예상치 못한 일이 벌어지거나 갑작스러운 변화.","무의식의 경고 또는 새로운 깨달음. 의식이 놓치고 있던 것에 대한 알림.","역마살이나 변화의 운에서 빈번. 형충이 일어나는 시기. 예상치 못한 일이 올 것을 암시.","놀라움에 열려 있으세요. 삶의 뜻밖의 선물이 될 수 있습니다."
DE_갈망,갈망의꿈,dream_emotion,중립,"꿈에서 무언가를 간절히 원하는 경험. 손에 닿지 않는 것을 향한 강렬한 욕구.","충족되지 않은 욕구의 표현. 삶에서 부족한 것에 대한 무의식의 인식.","재성이나 관성이 약한 사주에서 경험. 욕구불만 시기. 원하는 것이 멀어지는 운.","갈망은 나침반입니다. 진정 원하는 것이 무엇인지 꿈이 알려줍니다."
