id,label,type,category,jungian_meaning,psychological_significance,safety_assessment,saju_element,polarity,description
DS_nature_ocean,바다,dream_setting,nature,무의식/감정/무한,깊은무의식/감정의광대함/무한가능성,중간-감정공간,수,중립,"바다는 무의식과 감정의 깊이. 무한한 가능성과 미지."
DS_nature_ocean_calm,잔잔한바다,dream_setting,nature,평화/안정/명상,감정적평화/내면의고요,높음-평화상태,수,길,"잔잔한 바다는 감정적 평화. 내면이 고요한 상태."
DS_nature_ocean_stormy,폭풍우바다,dream_setting,nature,혼란/위기/격정,감정적폭풍/삶의위기/통제불능,낮음-위기상태,수,흉,"폭풍우 치는 바다는 감정적 격동. 삶의 위기 상황."
DS_nature_river,강,dream_setting,nature,흐름/시간/변화,삶의흐름/시간의흐름/변화의과정,중간-흐름공간,수,중립,"강은 삶의 흐름. 시간과 변화, 한 방향으로의 이동."
DS_nature_lake,호수,dream_setting,nature,고요/반영/무의식,내면의반영/고요한성찰/무의식의표면,높음-성찰공간,수,길,"호수는 고요한 성찰. 내면을 비추는 거울."
DS_nature_desert,사막,dream_setting,nature,고독/시험/정화,영적시험/고독/불필요한것의정화,낮음-고난,화,중립,"사막은 고독과 시험. 불필요한 것을 버리는 정화의 공간."
DS_nature_garden,정원,dream_setting,nature,성장/돌봄/창조,가꾸어진무의식/돌봄의결과/창조,높음-성장공간,목,길,"정원은 가꾸어진 성장. 돌봄과 창조적 노력의 결과."
DS_nature_field,들판,dream_setting,nature,자유/가능성/수확,열린가능성/자유/노력의결과수확,높음-자유공간,토,길,"들판은 자유와 가능성. 넓게 펼쳐진 기회의 공간."
DS_transport_road,길,dream_setting,transport,인생경로/방향/선택,삶의방향/인생경로/선택의기로,중간-방향공간,토,중립,"길은 인생의 경로. 방향과 선택을 나타냄."
DS_transport_road_fork,갈림길,dream_setting,transport,선택/결정/분기점,중요한선택의시점/삶의분기점,중간-선택필요,토,중립,"갈림길은 중요한 선택. 삶의 방향을 결정하는 분기점."
DS_transport_bridge,다리,dream_setting,transport,전환/연결/위험,한상태에서다른상태로의전환/연결,중간-전환공간,토,길,"다리는 전환과 연결. 한 상태에서 다른 상태로의 이동."
DS_transport_airport,공항,dream_setting,transport,전환/새시작/이동,삶의큰전환/새로운시작/이동,중간-전환공간,금,길,"공항은 큰 전환의 장소. 새로운 시작과 먼 여행."
DS_transport_station,기차역,dream_setting,transport,이동/전환/기다림,인생의이동/전환점/기다림의시간,중간-전환공간,금,중립,"기차역은 이동과 전환. 정해진 방향으로의 여정."
DS_transport_car,자동차안,dream_setting,transport,통제/방향/속도,삶의통제력/방향설정/진행속도,중간-통제공간,금,중립,"자동차 안은 삶의 통제. 운전 상태가 통제력을 반영."
DS_transport_bus,버스안,dream_setting,transport,집단/수동성/공유,집단과의이동/수동적진행/공유된여정,중간-집단공간,금,중립,"버스 안은 집단 여정. 타인과 함께하는 수동적 이동."
DS_transport_train,기차안,dream_setting,transport,운명/방향/속도,정해진궤도/운명적방향/빠른진행,중간-운명공간,금,길,"기차 안은 정해진 궤도. 운명적 방향으로의 빠른 진행."
DS_transport_airplane,비행기안,dream_setting,transport,상승/원대함/빠른변화,높은목표/원대한계획/급격한변화,중간-상승공간,화,길,"비행기 안은 높은 비상. 원대한 계획과 빠른 이동."
DS_transport_ship,배안,dream_setting,transport,감정여행/장기여정/무의식항해,감정의바다를건넘/장기적과정,중간-감정여정,수,중립,"배 안은 감정의 여정. 무의식의 바다를 건너는 장기 여행."
DS_urban_city,도시,dream_setting,urban,사회/집단/복잡성,사회생활/집단속의개인/복잡한관계,중간-사회공간,금,중립,"도시는 사회와 집단. 복잡한 인간관계와 사회생활."
DS_urban_street,거리,dream_setting,urban,공개/사회적자아/이동,공개된공간/사회적자아의표현/이동,중간-공개공간,금,중립,"거리는 공개된 사회 공간. 사회적 자아의 움직임."
DS_urban_market,시장,dream_setting,urban,교환/가치/선택,가치의교환/다양한선택/물질적욕구,중간-교환공간,토,중립,"시장은 교환과 가치. 물질적 욕구와 다양한 선택."
DS_urban_restaurant,식당,dream_setting,urban,양육/사회적식사/관계,사회적양육/관계속의식사/정서적영양,높음-양육공간,토,길,"식당은 사회적 양육. 관계 속에서의 정서적 영양 섭취."
DS_urban_hotel,호텔,dream_setting,urban,임시성/전환/익명,임시적거주/전환기/익명의공간,중간-임시공간,토,중립,"호텔은 임시적 거주. 전환기의 익명 공간."
DS_underground_cave,동굴,dream_setting,underground,무의식/자궁/재탄생,깊은무의식/보호된공간/재탄생의장소,중간-무의식,수,중립,"동굴은 깊은 무의식. 자궁 같은 보호와 재탄생의 공간."
DS_underground_tunnel,터널,dream_setting,underground,통과/전환/어둠,어려운시기의통과/빛을향한이동,낮음-통과중,수,중립,"터널은 어둠의 통과. 어려운 시기를 지나 빛으로 향함."
DS_elevated_sky,하늘,dream_setting,elevated,자유/영성/가능성,무한한가능성/영적영역/자유,높음-영적공간,화,길,"하늘은 무한한 가능성. 영적 영역과 자유."
DS_elevated_clouds,구름위,dream_setting,elevated,초월/몽상/비현실,현실초월/꿈같은상태/이상향,중간-비현실,화,길,"구름 위는 현실 초월. 꿈같은 이상적 상태."
DS_elevated_rooftop,옥상,dream_setting,elevated,관점/해방/위험,높은관점/일상에서의해방/때로는위험,중간-관점공간,화,중립,"옥상은 높은 관점. 일상에서 벗어난 시야."
DS_water_pool,수영장,dream_setting,water,통제된감정/휴식/정화,통제된감정공간/휴식과정화,높음-통제된공간,수,길,"수영장은 통제된 감정 공간. 안전한 정서적 휴식."
DS_water_waterfall,폭포,dream_setting,water,감정분출/정화/에너지,감정의강렬한분출/정화/생명에너지,중간-정화공간,수,길,"폭포는 감정의 분출과 정화. 강렬한 생명 에너지."
DS_liminal_doorway,문앞,dream_setting,liminal,전환/선택/문턱,새로운세계로의입구/결정의순간,중간-전환점,목,중립,"문앞은 전환의 문턱. 새로운 세계로 들어서는 결정의 순간."
DS_liminal_window,창가,dream_setting,liminal,관망/경계/갈망,외부세계관망/안과밖의경계/갈망,중간-경계공간,목,중립,"창가는 안과 밖의 경계. 외부 세계에 대한 관망과 갈망."
