id,source,target,relation,category,description,situation,timing_advice,life_area
ICH_SAJU_011,HEX_05,SAJU_TS_관대,괘운성매핑,hexagram_stage,수괘(需)와 관대의 결합 - 기다림의 지혜가 성장과 확장의 단계와 만나 준비된 자에게 기회가 온다,승진이나 사업 확장의 기회를 앞두고 인내심 있게 준비하는 시기. 급하게 서두르면 오히려 기회를 놓치는 상황,관대 시기의 수괘는 때가 무르익기를 기다리라는 강력한 신호이다. 실력을 갈고닦으며 네트워크를 확장하되 결정적 행동은 시기가 올 때까지 보류하라,career/wealth
ICH_SAJU_012,HEX_05,SAJU_SIPSIN_정재,괘십신매핑,hexagram_sipsin,수괘(需)와 정재의 결합 - 인내심 있는 기다림이 정당한 재물 축적의 에너지와 만나 안정적 자산 형성이 가능하다,꾸준한 저축이나 장기 투자가 결실을 맺는 시기. 부동산이나 안정적 자산에 대한 기회가 다가오는 상황,정재의 안정적 재물운이 수괘의 기다림과 합쳐지면 조급하지 않은 재테크가 큰 성과를 낸다. 단기 투기보다 장기 가치 투자에 집중하라,wealth/career
ICH_SAJU_013,HEX_06,SAJU_TS_건록,괘운성매핑,hexagram_stage,송괘(訟)와 건록의 결합 - 분쟁과 갈등의 에너지가 활발한 활동기와 만나 법적 문제나 공적 갈등이 표면화된다,소송이나 법적 분쟁에 휘말리는 상황. 직장 내 권력 다툼이나 계약 관련 분쟁이 발생하는 시기,건록 시기의 송괘는 갈등을 피할 수 없으나 정면 대결보다 중재나 합의를 우선하라는 경고이다. 법률 전문가의 조언을 구하고 감정적 대응을 삼가라,career/relationship
ICH_SAJU_014,HEX_06,SAJU_SIPSIN_편관,괘십신매핑,hexagram_sipsin,송괘(訟)와 편관의 결합 - 권위적 압박과 갈등의 에너지가 결합하여 강력한 외부 압력이나 통제가 작용한다,상사나 권력자와의 충돌이 불가피한 상황. 세무조사나 감사 등 공적 기관의 압박을 받는 시기,편관이 송괘와 만나면 권위에 대한 도전은 위험하다. 원칙과 법규를 철저히 준수하고 불필요한 적을 만들지 마라. 인내와 전략으로 위기를 넘겨라,career/wealth
ICH_SAJU_015,HEX_07,SAJU_TS_제왕,괘운성매핑,hexagram_stage,사괘(師)와 제왕의 결합 - 군대를 이끄는 통솔력이 최고 정점의 에너지와 만나 절대적 권위와 조직 장악력을 발휘한다,대규모 조직이나 프로젝트를 총괄하는 최고 책임자의 위치에 오르는 상황. 중대한 전략적 결정을 내려야 하는 시기,제왕 시기의 사괘는 강력한 리더십을 발휘할 수 있는 최적의 타이밍이다. 그러나 독단적 결정을 경계하고 유능한 참모의 조언을 경청하라,career/relationship
ICH_SAJU_016,HEX_07,SAJU_SIPSIN_편관,괘십신매핑,hexagram_sipsin,사괘(師)와 편관의 결합 - 군사적 통솔력과 권위적 통제력이 합쳐져 강력한 지배력과 규율의 에너지를 형성한다,군이나 경찰 등 공권력 관련 직종에서 승진하거나 엄격한 조직 문화 속에서 성과를 내야 하는 상황,편관의 엄격한 에너지가 사괘의 군사적 질서와 결합하면 규율과 원칙이 성공의 핵심이 된다. 감정보다 이성으로 판단하고 조직의 기강을 확립하라,career/spiritual
ICH_SAJU_017,HEX_11,SAJU_TS_건록,괘운성매핑,hexagram_stage,태괘(泰)와 건록의 결합 - 천지가 교통하는 태평의 기운이 왕성한 활동기와 만나 모든 일이 순조롭게 풀린다,사업이 번창하고 인간관계가 원만한 최상의 시기. 하늘과 땅의 기운이 조화를 이루어 만사형통하는 상황,건록 시기의 태괘는 최고의 길운이다. 이 시기를 적극 활용하여 중요한 계약이나 결혼 등 인생의 큰 결정을 실행에 옮기라,career/wealth/relationship
ICH_SAJU_018,HEX_11,SAJU_SIPSIN_정관,괘십신매핑,hexagram_sipsin,태괘(泰)와 정관의 결합 - 태평성대의 에너지가 정당한 권위와 만나 이상적인 질서와 조화가 실현된다,공직이나 관료 조직에서 정당한 승진을 하거나 사회적 명예를 얻는 상황. 안정적인 직장 생활과 사회적 인정을 받는 시기,정관의 바른 권위가 태괘의 조화와 만나면 노력에 합당한 보상이 따른다. 정도를 걸으며 신뢰를 쌓아온 결과가 빛을 발하는 때이다,career/relationship
ICH_SAJU_019,HEX_12,SAJU_TS_쇠,괘운성매핑,hexagram_stage,비괘(否)와 쇠의 결합 - 천지가 불통하는 폐색의 기운이 하강기와 만나 전반적인 운세의 침체를 야기한다,사업의 정체나 인간관계의 단절을 경험하는 시기. 노력해도 성과가 나지 않고 답답함을 느끼는 상황,쇠 시기의 비괘는 무리한 확장이나 새로운 시도를 삼가라는 강력한 경고이다. 현상 유지에 집중하고 내실을 다지며 운이 돌아올 때를 기다리라,career/wealth/health
ICH_SAJU_020,HEX_12,SAJU_SIPSIN_상관,괘십신매핑,hexagram_sipsin,비괘(否)와 상관의 결합 - 막힘과 불통의 에너지가 반항과 파괴의 기운과 만나 기존 질서에 대한 불만이 폭발한다,직장에서 상사와 극심한 갈등을 겪거나 기존 체제에 대한 회의감이 극에 달하는 상황. 충동적 퇴사나 이혼 충동이 일어나는 시기,상관이 비괘와 결합하면 충동적 결정이 돌이킬 수 없는 결과를 초래한다. 감정을 다스리고 현명한 조언자와 상의한 후 신중하게 판단하라,career/relationship
ICH_SAJU_021,HEX_16,SAJU_TS_관대,괘운성매핑,hexagram_stage,예괘(豫)와 관대의 결합 - 기쁨과 열정의 에너지가 성장기와 만나 즐거운 마음으로 역량을 확장한다,취미나 관심사가 직업적 기회로 발전하는 시기. 축제나 경사스러운 행사를 통해 인맥이 확장되는 상황,관대 시기의 예괘는 즐기면서 성장하라는 메시지이다. 긍정적 에너지를 활용하여 네트워크를 넓히고 새로운 기술을 배우되 과도한 향락에 빠지지 않도록 주의하라,career/relationship
ICH_SAJU_022,HEX_16,SAJU_SIPSIN_식신,괘십신매핑,hexagram_sipsin,예괘(豫)와 식신의 결합 - 기쁨과 예비의 에너지가 창의적 표현력과 만나 예술적 성취나 미식 문화를 즐기는 풍요를 형성한다,요리나 예술 등 감각적 창작 활동이 인정받는 시기. 맛집 탐방이나 문화 활동을 통해 삶의 질이 향상되는 상황,식신의 창의적 에너지가 예괘의 기쁨과 합쳐지면 일과 놀이의 경계가 사라진다. 즐기는 것에서 수익을 창출하는 방법을 모색하라,wealth/health
ICH_SAJU_023,HEX_20,SAJU_TS_병,괘운성매핑,hexagram_stage,관괘(觀)와 병의 결합 - 관조와 성찰의 에너지가 병든 시기와 만나 깊은 내면 탐구와 영적 각성을 촉진한다,건강 문제로 인해 강제적 휴식을 취하면서 삶의 방향을 재점검하는 상황. 명상이나 수행을 통해 깨달음을 얻는 시기,병 시기의 관괘는 몸의 신호에 귀를 기울이라는 메시지이다. 건강 검진을 받고 생활 습관을 점검하며 영적 수련을 통해 내면의 치유를 도모하라,health/spiritual
ICH_SAJU_024,HEX_20,SAJU_SIPSIN_편인,괘십신매핑,hexagram_sipsin,관괘(觀)와 편인의 결합 - 관찰과 통찰의 에너지가 비정통적 학문과 만나 신비학이나 철학적 깨달음을 추구한다,사주나 명리학 등 형이상학적 학문에 깊이 빠지는 시기. 직관력이 강화되어 남들이 보지 못하는 것을 감지하는 상황,편인의 비정통적 지혜가 관괘의 관찰력과 결합하면 탁월한 통찰력이 발현된다. 명상과 독서를 통해 직관을 발전시키되 현실과의 균형을 잃지 마라,spiritual/career
ICH_SAJU_025,HEX_23,SAJU_TS_사,괘운성매핑,hexagram_stage,박괘(剝)와 사의 결합 - 벗겨짐과 소멸의 에너지가 죽음의 단계와 만나 불필요한 것들이 완전히 제거되는 정화의 과정을 겪는다,직장 해고나 사업 실패 또는 중요한 관계의 종결을 경험하는 상황. 모든 것이 무너지는 듯한 극심한 상실감을 느끼는 시기,사 시기의 박괘는 가장 힘든 시기이나 이 또한 지나간다. 집착을 내려놓고 손실을 최소화하는 데 집중하라. 새로운 시작을 위한 준비 단계로 받아들이라,career/wealth/health
ICH_SAJU_026,HEX_23,SAJU_SIPSIN_겁재,괘십신매핑,hexagram_sipsin,박괘(剝)와 겁재의 결합 - 박탈과 상실의 에너지가 재물 손실의 기운과 만나 심각한 경제적 타격이 우려된다,사기를 당하거나 투자 실패로 큰 재산을 잃는 상황. 지인의 보증이나 공동 투자가 화를 부르는 시기,겁재가 박괘와 결합하면 타인에게 돈을 빌려주거나 보증을 서는 것을 절대 삼가라. 재산 보전을 최우선으로 하고 위험한 투자를 모두 정리하라,wealth/relationship
ICH_SAJU_027,HEX_24,SAJU_TS_절,괘운성매핑,hexagram_stage,복괘(復)와 절의 결합 - 돌아옴의 에너지가 끊어짐의 단계와 만나 어둠 속에서 한 줄기 빛이 나타나는 전환점을 형성한다,오랜 침체기를 지나 희망의 징조가 보이기 시작하는 상황. 연락이 끊겼던 귀인이 다시 나타나거나 새로운 기회의 문이 열리는 시기,절 시기의 복괘는 가장 어두운 밤 후에 동이 트는 시점이다. 아직 완전한 회복은 아니므로 조심스럽게 한 발짝씩 나아가되 희망을 잃지 마라,career/spiritual
ICH_SAJU_028,HEX_24,SAJU_SIPSIN_비견,괘십신매핑,hexagram_sipsin,복괘(復)와 비견의 결합 - 복귀와 재시작의 에너지가 자아의 힘과 만나 자기 정체성을 재확립하고 새출발을 감행한다,실패 후 재기하거나 오랜 방황 끝에 본래의 길을 되찾는 상황. 자기 자신에 대한 믿음을 회복하는 시기,비견의 자주적 에너지가 복괘의 돌아옴과 합쳐지면 강력한 재기의 동력이 생긴다. 과거의 실패에서 교훈을 얻어 더 강해진 모습으로 다시 시작하라,career/spiritual
ICH_SAJU_029,HEX_49,SAJU_TS_절,괘운성매핑,hexagram_stage,혁괘(革)와 절의 결합 - 혁명적 변화의 에너지가 단절의 단계와 만나 기존 체제의 완전한 전환을 촉발한다,직업을 완전히 바꾸거나 삶의 방식을 근본적으로 변혁하는 상황. 이혼이나 이민 등 인생의 큰 전환점에 서는 시기,절 시기의 혁괘는 과감한 변화가 필요하다는 신호이다. 그러나 충동적이 아닌 충분한 준비 후에 실행하라. 구시대적 관습을 과감히 버리고 새로운 패러다임을 수용하라,career/relationship
ICH_SAJU_030,HEX_49,SAJU_TS_태,괘운성매핑,hexagram_stage,혁괘(革)와 태의 결합 - 혁명적 변화 후 새 생명이 잉태되어 완전히 새로운 존재로 거듭나는 재탄생의 에너지를 형성한다,큰 변화 후 완전히 새로운 정체성이나 삶의 방향을 발견하는 상황. 파괴적 창조를 통해 더 높은 차원으로 도약하는 시기,태 시기의 혁괘는 변화 후 새로운 가능성이 잉태되고 있음을 의미한다. 과거에 연연하지 말고 미래의 자아에 집중하여 새로운 비전을 세우라,spiritual/career
ICH_SAJU_031,HEX_49,SAJU_SIPSIN_상관,괘십신매핑,hexagram_sipsin,혁괘(革)와 상관의 결합 - 혁명과 변혁의 에너지가 기존 질서 파괴의 기운과 만나 파격적이고 급진적인 변화를 추동한다,기존 업계의 관행을 뒤집는 혁신적 비즈니스를 시작하거나 사회운동에 참여하는 상황. 창조적 파괴가 필요한 시기,상관의 파괴적 에너지가 혁괘의 변혁과 합쳐지면 기존 틀을 완전히 부수고 새로운 것을 만들 수 있다. 단 파괴 후 건설의 비전이 반드시 있어야 한다,career/spiritual
ICH_SAJU_032,HEX_53,SAJU_TS_양,괘운성매핑,hexagram_stage,점괘(漸)와 양의 결합 - 점진적 발전의 에너지가 양육과 성장의 단계와 만나 꾸준하고 안정적인 진보를 이룬다,서서히 실력이 쌓여 전문가로 인정받기 시작하는 상황. 장기적 계획이 조금씩 결실을 맺는 시기,양 시기의 점괘는 급진적 변화보다 꾸준한 노력이 성공의 열쇠라는 메시지이다. 하루하루 성실하게 기초를 다지면 반드시 큰 나무로 성장할 것이다,career/wealth
ICH_SAJU_033,HEX_53,SAJU_SIPSIN_정재,괘십신매핑,hexagram_sipsin,점괘(漸)와 정재의 결합 - 점진적 발전이 안정적 재물 축적과 만나 꾸준한 저축과 투자로 부를 형성하는 건실한 재물운을 형성한다,월급을 꼬박꼬박 모아 자산을 형성하거나 소규모 사업이 안정적으로 성장하는 상황. 부동산 가치가 서서히 상승하는 시기,정재의 안정적 재물운이 점괘의 점진적 발전과 합쳐지면 복리의 마법이 작용한다. 매달 일정 금액을 저축하고 안전한 자산에 분산 투자하라,wealth/career
ICH_SAJU_034,HEX_63,SAJU_TS_제왕,괘운성매핑,hexagram_stage,기제괘(既濟)와 제왕의 결합 - 이미 완성된 에너지가 최고 정점과 만나 인생 최대의 성취와 완성을 경험한다,오랫동안 추진해 온 프로젝트가 대성공을 거두거나 인생의 궁극적 목표를 달성하는 상황. 모든 것이 제자리를 찾은 완벽한 조화의 시기,제왕 시기의 기제괘는 최고의 성취이나 이것이 영원하지 않음을 명심하라. 성공에 취하지 말고 다음 단계를 준비하며 후계자를 양성하라,career/wealth
ICH_SAJU_035,HEX_63,SAJU_SIPSIN_정관,괘십신매핑,hexagram_sipsin,기제괘(既濟)와 정관의 결합 - 완성과 질서의 에너지가 정당한 권위와 만나 이상적인 통치와 완벽한 사회적 인정을 실현한다,공직자나 기업인으로서 사회적으로 최고의 명예와 지위를 획득하는 상황. 모범적 리더로 존경받는 시기,정관의 바른 권위가 기제괘의 완성과 만나면 인생 최고의 영예로운 순간이 도래한다. 그러나 기제 다음은 미제(未濟)임을 기억하고 겸손함을 유지하라,career/relationship/spiritual
