id,source,target,relation,category,harmony_score,description_ko,insight_template
TAROT_ASTRO_018,TM_17,zodiac_aquarius,zodiac_rule,major_arcana_zodiac,0.94,"별(17번)은 물병자리의 희망과 인류애 에너지를 체현합니다. 폭풍이 지난 후 빛나는 별처럼, 물병자리의 보편적 비전과 미래에 대한 희망이 치유의 빛을 발합니다. 개인을 넘어선 집단적 꿈의 실현을 상징합니다.",{name}님의 리딩에서 별 카드는 물병자리의 희망과 비전 에너지와 공명합니다. 어둠 이후 반드시 빛이 옵니다. 희망을 잃지 마세요.
TAROT_ASTRO_019,TM_18,zodiac_pisces,zodiac_rule,major_arcana_zodiac,0.93,"달(18번) 카드는 물고기자리의 몽환적 무의식 에너지를 담고 있습니다. 물고기자리의 경계 없는 상상력과 환상, 두려움과 직관이 달빛 아래 교차하며, 무의식의 깊은 바다에서 올라오는 원초적 감정과 이미지를 보여줍니다.",{name}님의 리딩에서 달 카드는 물고기자리의 무의식 에너지와 연결됩니다. 불확실함 속에서 직관을 신뢰하고 환상과 현실을 분별하세요.
TAROT_ASTRO_020,TM_19,Sun,planetary_rule,major_arcana_planet,0.98,"태양(19번) 카드는 태양의 생명력과 환희 에너지를 가장 순수하게 표현합니다. 모든 그림자를 물리치는 태양의 빛처럼, 명료한 의식과 순수한 기쁨, 생명의 충만함을 상징하며 성공과 활력의 절정을 나타냅니다.",{name}님의 리딩에서 태양 카드는 태양의 찬란한 생명 에너지와 공명합니다. 밝은 의식과 순수한 기쁨의 시기가 도래했습니다.
TAROT_ASTRO_021,TM_20,Pluto,planetary_rule,major_arcana_planet,0.91,"심판(20번)은 명왕성의 근본적 부활과 각성 에너지를 담고 있습니다. 명왕성이 깊은 곳에서 작용하는 변혁의 힘이듯, 이 카드는 과거의 모든 것을 심판하고 영혼을 새로운 차원으로 일으키는 궁극적 각성을 상징합니다.",{name}님의 리딩에서 심판 카드는 명왕성의 부활 에너지와 연결됩니다. 과거를 정리하고 영혼의 본래 목적에 응답할 때입니다.
TAROT_ASTRO_022,TM_21,Saturn,planetary_rule,major_arcana_planet,0.95,"세계(21번)는 토성의 완성과 통달의 에너지를 체현합니다. 토성이 시간을 통한 성숙과 완성을 관장하듯, 이 카드는 긴 여정의 성공적 완료와 모든 경험의 통합, 새로운 순환의 시작을 알리는 우주적 완성을 나타냅니다.",{name}님의 리딩에서 세계 카드는 토성의 완성 에너지와 공명합니다. 하나의 큰 순환이 완료되며 성취와 통합의 시기입니다.
TAROT_ASTRO_023,suit_wands,element_fire,elemental_link,suit_element,0.97,"완드(지팡이) 수트는 불의 원소를 담고 있습니다. 열정과 영감, 의지력과 행동의 에너지가 불의 역동적 힘을 통해 표현되며, 창의적 비전과 모험 정신, 영적 성장의 불꽃을 상징합니다.",{name}님의 리딩에서 완드 카드는 불의 원소와 연결됩니다. 열정과 행동력이 현재 상황의 핵심 에너지입니다.
TAROT_ASTRO_024,suit_wands,zodiac_aries,triplicity,suit_zodiac,0.93,"완드 수트의 양자리 에너지는 불의 개시 단계를 나타냅니다. 새로운 프로젝트의 시작, 용감한 첫 걸음, 독립적 행동의 불꽃이 양자리의 개척 정신과 결합하여 강렬한 추진력을 만들어냅니다.",{name}님의 완드 카드에 양자리의 개척 에너지가 작용합니다. 새로운 시작에 대한 용기와 결단이 빛나는 시기입니다.
TAROT_ASTRO_025,suit_wands,zodiac_leo,triplicity,suit_zodiac,0.94,"완드 수트의 사자자리 에너지는 불의 고정 단계를 나타냅니다. 창조적 자기표현의 절정, 리더십의 발현, 열정적 사랑이 사자자리의 왕성한 생명력과 합쳐져 강력한 존재감을 발산합니다.",{name}님의 완드 카드에 사자자리의 창조적 에너지가 작용합니다. 자신감 있는 자기표현과 리더십이 빛나는 시기입니다.
TAROT_ASTRO_026,suit_wands,zodiac_sagittarius,triplicity,suit_zodiac,0.92,"완드 수트의 사수자리 에너지는 불의 변통 단계를 나타냅니다. 철학적 탐구와 장거리 여행, 고등 교육의 열망이 사수자리의 확장적 비전과 결합하여 지혜를 향한 영적 모험을 이끕니다.",{name}님의 완드 카드에 사수자리의 탐구 에너지가 작용합니다. 더 넓은 세계로 나아가는 모험과 학습의 시기입니다.
TAROT_ASTRO_027,suit_cups,element_water,elemental_link,suit_element,0.97,"컵 수트는 물의 원소를 담고 있습니다. 감정과 직관, 사랑과 관계, 꿈과 무의식의 에너지가 물의 유동적 흐름을 통해 표현되며, 영혼의 깊은 갈망과 감정적 진실을 상징합니다.","{name}님의 리딩에서 컵 카드는 물의 원소와 연결됩니다. 감정과 관계, 직관이 현재 상황의 핵심 에너지입니다."
TAROT_ASTRO_028,suit_cups,zodiac_cancer,triplicity,suit_zodiac,0.94,"컵 수트의 게자리 에너지는 물의 개시 단계를 나타냅니다. 가정과 가족에 대한 깊은 감정, 돌봄과 보호의 본능이 게자리의 모성적 에너지와 결합하여 안전한 감정적 공간을 만들어냅니다.",{name}님의 컵 카드에 게자리의 돌봄 에너지가 작용합니다. 가족과 가까운 사람들과의 감정적 유대가 중요한 시기입니다.
TAROT_ASTRO_029,suit_cups,zodiac_scorpio,triplicity,suit_zodiac,0.91,"컵 수트의 전갈자리 에너지는 물의 고정 단계를 나타냅니다. 깊은 감정적 강렬함과 변환, 성적 에너지와 심리적 통찰이 전갈자리의 탐구적 힘과 결합하여 영혼의 어둠을 조명합니다.",{name}님의 컵 카드에 전갈자리의 심층 에너지가 작용합니다. 감정의 깊은 진실을 직면하고 변환하는 시기입니다.
TAROT_ASTRO_030,suit_cups,zodiac_pisces,triplicity,suit_zodiac,0.93,"컵 수트의 물고기자리 에너지는 물의 변통 단계를 나타냅니다. 보편적 자비와 영적 합일, 예술적 영감과 환상이 물고기자리의 경계 초월 에너지와 결합하여 신비로운 감정적 체험을 선사합니다.",{name}님의 컵 카드에 물고기자리의 영적 에너지가 작용합니다. 직관과 상상력이 높아지는 영감의 시기입니다.
TAROT_ASTRO_031,suit_swords,element_air,elemental_link,suit_element,0.97,"소드(검) 수트는 공기의 원소를 담고 있습니다. 사고와 분석, 소통과 진실, 갈등과 해결의 에너지가 공기의 날카로운 명료함을 통해 표현되며, 정신적 명석함과 진리에 대한 추구를 상징합니다.","{name}님의 리딩에서 소드 카드는 공기의 원소와 연결됩니다. 사고와 소통, 진실이 현재 상황의 핵심 에너지입니다."
TAROT_ASTRO_032,suit_swords,zodiac_gemini,triplicity,suit_zodiac,0.92,"소드 수트의 쌍둥이자리 에너지는 공기의 변통 단계를 나타냅니다. 정보 수집과 커뮤니케이션, 다양한 관점의 탐색이 쌍둥이자리의 지적 민첩성과 결합하여 빠른 사고와 적응력을 발휘합니다.",{name}님의 소드 카드에 쌍둥이자리의 지적 에너지가 작용합니다. 명확한 소통과 빠른 판단이 요구되는 시기입니다.
TAROT_ASTRO_033,suit_swords,zodiac_libra,triplicity,suit_zodiac,0.93,"소드 수트의 천칭자리 에너지는 공기의 개시 단계를 나타냅니다. 공정한 판단과 균형 잡힌 사고, 관계에서의 진실이 천칭자리의 정의 에너지와 결합하여 지혜로운 결정을 이끌어냅니다.",{name}님의 소드 카드에 천칭자리의 공정한 에너지가 작용합니다. 균형 잡힌 시각으로 진실을 바라볼 때입니다.
TAROT_ASTRO_034,suit_swords,zodiac_aquarius,triplicity,suit_zodiac,0.91,"소드 수트의 물병자리 에너지는 공기의 고정 단계를 나타냅니다. 혁신적 사고와 보편적 진리, 사회적 정의에 대한 추구가 물병자리의 진보적 비전과 결합하여 기존 틀을 깨는 통찰을 제공합니다.",{name}님의 소드 카드에 물병자리의 혁신 에너지가 작용합니다. 관습을 넘어선 새로운 사고방식이 돌파구가 됩니다.
TAROT_ASTRO_035,suit_pentacles,element_earth,elemental_link,suit_element,0.97,"펜타클(동전) 수트는 땅의 원소를 담고 있습니다. 물질과 재정, 건강과 직업, 자연과 안정의 에너지가 땅의 견고한 실체를 통해 표현되며, 현실적 성취와 물질적 풍요를 상징합니다.",{name}님의 리딩에서 펜타클 카드는 땅의 원소와 연결됩니다. 물질적 현실과 실용적 문제가 현재 상황의 핵심입니다.
TAROT_ASTRO_036,suit_pentacles,zodiac_taurus,triplicity,suit_zodiac,0.95,"펜타클 수트의 황소자리 에너지는 땅의 고정 단계를 나타냅니다. 물질적 풍요와 감각적 즐거움, 재정적 안정이 황소자리의 견고한 구축력과 결합하여 지속 가능한 풍요를 만들어냅니다.",{name}님의 펜타클 카드에 황소자리의 안정 에너지가 작용합니다. 물질적 기반을 견고히 하고 자원을 축적할 때입니다.
TAROT_ASTRO_037,suit_pentacles,zodiac_virgo,triplicity,suit_zodiac,0.93,"펜타클 수트의 처녀자리 에너지는 땅의 변통 단계를 나타냅니다. 세밀한 작업과 건강 관리, 일상의 효율성이 처녀자리의 분석적 봉사 정신과 결합하여 실질적 개선과 완성을 이끌어냅니다.",{name}님의 펜타클 카드에 처녀자리의 실용 에너지가 작용합니다. 세밀한 계획과 건강 관리에 집중할 때입니다.
TAROT_ASTRO_038,suit_pentacles,zodiac_capricorn,triplicity,suit_zodiac,0.94,"펜타클 수트의 염소자리 에너지는 땅의 개시 단계를 나타냅니다. 직업적 성취와 사회적 지위, 장기적 목표 달성이 염소자리의 전략적 야망과 결합하여 현실 세계에서의 탁월한 성과를 가져옵니다.",{name}님의 펜타클 카드에 염소자리의 성취 에너지가 작용합니다. 장기적 목표를 향한 꾸준한 노력이 결실을 맺을 때입니다.
TAROT_ASTRO_039,TM_wands_king,decan_aries_3,decan_rule,court_decan,0.88,"완드 킹은 양자리 3데칸(화성 지배)의 성숙한 불의 에너지를 체현합니다. 비전과 카리스마로 사람들을 이끄는 지도자로서, 양자리의 개척 정신이 경험과 지혜로 숙성된 완성된 리더십을 나타냅니다.",{name}님의 리딩에서 완드 킹은 양자리 후반의 성숙한 리더십과 공명합니다. 경험에서 우러나온 자신감으로 이끌어가세요.
TAROT_ASTRO_040,TM_cups_queen,decan_cancer_2,decan_rule,court_decan,0.90,"컵 퀸은 게자리 2데칸(명왕성/수성 지배)의 깊은 감정적 지혜를 체현합니다. 직관과 공감 능력의 달인으로서, 게자리의 돌봄 에너지가 깊은 감정적 성숙으로 완성된 모습을 나타냅니다.",{name}님의 리딩에서 컵 퀸은 게자리 중반의 감정적 지혜와 공명합니다. 깊은 직관과 공감 능력을 신뢰하세요.
TAROT_ASTRO_041,TM_swords_knight,decan_gemini_1,decan_rule,court_decan,0.87,"소드 나이트는 쌍둥이자리 1데칸(수성 지배)의 민첩한 지적 에너지를 체현합니다. 빠른 사고와 날카로운 말로 진격하는 전사로서, 쌍둥이자리의 지적 호기심이 행동으로 전환된 역동적 힘을 나타냅니다.",{name}님의 리딩에서 소드 나이트는 쌍둥이자리 전반의 민첩한 에너지와 공명합니다. 빠른 판단과 결단력 있는 소통이 필요합니다.
TAROT_ASTRO_042,TM_pent_page,decan_capricorn_1,decan_rule,court_decan,0.86,"펜타클 페이지는 염소자리 1데칸(토성 지배)의 시작하는 물질적 에너지를 체현합니다. 새로운 기술이나 재정적 기회를 배우는 학생으로서, 염소자리의 성실함으로 물질 세계의 법칙을 터득해 가는 모습을 나타냅니다.",{name}님의 리딩에서 펜타클 페이지는 염소자리 전반의 학습 에너지와 공명합니다. 새로운 기술과 재정 지식을 익힐 때입니다.
TAROT_ASTRO_043,TM_pent_king,decan_virgo_3,decan_rule,court_decan,0.89,"펜타클 킹은 처녀자리 3데칸(금성/수성 지배)의 완성된 물질적 지혜를 체현합니다. 재정적 안정과 실용적 성취의 달인으로서, 처녀자리의 세밀한 관리 능력이 풍요로운 결실로 나타난 최고의 모습입니다.",{name}님의 리딩에서 펜타클 킹은 처녀자리 후반의 풍요 에너지와 공명합니다. 실용적 지혜로 물질적 안정을 완성할 때입니다.
TAROT_ASTRO_044,TM_wands_queen,decan_leo_2,decan_rule,court_decan,0.91,"완드 퀸은 사자자리 2데칸(목성/태양 지배)의 당당한 창조적 에너지를 체현합니다. 따뜻한 카리스마와 자신감으로 빛나는 여왕으로서, 사자자리의 창조적 힘이 성숙한 지혜와 관대함으로 완성된 모습입니다.",{name}님의 리딩에서 완드 퀸은 사자자리 중반의 카리스마 에너지와 공명합니다. 자신감과 따뜻함으로 주변에 영감을 주세요.
TAROT_ASTRO_045,TM_cups_knight,decan_scorpio_1,decan_rule,court_decan,0.88,"컵 나이트는 전갈자리 1데칸(명왕성 지배)의 깊은 감정적 추구 에너지를 체현합니다. 감정의 기사로서 사랑과 이상을 위해 헌신적으로 나아가며, 전갈자리의 강렬한 감정이 행동으로 표현된 로맨틱한 모습입니다.",{name}님의 리딩에서 컵 나이트는 전갈자리 전반의 감정적 에너지와 공명합니다. 깊은 감정을 따라 용감하게 행동할 때입니다.
TAROT_ASTRO_046,TM_wands_page,decan_aries_1,decan_rule,court_decan,0.85,"완드 페이지는 양자리 1데칸(화성 지배)의 순수한 시작의 에너지를 체현합니다. 새로운 모험과 창의적 아이디어에 설레는 젊은 탐험가로서, 양자리의 용감한 첫 불꽃을 상징합니다.",{name}님의 리딩에서 완드 페이지는 양자리 전반의 열정적 시작 에너지와 공명합니다. 새로운 영감과 모험의 기회가 찾아옵니다.
TAROT_ASTRO_047,TM_swords_king,decan_aquarius_3,decan_rule,court_decan,0.89,"소드 킹은 물병자리 3데칸(금성/달 지배)의 성숙한 지적 권위를 체현합니다. 객관적 판단과 공정한 결정을 내리는 지혜의 왕으로서, 물병자리의 보편적 진리에 대한 이해가 완성된 모습을 나타냅니다.",{name}님의 리딩에서 소드 킹은 물병자리 후반의 지적 권위와 공명합니다. 감정을 배제한 명석한 판단이 최선의 결과를 이끕니다.
TAROT_ASTRO_048,TM_pent_queen,decan_taurus_2,decan_rule,court_decan,0.90,"펜타클 퀸은 황소자리 2데칸(수성/달 지배)의 풍요로운 양육 에너지를 체현합니다. 물질적 풍요와 감각적 즐거움을 베푸는 대지의 여신으로서, 황소자리의 풍성한 수확이 사랑으로 나눠지는 모습입니다.",{name}님의 리딩에서 펜타클 퀸은 황소자리 중반의 풍요 에너지와 공명합니다. 물질적 안정 속에서 사랑을 나누는 시기입니다.
TAROT_ASTRO_049,TM_pent_knight,decan_taurus_3,decan_rule,court_decan,0.86,"펜타클 나이트는 황소자리 3데칸(토성 지배)의 꾸준한 노력 에너지를 체현합니다. 느리지만 확실한 진전을 이루는 성실한 일꾼으로서, 황소자리의 인내와 끈기가 행동으로 전환된 모습을 나타냅니다.",{name}님의 리딩에서 펜타클 나이트는 황소자리 후반의 성실 에너지와 공명합니다. 서두르지 말고 꾸준하게 나아가는 것이 최선입니다.
TAROT_ASTRO_050,TM_cups_page,decan_pisces_1,decan_rule,court_decan,0.87,"컵 페이지는 물고기자리 1데칸(해왕성/목성 지배)의 순수한 감정적 시작 에너지를 체현합니다. 새로운 감정적 체험과 직관적 메시지에 열려 있는 어린 몽상가로서, 물고기자리의 신비로운 감수성의 첫 발현입니다.",{name}님의 리딩에서 컵 페이지는 물고기자리 전반의 직관 에너지와 공명합니다. 새로운 감정적 경험과 영적 메시지에 마음을 여세요.
