source,target,relation_type,weight,description
GK_식신생재격,Jupiter,geokguk_planet,0.9,식신생재격과 목성의 공명. 풍요로운 재능이 재물을 생산.
GK_식신생재격,H2,geokguk_house,0.85,식신생재격과 2하우스의 대응. 재능으로 소유와 가치 창출.
GK_상관생재격,Uranus,geokguk_planet,0.8,상관생재격과 천왕성의 공명. 혁신적 재능이 재물을 창출.
GK_상관생재격,Venus,geokguk_planet,0.75,상관생재격과 금성의 공명. 예술적 재능이 아름다운 재물로.
GK_종재격,Jupiter,geokguk_planet,0.95,종재격과 목성의 공명. 재물의 흐름에 완전히 순응.
GK_종재격,H2,geokguk_house,0.9,종재격과 2하우스의 대응. 재물 영역에 완전히 몰입.
GK_종재격,H8,geokguk_house,0.85,종재격과 8하우스의 대응. 타인의 재물과 투자에서 성공.
GK_종관격,Saturn,geokguk_planet,0.95,종관격과 토성의 공명. 권위와 책임에 완전히 순응.
GK_종관격,H10,geokguk_house,0.95,종관격과 10하우스의 대응. 사회적 지위에 완전히 헌신.
GK_종아격,Mercury,geokguk_planet,0.9,종아격과 수성의 공명. 표현과 소통에 완전히 몰입.
GK_종아격,H3,geokguk_house,0.85,종아격과 3하우스의 대응. 소통과 학습에 완전한 헌신.
GK_종강격,Sun,geokguk_planet,0.9,종강격과 태양의 공명. 자아의 강함에 완전히 의지.
GK_종강격,H1,geokguk_house,0.9,종강격과 1하우스의 대응. 자아 정체성의 극대화.
OHAENG_목,Aries,ohaeng_sign,0.8,"목(木) 오행과 양자리의 대응. 새 시작, 성장, 전진의 에너지."
OHAENG_목,Sagittarius,ohaeng_sign,0.7,"목(木) 오행과 사수자리의 대응. 확장, 성장, 철학적 탐구."
OHAENG_화,Leo,ohaeng_sign,0.9,"화(火) 오행과 사자자리의 대응. 빛, 열정, 중심 에너지."
OHAENG_화,Aries,ohaeng_sign,0.75,화(火) 오행과 양자리의 대응. 불 같은 추진력과 열정.
OHAENG_토,Taurus,ohaeng_sign,0.85,"토(土) 오행과 황소자리의 대응. 안정, 소유, 실체적 가치."
OHAENG_토,Virgo,ohaeng_sign,0.8,토(土) 오행과 처녀자리의 대응. 실용적 분석과 봉사.
OHAENG_토,Capricorn,ohaeng_sign,0.85,"토(土) 오행과 염소자리의 대응. 구조, 책임, 사회적 성취."
OHAENG_금,Libra,ohaeng_sign,0.85,"금(金) 오행과 천칭자리의 대응. 조화, 균형, 아름다움."
OHAENG_금,Aquarius,ohaeng_sign,0.7,금(金) 오행과 물병자리의 대응. 독립적 사고와 개혁.
OHAENG_수,Cancer,ohaeng_sign,0.85,"수(水) 오행과 게자리의 대응. 감정, 모성, 보호본능."
OHAENG_수,Scorpio,ohaeng_sign,0.9,"수(水) 오행과 전갈자리의 대응. 깊은 감정, 변환, 재생."
OHAENG_수,Pisces,ohaeng_sign,0.85,"수(水) 오행과 물고기자리의 대응. 영성, 직관, 무의식."
SIPSIN_비겁,Sun,sipsin_planet,0.9,"비겁(비견/겁재)과 태양의 대응. 자아, 정체성, 독립심."
SIPSIN_비겁,Mars,sipsin_planet,0.8,"비겁과 화성의 대응. 경쟁, 추진력, 자기 주장."
SIPSIN_식상,Mercury,sipsin_planet,0.85,"식상(식신/상관)과 수성의 대응. 표현, 소통, 재능."
SIPSIN_식상,Venus,sipsin_planet,0.75,"식상과 금성의 대응. 예술적 표현, 아름다움 창조."
SIPSIN_재성,Venus,sipsin_planet,0.9,"재성(편재/정재)과 금성의 대응. 재물, 가치, 소유."
SIPSIN_재성,Jupiter,sipsin_planet,0.8,"재성과 목성의 대응. 확장적 재물 운, 풍요."
SIPSIN_관성,Saturn,sipsin_planet,0.9,"관성(편관/정관)과 토성의 대응. 권위, 책임, 사회적 지위."
SIPSIN_관성,Pluto,sipsin_planet,0.75,"관성과 명왕성의 대응. 권력의 심층, 변환적 권위."
SIPSIN_인성,Moon,sipsin_planet,0.85,"인성(편인/정인)과 달의 대응. 모성, 양육, 감성적 지혜."
SIPSIN_인성,Neptune,sipsin_planet,0.8,"인성과 해왕성의 대응. 영적 지혜, 직관, 초월."
CHEONGAN_갑목,Aries,cheongan_sign,0.85,"갑목(甲木)과 양자리의 대응. 새 시작의 리더, 전진하는 나무."
CHEONGAN_을목,Taurus,cheongan_sign,0.7,"을목(乙木)과 황소자리의 대응. 유연한 성장, 감각적 자연."
CHEONGAN_병화,Leo,cheongan_sign,0.9,"병화(丙火)와 사자자리의 대응. 빛나는 태양, 중심 에너지."
CHEONGAN_정화,Virgo,cheongan_sign,0.7,"정화(丁火)와 처녀자리의 대응. 세심한 불꽃, 정교한 밝음."
CHEONGAN_무토,Capricorn,cheongan_sign,0.8,"무토(戊土)와 염소자리의 대응. 거대한 산, 사회적 구조."
CHEONGAN_기토,Virgo,cheongan_sign,0.8,"기토(己土)와 처녀자리의 대응. 비옥한 밭, 실용적 봉사."
CHEONGAN_경금,Libra,cheongan_sign,0.75,"경금(庚金)과 천칭자리의 대응. 날카로운 결단, 균형 잡힌 정의."
CHEONGAN_신금,Gemini,cheongan_sign,0.7,"신금(辛金)과 쌍둥이자리의 대응. 섬세한 보석, 다면적 소통."
CHEONGAN_임수,Aquarius,cheongan_sign,0.8,"임수(壬水)와 물병자리의 대응. 큰 물의 흐름, 혁신적 사고."
CHEONGAN_계수,Pisces,cheongan_sign,0.85,"계수(癸水)와 물고기자리의 대응. 비와 안개, 영적 직관."
BR_자,Moon,jiji_planet,0.85,"자(子)지지와 달의 대응. 밤, 물, 감정의 깊이."
BR_축,Saturn,jiji_planet,0.8,"축(丑)지지와 토성의 대응. 겨울 끝, 축적, 인내."
BR_인,Jupiter,jiji_planet,0.85,"인(寅)지지와 목성의 대응. 새벽, 호랑이, 확장."
BR_묘,Venus,jiji_planet,0.75,"묘(卯)지지와 금성의 대응. 봄, 토끼, 조화로운 시작."
BR_진,Mars,jiji_planet,0.8,"진(辰)지지와 화성의 대응. 용, 변환, 역동적 에너지."
BR_사,Mars,jiji_planet,0.85,"사(巳)지지와 화성의 대응. 뱀, 화기, 변환의 지혜."
BR_오,Sun,jiji_planet,0.9,"오(午)지지와 태양의 대응. 정오, 말, 최고조의 빛."
BR_미,Saturn,jiji_planet,0.7,"미(未)지지와 토성의 대응. 여름 끝, 양, 축적."
BR_신,Venus,jiji_planet,0.8,"신(申)지지와 금성의 대응. 가을, 원숭이, 수확의 시작."
BR_유,Venus,jiji_planet,0.85,"유(酉)지지와 금성의 대응. 저녁, 닭, 수확과 정리."
BR_술,Mars,jiji_planet,0.75,"술(戌)지지와 화성의 대응. 가을 끝, 개, 보호본능."
BR_해,Jupiter,jiji_planet,0.8,"해(亥)지지와 목성의 대응. 겨울, 돼지, 잠재력 축적."
