id,saju_id,astro_id,mapping_type,confidence,rationale,evidence_source,enabled,status,version,updated_at
XW_bd153048ff73,GK_식신격,H5,geokguk_house,0.80,"식신격과 5하우스의 대응. 창조적 표현, 자녀, 즐거움의 영역.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:17,true,active,1.0.0,2026-02-11
XW_9edda3ee9c35,GK_식신격,Jupiter,geokguk_planet,0.90,식신격과 목성의 공명. 둘 다 풍요/확장/지혜를 상징. 식신격인 사람의 출생차트에 목성이 강하면 복합적 행운.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:2,true,active,1.0.0,2026-02-11
XW_4ac035bce6f5,GK_식신생재격,H2,geokguk_house,0.85,식신생재격과 2하우스의 대응. 재능으로 소유와 가치 창출.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:44,true,active,1.0.0,2026-02-11
XW_84147b97de48,GK_식신생재격,Jupiter,geokguk_planet,0.90,식신생재격과 목성의 공명. 풍요로운 재능이 재물을 생산.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:43,true,active,1.0.0,2026-02-11
XW_f91dddb57a01,GK_식신제살격,H6,geokguk_house,0.80,식신제살격과 6하우스의 대응. 봉사와 치유를 통한 권력 통제.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:30,true,active,1.0.0,2026-02-11
XW_195f53048a38,GK_식신제살격,Jupiter,geokguk_planet,0.95,식신제살격과 목성의 공명. 지혜로 위협을 제어하고 복으로 변환.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:29,true,active,1.0.0,2026-02-11
XW_8279be1ed1a2,GK_양인격,H8,geokguk_house,0.80,"양인격과 8하우스의 대응. 죽음과 재생, 극단적 변환의 영역.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:28,true,active,1.0.0,2026-02-11
XW_2445a96d5801,GK_양인격,Mars,geokguk_planet,0.90,양인격과 화성의 공명. 극도의 공격성과 전투적 에너지.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:15,true,active,1.0.0,2026-02-11
XW_61c6e87c8ec2,GK_양인격,Pluto,geokguk_planet,0.80,양인격과 명왕성의 공명. 파괴와 재건의 극단적 에너지.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:16,true,active,1.0.0,2026-02-11
XW_0ce596ba417c,GK_재관쌍미격,Saturn,geokguk_planet,0.80,재관쌍미격과 토성의 공명. 안정적 구조 위에 아름다운 성취.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:42,true,active,1.0.0,2026-02-11
XW_942d777c22a9,GK_재관쌍미격,Venus,geokguk_planet,0.85,재관쌍미격과 금성의 공명. 아름다운 조화로 재물과 권위 획득.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:41,true,active,1.0.0,2026-02-11
XW_6fef242101c0,GK_재자살인격,H7,geokguk_house,0.75,재자살인격과 7하우스의 대응. 파트너십을 통한 권력 획득.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:36,true,active,1.0.0,2026-02-11
XW_10956e986c38,GK_재자살인격,Venus,geokguk_planet,0.85,재자살인격과 금성의 공명. 재물로 권력을 얻는 조화로운 에너지.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:35,true,active,1.0.0,2026-02-11
XW_850c3dd6428a,GK_정관격,H10,geokguk_house,0.90,정관격과 10하우스의 대응. 명예로운 사회적 직위.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:23,true,active,1.0.0,2026-02-11
XW_3e990e4ed79b,GK_정관격,Saturn,geokguk_planet,0.90,"정관격과 토성의 공명. 사회적 질서, 규범, 책임과 권위.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:8,true,active,1.0.0,2026-02-11
XW_6c4514494f11,GK_정인격,H9,geokguk_house,0.80,"정인격과 9하우스의 대응. 고등교육, 철학, 해외.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:25,true,active,1.0.0,2026-02-11
XW_2f5e7162f3ce,GK_정인격,Mercury,geokguk_planet,0.80,"정인격과 수성의 공명. 학문적 재능, 문서/계약, 지적 소통.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:13,true,active,1.0.0,2026-02-11
XW_776a1f1639da,GK_정인격,Moon,geokguk_planet,0.90,"정인격과 달의 공명. 모성적 돌봄, 학문, 감성적 지혜.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:12,true,active,1.0.0,2026-02-11
XW_71dc5f819301,GK_정재격,H2,geokguk_house,0.90,정재격과 2하우스의 대응. 안정적 수입과 소유.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:21,true,active,1.0.0,2026-02-11
XW_1eb202b448cd,GK_정재격,Saturn,geokguk_planet,0.80,정재격과 토성의 공명. 안정적 축적과 체계적 재물 관리.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:5,true,active,1.0.0,2026-02-11
XW_1e4ce5d71419,GK_종강격,H1,geokguk_house,0.90,종강격과 1하우스의 대응. 자아 정체성의 극대화.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:55,true,active,1.0.0,2026-02-11
XW_d06c2813ee08,GK_종강격,Sun,geokguk_planet,0.90,종강격과 태양의 공명. 자아의 강함에 완전히 의지.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:54,true,active,1.0.0,2026-02-11
XW_beb37e02c71a,GK_종관격,H10,geokguk_house,0.95,종관격과 10하우스의 대응. 사회적 지위에 완전히 헌신.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:51,true,active,1.0.0,2026-02-11
XW_d374bb1d529f,GK_종관격,Saturn,geokguk_planet,0.95,종관격과 토성의 공명. 권위와 책임에 완전히 순응.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:50,true,active,1.0.0,2026-02-11
XW_283e8d9295be,GK_종아격,H3,geokguk_house,0.85,종아격과 3하우스의 대응. 소통과 학습에 완전한 헌신.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:53,true,active,1.0.0,2026-02-11
XW_d57299ca936d,GK_종아격,Mercury,geokguk_planet,0.90,종아격과 수성의 공명. 표현과 소통에 완전히 몰입.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:52,true,active,1.0.0,2026-02-11
XW_17918399cfe9,GK_종재격,H2,geokguk_house,0.90,종재격과 2하우스의 대응. 재물 영역에 완전히 몰입.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:48,true,active,1.0.0,2026-02-11
XW_63f666e02929,GK_종재격,H8,geokguk_house,0.85,종재격과 8하우스의 대응. 타인의 재물과 투자에서 성공.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:49,true,active,1.0.0,2026-02-11
XW_aa65e2613935,GK_종재격,Jupiter,geokguk_planet,0.95,종재격과 목성의 공명. 재물의 흐름에 완전히 순응.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:47,true,active,1.0.0,2026-02-11
XW_171363472a51,GK_편관격,H10,geokguk_house,0.80,편관격과 10하우스의 대응. 사회적 지위와 권력.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:22,true,active,1.0.0,2026-02-11
XW_46a18e5bca31,GK_편관격,Mars,geokguk_planet,0.90,편관(칠살)격과 화성의 공명. 전투적 에너지와 강한 추진력.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:6,true,active,1.0.0,2026-02-11
XW_273c68a7cd64,GK_편관격,Pluto,geokguk_planet,0.80,편관격과 명왕성의 공명. 극적 변환과 권력의 심층 에너지.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:7,true,active,1.0.0,2026-02-11
XW_3de3c6677051,GK_편인격,H12,geokguk_house,0.80,"편인격과 12하우스의 대응. 무의식, 영성, 숨겨진 세계.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:24,true,active,1.0.0,2026-02-11
XW_f2ba0f81fe9c,GK_편인격,Neptune,geokguk_planet,0.90,"편인격과 해왕성의 공명. 직관적 사고, 영적 세계, 신비로운 지혜.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:10,true,active,1.0.0,2026-02-11
XW_bcbafaac05a6,GK_편재격,H2,geokguk_house,0.80,"편재격과 2하우스의 대응. 재물과 소유, 가치의 영역.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:19,true,active,1.0.0,2026-02-11
XW_533400ae3667,GK_편재격,Jupiter,geokguk_planet,0.80,편재격과 목성의 공명. 큰 재물의 흐름과 확장적 사업 수완.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:4,true,active,1.0.0,2026-02-11
XW_01b584b0f800,OHAENG_금,Libra,ohaeng_sign,0.85,"금(金) 오행과 천칭자리의 대응. 조화, 균형, 아름다움.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:63,true,active,1.0.0,2026-02-11
XW_2064a7a8094c,OHAENG_목,Aries,ohaeng_sign,0.80,"목(木) 오행과 양자리의 대응. 새 시작, 성장, 전진의 에너지.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:56,true,active,1.0.0,2026-02-11
XW_0fcbd60c9060,OHAENG_수,Cancer,ohaeng_sign,0.85,"수(水) 오행과 게자리의 대응. 감정, 모성, 보호본능.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:65,true,active,1.0.0,2026-02-11
XW_b263bef14f1c,OHAENG_수,Pisces,ohaeng_sign,0.85,"수(水) 오행과 물고기자리의 대응. 영성, 직관, 무의식.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:67,true,active,1.0.0,2026-02-11
XW_deef56399508,OHAENG_수,Scorpio,ohaeng_sign,0.90,"수(水) 오행과 전갈자리의 대응. 깊은 감정, 변환, 재생.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:66,true,active,1.0.0,2026-02-11
XW_72cd79108c53,OHAENG_토,Capricorn,ohaeng_sign,0.85,"토(土) 오행과 염소자리의 대응. 구조, 책임, 사회적 성취.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:62,true,active,1.0.0,2026-02-11
XW_9105df8960e7,OHAENG_토,Taurus,ohaeng_sign,0.85,"토(土) 오행과 황소자리의 대응. 안정, 소유, 실체적 가치.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:60,true,active,1.0.0,2026-02-11
XW_198f8c5ca29d,OHAENG_토,Virgo,ohaeng_sign,0.80,토(土) 오행과 처녀자리의 대응. 실용적 분석과 봉사.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:61,true,active,1.0.0,2026-02-11
XW_dd1d843598eb,OHAENG_화,Aries,ohaeng_sign,0.75,화(火) 오행과 양자리의 대응. 불 같은 추진력과 열정.,C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:59,true,active,1.0.0,2026-02-11
XW_341caca0f4df,OHAENG_화,Leo,ohaeng_sign,0.90,"화(火) 오행과 사자자리의 대응. 빛, 열정, 중심 에너지.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:58,true,active,1.0.0,2026-02-11
XW_9b09b63d2975,SIPSIN_관성,Pluto,sipsin_planet,0.75,"관성과 명왕성의 대응. 권력의 심층, 변환적 권위.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:75,true,active,1.0.0,2026-02-11
XW_1518ac31d903,SIPSIN_관성,Saturn,sipsin_planet,0.90,"관성(편관/정관)과 토성의 대응. 권위, 책임, 사회적 지위.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:74,true,active,1.0.0,2026-02-11
XW_9b1708b1c9f6,SIPSIN_비겁,Mars,sipsin_planet,0.80,"비겁과 화성의 대응. 경쟁, 추진력, 자기 주장.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:69,true,active,1.0.0,2026-02-11
XW_aa56ca766ed8,SIPSIN_비겁,Sun,sipsin_planet,0.90,"비겁(비견/겁재)과 태양의 대응. 자아, 정체성, 독립심.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:68,true,active,1.0.0,2026-02-11
XW_25fae6728b57,SIPSIN_식상,Mercury,sipsin_planet,0.85,"식상(식신/상관)과 수성의 대응. 표현, 소통, 재능.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:70,true,active,1.0.0,2026-02-11
XW_735c5ff08965,SIPSIN_식상,Venus,sipsin_planet,0.75,"식상과 금성의 대응. 예술적 표현, 아름다움 창조.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:71,true,active,1.0.0,2026-02-11
XW_354cd45265be,SIPSIN_인성,Moon,sipsin_planet,0.85,"인성(편인/정인)과 달의 대응. 모성, 양육, 감성적 지혜.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:76,true,active,1.0.0,2026-02-11
XW_a4ab04268f2b,SIPSIN_인성,Neptune,sipsin_planet,0.80,"인성과 해왕성의 대응. 영적 지혜, 직관, 초월.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:77,true,active,1.0.0,2026-02-11
XW_9a98770bff15,SIPSIN_재성,Jupiter,sipsin_planet,0.80,"재성과 목성의 대응. 확장적 재물 운, 풍요.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:73,true,active,1.0.0,2026-02-11
XW_9c4dbbf770f9,SIPSIN_재성,Venus,sipsin_planet,0.90,"재성(편재/정재)과 금성의 대응. 재물, 가치, 소유.",C:/Users/pjyrh/Desktop/saju-astro-chat-backup-latest/backend_ai/data/graph/fusion/edges_geokguk_astro.csv:72,true,active,1.0.0,2026-02-11
