source,target,relation_type,weight,description
DS_원숭이,OH_금,dream_saju_element,0.85,원숭이는 신(申)금과 직접 연결. 금(金) 에너지의 시작. 지혜와 변화의 상징.
DS_닭,OH_금,dream_saju_element,0.9,닭은 유(酉)금과 직접 연결. 금(金) 에너지의 왕지. 결단과 새벽(시작)의 상징.
DS_개,OH_토,dream_saju_element,0.7,개는 술(戌)토와 직접 연결. 토(土) 에너지의 마무리. 충성과 보호의 상징.
DS_토끼,OH_목,dream_saju_element,0.85,토끼는 묘(卯)목과 직접 연결. 목(木) 에너지의 왕지. 생명력과 다산의 상징.
DS_쥐,OH_수,dream_saju_element,0.85,쥐는 자(子)수와 직접 연결. 수(水) 에너지의 왕지. 지혜와 새 시작의 상징.
DS_거북,OH_수,dream_saju_element,0.75,거북은 북방 현무의 상징. 수(水) 에너지와 장수/지혜의 연결.
DS_봉황,OH_화,dream_saju_element,0.95,봉황은 남방 주작의 상징. 화(火) 에너지의 최고 형태. 재생과 부활.
DS_백호,OH_금,dream_saju_element,0.95,백호는 서방의 상징. 금(金) 에너지의 최고 형태. 권위와 보호.
DS_청룡,OH_목,dream_saju_element,0.95,청룡은 동방의 상징. 목(木) 에너지의 최고 형태. 성장과 창조.
DS_현무,OH_수,dream_saju_element,0.95,현무는 북방의 상징. 수(水) 에너지의 최고 형태. 지혜와 장수.
DS_죽은사람,TS_사,dream_stage,0.9,죽은 사람 꿈과 사(死)단계 연결. 끝과 시작의 경계. 조상의 메시지.
DS_노인,TS_쇠,dream_stage,0.85,노인 꿈과 쇠(衰)단계 연결. 원숙함과 지혜. 경험의 결정화.
DS_어린이,TS_태,dream_stage,0.9,어린이 꿈과 태(胎)단계 연결. 새 가능성의 잉태. 희망의 씨앗.
DS_젊은사람,TS_관대,dream_stage,0.8,젊은이 꿈과 관대(冠帶)단계 연결. 성장과 야망. 사회적 진출.
DS_결혼,TS_왕지,dream_stage,0.85,결혼 꿈과 왕지(帝旺)단계 연결. 결합과 완성. 에너지의 정점.
DS_이별,TS_병,dream_stage,0.8,이별 꿈과 병(病)단계 연결. 약화와 분리. 내면 성찰의 시기.
DS_시험,TS_목욕,dream_stage,0.75,시험 꿈과 목욕(沐浴)단계 연결. 정화와 시험. 성장통의 시기.
DS_집,SS_정재,dream_shinsal,0.8,집 꿈과 정재의 연결. 안정과 재물. 가정과 물질적 기반.
DS_workplace,SS_정관,dream_shinsal,0.85,직장/회사 꿈과 정관의 연결. 사회적 역할과 책임. 직업과 지위.
DS_부모,SS_인성,dream_shinsal,0.9,부모 꿈과 인성(정인/편인)의 연결. 양육과 지혜. 보호와 교육.
DS_자녀,SS_식상,dream_shinsal,0.9,자녀 꿈과 식상(식신/상관)의 연결. 창조와 표현. 다음 세대.
DS_형제,SS_비겁,dream_shinsal,0.85,형제 꿈과 비겁(비견/겁재)의 연결. 경쟁과 협력. 동등한 관계.
DS_배우자,SS_재관,dream_shinsal,0.9,배우자 꿈과 재성/관성의 연결. 파트너십과 결합. 음양의 조화.
DS_도망,SS_역마살,dream_shinsal,0.8,도망 꿈과 역마살의 연결. 이동과 변화의 욕구. 현재에서 벗어나고 싶음.
DS_쫓김,SS_칠살,dream_shinsal,0.85,쫓기는 꿈과 칠살(편관)의 연결. 압박과 위협. 그림자와의 대면.
DS_싸움,SS_상관,dream_shinsal,0.8,싸움 꿈과 상관의 연결. 갈등과 저항. 권위에 대한 도전.
DS_물에빠짐,OH_수,dream_saju_element,0.9,물에 빠지는 꿈과 수(水) 과다의 연결. 감정에 압도됨. 수 기운 관리 필요.
DS_불에탐,OH_화,dream_saju_element,0.9,불에 타는 꿈과 화(火) 과다의 연결. 열정에 소진됨. 화 기운 조절 필요.
DS_땅에묻힘,OH_토,dream_saju_element,0.85,땅에 묻히는 꿈과 토(土) 과다의 연결. 안정에 갇힘. 변화 필요.
DS_하늘날기,OH_목,dream_saju_element,0.8,하늘 나는 꿈과 목(木) 상승의 연결. 성장과 확장. 제약에서 벗어남.
DS_금은보화,OH_금,dream_saju_element,0.9,금은보화 꿈과 금(金) 에너지의 연결. 결실과 수확. 가치 있는 것의 발견.
DS_공포,SS_공망,dream_shinsal,0.85,공포 꿈과 공망의 연결. 비어있는 곳에서 오는 두려움. 채워야 할 부분 직면.
DS_기쁨,SS_천희성,dream_shinsal,0.9,기쁨 꿈과 천희성의 연결. 좋은 소식과 경사의 전조.
DS_고독,SS_고신살,dream_shinsal,0.9,고독 꿈과 고신살의 연결. 혼자만의 시간 필요. 내면 탐색 시기.
DS_비밀발각,SS_도화살,dream_shinsal,0.75,비밀 발각 꿈과 도화살의 연결. 숨겨진 관계나 감정의 노출 우려.
DS_여행,SS_역마살,dream_shinsal,0.95,여행 꿈과 역마살의 연결. 이동과 변화의 시기. 새로운 경험 예고.
DS_학교,SS_정인,dream_shinsal,0.85,학교 꿈과 정인의 연결. 배움과 성장. 지적 발전 시기.
DS_병원,SS_천의성,dream_shinsal,0.9,병원 꿈과 천의성의 연결. 건강 관심 필요. 치유의 시기.
DS_법정,SS_정관,dream_shinsal,0.85,법정/재판 꿈과 정관의 연결. 판단과 평가. 공정함에 대한 관심.
DS_감옥,SS_편관,dream_shinsal,0.9,감옥 꿈과 편관의 연결. 제약과 억압. 자유에 대한 갈망.
DS_무덤,TS_묘,dream_stage,0.95,무덤 꿈과 묘(墓)단계 연결. 저장과 숨김. 잠재력의 축적.
DS_아기,TS_양,dream_stage,0.9,출산 꿈과 양(養)단계 연결. 성장하는 가능성. 아직 어리지만 자라는 중.
DS_졸업,TS_임관,dream_stage,0.85,졸업 꿈과 임관단계 연결. 한 단계 완성. 새로운 역할 시작.
DS_퇴직,TS_쇠,dream_stage,0.8,퇴직 꿈과 쇠(衰)단계 연결. 한 역할의 끝. 다음 단계 준비.
