source,target,relation_type,weight,description
NUM_22,Saturn,numerology_astro,0.9,"마스터넘버 22는 토성과 연결. 마스터 빌더, 구조화된 비전."
NUM_22,Uranus,numerology_astro,0.8,마스터넘버 22는 천왕성과도 연결. 혁신적 구현.
NUM_22,Capricorn,numerology_astro_sign,0.8,마스터넘버 22는 염소자리와 연결. 대규모 성취.
NUM_22,Taurus,numerology_astro_sign,0.8,"마스터넘버 22는 황소자리와도 연결. 물질화, 구현."
NUM_33,TM_12,numerology_tarot,0.8,"마스터넘버 33은 매달린 남자 카드와 연결. 희생, 헌신, 고차원 사랑."
NUM_33,TM_17,numerology_tarot,0.9,"마스터넘버 33은 별 카드와도 연결. 희망, 영감, 치유."
NUM_33,Neptune,numerology_astro,0.9,"마스터넘버 33은 해왕성과 연결. 마스터 티처, 무조건적 사랑."
NUM_33,Jupiter,numerology_astro,0.8,"마스터넘버 33은 목성과도 연결. 확장, 가르침."
NUM_33,Pisces,numerology_astro_sign,0.9,"마스터넘버 33은 물고기자리와 연결. 희생적 사랑, 영성."
TM_01,Mercury,tarot_astro,0.9,"마법사 카드는 수성과 연결. 소통, 지성, 기술, 의지."
TM_02,Moon,tarot_astro,0.9,"여사제 카드는 달과 연결. 직관, 신비, 무의식."
TM_03,Venus,tarot_astro,0.9,"여황제 카드는 금성과 연결. 풍요, 사랑, 창조."
TM_04,Aries,tarot_astro,0.9,"황제 카드는 양자리와 연결. 권위, 리더십, 구조."
TM_05,Taurus,tarot_astro,0.9,"교황 카드는 황소자리와 연결. 전통, 가르침, 안정."
TM_06,Gemini,tarot_astro,0.9,"연인 카드는 쌍둥이자리와 연결. 선택, 이중성, 관계."
TM_07,Cancer,tarot_astro,0.9,"전차 카드는 게자리와 연결. 보호, 전진, 감정의 승리."
TM_08,Leo,tarot_astro,0.9,"힘 카드는 사자자리와 연결. 용기, 힘, 자기 통제."
TM_09,Virgo,tarot_astro,0.9,"은둔자 카드는 처녀자리와 연결. 분석, 내면 탐구, 지혜."
TM_10,Jupiter,tarot_astro,0.9,"운명의 수레바퀴 카드는 목성과 연결. 확장, 행운, 순환."
TM_11,Libra,tarot_astro,0.9,"정의 카드는 천칭자리와 연결. 균형, 공정, 카르마."
TM_12,Neptune,tarot_astro,0.9,"매달린 남자 카드는 해왕성과 연결. 희생, 새로운 관점."
TM_13,Scorpio,tarot_astro,0.9,"죽음 카드는 전갈자리와 연결. 변환, 끝과 시작, 재생."
TM_14,Sagittarius,tarot_astro,0.9,"절제 카드는 사수자리와 연결. 균형, 통합, 여정."
TM_15,Capricorn,tarot_astro,0.9,"악마 카드는 염소자리와 연결. 물질, 속박, 그림자."
TM_16,Mars,tarot_astro,0.9,"탑 카드는 화성과 연결. 파괴, 각성, 해방."
TM_17,Aquarius,tarot_astro,0.9,"별 카드는 물병자리와 연결. 희망, 영감, 인도주의."
TM_18,Pisces,tarot_astro,0.9,"달 카드는 물고기자리와 연결. 환상, 직관, 무의식."
TM_19,Sun,tarot_astro,0.9,"태양 카드는 태양과 연결. 성공, 활력, 기쁨."
TM_20,Pluto,tarot_astro,0.9,"심판 카드는 명왕성과 연결. 부활, 각성, 변환."
TM_21,Saturn,tarot_astro,0.9,"세계 카드는 토성과 연결. 완성, 성취, 통합."
TM_00,Uranus,tarot_astro,0.9,"바보 카드는 천왕성과 연결. 자유, 새로운 시작, 무한 가능성."
TM_wands_ace,Aries,tarot_astro_minor,0.8,"완드 에이스는 양자리와 연결. 불의 시작, 영감, 새로운 에너지."
TM_cups_ace,Cancer,tarot_astro_minor,0.8,"컵 에이스는 게자리와 연결. 물의 시작, 감정, 새로운 관계."
TM_swords_ace,Libra,tarot_astro_minor,0.8,"소드 에이스는 천칭자리와 연결. 공기의 시작, 명확성, 새로운 아이디어."
TM_pent_ace,Capricorn,tarot_astro_minor,0.8,"펜타클 에이스는 염소자리와 연결. 흙의 시작, 물질, 새로운 기회."
suit_wands,OH_화,tarot_saju_element,0.9,"완드 슈트는 화(火) 오행과 연결. 열정, 의지, 행동."
suit_cups,OH_수,tarot_saju_element,0.9,"컵 슈트는 수(水) 오행과 연결. 감정, 직관, 관계."
suit_swords,OH_금,tarot_saju_element,0.8,"소드 슈트는 금(金) 오행과 연결. 사고, 분석, 결단."
suit_pentacles,OH_토,tarot_saju_element,0.9,"펜타클 슈트는 토(土) 오행과 연결. 물질, 안정, 현실."
NUM_1,OH_목,numerology_saju,0.8,"생명수 1은 목(木) 오행과 연결. 시작, 성장, 리더십."
NUM_2,OH_수,numerology_saju,0.8,"생명수 2는 수(水) 오행과 연결. 지혜, 유연성, 적응."
NUM_3,OH_목,numerology_saju,0.8,"생명수 3은 목(木) 오행과 연결. 성장, 표현, 창조."
NUM_4,OH_토,numerology_saju,0.9,"생명수 4는 토(土) 오행과 연결. 안정, 구조, 기반."
NUM_5,OH_금,numerology_saju,0.7,"생명수 5는 금(金) 오행과 연결. 변화, 자유, 소통."
NUM_6,OH_토,numerology_saju,0.8,"생명수 6은 토(土) 오행과 연결. 조화, 책임, 가정."
NUM_7,OH_수,numerology_saju,0.9,"생명수 7은 수(水) 오행과 연결. 지혜, 영성, 내면 탐구."
NUM_8,OH_금,numerology_saju,0.9,"생명수 8은 금(金) 오행과 연결. 성취, 권력, 물질."
NUM_9,OH_화,numerology_saju,0.8,"생명수 9는 화(火) 오행과 연결. 완성, 열정, 봉사."
