id,source,target,relation,category,description_ko
DREAM_FUSE_011,dream_theme_transformation,iching_hex_49_hyeok,주제매핑,dream_iching,"변신과 변화가 주제인 꿈은 주역 제49괘 혁괘(革卦)와 공명합니다. 혁괘가 근본적 변혁과 혁명의 에너지를 담고 있듯, 변신의 꿈은 정체성의 근본적 전환이 진행 중임을 나타냅니다. 낡은 질서를 뒤엎고 새로운 존재로 거듭나야 할 시점이며, 변화를 두려워하지 말라는 우주의 강력한 메시지입니다."
DREAM_FUSE_012,dream_theme_mountain,iching_hex_52_gan,주제매핑,dream_iching,"산이 주제인 꿈은 주역 제52괘 간괘(艮卦)와 공명합니다. 간괘가 멈춤과 고요함, 명상의 지혜를 가르치듯, 산의 꿈은 내면의 고요함을 찾고 멈추어야 할 때가 왔음을 알립니다. 정상에 오르는 꿈은 성취와 관조의 관점을, 오르지 못하는 꿈은 현재 극복해야 할 장애물의 크기를 나타냅니다."
DREAM_FUSE_013,dream_theme_thunder,iching_hex_51_jin,주제매핑,dream_iching,"천둥과 번개가 주제인 꿈은 주역 제51괘 진괘(震卦)와 공명합니다. 진괘가 충격적 각성과 새로운 시작의 진동을 상징하듯, 번개의 꿈은 갑작스러운 깨달음이나 충격적 사건을 통한 의식의 전환을 예고합니다. 두려움 속에 숨겨진 각성의 에너지이며, 안일함에서 벗어나게 하는 우주의 알람입니다."
DREAM_FUSE_014,dream_theme_flood,iching_hex_29_gam,주제매핑,dream_iching,"홍수가 주제인 꿈은 주역 제29괘 감괘(坎卦)와 공명합니다. 감괘가 거듭되는 위험과 물의 시련을 상징하듯, 홍수의 꿈은 감정의 범람과 통제 불가능한 상황에 대한 압도적 두려움을 나타냅니다. 물이 낮은 곳을 찾아 흐르듯 위험 속에서도 중심을 잃지 않는 유연한 지혜가 필요합니다."
DREAM_FUSE_015,dream_theme_wind,iching_hex_57_son,주제매핑,dream_iching,"바람이 주제인 꿈은 주역 제57괘 손괘(巽卦)와 공명합니다. 손괘가 부드럽게 스며드는 바람의 침투력과 순응의 지혜를 상징하듯, 바람의 꿈은 보이지 않는 영향력과 미세한 변화의 축적을 나타냅니다. 강한 바람은 급격한 변화의 도래를, 산들바람은 영감과 새로운 아이디어의 유입을 의미합니다."
DREAM_FUSE_016,dream_theme_fire,iching_hex_30_ri,주제매핑,dream_iching,"불이 주제인 꿈은 주역 제30괘 이괘(離卦)와 공명합니다. 이괘가 빛과 밝음, 아름다움과 부착을 상징하듯, 불의 꿈은 열정과 분노, 정화와 파괴의 양면적 에너지를 담고 있습니다. 따뜻한 불은 열정과 영감을, 무서운 화재는 억압된 분노나 소진(burnout)의 경고를 나타냅니다."
DREAM_FUSE_017,dream_element_number_3,numerology_3,원소매핑,dream_numerology,"꿈에서 숫자 3이나 세 개의 대상이 반복적으로 나타나면 수비학의 숫자 3과 공명합니다. 3은 창의적 자기표현과 소통, 기쁨의 에너지를 지닙니다. 세 사람의 등장은 삼각관계나 제3의 관점 필요를, 세 개의 문은 선택의 갈림길을 의미하며, 목성의 확장 에너지가 꿈의 메시지를 증폭시킵니다."
DREAM_FUSE_018,dream_element_number_7,numerology_7,원소매핑,dream_numerology,"꿈에서 숫자 7이나 일곱 개의 상징이 반복되면 수비학의 숫자 7과 공명합니다. 7은 영적 탐구와 내면의 지혜, 신비로운 통찰의 에너지를 지닙니다. 일곱 개의 계단은 영적 상승의 단계를, 일곱 개의 열쇠는 숨겨진 지혜에 접근할 열쇠가 준비되었음을 나타냅니다."
DREAM_FUSE_019,dream_element_number_4,numerology_4,원소매핑,dream_numerology,"꿈에서 숫자 4나 네 개의 대상이 등장하면 수비학의 숫자 4와 공명합니다. 4는 안정과 기반, 체계적 구축의 에너지를 지닙니다. 네 개의 기둥이나 사각형 공간은 삶의 안정적 기반이 형성되고 있음을, 네 방향의 갈림길은 동서남북 모든 가능성을 체계적으로 검토해야 할 때임을 의미합니다."
DREAM_FUSE_020,dream_element_number_9,numerology_9,원소매핑,dream_numerology,"꿈에서 숫자 9나 아홉 개의 상징이 반복되면 수비학의 숫자 9와 공명합니다. 9는 완결과 변환, 인류애의 에너지를 지닙니다. 아홉 번째 문이나 마지막 계단은 한 사이클의 완성을, 아홉 명의 사람들은 과거 인연의 정산과 보편적 사랑의 확장을 나타냅니다."
DREAM_FUSE_021,dream_element_number_11,numerology_master_11,원소매핑,dream_numerology,"꿈에서 숫자 11이 강렬하게 나타나거나 11:11을 보는 꿈은 마스터 넘버 11과 공명합니다. 11은 영적 각성과 직관의 문이 열리는 것을 상징합니다. 시계에서 11:11을 반복적으로 보는 꿈은 우주가 특별한 메시지를 전달하려 하며, 영적 사명에 눈떠야 할 때가 왔음을 강력히 알리는 신호입니다."
DREAM_FUSE_022,dream_element_mirror,numerology_life_path,원소매핑,dream_numerology,"거울이 등장하는 꿈은 수비학의 생명수(Life Path)와 공명합니다. 거울이 진정한 자아를 비추듯, 생명수는 영혼의 근본적 진동수를 나타냅니다. 거울에 비친 다른 모습은 아직 통합되지 않은 자아의 측면을, 깨진 거울은 자기 인식의 분열과 재통합의 필요를 의미합니다."
DREAM_FUSE_023,dream_timing_newmoon,astro_lunar_newmoon,시간매핑,dream_astro,"새벽이나 어둠 속에서 새로운 시작이 암시되는 꿈은 점성술의 초승달(New Moon) 에너지와 공명합니다. 초승달이 새로운 의도의 씨앗을 심는 시기이듯, 어둠 속 발아의 꿈은 아직 형체가 없지만 무의식에서 자라나는 새로운 가능성을 나타냅니다. 이 꿈은 의식적 의도 설정과 새 프로젝트 시작에 최적의 타이밍을 알립니다."
DREAM_FUSE_024,dream_timing_fullmoon,astro_lunar_fullmoon,시간매핑,dream_astro,"밝은 달빛이나 환한 조명 아래의 꿈은 점성술의 보름달(Full Moon) 에너지와 공명합니다. 보름달이 숨겨진 것을 드러내고 감정을 고조시키듯, 밝은 빛 속의 꿈은 무의식의 내용이 의식으로 떠오르며 진실이 폭로되는 시기를 나타냅니다. 관계의 갈등이 표면화되거나 오래된 비밀이 밝혀질 수 있습니다."
DREAM_FUSE_025,dream_timing_waningmoon,astro_lunar_waning,시간매핑,dream_astro,"정리와 청소, 떠남이 주제인 꿈은 점성술의 하현달(Waning Moon) 에너지와 공명합니다. 하현달이 내려놓음과 정리의 시기이듯, 짐을 정리하거나 이별하는 꿈은 삶에서 더 이상 필요하지 않은 것을 놓아야 할 때가 왔음을 나타냅니다. 집착을 버리고 비움을 통해 새로운 공간을 만드세요."
DREAM_FUSE_026,dream_timing_waxingmoon,astro_lunar_waxing,시간매핑,dream_astro,"성장과 확장, 쌓아올리는 꿈은 점성술의 상현달(Waxing Moon) 에너지와 공명합니다. 상현달이 의도가 현실로 자라나는 성장기이듯, 건물을 짓거나 씨앗이 자라는 꿈은 현재 진행 중인 프로젝트나 관계가 순조롭게 성장하고 있음을 확인해 줍니다. 꾸준히 노력을 지속하세요."
DREAM_FUSE_027,dream_timing_eclipse,astro_lunar_eclipse,시간매핑,dream_astro,"강렬한 빛과 어둠의 교차, 일식이나 월식이 등장하는 꿈은 점성술의 식(Eclipse) 에너지와 공명합니다. 식이 카르마적 전환점이며 운명의 문이 열리고 닫히는 시기이듯, 식의 꿈은 삶의 중대한 방향 전환이 임박했음을 강력히 경고합니다. 되돌릴 수 없는 변화가 다가오고 있으니 준비하세요."
DREAM_FUSE_028,dream_symbol_bridge,TM_14,상징매핑,dream_tarot,"다리를 건너는 꿈은 타로의 절제(Temperance) 카드와 공명합니다. 절제 카드가 두 세계 사이의 균형과 연금술적 통합을 상징하듯, 다리의 꿈은 삶의 한 단계에서 다른 단계로의 이행과 대립되는 요소들의 조화로운 통합을 나타냅니다. 의식과 무의식, 과거와 미래를 잇는 중간 지대에 서 있습니다."
DREAM_FUSE_029,dream_symbol_garden,TM_03,상징매핑,dream_tarot,"정원이나 꽃밭이 등장하는 꿈은 타로의 여제(The Empress) 카드와 공명합니다. 여제 카드가 풍요와 자연의 축복, 창조적 생산성을 상징하듯, 정원의 꿈은 내면의 창조적 에너지가 풍성하게 꽃피고 있음을 나타냅니다. 아름다운 정원은 풍요를, 황폐한 정원은 돌봄이 필요한 삶의 영역을 보여줍니다."
DREAM_FUSE_030,dream_symbol_key,TM_05,상징매핑,dream_tarot,"열쇠가 등장하는 꿈은 타로의 교황(The Hierophant) 카드와 공명합니다. 교황 카드가 전통적 지혜의 전수와 숨겨진 가르침의 열쇠를 상징하듯, 꿈속의 열쇠는 아직 열리지 않은 의식의 문과 접근 가능한 비밀 지식을 나타냅니다. 열쇠를 찾는 꿈은 해답이 가까이에 있으며 멘토나 스승의 도움이 필요함을 알립니다."
