id,source,target,relation_type,description,interpretation_note,strength
JA_E33,JA_creator,PS_sun_leo,jung_astro_parallel,창조자 원형과 사자자리 태양. 둘 다 창조적 빛.,사자자리 태양은 창조자 원형의 직접적 표현.,strong
JA_E34,JC_mother_pos_m,PS_moon_can,jung_astro_parallel,어머니 콤플렉스(긍정)와 게자리 달. 모성과의 깊은 연결.,게자리 달 남성은 어머니 콤플렉스 작업이 필수.,strong
JA_E35,JC_mother_neg_m,AS_moon_pluto,jung_astro_parallel,어머니 콤플렉스(부정)와 달-명왕성. 모성의 어두운 면.,달-명왕성 긴장은 삼키는 어머니 경험의 지표.,strong
JA_E36,JC_father_neg_m,AS_saturn_sun,jung_astro_parallel,아버지 콤플렉스(부정)와 토성-태양 긴장. 권위와의 갈등.,태양-토성 스퀘어는 아버지 상처의 대표적 지표.,strong
JA_E37,JC_father_f,AS_7th_house_saturn,jung_astro_parallel,여성 아버지 콤플렉스와 7하우스 토성. 파트너에게 아버지 투사.,7하우스 토성 여성은 연상 남성에게 끌림.,moderate
JA_E38,JC_power,AS_pluto_10th,jung_astro_parallel,권력 콤플렉스와 10하우스 명왕성. 권력에 대한 집착.,10하우스 명왕성은 권력 콤플렉스 작업이 필요.,strong
JA_E39,JC_inferiority,AS_saturn_1st,jung_astro_parallel,열등감 콤플렉스와 1하우스 토성. 자아에 대한 제한.,1하우스 토성은 열등감과 자기 비하 경향.,strong
JA_E40,JC_inferiority,Chiron,jung_astro_parallel,열등감 콤플렉스와 키론. 상처받은 치유자.,키론 위치는 열등감의 근원과 치유 경로를 보여줌.,strong
JA_E41,JC_savior,AS_neptune_12th,jung_astro_parallel,구원자 콤플렉스와 12하우스 해왕성. 희생과 구원 환상.,12하우스 해왕성은 순교자/구원자 경향.,strong
JA_E42,JC_victim,AS_neptune_12th,jung_astro_parallel,희생자 콤플렉스와 12하우스 해왕성. 무력감과 경계 부재.,12하우스 해왕성은 피해자 역할에 빠지기 쉬움.,moderate
JA_E43,JC_persona,H1,jung_astro_parallel,페르소나 콤플렉스와 1하우스. 사회적 가면과 자아.,1하우스 과도 강조는 페르소나와 동일시 위험.,moderate
JA_E44,JC_money,AS_2nd_8th_axis,jung_astro_parallel,돈 콤플렉스와 2-8하우스 축. 물질과 가치.,2-8하우스 긴장은 돈에 대한 복잡한 심리.,strong
JA_E45,JC_abandonment,AS_moon_pluto,jung_astro_parallel,버림받음 콤플렉스와 달-명왕성. 유기 공포.,달-명왕성 긴장은 버림받음에 대한 깊은 공포.,strong
JA_E46,JC_abandonment,AS_4th_house_chiron,jung_astro_parallel,버림받음 콤플렉스와 4하우스 키론. 가정에서의 상처.,4하우스 키론은 어린 시절 유기/거부 경험.,strong
JA_E47,JC_inflation,AS_jupiter_sun,jung_astro_parallel,인플레이션과 목성-태양 합. 과대 자아.,태양-목성 합/트라인은 과대망상 경향 체크 필요.,moderate
JA_E48,JC_puer,AS_uranus_strong,jung_astro_parallel,푸에르와 강한 천왕성. 성장 거부와 자유 추구.,천왕성 과다는 피터팬 증후군 경향.,strong
JA_E49,JC_senex,AS_saturn_strong,jung_astro_parallel,세넥스와 강한 토성. 경직과 과도한 책임.,토성 과다는 내면 아이 억압. 놀이 필요.,strong
JA_E50,JA_orphan,AS_chiron_4th,jung_astro_parallel,고아 원형과 4하우스 키론. 소속에 대한 갈망.,4하우스 키론은 고아 원형 활성화. 가정 상처.,strong
