"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Python", "TypeScript JSX", "PostCSS", "JavaScript JSX", "Markdown", "XML", "MS SQL", "comment", "blank", "total"
"c:\dev\saju-astro-chat\prisma\migrations\20251031150431_add_birth_city_tz_and_snapshot\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 6, 24
"c:\dev\saju-astro-chat\public\data\cities.min.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\saju-astro-chat\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\dev\saju-astro-chat\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\dev\saju-astro-chat\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\dev\saju-astro-chat\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\dev\saju-astro-chat\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\dev\saju-astro-chat\scripts\bootstrap-python.mjs", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\dev\saju-astro-chat\scripts\csv-to-cities-json.mjs", "JavaScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 11, 19, 131
"c:\dev\saju-astro-chat\scripts\dev-astro.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\dev\saju-astro-chat\scripts\fix-lat-lon.mjs", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\dev\saju-astro-chat\scripts\split-by-country.mjs", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"c:\dev\saju-astro-chat\scripts\test-shinsal.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 79
"c:\dev\saju-astro-chat\server.py", "Python", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 7, 45
"c:\dev\saju-astro-chat\src\adapters\map-12.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 154
"c:\dev\saju-astro-chat\src\app\(main)\HeaderUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\dev\saju-astro-chat\src\app\(main)\main-page.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 11, 43, 342
"c:\dev\saju-astro-chat\src\app\(main)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 7, 31, 240
"c:\dev\saju-astro-chat\src\app\_success_bak\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\dev\saju-astro-chat\src\app\about\features\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 354, 0, 0, 0, 0, 0, 16, 30, 400
"c:\dev\saju-astro-chat\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 18, 31, 309
"c:\dev\saju-astro-chat\src\app\api\astrology\details\route.ts", "TypeScript", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 20, 31, 273
"c:\dev\saju-astro-chat\src\app\api\astrology\route.ts", "TypeScript", 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 19, 26, 269
"c:\dev\saju-astro-chat\src\app\api\aura\analyze\route.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\dev\saju-astro-chat\src\app\api\auth\[...nextauth]\options.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 27
"c:\dev\saju-astro-chat\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\saju-astro-chat\src\app\api\checkout\route.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 70
"c:\dev\saju-astro-chat\src\app\api\compatibility\route.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 111
"c:\dev\saju-astro-chat\src\app\api\db-ping\route.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 42
"c:\dev\saju-astro-chat\src\app\api\destiny-map\route.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 100
"c:\dev\saju-astro-chat\src\app\api\dream\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\dev\saju-astro-chat\src\app\api\fortune\route.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 76
"c:\dev\saju-astro-chat\src\app\api\latlon-to-timezone\route.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\dev\saju-astro-chat\src\app\api\lib-health\route.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 86
"c:\dev\saju-astro-chat\src\app\api\me\route.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\saju-astro-chat\src\app\api\saju\route.ts", "TypeScript", 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 29, 40, 417
"c:\dev\saju-astro-chat\src\app\api\tarot\route.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\dev\saju-astro-chat\src\app\api\user\update-birth-info\route.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 58
"c:\dev\saju-astro-chat\src\app\api\visitors-today\route.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 12, 27, 129
"c:\dev\saju-astro-chat\src\app\astrology\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 20, 35, 336
"c:\dev\saju-astro-chat\src\app\community\community.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 1, 33, 274
"c:\dev\saju-astro-chat\src\app\community\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 0, 3, 30, 328
"c:\dev\saju-astro-chat\src\app\compatibility\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 14, 32, 411
"c:\dev\saju-astro-chat\src\app\destiny-map\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 6, 24, 260
"c:\dev\saju-astro-chat\src\app\destiny-map\result\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 2, 13, 141
"c:\dev\saju-astro-chat\src\app\destiny-map\result\result.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 12, 19, 230
"c:\dev\saju-astro-chat\src\app\destiny-map\theme\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 9, 12, 172
"c:\dev\saju-astro-chat\src\app\dream\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 12, 32, 355
"c:\dev\saju-astro-chat\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 27, 29, 398
"c:\dev\saju-astro-chat\src\app\iching\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 3, 9, 147
"c:\dev\saju-astro-chat\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 6, 48
"c:\dev\saju-astro-chat\src\app\myjourney\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 351, 0, 0, 0, 0, 0, 3, 27, 381
"c:\dev\saju-astro-chat\src\app\numerology\Numerology.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\dev\saju-astro-chat\src\app\numerology\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 10, 31, 390
"c:\dev\saju-astro-chat\src\app\personality\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\dev\saju-astro-chat\src\app\personality\quiz\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 10, 64
"c:\dev\saju-astro-chat\src\app\personality\result\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 5, 36
"c:\dev\saju-astro-chat\src\app\policy\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 7, 202
"c:\dev\saju-astro-chat\src\app\policy\refund\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 6, 110
"c:\dev\saju-astro-chat\src\app\policy\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 6, 151
"c:\dev\saju-astro-chat\src\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"c:\dev\saju-astro-chat\src\app\saju\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 2, 5, 54
"c:\dev\saju-astro-chat\src\app\sitemap.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"c:\dev\saju-astro-chat\src\app\tarot\[categoryName]\[spreadId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 3, 14, 148
"c:\dev\saju-astro-chat\src\app\tarot\[categoryName]\[spreadId]\tarot-reading.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 3, 24, 215
"c:\dev\saju-astro-chat\src\app\tarot\[categoryName]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 7, 65
"c:\dev\saju-astro-chat\src\app\tarot\[categoryName]\spread-selection.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 18, 9, 168
"c:\dev\saju-astro-chat\src\app\tarot\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 10, 12, 107
"c:\dev\saju-astro-chat\src\app\tarot\tarot-home.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 8, 9, 150
"c:\dev\saju-astro-chat\src\components\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 4, 14
"c:\dev\saju-astro-chat\src\components\CitySearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\dev\saju-astro-chat\src\components\LanguageSwitcher\LanguageSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 56
"c:\dev\saju-astro-chat\src\components\astrology\ResultDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 689, 0, 0, 0, 0, 0, 5, 37, 731
"c:\dev\saju-astro-chat\src\components\aura\AuraQuiz.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 2, 39
"c:\dev\saju-astro-chat\src\components\aura\AuraRingVisual.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\dev\saju-astro-chat\src\components\aura\PremiumPaywall.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\dev\saju-astro-chat\src\components\aura\ResultSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\dev\saju-astro-chat\src\components\destiny-map\Analyzer.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 121
"c:\dev\saju-astro-chat\src\components\destiny-map\Chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 7, 18, 205
"c:\dev\saju-astro-chat\src\components\destiny-map\Display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 10, 17, 214
"c:\dev\saju-astro-chat\src\components\destiny-map\FortuneCharts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 2, 16, 98
"c:\dev\saju-astro-chat\src\components\iching\HexagramLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 7, 42
"c:\dev\saju-astro-chat\src\components\iching\IChingReader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 9, 26, 115
"c:\dev\saju-astro-chat\src\components\iching\ResultDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 10, 12, 72
"c:\dev\saju-astro-chat\src\components\numerology\InteractiveCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 2, 6, 57
"c:\dev\saju-astro-chat\src\components\numerology\NumerologyRadarChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 5, 85
"c:\dev\saju-astro-chat\src\components\saju\PillarSummaryTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 4, 10, 149
"c:\dev\saju-astro-chat\src\components\saju\SajuAnalyzer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 4, 18, 232
"c:\dev\saju-astro-chat\src\components\saju\SajuResultDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 352, 0, 0, 0, 0, 0, 11, 35, 398
"c:\dev\saju-astro-chat\src\components\tarot-cards\TheSun.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 5, 35
"c:\dev\saju-astro-chat\src\components\tarot\TarotCardBack.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\dev\saju-astro-chat\src\components\tarot\TarotResultView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 6, 9, 97
"c:\dev\saju-astro-chat\src\components\ui\BackButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\dev\saju-astro-chat\src\components\ui\StarrySky.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 4, 33
"c:\dev\saju-astro-chat\src\components\ui\StarrySky.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 4, 38
"c:\dev\saju-astro-chat\src\components\ui\UserInfoForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 4, 38
"c:\dev\saju-astro-chat\src\i18n\I18nProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 548, 0, 0, 0, 0, 0, 11, 16, 575
"c:\dev\saju-astro-chat\src\lib\Saju\analysis.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 103
"c:\dev\saju-astro-chat\src\lib\Saju\constants.ts", "TypeScript", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 194
"c:\dev\saju-astro-chat\src\lib\Saju\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 27
"c:\dev\saju-astro-chat\src\lib\Saju\relations.ts", "TypeScript", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 51, 39, 398
"c:\dev\saju-astro-chat\src\lib\Saju\saju.ts", "TypeScript", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 19, 30, 346
"c:\dev\saju-astro-chat\src\lib\Saju\shinsal.ts", "TypeScript", 0, 0, 417, 0, 0, 0, 0, 0, 0, 0, 0, 25, 53, 495
"c:\dev\saju-astro-chat\src\lib\Saju\timezone.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 114
"c:\dev\saju-astro-chat\src\lib\Saju\types.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 166
"c:\dev\saju-astro-chat\src\lib\Saju\unse.ts", "TypeScript", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 14, 34, 250
"c:\dev\saju-astro-chat\src\lib\Tarot\tarot-data.ts", "TypeScript", 0, 0, 1030, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 1048
"c:\dev\saju-astro-chat\src\lib\Tarot\tarot-spreads-data.ts", "TypeScript", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 259
"c:\dev\saju-astro-chat\src\lib\Tarot\tarot.types.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 43
"c:\dev\saju-astro-chat\src\lib\astrology\advanced\aspectsPlus.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 67
"c:\dev\saju-astro-chat\src\lib\astrology\advanced\meta.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\dev\saju-astro-chat\src\lib\astrology\advanced\options.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 59
"c:\dev\saju-astro-chat\src\lib\astrology\foundation\aspects.ts", "TypeScript", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 285
"c:\dev\saju-astro-chat\src\lib\astrology\foundation\astrologyService.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 161
"c:\dev\saju-astro-chat\src\lib\astrology\foundation\houses.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 44
"c:\dev\saju-astro-chat\src\lib\astrology\foundation\transit.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 86
"c:\dev\saju-astro-chat\src\lib\astrology\foundation\types.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 111
"c:\dev\saju-astro-chat\src\lib\astrology\foundation\utils.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 37
"c:\dev\saju-astro-chat\src\lib\astrology\index.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 52
"c:\dev\saju-astro-chat\src\lib\aura\analysis.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 108
"c:\dev\saju-astro-chat\src\lib\aura\content.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"c:\dev\saju-astro-chat\src\lib\aura\questions.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 92
"c:\dev\saju-astro-chat\src\lib\aura\types.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\dev\saju-astro-chat\src\lib\auth\authOptions.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 38
"c:\dev\saju-astro-chat\src\lib\auth\next-auth.d.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\dev\saju-astro-chat\src\lib\cities.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 8, 51
"c:\dev\saju-astro-chat\src\lib\db\prisma.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"c:\dev\saju-astro-chat\src\lib\destiny-map\astrologyengine.ts", "TypeScript", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 283
"c:\dev\saju-astro-chat\src\lib\destiny-map\prompt\fortune\baseFortunePrompt.ts", "TypeScript", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 175
"c:\dev\saju-astro-chat\src\lib\destiny-map\prompt\fortune\basePrompt.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 80
"c:\dev\saju-astro-chat\src\lib\destiny-map\reportService.ts", "TypeScript", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 216
"c:\dev\saju-astro-chat\src\lib\destiny-map\types.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 38
"c:\dev\saju-astro-chat\src\lib\destiny-map\visual\fortuneCharts.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 6, 75
"c:\dev\saju-astro-chat\src\lib\geo\resolveCity.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 58
"c:\dev\saju-astro-chat\src\lib\iChing\iChingData.ts", "TypeScript", 0, 0, 1035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1038
"c:\dev\saju-astro-chat\src\lib\narrative\engine\combineFacts.ts", "TypeScript", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 199
"c:\dev\saju-astro-chat\src\lib\narrative\engine\composeNarratives.ts", "TypeScript", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 27, 19, 234
"c:\dev\saju-astro-chat\src\lib\numerology\descriptions.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 54
"c:\dev\saju-astro-chat\src\lib\numerology\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\dev\saju-astro-chat\src\lib\numerology\numerology-analysis.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 84
"c:\dev\saju-astro-chat\src\lib\numerology\numerology.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 35, 20, 135
"c:\dev\saju-astro-chat\src\lib\numerology\utils.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"c:\dev\saju-astro-chat\src\middleware.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 35
"c:\dev\saju-astro-chat\src\swisseph.d.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 40
"c:\dev\saju-astro-chat\tailwind.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\dev\saju-astro-chat\test-ephe.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\dev\saju-astro-chat\tests\saju_together.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\dev\saju-astro-chat\tests\test_together.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\dev\saju-astro-chat\tsconfig.json", "JSON with Comments", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 54
"c:\dev\saju-astro-chat\tsconfig.node.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\dev\saju-astro-chat\tsconfig.scripts.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\dev\saju-astro-chat\types\tz-lookup.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\dev\saju-astro-chat\tz-lookup.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 15554, 42, 8176, 391, 65, 7422, 1609, 27, 23, 5, 85, 1097, 1790, 36286
