id,label,type,spread_name,card_count,korean_name,purpose,positions,best_for,difficulty,description
TS_past_life,전생스프레드,tarot_spread,Past_Life,5,전생스프레드,전생탐구/카르마이해,1-전생_2-전생의교훈_3-현생에미친영향_4-해결할카르마_5-치유방법,전생/카르마/영적탐구,고급,전생의 영향과 카르마를 탐구하는 스프레드. 현재 삶의 패턴의 근원 이해.
TS_star,별스프레드,tarot_spread,Star,7,별스프레드,희망과영감/목표달성,1-현재_2-과거영향_3-희망_4-예상못한도움_5-장애물_6-당장할일_7-결과,희망/꿈/목표설정,중급,희망의 별을 주제로 한 스프레드. 꿈과 목표를 향한 길을 밝혀줌.
TS_astrological,점성술스프레드,tarot_spread,Astrological,12,점성술하우스스프레드,인생전영역분석/종합운세,1-12하우스각영역에대응,종합운세/생일리딩,고급,점성술의 12하우스에 대응하는 스프레드. 삶의 모든 영역을 종합적으로 분석.
TS_mind_body_spirit,심신영혼,tarot_spread,Mind_Body_Spirit,3,심신영혼스프레드,전인적상태점검,1-마음상태_2-신체상태_3-영혼상태,건강/균형점검,초급,마음, 몸, 영혼 세 차원의 현재 상태를 점검하는 홀리스틱 스프레드.
TS_situation_action_outcome,상황행동결과,tarot_spread,Situation_Action_Outcome,3,상황행동결과스프레드,구체적조언/행동지침,1-현재상황_2-필요한행동_3-예상결과,실질적조언/행동계획,초급,상황 파악과 함께 구체적인 행동 지침을 제공하는 실용적 스프레드.
TS_cross,크로스,tarot_spread,Simple_Cross,4,단순십자스프레드,균형잡힌분석,1-중심주제_2-도전_3-조언_4-결과,빠른종합분석,초급,간단한 십자 배열로 상황의 핵심을 빠르게 파악.
TS_pyramid,피라미드,tarot_spread,Pyramid,6,피라미드스프레드,단계적성장/목표달성,1-기초_2_3-중간단계_4_5_6-정상,목표설정/성장계획,중급,피라미드 형태로 기초부터 정상까지의 성장 과정을 보여줌.
TS_saju,사주스프레드,tarot_spread,Saju_Four_Pillars,4,사주연계스프레드,사주와타로통합/동서양융합,1-년주_2-월주_3-일주_4-시주,사주와타로통합/운세,중급,사주의 네 기둥에 대응하는 동서양 통합 스프레드. 타로로 사주 해석 보완.
TS_elemental,원소스프레드,tarot_spread,Elemental,4,사원소스프레드,원소적균형/에너지점검,1-불_2-물_3-공기_4-흙,에너지균형/원소점검,중급,네 원소의 에너지 균형을 점검. 타로의 네 수트와 연결.
TS_weekly,주간스프레드,tarot_spread,Weekly,7,주간운세스프레드,한주의흐름,월-일요일각카드,주간계획/짧은예측,초급,일주일의 흐름을 보는 스프레드. 요일별 에너지와 주제 파악.
TS_new_moon,새달스프레드,tarot_spread,New_Moon,6,신월스프레드,새로운시작/의도설정,1-현재_2-해방할것_3-새의도_4-필요한것_5-장애물_6-결과,새달의식/새시작,중급,신월에 새로운 의도를 설정하고 한 달의 방향을 잡는 스프레드.
TS_full_moon,보름달스프레드,tarot_spread,Full_Moon,5,만월스프레드,완성/해방/감사,1-빛_2-그림자_3-해방할것_4-감사할것_5-메시지,만월의식/해방작업,중급,보름달에 성찰하고 해방하는 스프레드. 빛과 그림자의 균형.
TS_birthday,생일스프레드,tarot_spread,Birthday,12,생일스프레드,한해운세/생일리딩,1-12개월각각의테마,생일/새해운세,중급,생일을 기점으로 한 해의 흐름을 보는 연간 스프레드.
TS_dream,꿈해석스프레드,tarot_spread,Dream_Interpretation,5,꿈해석스프레드,꿈의의미해석,1-꿈의표면_2-숨은의미_3-무의식메시지_4-현실적용_5-행동지침,꿈해석/무의식탐구,중급,꿈의 의미를 타로로 해석하는 스프레드. 무의식의 메시지 해독.
TS_obstacle,장애물스프레드,tarot_spread,Obstacle,5,장애물스프레드,문제해결/장애극복,1-장애물_2-숨겨진원인_3-내안의자원_4-외부도움_5-해결책,문제해결/극복방안,중급,특정 장애물이나 문제를 분석하고 해결책을 찾는 스프레드.
TS_manifestation,현현스프레드,tarot_spread,Manifestation,7,현현스프레드,목표실현/꿈이루기,1-현재_2-명확한의도_3-장애물_4-행동_5-필요한변화_6-도움_7-결과,목표달성/꿈실현,중급,원하는 것을 현실로 만드는 과정을 안내하는 스프레드.
TS_hero_journey,영웅여정,tarot_spread,Heros_Journey,12,영웅여정스프레드,인생여정/변환과정,1-일상세계_2-소명_3-거부_4-멘토_5-문턱_6-시험_7-동굴_8-죽음재생_9-보상_10-귀환_11-부활_12-귀환완료,인생여정/영적성장,고급,캠벨의 영웅여정 구조를 따르는 스프레드. 삶의 대전환기에 사용.
TS_tree_of_life,생명나무,tarot_spread,Tree_of_Life,10,생명나무스프레드,카발라/영적탐구,1-케테르_2-호크마_3-비나_4-체세드_5-게부라_6-티파레트_7-네짜흐_8-호드_9-예소드_10-말쿠트,카발라/깊은영적작업,고급,카발라의 생명나무 세피로트에 대응하는 심오한 스프레드.
TS_medicine_wheel,메디신휠,tarot_spread,Medicine_Wheel,8,약초바퀴스프레드,원주민지혜/방향점검,1-동_2-남_3-서_4-북_5-위_6-아래_7-안_8-밖,방향성/자연과연결,고급,아메리카 원주민의 약초 바퀴에 기반한 스프레드. 네 방향과 우주적 연결.
TS_ohaeng,오행스프레드,tarot_spread,Five_Elements,5,오행스프레드,동양오행/균형점검,1-목_2-화_3-토_4-금_5-수,동양철학/오행균형,중급,동양의 오행에 대응하는 스프레드. 목화토금수 에너지 균형 점검.
TS_twelve_houses,12궁스프레드,tarot_spread,Twelve_Houses,12,12궁스프레드,점성술연계/전영역분석,1-자아_2-재물_3-소통_4-가정_5-창조_6-건강_7-관계_8-변환_9-철학_10-커리어_11-우정_12-무의식,종합운세/점성술연계,고급,점성술 12하우스의 상세 테마에 맞춘 종합 분석 스프레드.
TS_love_triangle,삼각관계,tarot_spread,Love_Triangle,7,삼각관계스프레드,복잡한관계분석,1-나_2-A_3-B_4-나와A관계_5-나와B관계_6-숨겨진역학_7-조언,복잡한관계/선택,고급,세 사람이 연관된 복잡한 관계 역학을 분석하는 스프레드.
TS_ancestor,조상스프레드,tarot_spread,Ancestral,5,조상스프레드,가족/조상연결,1-조상메시지_2-물려받은선물_3-치유할패턴_4-보호_5-조언,가족치유/조상연결,고급,조상과의 연결과 가족 패턴을 탐구하는 스프레드.
