id,label,type,number,name_en,upright_meaning,reversed_meaning,astro_correspondence,saju_correspondence,advice
TM_11,정의,major_arcana,11,Justice,"균형, 공정, 인과응보. 올바른 판단과 책임. 진실이 드러남.","불공정, 부정직, 책임 회피, 편파적 판단, 카르마의 지연.","금성/천칭자리. 균형과 조화의 에너지. 저울의 정확함.","정관격. 형충이 정리되는 시기. 관성이 바르게 작용하는 사주.","당신이 뿌린 것을 거둡니다. 정직하게 행동하면 두려울 것이 없습니다."
TM_12,매달린사람,major_arcana,12,The_Hanged_Man,"항복, 새로운 관점, 희생을 통한 지혜. 거꾸로 매달려 세상을 다르게 봄.","무의미한 희생, 지연, 수동성, 관점 전환 거부, 순교자 콤플렉스.","해왕성/물고기자리. 경계의 해체, 자아의 초월, 신비적 항복.","공망 시기, 절(絶)운. 상관견관으로 고난을 겪는 시기.","가끔은 놓아야 합니다. 통제를 포기할 때 새로운 시야가 열립니다."
TM_13,죽음,major_arcana,13,Death,"변환, 끝과 시작, 재탄생. 낡은 것이 죽어야 새것이 태어남. 근본적 변화.","변화 저항, 정체, 두려움, 변환 실패, 과거에 집착.","명왕성/전갈자리. 죽음과 재생의 힘. 가장 깊은 변환의 에너지.","절(絶)운에서 태(胎)운으로의 전환. 공망이 충전되는 시기.","끝은 새 시작입니다. 놓아보내야 새것을 받을 수 있습니다."
TM_14,절제,major_arcana,14,Temperance,"균형, 조화, 인내. 대립되는 것의 통합. 중용의 지혜. 천사의 연금술.","불균형, 극단, 과잉/부족, 인내 부족, 갈등.","목성/사수자리. 확장 속의 균형, 철학적 통합.","중화된 사주. 용신이 적절히 작용. 오행의 균형이 잡힌 경우.","극단을 피하고 중용을 지키세요. 진정한 지혜는 균형에 있습니다."
TM_15,악마,major_arcana,15,The_Devil,"그림자, 집착, 물질주의, 구속. 스스로 채운 사슬. 어두운 욕망.","해방, 사슬 끊기, 집착에서 벗어남, 또는 더 깊은 구속.","토성/염소자리. 제한과 구조, 물질적 야망의 어두운 면.","편재가 탐욕으로 작용, 도화살이 음란하게 작용. 칠살 무제어.","사슬은 당신이 채운 것입니다. 열쇠도 당신에게 있습니다."
TM_16,탑,major_arcana,16,The_Tower,"갑작스러운 붕괴, 계시, 거짓의 파괴. 번개에 맞아 무너지는 탑. 해방적 파괴.","파국 회피, 변화 거부, 재앙 지연, 또는 불필요한 파괴.","화성. 갑작스럽고 파괴적인 에너지. 축적된 긴장의 방출.","공망이 충으로 깨지는 시기. 형충파해가 동시에 발동. 편관이 폭발.","탑이 무너져야 하늘이 보입니다. 거짓된 구조물은 무너져야 합니다."
TM_17,별,major_arcana,17,The_Star,"희망, 영감, 평화. 폭풍 후의 고요. 우주와의 연결. 치유와 회복.","희망 상실, 낙담, 영감 고갈, 우주와의 단절, 신뢰 상실.","천왕성/물병자리. 미래에 대한 비전, 혁신적 희망.","장생, 천을귀인 활성화. 공망이 합으로 해소된 후.","어둠이 지나면 별이 보입니다. 희망을 잃지 마세요."
TM_18,달,major_arcana,18,The_Moon,"환상, 무의식, 두려움. 달빛 아래의 불확실함. 숨겨진 것들. 직관의 여정.","환상에서 깨어남, 두려움 극복, 또는 더 깊은 혼란과 기만.","달/물고기자리. 무의식의 심해, 경계 없는 감정의 바다.","편인격, 수(水) 기운 과다. 공망 시기의 불안. 도화살의 혼란.","달빛은 속이기도 하지만 숨겨진 것을 드러내기도 합니다. 직관을 믿으세요."
TM_19,태양,major_arcana,19,The_Sun,"기쁨, 성공, 활력. 모든 것이 밝게 드러남. 순수한 행복. 어린아이의 기쁨.","일시적 우울, 낙관주의 과잉, 현실 직시 거부, 번아웃.","태양. 자아의 빛, 생명력, 의식의 중심.","제왕/임관운. 정관격의 좋은 시기. 삼합/육합이 좋게 작용.","태양처럼 빛나되, 태양 아래 그림자도 있음을 기억하세요."
TM_20,심판,major_arcana,20,Judgement,"각성, 부름, 심판. 과거의 청산과 새로운 탄생. 더 높은 목적에 대한 응답.","자기 의심, 심판 거부, 부름 무시, 과거에 사로잡힘.","명왕성. 죽은 자들의 부활, 궁극적 변환.","대운 교체기, 공망 충전, 절에서 태로의 전환.","부름에 응답하세요. 과거의 당신이 죽고 새로운 당신이 태어납니다."
TM_21,세계,major_arcana,21,The_World,"완성, 통합, 성취. 한 사이클의 완성. 우주와의 합일. 춤추는 세계.","미완성, 지연, 목표 직전의 중단, 완성에 대한 두려움.","토성. 구조의 완성, 시간의 원환, 카르마의 성취.","제왕운의 정점, 삼합/육합 완성. 용신 대운의 절정.","이 춤이 끝나면 새로운 춤이 시작됩니다. 완성을 축하하되 멈추지 마세요."
