id,label,type,sign,house,description
ASTRO_SIGN_Libra_HOUSE_H1,Libra/H1,astro_combo,Libra,H1,Libra 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H10,Libra/H10,astro_combo,Libra,H10,Libra 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H11,Libra/H11,astro_combo,Libra,H11,Libra 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H12,Libra/H12,astro_combo,Libra,H12,Libra 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H2,Libra/H2,astro_combo,Libra,H2,Libra 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H3,Libra/H3,astro_combo,Libra,H3,Libra 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H4,Libra/H4,astro_combo,Libra,H4,Libra 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H5,Libra/H5,astro_combo,Libra,H5,Libra 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H6,Libra/H6,astro_combo,Libra,H6,Libra 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H7,Libra/H7,astro_combo,Libra,H7,Libra 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H8,Libra/H8,astro_combo,Libra,H8,Libra 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Libra_HOUSE_H9,Libra/H9,astro_combo,Libra,H9,Libra 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H1,Pisces/H1,astro_combo,Pisces,H1,Pisces 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H10,Pisces/H10,astro_combo,Pisces,H10,Pisces 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H11,Pisces/H11,astro_combo,Pisces,H11,Pisces 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H12,Pisces/H12,astro_combo,Pisces,H12,Pisces 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H2,Pisces/H2,astro_combo,Pisces,H2,Pisces 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H3,Pisces/H3,astro_combo,Pisces,H3,Pisces 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H4,Pisces/H4,astro_combo,Pisces,H4,Pisces 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H5,Pisces/H5,astro_combo,Pisces,H5,Pisces 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H6,Pisces/H6,astro_combo,Pisces,H6,Pisces 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H7,Pisces/H7,astro_combo,Pisces,H7,Pisces 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H8,Pisces/H8,astro_combo,Pisces,H8,Pisces 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Pisces_HOUSE_H9,Pisces/H9,astro_combo,Pisces,H9,Pisces 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H1,Sagittarius/H1,astro_combo,Sagittarius,H1,Sagittarius 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H10,Sagittarius/H10,astro_combo,Sagittarius,H10,Sagittarius 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H11,Sagittarius/H11,astro_combo,Sagittarius,H11,Sagittarius 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H12,Sagittarius/H12,astro_combo,Sagittarius,H12,Sagittarius 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H2,Sagittarius/H2,astro_combo,Sagittarius,H2,Sagittarius 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H3,Sagittarius/H3,astro_combo,Sagittarius,H3,Sagittarius 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H4,Sagittarius/H4,astro_combo,Sagittarius,H4,Sagittarius 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H5,Sagittarius/H5,astro_combo,Sagittarius,H5,Sagittarius 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H6,Sagittarius/H6,astro_combo,Sagittarius,H6,Sagittarius 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H7,Sagittarius/H7,astro_combo,Sagittarius,H7,Sagittarius 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H8,Sagittarius/H8,astro_combo,Sagittarius,H8,Sagittarius 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H9,Sagittarius/H9,astro_combo,Sagittarius,H9,Sagittarius 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H1,Scorpio/H1,astro_combo,Scorpio,H1,Scorpio 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H10,Scorpio/H10,astro_combo,Scorpio,H10,Scorpio 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H11,Scorpio/H11,astro_combo,Scorpio,H11,Scorpio 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H12,Scorpio/H12,astro_combo,Scorpio,H12,Scorpio 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H2,Scorpio/H2,astro_combo,Scorpio,H2,Scorpio 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H3,Scorpio/H3,astro_combo,Scorpio,H3,Scorpio 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H4,Scorpio/H4,astro_combo,Scorpio,H4,Scorpio 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H5,Scorpio/H5,astro_combo,Scorpio,H5,Scorpio 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H6,Scorpio/H6,astro_combo,Scorpio,H6,Scorpio 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H7,Scorpio/H7,astro_combo,Scorpio,H7,Scorpio 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H8,Scorpio/H8,astro_combo,Scorpio,H8,Scorpio 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Scorpio_HOUSE_H9,Scorpio/H9,astro_combo,Scorpio,H9,Scorpio 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H1,Taurus/H1,astro_combo,Taurus,H1,Taurus 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H10,Taurus/H10,astro_combo,Taurus,H10,Taurus 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H11,Taurus/H11,astro_combo,Taurus,H11,Taurus 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H12,Taurus/H12,astro_combo,Taurus,H12,Taurus 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H2,Taurus/H2,astro_combo,Taurus,H2,Taurus 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H3,Taurus/H3,astro_combo,Taurus,H3,Taurus 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H4,Taurus/H4,astro_combo,Taurus,H4,Taurus 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H5,Taurus/H5,astro_combo,Taurus,H5,Taurus 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H6,Taurus/H6,astro_combo,Taurus,H6,Taurus 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H7,Taurus/H7,astro_combo,Taurus,H7,Taurus 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H8,Taurus/H8,astro_combo,Taurus,H8,Taurus 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Taurus_HOUSE_H9,Taurus/H9,astro_combo,Taurus,H9,Taurus 별자리와 H9 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H1,Virgo/H1,astro_combo,Virgo,H1,Virgo 별자리와 H1 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H10,Virgo/H10,astro_combo,Virgo,H10,Virgo 별자리와 H10 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H11,Virgo/H11,astro_combo,Virgo,H11,Virgo 별자리와 H11 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H12,Virgo/H12,astro_combo,Virgo,H12,Virgo 별자리와 H12 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H2,Virgo/H2,astro_combo,Virgo,H2,Virgo 별자리와 H2 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H3,Virgo/H3,astro_combo,Virgo,H3,Virgo 별자리와 H3 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H4,Virgo/H4,astro_combo,Virgo,H4,Virgo 별자리와 H4 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H5,Virgo/H5,astro_combo,Virgo,H5,Virgo 별자리와 H5 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H6,Virgo/H6,astro_combo,Virgo,H6,Virgo 별자리와 H6 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H7,Virgo/H7,astro_combo,Virgo,H7,Virgo 별자리와 H7 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H8,Virgo/H8,astro_combo,Virgo,H8,Virgo 별자리와 H8 하우스의 결합 성향 노드.
ASTRO_SIGN_Virgo_HOUSE_H9,Virgo/H9,astro_combo,Virgo,H9,Virgo 별자리와 H9 하우스의 결합 성향 노드.
