id,label,type,archetype,description,positive_expression,shadow_expression,saju_correlation,dream_symbols,integration_advice
JA_father,아버지,jung_archetype,Father,"아버지 원형은 권위, 질서, 보호, 정신적 지도의 상징. 법과 규범, 의식 세계를 대표.","건강한 권위, 보호와 안내, 명확한 경계, 정신적 지도, 책임감.","독재적 아버지: 억압적 통제, 비판. 부재 아버지: 방향 상실, 권위 문제.","정관격, 편관격. 년주의 관성 상태. 토(土)와 금(金) 기운의 균형.","아버지, 왕, 판사, 하늘, 산, 태양, 칼, 법전","아버지의 권위는 보호를 위한 것입니다. 통제가 아닌 인도를 배우세요."
JA_puer,영원한소년,jung_archetype,Puer_Aeternus,"영원한 소년은 성장을 거부하고 영원히 젊음에 머무르려는 원형. 창조성과 회피의 양면성.","창조적 영감, 이상주의, 모험심, 순수한 열정, 새로운 가능성.","책임 회피, 약속 불이행, 관계 회피, 현실 도피, 어머니 콤플렉스.","사주에 장생/목욕 등 어린 에너지만 있는 경우. 식신이 과다하고 관성이 약한 경우.","피터팬, 이카로스, 비행, 높은 곳, 새, 풍선, 끝나지 않는 여행","날개가 있다면 언젠가는 착륙해야 합니다. 땅에 발을 딛는 것도 용기입니다."
JA_senex,노인,jung_archetype,Senex,"노인(세넥스)는 시간, 한계, 질서, 전통의 원형. 푸에르의 대극으로 지혜와 경직의 양면성.","시간의 지혜, 인내, 질서, 전통 존중, 한계 수용, 깊이.","경직, 비관주의, 과도한 통제, 변화 거부, 생명력 상실.","편인이 과다하거나 관성이 지나친 경우. 사주에 고(庫)/묘(墓) 에너지가 많은 경우.","노인, 시계, 뼈, 겨울, 돌, 동굴, 폐허, 해골","경험은 지혜가 될 수도, 족쇄가 될 수도 있습니다. 선택은 당신에게 있습니다."
JA_puella,영원한소녀,jung_archetype,Puella_Aeterna,"영원한 소녀는 여성의 성장 거부 원형. 아버지의 딸로 머물며 성숙한 여성성을 회피.","매력, 영감, 이상주의, 순수한 사랑, 예술적 감성.","의존성, 책임 회피, 파트너에게 아버지 역할 요구, 성숙 거부.","여성 사주에서 관성(특히 정관)에 과도하게 의존. 재성이 약하고 인성이 과한 경우.","공주, 요정, 인형, 꽃, 거울, 유리구두, 영원한 처녀","공주는 자신의 왕국을 세울 때 여왕이 됩니다. 구원을 기다리지 마세요."
JA_maiden,처녀,jung_archetype,Maiden,"처녀 원형은 순수함, 새로운 시작, 잠재력, 아직 정의되지 않은 가능성의 상징.","순수한 잠재력, 새로운 시작, 열린 가능성, 변화 수용, 희망.","나이브함, 경험 부족으로 인한 취약성, 정체성 미형성.","사주에 목욕/장생 등 초기 단계 에너지. 식신이 순수하게 나타난 경우.","처녀, 봄, 꽃봉오리, 새벽, 새 잎, 물가, 흰 옷","모든 가능성이 열려 있는 지금, 선택은 당신을 정의할 것입니다."
JA_queen,여왕,jung_archetype,Queen,"여왕 원형은 성숙한 여성의 권위, 지혜, 풍요, 통치력의 상징.","성숙한 권위, 풍요로운 돌봄, 지혜로운 통치, 경계 설정, 풍요 나눔.","통제욕, 질투, 파괴적 경쟁, 권력에 대한 집착.","여성 사주에서 정재격이나 정관격이 잘 형성된 경우. 인성과 재성의 균형.","여왕, 왕좌, 왕관, 보석, 풍요로운 정원, 궁전","진정한 여왕은 왕관 없이도 여왕입니다. 내면의 왕좌를 찾으세요."
JA_king,왕,jung_archetype,King,"왕 원형은 성숙한 남성의 권위, 질서, 축복, 풍요의 원천. 집단의 중심이자 통합의 상징.","성숙한 리더십, 축복을 내리는 권위, 질서 창조, 풍요 관리.","폭군: 파괴적 통제, 착취. 약한 왕: 결단력 부재, 혼란.","남성 사주에서 정관격이 잘 형성된 경우. 비겁과 관성의 적절한 균형.","왕, 왕좌, 왕홀, 태양, 사자, 황금, 중앙","왕의 권위는 섬기는 것에서 옵니다. 진정한 왕은 백성을 위해 존재합니다."
JA_warrior,전사,jung_archetype,Warrior,"전사 원형은 용기, 결단, 보호, 경계를 지키는 힘의 상징. 싸울 때와 물러설 때를 아는 지혜.","용기, 결단력, 보호 본능, 정의를 위한 싸움, 훈련, 규율.","폭력성, 공격성, 파괴적 분노, 끝없는 전투, 평화 불능.","양인격, 편관격. 화(火)와 금(金) 기운이 강한 사주. 겁재가 강한 경우.","전사, 칼, 갑옷, 전투, 불, 말, 요새","진정한 전사는 칼을 뽑을 때만큼 칼을 거둘 때도 용기가 필요함을 압니다."
JA_lover,연인,jung_archetype,Lover,"연인 원형은 열정, 연결, 아름다움 감상, 감각적 즐거움, 삶의 기쁨을 상징.","열정, 친밀감, 아름다움 감상, 삶의 기쁨, 깊은 연결.","중독, 집착, 경계 상실, 쾌락에 빠짐, 책임 회피.","도화살, 홍염살이 강한 사주. 재성과 식상의 조화. 화(火) 기운이 적절한 경우.","연인, 꽃, 향기, 음악, 춤, 포옹, 심장, 와인","사랑에 빠지는 것은 쉽지만, 사랑하는 것은 기술입니다. 열정과 헌신의 균형을 찾으세요."
JA_magician,마법사,jung_archetype,Magician,"마법사 원형은 변환, 지식, 기술, 의식(ritual)을 통해 현실을 바꾸는 힘의 상징.","변환의 힘, 깊은 지식, 현실을 바꾸는 기술, 의식적 창조.","조종, 속임수, 지식을 이용한 착취, 현실 왜곡.","편인격 중 기술적 측면이 강한 경우. 식신생재격. 수(水)와 화(火)의 균형.","마법사, 지팡이, 마법 원, 변환, 연금술, 카드, 거울","마법은 현실을 바꾸는 것이 아니라 현실을 보는 눈을 바꾸는 것입니다."
JA_sage,현인,jung_archetype,Sage,"현인 원형은 진리 추구, 지식, 이해, 명상, 내면의 지혜를 상징.","진리에 대한 헌신, 깊은 이해, 명상적 지혜, 지식 나눔.","지적 오만, 감정 무시, 상아탑, 실천 부재.","정인격, 편인격 중 학문적 측면. 인성이 적절하고 화개살이 있는 경우.","현인, 책, 산, 동굴, 별, 올빼미, 눈(眼), 등불","지식은 축적하는 것이고 지혜는 비우는 것입니다. 둘 다 필요합니다."
JA_explorer,탐험가,jung_archetype,Explorer,"탐험가 원형은 자유, 발견, 새로운 경험, 한계 너머를 향한 열망의 상징.","자유, 자기 발견, 새로운 영역 탐험, 독립, 모험.","뿌리 내리지 못함, 약속 회피, 영원한 방랑, 친밀감 회피.","역마살이 강한 사주. 상관이 자유롭게 발현된 경우. 목(木) 기운이 강한 사주.","여행자, 지도, 나침반, 길, 배, 미지의 땅, 지평선","모든 여정의 끝에서 당신이 발견하는 것은 결국 자신입니다."
JA_rebel,반항자,jung_archetype,Rebel,"반항자 원형은 기존 체제에 대한 저항, 변혁, 규칙 파괴, 새로운 질서 창조의 상징.","혁명적 변화, 부당함에 저항, 새로운 가치 창조, 자유를 위한 싸움.","파괴만 할 뿐 건설 못함, 반항 자체가 목적화, 고립.","상관견관격, 양인격. 편관과 상관이 충돌하는 사주. 형충이 많은 경우.","반란군, 불, 부서진 사슬, 깃발, 바리케이드, 낙서","무엇을 파괴할지 알면 무엇을 건설할지도 알아야 합니다."
JA_caregiver,돌봄이,jung_archetype,Caregiver,"돌봄이 원형은 타인을 돌보고 보호하며 희생하는 모성적/부성적 에너지의 상징.","무조건적 돌봄, 이타적 봉사, 보호, 양육, 공감.","과보호, 자기 희생으로 인한 소진, 조종적 돌봄, 순교자 콤플렉스.","정인격, 식신격 중 봉사적 측면. 인성과 식신이 조화로운 사주.","어머니, 간호사, 품에 안은 모습, 음식, 집, 담요","돌봄은 나눌수록 커지지만, 먼저 자신의 컵을 채우세요."
JA_creator,창조자,jung_archetype,Creator,"창조자 원형은 무에서 유를 만들고, 비전을 현실화하며, 새로운 것을 탄생시키는 힘의 상징.","창조적 비전, 독창성, 자기 표현, 새로운 것의 탄생.","완벽주의로 인한 마비, 자기 비판, 창조물에 대한 집착.","식신격, 상관격 중 예술적 측면. 화(火) 기운과 식상의 조화.","예술가, 붓, 점토, 빈 캔버스, 작업실, 탄생, 빛","창조는 완벽을 향해가는 과정이지 완벽 그 자체가 아닙니다."
JA_ruler,지배자,jung_archetype,Ruler,"지배자 원형은 질서, 통제, 책임, 환경을 조직하고 이끄는 힘의 상징.","리더십, 질서 창조, 책임감, 비전 실현, 통합.","독재, 통제욕, 권력 남용, 경직된 질서.","정관격, 편관격. 관성이 중심이 되는 사주. 토(土)와 금(金)의 균형.","왕좌, 왕관, 성, 법, 계약서, 조직도","권력은 책임의 다른 이름입니다. 높이 오를수록 무거워집니다."
JA_innocent,순수,jung_archetype,Innocent,"순수 원형은 낙관, 신뢰, 믿음, 세상의 선함에 대한 믿음의 상징.","낙관, 신뢰, 순수한 기쁨, 희망, 단순함.","나이브함, 현실 부정, 실망에 취약, 회피.","사주가 전체적으로 깨끗하고 충돌이 적은 경우. 식신이 순수하게 발현된 경우.","아이, 정원, 맑은 하늘, 흰색, 새, 웃음, 낙원","순수함은 무지가 아니라 알면서도 믿기로 선택하는 것입니다."
JA_jester,광대,jung_archetype,Jester,"광대 원형은 유머, 기쁨, 순간을 사는 것, 웃음을 통한 진실 말하기의 상징.","유머, 현재에 사는 기쁨, 진실을 재미있게 말하기, 긴장 해소.","무책임, 회피적 유머, 심각함 불능, 감정 회피.","상관이 밝게 발현된 사주. 도화살과 역마살이 조화로운 경우.","광대, 가면, 종, 색색의 옷, 웃음, 무대, 거울","광대만이 왕에게 진실을 말할 수 있습니다. 웃음 속에 지혜가 있습니다."
JA_orphan,고아,jung_archetype,Orphan,"고아 원형은 버림받음, 안전 추구, 생존, 소속에 대한 갈망의 상징.","현실주의, 공감, 연대, 생존 기술, 정직한 한계 인식.","피해자 의식, 냉소, 신뢰 불능, 끝없는 안전 추구.","사주에 공망이 많거나 인성이 약한 경우. 년주/월주에 형충이 있는 경우.","홀로 있는 아이, 폐허, 빈 집, 떠도는 모습, 찾는 손","버림받은 기억이 있다면 이제 스스로를 선택하세요. 당신이 당신의 집입니다."
JA_everyman,평범한사람,jung_archetype,Everyman,"평범한 사람 원형은 소속감, 연결, 공동체, 평등, 일상의 영웅을 상징.","소속감, 공감, 현실적 가치, 공동체 의식, 평등.","개성 상실, 군중에 매몰, 눈에 띄기 두려움.","비견격, 겁재가 적절한 사주. 특별한 귀인이나 살이 없는 평범한 구성.","이웃, 군중, 일상, 평범한 집, 공동체, 함께하는 모습","영웅이 되지 않아도 됩니다. 매일의 삶을 성실히 사는 것이 위대함입니다."
JA_seeker,구도자,jung_archetype,Seeker,"구도자 원형은 의미 탐색, 진리를 향한 여정, 답을 찾는 영적 여행자의 상징.","의미 추구, 진리 탐구, 영적 성장, 내면 여행.","끝없는 탐색, 만족 불능, 현실 회피, 결론 도달 두려움.","화개살이 강한 사주. 편인과 정인의 영적 측면. 수(水) 기운이 깊은 경우.","순례자, 길, 산, 등불, 질문, 문, 지평선","답을 찾는 것보다 올바른 질문을 하는 것이 더 중요합니다."
JA_destroyer,파괴자,jung_archetype,Destroyer,"파괴자 원형은 낡은 것을 부수고 새것을 위한 공간을 만드는 변환의 힘.","낡은 것의 해체, 새로운 시작을 위한 공간 창조, 변환.","무분별한 파괴, 자기 파괴, 허무주의, 종말론.","양인이 강한 사주. 편관과 상관의 충돌. 형충이 극심한 경우.","불, 폭풍, 파도, 지진, 부서진 것들, 해골, 낫","파괴는 창조의 전제입니다. 무엇을 위해 부수는지 잊지 마세요."
