id,planet,house,theme,personality,career,relationship,challenge,gift,saju_parallel,description
HP_moon_10,달,10하우스,공적감정,공적영역에서감정표현/대중적,대중상대직업/정치인/연예인,커리어가감정에영향/공적관계,사생활부재/감정노출,대중적매력/공감능력,정관격/식신,"10하우스 달은 공적 영역에서의 감정. 대중과의 감정적 교류."
HP_mercury_3,수성,3하우스,소통의달인,뛰어난소통력/학습능력/호기심,작가/기자/교사/영업/통역,대화가핵심인관계,산만함/깊이부족,언어재능/학습력/소통력,식신격/상관,"3하우스 수성은 본래 자리. 최고의 소통과 학습 능력."
HP_mercury_6,수성,6하우스,분석의달인,분석력/체계적사고/세부주의,의료/IT/분석/편집/행정,실용적관계/일로만남,과도한분석/비판적,분석력/체계화능력/실무력,정재격/식신,"6하우스 수성은 분석의 달인. 세부적이고 체계적인 사고."
HP_mercury_10,수성,10하우스,전문가의소통,전문적소통능력/공적발언,CEO/연설가/작가/미디어,비즈니스관계/전문적교류,과도한야망/소통의도구화,전문성/공적소통력,정관격/관인상생,"10하우스 수성은 전문적 소통. 커리어에서 소통 능력이 핵심."
HP_venus_2,금성,2하우스,물질의아름다움,물질적풍요추구/미적감각,금융/패션/뷰티/예술품,재정적파트너/소유욕,물질집착/소유욕,재정능력/미적감각/가치관,정재격/식신생재,"2하우스 금성은 물질의 아름다움. 재정적 풍요와 미적 가치."
HP_venus_5,금성,5하우스,낭만의꽃,낭만적/예술적/즐거움추구,예술/연예/패션/연애코칭,열정적연애/자녀사랑,쾌락추구/불륜위험,예술성/낭만/매력/자녀복,식신격/도화,"5하우스 금성은 낭만의 꽃. 사랑과 예술에서 빛남."
HP_venus_7,금성,7하우스,파트너의사랑,관계중심/파트너십중시/조화추구,외교/법률/예술/파트너사업,이상적결혼운/조화로운관계,타인의존/갈등회피,파트너복/외교력/조화능력,정재격(남)/정관격(여),"7하우스 금성은 파트너의 사랑. 결혼과 파트너십이 축복."
HP_mars_1,화성,1하우스,행동의리더,적극적/공격적/개척정신,군인/운동선수/기업가/외과의,강렬한끌림/지배적관계,분노조절/충동,리더십/추진력/용기,편관격/양인격,"1하우스 화성은 행동의 리더. 적극적이고 전투적인 에너지."
HP_mars_6,화성,6하우스,일의전사,근면함/경쟁적업무/완벽추구,군인/외과의/스포츠/기계,일로인한관계/경쟁적,과로/갈등잦음,업무능력/경쟁력/체력,편관격/식신제살,"6하우스 화성은 일의 전사. 업무에서 강렬한 에너지 발휘."
HP_mars_10,화성,10하우스,성취의야망,강한야망/사회적성공욕/경쟁심,CEO/군인/스포츠/정치,커리어중심관계/경쟁,과도한야망/갈등,사회적성취/야망/추진력,편관격/재관쌍미,"10하우스 화성은 성취의 야망. 사회적 성공을 향한 강한 추진력."
HP_jupiter_9,목성,9하우스,지혜의확장,철학적/낙관적/넓은세계관,교수/법조인/출판/여행/종교,다문화관계/원거리인연,과대망상/독선,지혜/행운/확장/철학,정인격/관인상생,"9하우스 목성은 본래 자리. 최고의 지혜와 행운."
HP_jupiter_10,목성,10하우스,성공의행운,사회적성공운/명예/인정,CEO/정치인/법조인/종교지도자,사회적파트너/존경받는관계,자만/과시,사회적성공/명예/행운,정관격/재관쌍미,"10하우스 목성은 성공의 행운. 사회적 성취에서 큰 행운."
HP_saturn_10,토성,10하우스,성취의인내,야망있으나인내필요/책임감,CEO/정치인/건축/노인관련,책임있는관계/만혼경향,과중한책임/느린성공,인내/책임감/구조화능력,정관격/대운후반,"10하우스 토성은 성취의 인내. 느리지만 확실한 사회적 성공."
HP_uranus_11,천왕성,11하우스,혁신의공동체,혁신적/미래지향/집단의식,IT/과학/사회운동/발명,독특한친구/비전통관계,소속감부족/반항,혁신력/미래비전/독창성,편인격/화기격,"11하우스 천왕성은 본래 자리. 최고의 혁신과 미래 비전."
HP_neptune_12,해왕성,12하우스,영성의바다,영적/예술적/신비로움,예술/영성/의료/자선,영혼의연결/이상적관계,현실도피/환상,영적깊이/예술성/치유력,편인격/종격,"12하우스 해왕성은 본래 자리. 최고의 영적 깊이와 예술성."
HP_pluto_8,명왕성,8하우스,변환의심연,깊은변환력/재생능력/권력,금융/심리학/장례/오컬트,깊은변환적관계/집착,통제욕/집착/파괴,변환력/재생력/깊은통찰,편관격/살인상생,"8하우스 명왕성은 본래 자리. 최고의 변환과 재생 능력."
HP_venus_1,금성,1하우스,매력의존재,아름다움/매력/조화추구,예술/패션/뷰티/외교,매력적외모/끌리는관계,외모집착/피상적,매력/아름다움/조화,도화/정재격,"1하우스 금성은 매력의 존재. 아름다움과 매력이 자아의 핵심."
HP_mars_7,화성,7하우스,관계의전투,관계에서의경쟁/갈등많음,법률/스포츠/파트너사업,열정적관계/갈등잦음,배우자갈등/이혼위험,열정/추진력/경쟁력,편관충/겁재,"7하우스 화성은 관계의 전투. 파트너십에서 갈등과 열정."
HP_saturn_7,토성,7하우스,관계의시련,만혼경향/관계에서책임,법률/컨설팅/파트너사업,늦은결혼/책임있는관계,고독/관계어려움,책임감/인내/성숙한관계,정관격/대운후반,"7하우스 토성은 관계의 시련. 결혼이 늦지만 안정적."
HP_neptune_7,해왕성,7하우스,이상의파트너,이상적파트너추구/환상,예술/영성/상담/치유,영혼의파트너찾음/환상,현실과이상괴리/속임,이상적사랑/영적연결,도화/편인,"7하우스 해왕성은 이상의 파트너. 영혼의 동반자를 찾음."
HP_pluto_7,명왕성,7하우스,변환의관계,관계를통한변환/집착적,심리학/법률/위기관리,강렬한관계/권력다툼,통제욕/집착/이혼,변환력/깊은연결,편관/겁재,"7하우스 명왕성은 변환의 관계. 파트너십을 통한 깊은 변환."
HP_jupiter_2,목성,2하우스,풍요의확장,재정적풍요/관대함/가치관확장,금융/부동산/투자/교육,풍요로운관계/관대함,과소비/낭비,재정운/풍요/관대함,정재격/식신생재,"2하우스 목성은 풍요의 확장. 재정적 행운과 관대함."
HP_saturn_4,토성,4하우스,가정의시련,어린시절어려움/늦은안정,부동산/건축/노인돌봄,가족과의거리/늦은가정,외로움/과거의상처,책임감/구조화/안정,정인격/대운후반,"4하우스 토성은 가정의 시련. 어린 시절 어렵지만 후반 안정."
HP_uranus_1,천왕성,1하우스,독특한자아,독특함/반항적/혁신적,IT/과학/발명/예술,비전통적관계/독립적,불안정/반항,독창성/혁신력/자유,편인격/화기격,"1하우스 천왕성은 독특한 자아. 혁신적이고 독립적인 존재."
HP_neptune_1,해왕성,1하우스,몽환의자아,신비로움/예술적/민감함,예술/영성/치유/연기,영적매력/환상적관계,정체성혼란/현실도피,예술성/영적깊이/직관,편인격/종격,"1하우스 해왕성은 몽환의 자아. 신비롭고 예술적인 존재."
HP_pluto_1,명왕성,1하우스,강렬한자아,강렬함/카리스마/변환력,심리학/위기관리/리더,강렬한존재감/지배적,통제욕/파괴성,카리스마/변환력/재생,편관격/양인격,"1하우스 명왕성은 강렬한 자아. 카리스마 넘치는 변환의 존재."
