id,house,house_theme,sign,sign_element,sign_mode,sign_trait,interpretation,strength,challenge,advice,description
HOUSE_1_물병,1,자아와 정체성,물병자리,공기,고정,"혁신적, 독립적, 인도주의","1하우스(자아와 정체성)에 물병자리가 있으면, 혁신적, 독립적, 인도주의한 방식으로 이 영역을 경험합니다.",물병자리의 공기 에너지가 자아와 정체성 영역에서 발휘됩니다.,고정궁의 특성이 때로 자아와 정체성 영역에서 도전이 될 수 있습니다.,자아와 정체성 영역에서 물병자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_1_물병: Governs life matters.
HOUSE_1_물고기,1,자아와 정체성,물고기자리,물,변통,"상상력, 공감, 몽상적","1하우스(자아와 정체성)에 물고기자리가 있으면, 상상력, 공감, 몽상적한 방식으로 이 영역을 경험합니다.",물고기자리의 물 에너지가 자아와 정체성 영역에서 발휘됩니다.,변통궁의 특성이 때로 자아와 정체성 영역에서 도전이 될 수 있습니다.,자아와 정체성 영역에서 물고기자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_1_물고기: Governs life matters.
HOUSE_2_양,2,재정과 가치관,양자리,불,활동,"선구적, 용감함, 충동적","2하우스(재정과 가치관)에 양자리가 있으면, 선구적, 용감함, 충동적한 방식으로 이 영역을 경험합니다.",양자리의 불 에너지가 재정과 가치관 영역에서 발휘됩니다.,활동궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 양자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_양: Governs life matters.
HOUSE_2_황소,2,재정과 가치관,황소자리,땅,고정,"안정적, 감각적, 고집","2하우스(재정과 가치관)에 황소자리가 있으면, 안정적, 감각적, 고집한 방식으로 이 영역을 경험합니다.",황소자리의 땅 에너지가 재정과 가치관 영역에서 발휘됩니다.,고정궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 황소자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_황소: Governs life matters.
HOUSE_2_쌍둥이,2,재정과 가치관,쌍둥이자리,공기,변통,"다재다능, 호기심, 변덕","2하우스(재정과 가치관)에 쌍둥이자리가 있으면, 다재다능, 호기심, 변덕한 방식으로 이 영역을 경험합니다.",쌍둥이자리의 공기 에너지가 재정과 가치관 영역에서 발휘됩니다.,변통궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 쌍둥이자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_쌍둥이: Governs life matters.
HOUSE_2_게,2,재정과 가치관,게자리,물,활동,"보호적, 감정적, 직관적","2하우스(재정과 가치관)에 게자리가 있으면, 보호적, 감정적, 직관적한 방식으로 이 영역을 경험합니다.",게자리의 물 에너지가 재정과 가치관 영역에서 발휘됩니다.,활동궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 게자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_게: Governs life matters.
HOUSE_2_사자,2,재정과 가치관,사자자리,불,고정,"창의적, 자신감, 드라마틱","2하우스(재정과 가치관)에 사자자리가 있으면, 창의적, 자신감, 드라마틱한 방식으로 이 영역을 경험합니다.",사자자리의 불 에너지가 재정과 가치관 영역에서 발휘됩니다.,고정궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 사자자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_사자: Governs life matters.
HOUSE_2_처녀,2,재정과 가치관,처녀자리,땅,변통,"분석적, 실용적, 완벽주의","2하우스(재정과 가치관)에 처녀자리가 있으면, 분석적, 실용적, 완벽주의한 방식으로 이 영역을 경험합니다.",처녀자리의 땅 에너지가 재정과 가치관 영역에서 발휘됩니다.,변통궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 처녀자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_처녀: Governs life matters.
HOUSE_2_천칭,2,재정과 가치관,천칭자리,공기,활동,"외교적, 조화, 우유부단","2하우스(재정과 가치관)에 천칭자리가 있으면, 외교적, 조화, 우유부단한 방식으로 이 영역을 경험합니다.",천칭자리의 공기 에너지가 재정과 가치관 영역에서 발휘됩니다.,활동궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 천칭자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_천칭: Governs life matters.
HOUSE_2_전갈,2,재정과 가치관,전갈자리,물,고정,"강렬함, 통찰력, 집착","2하우스(재정과 가치관)에 전갈자리가 있으면, 강렬함, 통찰력, 집착한 방식으로 이 영역을 경험합니다.",전갈자리의 물 에너지가 재정과 가치관 영역에서 발휘됩니다.,고정궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 전갈자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_전갈: Governs life matters.
HOUSE_2_사수,2,재정과 가치관,사수자리,불,변통,"낙천적, 자유로움, 철학적","2하우스(재정과 가치관)에 사수자리가 있으면, 낙천적, 자유로움, 철학적한 방식으로 이 영역을 경험합니다.",사수자리의 불 에너지가 재정과 가치관 영역에서 발휘됩니다.,변통궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 사수자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_사수: Governs life matters.
HOUSE_2_염소,2,재정과 가치관,염소자리,땅,활동,"야심적, 책임감, 보수적","2하우스(재정과 가치관)에 염소자리가 있으면, 야심적, 책임감, 보수적한 방식으로 이 영역을 경험합니다.",염소자리의 땅 에너지가 재정과 가치관 영역에서 발휘됩니다.,활동궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 염소자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_염소: Governs life matters.
HOUSE_2_물병,2,재정과 가치관,물병자리,공기,고정,"혁신적, 독립적, 인도주의","2하우스(재정과 가치관)에 물병자리가 있으면, 혁신적, 독립적, 인도주의한 방식으로 이 영역을 경험합니다.",물병자리의 공기 에너지가 재정과 가치관 영역에서 발휘됩니다.,고정궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 물병자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_물병: Governs life matters.
HOUSE_2_물고기,2,재정과 가치관,물고기자리,물,변통,"상상력, 공감, 몽상적","2하우스(재정과 가치관)에 물고기자리가 있으면, 상상력, 공감, 몽상적한 방식으로 이 영역을 경험합니다.",물고기자리의 물 에너지가 재정과 가치관 영역에서 발휘됩니다.,변통궁의 특성이 때로 재정과 가치관 영역에서 도전이 될 수 있습니다.,재정과 가치관 영역에서 물고기자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_2_물고기: Governs life matters.
HOUSE_3_양,3,소통과 학습,양자리,불,활동,"선구적, 용감함, 충동적","3하우스(소통과 학습)에 양자리가 있으면, 선구적, 용감함, 충동적한 방식으로 이 영역을 경험합니다.",양자리의 불 에너지가 소통과 학습 영역에서 발휘됩니다.,활동궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 양자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_양: Governs life matters.
HOUSE_3_황소,3,소통과 학습,황소자리,땅,고정,"안정적, 감각적, 고집","3하우스(소통과 학습)에 황소자리가 있으면, 안정적, 감각적, 고집한 방식으로 이 영역을 경험합니다.",황소자리의 땅 에너지가 소통과 학습 영역에서 발휘됩니다.,고정궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 황소자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_황소: Governs life matters.
HOUSE_3_쌍둥이,3,소통과 학습,쌍둥이자리,공기,변통,"다재다능, 호기심, 변덕","3하우스(소통과 학습)에 쌍둥이자리가 있으면, 다재다능, 호기심, 변덕한 방식으로 이 영역을 경험합니다.",쌍둥이자리의 공기 에너지가 소통과 학습 영역에서 발휘됩니다.,변통궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 쌍둥이자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_쌍둥이: Governs life matters.
HOUSE_3_게,3,소통과 학습,게자리,물,활동,"보호적, 감정적, 직관적","3하우스(소통과 학습)에 게자리가 있으면, 보호적, 감정적, 직관적한 방식으로 이 영역을 경험합니다.",게자리의 물 에너지가 소통과 학습 영역에서 발휘됩니다.,활동궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 게자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_게: Governs life matters.
HOUSE_3_사자,3,소통과 학습,사자자리,불,고정,"창의적, 자신감, 드라마틱","3하우스(소통과 학습)에 사자자리가 있으면, 창의적, 자신감, 드라마틱한 방식으로 이 영역을 경험합니다.",사자자리의 불 에너지가 소통과 학습 영역에서 발휘됩니다.,고정궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 사자자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_사자: Governs life matters.
HOUSE_3_처녀,3,소통과 학습,처녀자리,땅,변통,"분석적, 실용적, 완벽주의","3하우스(소통과 학습)에 처녀자리가 있으면, 분석적, 실용적, 완벽주의한 방식으로 이 영역을 경험합니다.",처녀자리의 땅 에너지가 소통과 학습 영역에서 발휘됩니다.,변통궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 처녀자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_처녀: Governs life matters.
HOUSE_3_천칭,3,소통과 학습,천칭자리,공기,활동,"외교적, 조화, 우유부단","3하우스(소통과 학습)에 천칭자리가 있으면, 외교적, 조화, 우유부단한 방식으로 이 영역을 경험합니다.",천칭자리의 공기 에너지가 소통과 학습 영역에서 발휘됩니다.,활동궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 천칭자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_천칭: Governs life matters.
HOUSE_3_전갈,3,소통과 학습,전갈자리,물,고정,"강렬함, 통찰력, 집착","3하우스(소통과 학습)에 전갈자리가 있으면, 강렬함, 통찰력, 집착한 방식으로 이 영역을 경험합니다.",전갈자리의 물 에너지가 소통과 학습 영역에서 발휘됩니다.,고정궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 전갈자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_전갈: Governs life matters.
HOUSE_3_사수,3,소통과 학습,사수자리,불,변통,"낙천적, 자유로움, 철학적","3하우스(소통과 학습)에 사수자리가 있으면, 낙천적, 자유로움, 철학적한 방식으로 이 영역을 경험합니다.",사수자리의 불 에너지가 소통과 학습 영역에서 발휘됩니다.,변통궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 사수자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_사수: Governs life matters.
HOUSE_3_염소,3,소통과 학습,염소자리,땅,활동,"야심적, 책임감, 보수적","3하우스(소통과 학습)에 염소자리가 있으면, 야심적, 책임감, 보수적한 방식으로 이 영역을 경험합니다.",염소자리의 땅 에너지가 소통과 학습 영역에서 발휘됩니다.,활동궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 염소자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_염소: Governs life matters.
HOUSE_3_물병,3,소통과 학습,물병자리,공기,고정,"혁신적, 독립적, 인도주의","3하우스(소통과 학습)에 물병자리가 있으면, 혁신적, 독립적, 인도주의한 방식으로 이 영역을 경험합니다.",물병자리의 공기 에너지가 소통과 학습 영역에서 발휘됩니다.,고정궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 물병자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_물병: Governs life matters.
HOUSE_3_물고기,3,소통과 학습,물고기자리,물,변통,"상상력, 공감, 몽상적","3하우스(소통과 학습)에 물고기자리가 있으면, 상상력, 공감, 몽상적한 방식으로 이 영역을 경험합니다.",물고기자리의 물 에너지가 소통과 학습 영역에서 발휘됩니다.,변통궁의 특성이 때로 소통과 학습 영역에서 도전이 될 수 있습니다.,소통과 학습 영역에서 물고기자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_3_물고기: Governs life matters.
HOUSE_4_양,4,가정과 뿌리,양자리,불,활동,"선구적, 용감함, 충동적","4하우스(가정과 뿌리)에 양자리가 있으면, 선구적, 용감함, 충동적한 방식으로 이 영역을 경험합니다.",양자리의 불 에너지가 가정과 뿌리 영역에서 발휘됩니다.,활동궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 양자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_양: Governs life matters.
HOUSE_4_황소,4,가정과 뿌리,황소자리,땅,고정,"안정적, 감각적, 고집","4하우스(가정과 뿌리)에 황소자리가 있으면, 안정적, 감각적, 고집한 방식으로 이 영역을 경험합니다.",황소자리의 땅 에너지가 가정과 뿌리 영역에서 발휘됩니다.,고정궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 황소자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_황소: Governs life matters.
HOUSE_4_쌍둥이,4,가정과 뿌리,쌍둥이자리,공기,변통,"다재다능, 호기심, 변덕","4하우스(가정과 뿌리)에 쌍둥이자리가 있으면, 다재다능, 호기심, 변덕한 방식으로 이 영역을 경험합니다.",쌍둥이자리의 공기 에너지가 가정과 뿌리 영역에서 발휘됩니다.,변통궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 쌍둥이자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_쌍둥이: Governs life matters.
HOUSE_4_게,4,가정과 뿌리,게자리,물,활동,"보호적, 감정적, 직관적","4하우스(가정과 뿌리)에 게자리가 있으면, 보호적, 감정적, 직관적한 방식으로 이 영역을 경험합니다.",게자리의 물 에너지가 가정과 뿌리 영역에서 발휘됩니다.,활동궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 게자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_게: Governs life matters.
HOUSE_4_사자,4,가정과 뿌리,사자자리,불,고정,"창의적, 자신감, 드라마틱","4하우스(가정과 뿌리)에 사자자리가 있으면, 창의적, 자신감, 드라마틱한 방식으로 이 영역을 경험합니다.",사자자리의 불 에너지가 가정과 뿌리 영역에서 발휘됩니다.,고정궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 사자자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_사자: Governs life matters.
HOUSE_4_처녀,4,가정과 뿌리,처녀자리,땅,변통,"분석적, 실용적, 완벽주의","4하우스(가정과 뿌리)에 처녀자리가 있으면, 분석적, 실용적, 완벽주의한 방식으로 이 영역을 경험합니다.",처녀자리의 땅 에너지가 가정과 뿌리 영역에서 발휘됩니다.,변통궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 처녀자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_처녀: Governs life matters.
HOUSE_4_천칭,4,가정과 뿌리,천칭자리,공기,활동,"외교적, 조화, 우유부단","4하우스(가정과 뿌리)에 천칭자리가 있으면, 외교적, 조화, 우유부단한 방식으로 이 영역을 경험합니다.",천칭자리의 공기 에너지가 가정과 뿌리 영역에서 발휘됩니다.,활동궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 천칭자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_천칭: Governs life matters.
HOUSE_4_전갈,4,가정과 뿌리,전갈자리,물,고정,"강렬함, 통찰력, 집착","4하우스(가정과 뿌리)에 전갈자리가 있으면, 강렬함, 통찰력, 집착한 방식으로 이 영역을 경험합니다.",전갈자리의 물 에너지가 가정과 뿌리 영역에서 발휘됩니다.,고정궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 전갈자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_전갈: Governs life matters.
HOUSE_4_사수,4,가정과 뿌리,사수자리,불,변통,"낙천적, 자유로움, 철학적","4하우스(가정과 뿌리)에 사수자리가 있으면, 낙천적, 자유로움, 철학적한 방식으로 이 영역을 경험합니다.",사수자리의 불 에너지가 가정과 뿌리 영역에서 발휘됩니다.,변통궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 사수자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_사수: Governs life matters.
HOUSE_4_염소,4,가정과 뿌리,염소자리,땅,활동,"야심적, 책임감, 보수적","4하우스(가정과 뿌리)에 염소자리가 있으면, 야심적, 책임감, 보수적한 방식으로 이 영역을 경험합니다.",염소자리의 땅 에너지가 가정과 뿌리 영역에서 발휘됩니다.,활동궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 염소자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_염소: Governs life matters.
HOUSE_4_물병,4,가정과 뿌리,물병자리,공기,고정,"혁신적, 독립적, 인도주의","4하우스(가정과 뿌리)에 물병자리가 있으면, 혁신적, 독립적, 인도주의한 방식으로 이 영역을 경험합니다.",물병자리의 공기 에너지가 가정과 뿌리 영역에서 발휘됩니다.,고정궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 물병자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_물병: Governs life matters.
HOUSE_4_물고기,4,가정과 뿌리,물고기자리,물,변통,"상상력, 공감, 몽상적","4하우스(가정과 뿌리)에 물고기자리가 있으면, 상상력, 공감, 몽상적한 방식으로 이 영역을 경험합니다.",물고기자리의 물 에너지가 가정과 뿌리 영역에서 발휘됩니다.,변통궁의 특성이 때로 가정과 뿌리 영역에서 도전이 될 수 있습니다.,가정과 뿌리 영역에서 물고기자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_4_물고기: Governs life matters.
HOUSE_5_양,5,창조와 로맨스,양자리,불,활동,"선구적, 용감함, 충동적","5하우스(창조와 로맨스)에 양자리가 있으면, 선구적, 용감함, 충동적한 방식으로 이 영역을 경험합니다.",양자리의 불 에너지가 창조와 로맨스 영역에서 발휘됩니다.,활동궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 양자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_양: Governs life matters.
HOUSE_5_황소,5,창조와 로맨스,황소자리,땅,고정,"안정적, 감각적, 고집","5하우스(창조와 로맨스)에 황소자리가 있으면, 안정적, 감각적, 고집한 방식으로 이 영역을 경험합니다.",황소자리의 땅 에너지가 창조와 로맨스 영역에서 발휘됩니다.,고정궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 황소자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_황소: Governs life matters.
HOUSE_5_쌍둥이,5,창조와 로맨스,쌍둥이자리,공기,변통,"다재다능, 호기심, 변덕","5하우스(창조와 로맨스)에 쌍둥이자리가 있으면, 다재다능, 호기심, 변덕한 방식으로 이 영역을 경험합니다.",쌍둥이자리의 공기 에너지가 창조와 로맨스 영역에서 발휘됩니다.,변통궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 쌍둥이자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_쌍둥이: Governs life matters.
HOUSE_5_게,5,창조와 로맨스,게자리,물,활동,"보호적, 감정적, 직관적","5하우스(창조와 로맨스)에 게자리가 있으면, 보호적, 감정적, 직관적한 방식으로 이 영역을 경험합니다.",게자리의 물 에너지가 창조와 로맨스 영역에서 발휘됩니다.,활동궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 게자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_게: Governs life matters.
HOUSE_5_사자,5,창조와 로맨스,사자자리,불,고정,"창의적, 자신감, 드라마틱","5하우스(창조와 로맨스)에 사자자리가 있으면, 창의적, 자신감, 드라마틱한 방식으로 이 영역을 경험합니다.",사자자리의 불 에너지가 창조와 로맨스 영역에서 발휘됩니다.,고정궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 사자자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_사자: Governs life matters.
HOUSE_5_처녀,5,창조와 로맨스,처녀자리,땅,변통,"분석적, 실용적, 완벽주의","5하우스(창조와 로맨스)에 처녀자리가 있으면, 분석적, 실용적, 완벽주의한 방식으로 이 영역을 경험합니다.",처녀자리의 땅 에너지가 창조와 로맨스 영역에서 발휘됩니다.,변통궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 처녀자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_처녀: Governs life matters.
HOUSE_5_천칭,5,창조와 로맨스,천칭자리,공기,활동,"외교적, 조화, 우유부단","5하우스(창조와 로맨스)에 천칭자리가 있으면, 외교적, 조화, 우유부단한 방식으로 이 영역을 경험합니다.",천칭자리의 공기 에너지가 창조와 로맨스 영역에서 발휘됩니다.,활동궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 천칭자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_천칭: Governs life matters.
HOUSE_5_전갈,5,창조와 로맨스,전갈자리,물,고정,"강렬함, 통찰력, 집착","5하우스(창조와 로맨스)에 전갈자리가 있으면, 강렬함, 통찰력, 집착한 방식으로 이 영역을 경험합니다.",전갈자리의 물 에너지가 창조와 로맨스 영역에서 발휘됩니다.,고정궁의 특성이 때로 창조와 로맨스 영역에서 도전이 될 수 있습니다.,창조와 로맨스 영역에서 전갈자리의 장점을 살리면서 균형을 찾으세요.,House HOUSE_5_전갈: Governs life matters.
