id,planet,planet_kr,house,house_domain,duration,theme,opportunities,challenges,advice,description
TRANSIT_Sun_H11,Sun,태양,11,"친구, 희망, 단체활동",1년,"태양이(가) 11하우스(친구, 희망, 단체활동)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","친구, 희망, 단체활동 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 친구, 희망, 단체활동 관련 도전이 있을 수 있습니다.","이 시기에는 친구, 희망, 단체활동 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Sun_H12,Sun,태양,12,"무의식, 영성, 숨겨진 것",1년,"태양이(가) 12하우스(무의식, 영성, 숨겨진 것)를 지나면서 자아, 정체성, 생명력의 에너지가 이 영역에 영향을 미칩니다.","무의식, 영성, 숨겨진 것 영역에서 자아, 정체성, 생명력과 관련된 성장과 발전의 기회가 열립니다.","태양의 에너지가 강하게 작용하여 무의식, 영성, 숨겨진 것 관련 도전이 있을 수 있습니다.","이 시기에는 무의식, 영성, 숨겨진 것 영역에 자아, 정체성, 생명력의 관점을 적용해보세요. 태양의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Sun transit to natal position: Activates change and growth.
TRANSIT_Moon_H1,Moon,달,1,"자아, 외모, 첫인상",28일,"달이(가) 1하우스(자아, 외모, 첫인상)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","자아, 외모, 첫인상 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 자아, 외모, 첫인상 관련 도전이 있을 수 있습니다.","이 시기에는 자아, 외모, 첫인상 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H2,Moon,달,2,"재정, 가치관, 소유",28일,"달이(가) 2하우스(재정, 가치관, 소유)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","재정, 가치관, 소유 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 재정, 가치관, 소유 관련 도전이 있을 수 있습니다.","이 시기에는 재정, 가치관, 소유 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H3,Moon,달,3,"소통, 형제, 단거리 이동",28일,"달이(가) 3하우스(소통, 형제, 단거리 이동)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","소통, 형제, 단거리 이동 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 소통, 형제, 단거리 이동 관련 도전이 있을 수 있습니다.","이 시기에는 소통, 형제, 단거리 이동 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H4,Moon,달,4,"가정, 뿌리, 부동산",28일,"달이(가) 4하우스(가정, 뿌리, 부동산)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","가정, 뿌리, 부동산 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 가정, 뿌리, 부동산 관련 도전이 있을 수 있습니다.","이 시기에는 가정, 뿌리, 부동산 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H5,Moon,달,5,"창조, 로맨스, 자녀",28일,"달이(가) 5하우스(창조, 로맨스, 자녀)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","창조, 로맨스, 자녀 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 창조, 로맨스, 자녀 관련 도전이 있을 수 있습니다.","이 시기에는 창조, 로맨스, 자녀 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H6,Moon,달,6,"건강, 일상, 봉사",28일,"달이(가) 6하우스(건강, 일상, 봉사)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","건강, 일상, 봉사 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 건강, 일상, 봉사 관련 도전이 있을 수 있습니다.","이 시기에는 건강, 일상, 봉사 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H7,Moon,달,7,"파트너십, 결혼, 계약",28일,"달이(가) 7하우스(파트너십, 결혼, 계약)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","파트너십, 결혼, 계약 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 파트너십, 결혼, 계약 관련 도전이 있을 수 있습니다.","이 시기에는 파트너십, 결혼, 계약 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H8,Moon,달,8,"변환, 공유자원, 심리",28일,"달이(가) 8하우스(변환, 공유자원, 심리)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","변환, 공유자원, 심리 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 변환, 공유자원, 심리 관련 도전이 있을 수 있습니다.","이 시기에는 변환, 공유자원, 심리 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H9,Moon,달,9,"철학, 고등교육, 해외",28일,"달이(가) 9하우스(철학, 고등교육, 해외)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","철학, 고등교육, 해외 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 철학, 고등교육, 해외 관련 도전이 있을 수 있습니다.","이 시기에는 철학, 고등교육, 해외 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H10,Moon,달,10,"경력, 명성, 사회적 지위",28일,"달이(가) 10하우스(경력, 명성, 사회적 지위)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","경력, 명성, 사회적 지위 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 경력, 명성, 사회적 지위 관련 도전이 있을 수 있습니다.","이 시기에는 경력, 명성, 사회적 지위 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H11,Moon,달,11,"친구, 희망, 단체활동",28일,"달이(가) 11하우스(친구, 희망, 단체활동)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","친구, 희망, 단체활동 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 친구, 희망, 단체활동 관련 도전이 있을 수 있습니다.","이 시기에는 친구, 희망, 단체활동 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Moon_H12,Moon,달,12,"무의식, 영성, 숨겨진 것",28일,"달이(가) 12하우스(무의식, 영성, 숨겨진 것)를 지나면서 감정, 무의식, 본능의 에너지가 이 영역에 영향을 미칩니다.","무의식, 영성, 숨겨진 것 영역에서 감정, 무의식, 본능과 관련된 성장과 발전의 기회가 열립니다.","달의 에너지가 강하게 작용하여 무의식, 영성, 숨겨진 것 관련 도전이 있을 수 있습니다.","이 시기에는 무의식, 영성, 숨겨진 것 영역에 감정, 무의식, 본능의 관점을 적용해보세요. 달의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Moon transit to natal position: Activates change and growth.
TRANSIT_Mercury_H1,Mercury,수성,1,"자아, 외모, 첫인상",88일,"수성이(가) 1하우스(자아, 외모, 첫인상)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","자아, 외모, 첫인상 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 자아, 외모, 첫인상 관련 도전이 있을 수 있습니다.","이 시기에는 자아, 외모, 첫인상 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H2,Mercury,수성,2,"재정, 가치관, 소유",88일,"수성이(가) 2하우스(재정, 가치관, 소유)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","재정, 가치관, 소유 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 재정, 가치관, 소유 관련 도전이 있을 수 있습니다.","이 시기에는 재정, 가치관, 소유 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H3,Mercury,수성,3,"소통, 형제, 단거리 이동",88일,"수성이(가) 3하우스(소통, 형제, 단거리 이동)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","소통, 형제, 단거리 이동 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 소통, 형제, 단거리 이동 관련 도전이 있을 수 있습니다.","이 시기에는 소통, 형제, 단거리 이동 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H4,Mercury,수성,4,"가정, 뿌리, 부동산",88일,"수성이(가) 4하우스(가정, 뿌리, 부동산)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","가정, 뿌리, 부동산 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 가정, 뿌리, 부동산 관련 도전이 있을 수 있습니다.","이 시기에는 가정, 뿌리, 부동산 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H5,Mercury,수성,5,"창조, 로맨스, 자녀",88일,"수성이(가) 5하우스(창조, 로맨스, 자녀)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","창조, 로맨스, 자녀 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 창조, 로맨스, 자녀 관련 도전이 있을 수 있습니다.","이 시기에는 창조, 로맨스, 자녀 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H6,Mercury,수성,6,"건강, 일상, 봉사",88일,"수성이(가) 6하우스(건강, 일상, 봉사)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","건강, 일상, 봉사 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 건강, 일상, 봉사 관련 도전이 있을 수 있습니다.","이 시기에는 건강, 일상, 봉사 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H7,Mercury,수성,7,"파트너십, 결혼, 계약",88일,"수성이(가) 7하우스(파트너십, 결혼, 계약)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","파트너십, 결혼, 계약 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 파트너십, 결혼, 계약 관련 도전이 있을 수 있습니다.","이 시기에는 파트너십, 결혼, 계약 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H8,Mercury,수성,8,"변환, 공유자원, 심리",88일,"수성이(가) 8하우스(변환, 공유자원, 심리)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","변환, 공유자원, 심리 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 변환, 공유자원, 심리 관련 도전이 있을 수 있습니다.","이 시기에는 변환, 공유자원, 심리 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H9,Mercury,수성,9,"철학, 고등교육, 해외",88일,"수성이(가) 9하우스(철학, 고등교육, 해외)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","철학, 고등교육, 해외 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 철학, 고등교육, 해외 관련 도전이 있을 수 있습니다.","이 시기에는 철학, 고등교육, 해외 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H10,Mercury,수성,10,"경력, 명성, 사회적 지위",88일,"수성이(가) 10하우스(경력, 명성, 사회적 지위)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","경력, 명성, 사회적 지위 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 경력, 명성, 사회적 지위 관련 도전이 있을 수 있습니다.","이 시기에는 경력, 명성, 사회적 지위 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H11,Mercury,수성,11,"친구, 희망, 단체활동",88일,"수성이(가) 11하우스(친구, 희망, 단체활동)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","친구, 희망, 단체활동 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 친구, 희망, 단체활동 관련 도전이 있을 수 있습니다.","이 시기에는 친구, 희망, 단체활동 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Mercury_H12,Mercury,수성,12,"무의식, 영성, 숨겨진 것",88일,"수성이(가) 12하우스(무의식, 영성, 숨겨진 것)를 지나면서 소통, 지성, 학습의 에너지가 이 영역에 영향을 미칩니다.","무의식, 영성, 숨겨진 것 영역에서 소통, 지성, 학습과 관련된 성장과 발전의 기회가 열립니다.","수성의 에너지가 강하게 작용하여 무의식, 영성, 숨겨진 것 관련 도전이 있을 수 있습니다.","이 시기에는 무의식, 영성, 숨겨진 것 영역에 소통, 지성, 학습의 관점을 적용해보세요. 수성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Mercury transit to natal position: Activates change and growth.
TRANSIT_Venus_H1,Venus,금성,1,"자아, 외모, 첫인상",225일,"금성이(가) 1하우스(자아, 외모, 첫인상)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","자아, 외모, 첫인상 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 자아, 외모, 첫인상 관련 도전이 있을 수 있습니다.","이 시기에는 자아, 외모, 첫인상 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
TRANSIT_Venus_H2,Venus,금성,2,"재정, 가치관, 소유",225일,"금성이(가) 2하우스(재정, 가치관, 소유)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","재정, 가치관, 소유 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 재정, 가치관, 소유 관련 도전이 있을 수 있습니다.","이 시기에는 재정, 가치관, 소유 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
TRANSIT_Venus_H3,Venus,금성,3,"소통, 형제, 단거리 이동",225일,"금성이(가) 3하우스(소통, 형제, 단거리 이동)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","소통, 형제, 단거리 이동 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 소통, 형제, 단거리 이동 관련 도전이 있을 수 있습니다.","이 시기에는 소통, 형제, 단거리 이동 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
TRANSIT_Venus_H4,Venus,금성,4,"가정, 뿌리, 부동산",225일,"금성이(가) 4하우스(가정, 뿌리, 부동산)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","가정, 뿌리, 부동산 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 가정, 뿌리, 부동산 관련 도전이 있을 수 있습니다.","이 시기에는 가정, 뿌리, 부동산 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
TRANSIT_Venus_H5,Venus,금성,5,"창조, 로맨스, 자녀",225일,"금성이(가) 5하우스(창조, 로맨스, 자녀)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","창조, 로맨스, 자녀 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 창조, 로맨스, 자녀 관련 도전이 있을 수 있습니다.","이 시기에는 창조, 로맨스, 자녀 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
TRANSIT_Venus_H6,Venus,금성,6,"건강, 일상, 봉사",225일,"금성이(가) 6하우스(건강, 일상, 봉사)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","건강, 일상, 봉사 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 건강, 일상, 봉사 관련 도전이 있을 수 있습니다.","이 시기에는 건강, 일상, 봉사 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
TRANSIT_Venus_H7,Venus,금성,7,"파트너십, 결혼, 계약",225일,"금성이(가) 7하우스(파트너십, 결혼, 계약)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","파트너십, 결혼, 계약 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 파트너십, 결혼, 계약 관련 도전이 있을 수 있습니다.","이 시기에는 파트너십, 결혼, 계약 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
TRANSIT_Venus_H8,Venus,금성,8,"변환, 공유자원, 심리",225일,"금성이(가) 8하우스(변환, 공유자원, 심리)를 지나면서 사랑, 미, 가치의 에너지가 이 영역에 영향을 미칩니다.","변환, 공유자원, 심리 영역에서 사랑, 미, 가치과 관련된 성장과 발전의 기회가 열립니다.","금성의 에너지가 강하게 작용하여 변환, 공유자원, 심리 관련 도전이 있을 수 있습니다.","이 시기에는 변환, 공유자원, 심리 영역에 사랑, 미, 가치의 관점을 적용해보세요. 금성의 지혜를 활용하면 좋은 결과가 있을 것입니다.",Venus transit to natal position: Activates change and growth.
