id,label,type,canonical_id,description
ASTRO_HOUSE_H5,HOUSE H5,astro_alias,H5,ASTRO_HOUSE_H5 is an alias for H5.
ASTRO_HOUSE_H6,HOUSE H6,astro_alias,H6,ASTRO_HOUSE_H6 is an alias for H6.
ASTRO_HOUSE_H7,HOUSE H7,astro_alias,H7,ASTRO_HOUSE_H7 is an alias for H7.
ASTRO_HOUSE_H8,HOUSE H8,astro_alias,H8,ASTRO_HOUSE_H8 is an alias for H8.
ASTRO_HOUSE_H9,HOUSE H9,astro_alias,H9,ASTRO_HOUSE_H9 is an alias for H9.
ASTRO_INDEPENDENCE_UranusAsc,INDEPENDENCE UranusAsc,astro_concept,,ASTRO_INDEPENDENCE_UranusAsc 점성학 개념/조합 노드.
ASTRO_INTUITION_Neptune12th,INTUITION Neptune12th,astro_alias,HP_neptune_12,ASTRO_INTUITION_Neptune12th is an alias for HP_neptune_12.
ASTRO_Jupiter,Jupiter,astro_alias,Jupiter,ASTRO_Jupiter is an alias for Jupiter.
ASTRO_Jupiter_Aquarius,Jupiter Aquarius,astro_concept,,ASTRO_Jupiter_Aquarius 점성학 개념/조합 노드.
ASTRO_Jupiter_Aries,Jupiter Aries,astro_concept,,ASTRO_Jupiter_Aries 점성학 개념/조합 노드.
ASTRO_Jupiter_Cancer,Jupiter Cancer,astro_concept,,ASTRO_Jupiter_Cancer 점성학 개념/조합 노드.
ASTRO_Jupiter_Capricorn,Jupiter Capricorn,astro_concept,,ASTRO_Jupiter_Capricorn 점성학 개념/조합 노드.
ASTRO_Jupiter_Gemini,Jupiter Gemini,astro_concept,,ASTRO_Jupiter_Gemini 점성학 개념/조합 노드.
ASTRO_Jupiter_H1,Jupiter H1,astro_concept,,ASTRO_Jupiter_H1 점성학 개념/조합 노드.
ASTRO_Jupiter_H10,Jupiter H10,astro_alias,HP_jupiter_10,ASTRO_Jupiter_H10 is an alias for HP_jupiter_10.
ASTRO_Jupiter_H11,Jupiter H11,astro_concept,,ASTRO_Jupiter_H11 점성학 개념/조합 노드.
ASTRO_Jupiter_H12,Jupiter H12,astro_concept,,ASTRO_Jupiter_H12 점성학 개념/조합 노드.
ASTRO_Jupiter_H2,Jupiter H2,astro_alias,HP_jupiter_2,ASTRO_Jupiter_H2 is an alias for HP_jupiter_2.
ASTRO_Jupiter_H3,Jupiter H3,astro_concept,,ASTRO_Jupiter_H3 점성학 개념/조합 노드.
ASTRO_Jupiter_H4,Jupiter H4,astro_concept,,ASTRO_Jupiter_H4 점성학 개념/조합 노드.
ASTRO_Jupiter_H5,Jupiter H5,astro_concept,,ASTRO_Jupiter_H5 점성학 개념/조합 노드.
ASTRO_Jupiter_H6,Jupiter H6,astro_concept,,ASTRO_Jupiter_H6 점성학 개념/조합 노드.
ASTRO_Jupiter_H7,Jupiter H7,astro_concept,,ASTRO_Jupiter_H7 점성학 개념/조합 노드.
ASTRO_Jupiter_H8,Jupiter H8,astro_concept,,ASTRO_Jupiter_H8 점성학 개념/조합 노드.
ASTRO_Jupiter_H9,Jupiter H9,astro_alias,HP_jupiter_9,ASTRO_Jupiter_H9 is an alias for HP_jupiter_9.
ASTRO_Jupiter_Leo,Jupiter Leo,astro_concept,,ASTRO_Jupiter_Leo 점성학 개념/조합 노드.
ASTRO_Jupiter_Libra,Jupiter Libra,astro_concept,,ASTRO_Jupiter_Libra 점성학 개념/조합 노드.
ASTRO_Jupiter_Pisces,Jupiter Pisces,astro_concept,,ASTRO_Jupiter_Pisces 점성학 개념/조합 노드.
ASTRO_Jupiter_Sagittarius,Jupiter Sagittarius,astro_alias,PS_jupiter_sag,ASTRO_Jupiter_Sagittarius is an alias for PS_jupiter_sag.
ASTRO_Jupiter_Scorpio,Jupiter Scorpio,astro_concept,,ASTRO_Jupiter_Scorpio 점성학 개념/조합 노드.
ASTRO_Jupiter_Taurus,Jupiter Taurus,astro_concept,,ASTRO_Jupiter_Taurus 점성학 개념/조합 노드.
ASTRO_Jupiter_Virgo,Jupiter Virgo,astro_concept,,ASTRO_Jupiter_Virgo 점성학 개념/조합 노드.
ASTRO_LEADERSHIP_Sun10th,LEADERSHIP Sun10th,astro_alias,HP_sun_10,ASTRO_LEADERSHIP_Sun10th is an alias for HP_sun_10.
ASTRO_LILITH_Lilith,LILITH Lilith,astro_alias,Black_Moon_Lilith,ASTRO_LILITH_Lilith is an alias for Black_Moon_Lilith.
ASTRO_LOVE_7thHouse,LOVE 7thHouse,astro_alias,H7,ASTRO_LOVE_7thHouse is an alias for H7.
ASTRO_Leo,Leo,astro_alias,Leo,ASTRO_Leo is an alias for Leo.
ASTRO_Libra,Libra,astro_alias,Libra,ASTRO_Libra is an alias for Libra.
ASTRO_MASTERY_SunConjMC,MASTERY SunConjMC,astro_concept,,ASTRO_MASTERY_SunConjMC 점성학 개념/조합 노드.
ASTRO_MYTH_Hercules,MYTH Hercules,astro_concept,,ASTRO_MYTH_Hercules 점성학 개념/조합 노드.
ASTRO_MYTH_Oracle,MYTH Oracle,astro_concept,,ASTRO_MYTH_Oracle 점성학 개념/조합 노드.
ASTRO_Mars,Mars,astro_alias,Mars,ASTRO_Mars is an alias for Mars.
ASTRO_Mars_Aquarius,Mars Aquarius,astro_concept,,ASTRO_Mars_Aquarius 점성학 개념/조합 노드.
ASTRO_Mars_Aries,Mars Aries,astro_alias,PS_mars_ari,ASTRO_Mars_Aries is an alias for PS_mars_ari.
ASTRO_Mars_Cancer,Mars Cancer,astro_concept,,ASTRO_Mars_Cancer 점성학 개념/조합 노드.
ASTRO_Mars_Capricorn,Mars Capricorn,astro_alias,PS_mars_cap,ASTRO_Mars_Capricorn is an alias for PS_mars_cap.
ASTRO_Mars_Gemini,Mars Gemini,astro_concept,,ASTRO_Mars_Gemini 점성학 개념/조합 노드.
ASTRO_Mars_H1,Mars H1,astro_alias,HP_mars_1,ASTRO_Mars_H1 is an alias for HP_mars_1.
ASTRO_Mars_H10,Mars H10,astro_alias,HP_mars_10,ASTRO_Mars_H10 is an alias for HP_mars_10.
ASTRO_Mars_H11,Mars H11,astro_concept,,ASTRO_Mars_H11 점성학 개념/조합 노드.
ASTRO_Mars_H12,Mars H12,astro_concept,,ASTRO_Mars_H12 점성학 개념/조합 노드.
ASTRO_Mars_H2,Mars H2,astro_concept,,ASTRO_Mars_H2 점성학 개념/조합 노드.
ASTRO_Mars_H3,Mars H3,astro_concept,,ASTRO_Mars_H3 점성학 개념/조합 노드.
ASTRO_Mars_H4,Mars H4,astro_concept,,ASTRO_Mars_H4 점성학 개념/조합 노드.
ASTRO_Mars_H5,Mars H5,astro_concept,,ASTRO_Mars_H5 점성학 개념/조합 노드.
ASTRO_Mars_H6,Mars H6,astro_alias,HP_mars_6,ASTRO_Mars_H6 is an alias for HP_mars_6.
ASTRO_Mars_H7,Mars H7,astro_alias,HP_mars_7,ASTRO_Mars_H7 is an alias for HP_mars_7.
ASTRO_Mars_H8,Mars H8,astro_concept,,ASTRO_Mars_H8 점성학 개념/조합 노드.
ASTRO_Mars_H9,Mars H9,astro_concept,,ASTRO_Mars_H9 점성학 개념/조합 노드.
ASTRO_Mars_Leo,Mars Leo,astro_concept,,ASTRO_Mars_Leo 점성학 개념/조합 노드.
ASTRO_Mars_Libra,Mars Libra,astro_concept,,ASTRO_Mars_Libra 점성학 개념/조합 노드.
ASTRO_Mars_Pisces,Mars Pisces,astro_concept,,ASTRO_Mars_Pisces 점성학 개념/조합 노드.
ASTRO_Mars_Sagittarius,Mars Sagittarius,astro_concept,,ASTRO_Mars_Sagittarius 점성학 개념/조합 노드.
ASTRO_Mars_Scorpio,Mars Scorpio,astro_concept,,ASTRO_Mars_Scorpio 점성학 개념/조합 노드.
ASTRO_Mars_Taurus,Mars Taurus,astro_concept,,ASTRO_Mars_Taurus 점성학 개념/조합 노드.
ASTRO_Mars_Virgo,Mars Virgo,astro_concept,,ASTRO_Mars_Virgo 점성학 개념/조합 노드.
ASTRO_Mercury,Mercury,astro_alias,Mercury,ASTRO_Mercury is an alias for Mercury.
ASTRO_Mercury_Aquarius,Mercury Aquarius,astro_concept,,ASTRO_Mercury_Aquarius 점성학 개념/조합 노드.
ASTRO_Mercury_Aries,Mercury Aries,astro_concept,,ASTRO_Mercury_Aries 점성학 개념/조합 노드.
ASTRO_Mercury_Cancer,Mercury Cancer,astro_concept,,ASTRO_Mercury_Cancer 점성학 개념/조합 노드.
ASTRO_Mercury_Capricorn,Mercury Capricorn,astro_concept,,ASTRO_Mercury_Capricorn 점성학 개념/조합 노드.
ASTRO_Mercury_Gemini,Mercury Gemini,astro_concept,,ASTRO_Mercury_Gemini 점성학 개념/조합 노드.
ASTRO_Mercury_H1,Mercury H1,astro_concept,,ASTRO_Mercury_H1 점성학 개념/조합 노드.
ASTRO_Mercury_H10,Mercury H10,astro_alias,HP_mercury_10,ASTRO_Mercury_H10 is an alias for HP_mercury_10.
ASTRO_Mercury_H11,Mercury H11,astro_concept,,ASTRO_Mercury_H11 점성학 개념/조합 노드.
ASTRO_Mercury_H12,Mercury H12,astro_concept,,ASTRO_Mercury_H12 점성학 개념/조합 노드.
ASTRO_Mercury_H2,Mercury H2,astro_concept,,ASTRO_Mercury_H2 점성학 개념/조합 노드.
ASTRO_Mercury_H3,Mercury H3,astro_alias,HP_mercury_3,ASTRO_Mercury_H3 is an alias for HP_mercury_3.
ASTRO_Mercury_H4,Mercury H4,astro_concept,,ASTRO_Mercury_H4 점성학 개념/조합 노드.
ASTRO_Mercury_H5,Mercury H5,astro_concept,,ASTRO_Mercury_H5 점성학 개념/조합 노드.
ASTRO_Mercury_H6,Mercury H6,astro_alias,HP_mercury_6,ASTRO_Mercury_H6 is an alias for HP_mercury_6.
ASTRO_Mercury_H7,Mercury H7,astro_concept,,ASTRO_Mercury_H7 점성학 개념/조합 노드.
ASTRO_Mercury_H8,Mercury H8,astro_concept,,ASTRO_Mercury_H8 점성학 개념/조합 노드.
ASTRO_Mercury_H9,Mercury H9,astro_concept,,ASTRO_Mercury_H9 점성학 개념/조합 노드.
ASTRO_Mercury_Leo,Mercury Leo,astro_concept,,ASTRO_Mercury_Leo 점성학 개념/조합 노드.
ASTRO_Mercury_Libra,Mercury Libra,astro_concept,,ASTRO_Mercury_Libra 점성학 개념/조합 노드.
ASTRO_Mercury_Pisces,Mercury Pisces,astro_concept,,ASTRO_Mercury_Pisces 점성학 개념/조합 노드.
ASTRO_Mercury_Sagittarius,Mercury Sagittarius,astro_concept,,ASTRO_Mercury_Sagittarius 점성학 개념/조합 노드.
ASTRO_Mercury_Scorpio,Mercury Scorpio,astro_concept,,ASTRO_Mercury_Scorpio 점성학 개념/조합 노드.
ASTRO_Mercury_Taurus,Mercury Taurus,astro_concept,,ASTRO_Mercury_Taurus 점성학 개념/조합 노드.
ASTRO_Mercury_Virgo,Mercury Virgo,astro_alias,PS_mercury_vir,ASTRO_Mercury_Virgo is an alias for PS_mercury_vir.
ASTRO_Moon,Moon,astro_alias,Moon,ASTRO_Moon is an alias for Moon.
ASTRO_Moon_Aquarius,Moon Aquarius,astro_concept,,ASTRO_Moon_Aquarius 점성학 개념/조합 노드.
ASTRO_Moon_Aries,Moon Aries,astro_concept,,ASTRO_Moon_Aries 점성학 개념/조합 노드.
ASTRO_Moon_Cancer,Moon Cancer,astro_alias,PS_moon_can,ASTRO_Moon_Cancer is an alias for PS_moon_can.
ASTRO_Moon_Capricorn,Moon Capricorn,astro_alias,PS_moon_cap,ASTRO_Moon_Capricorn is an alias for PS_moon_cap.
ASTRO_Moon_Gemini,Moon Gemini,astro_concept,,ASTRO_Moon_Gemini 점성학 개념/조합 노드.
ASTRO_Moon_H1,Moon H1,astro_alias,HP_moon_1,ASTRO_Moon_H1 is an alias for HP_moon_1.
ASTRO_Moon_H10,Moon H10,astro_alias,HP_moon_10,ASTRO_Moon_H10 is an alias for HP_moon_10.
ASTRO_Moon_H11,Moon H11,astro_concept,,ASTRO_Moon_H11 점성학 개념/조합 노드.
ASTRO_Moon_H12,Moon H12,astro_concept,,ASTRO_Moon_H12 점성학 개념/조합 노드.
ASTRO_Moon_H2,Moon H2,astro_concept,,ASTRO_Moon_H2 점성학 개념/조합 노드.
ASTRO_Moon_H3,Moon H3,astro_concept,,ASTRO_Moon_H3 점성학 개념/조합 노드.
ASTRO_Moon_H4,Moon H4,astro_alias,HP_moon_4,ASTRO_Moon_H4 is an alias for HP_moon_4.
ASTRO_Moon_H5,Moon H5,astro_concept,,ASTRO_Moon_H5 점성학 개념/조합 노드.
ASTRO_Moon_H6,Moon H6,astro_concept,,ASTRO_Moon_H6 점성학 개념/조합 노드.
ASTRO_Moon_H7,Moon H7,astro_alias,HP_moon_7,ASTRO_Moon_H7 is an alias for HP_moon_7.
ASTRO_Moon_H8,Moon H8,astro_concept,,ASTRO_Moon_H8 점성학 개념/조합 노드.
ASTRO_Moon_H9,Moon H9,astro_concept,,ASTRO_Moon_H9 점성학 개념/조합 노드.
ASTRO_Moon_Leo,Moon Leo,astro_concept,,ASTRO_Moon_Leo 점성학 개념/조합 노드.
ASTRO_Moon_Libra,Moon Libra,astro_concept,,ASTRO_Moon_Libra 점성학 개념/조합 노드.
ASTRO_Moon_Pisces,Moon Pisces,astro_concept,,ASTRO_Moon_Pisces 점성학 개념/조합 노드.
ASTRO_Moon_Sagittarius,Moon Sagittarius,astro_concept,,ASTRO_Moon_Sagittarius 점성학 개념/조합 노드.
ASTRO_Moon_Scorpio,Moon Scorpio,astro_concept,,ASTRO_Moon_Scorpio 점성학 개념/조합 노드.
ASTRO_Moon_Taurus,Moon Taurus,astro_alias,PS_moon_tau,ASTRO_Moon_Taurus is an alias for PS_moon_tau.
ASTRO_Moon_Virgo,Moon Virgo,astro_concept,,ASTRO_Moon_Virgo 점성학 개념/조합 노드.
ASTRO_NODE_Venus,NODE Venus,astro_concept,,ASTRO_NODE_Venus 점성학 개념/조합 노드.
ASTRO_Neptune,Neptune,astro_alias,Neptune,ASTRO_Neptune is an alias for Neptune.
ASTRO_Neptune_Aquarius,Neptune Aquarius,astro_concept,,ASTRO_Neptune_Aquarius 점성학 개념/조합 노드.
ASTRO_Neptune_Aries,Neptune Aries,astro_concept,,ASTRO_Neptune_Aries 점성학 개념/조합 노드.
ASTRO_Neptune_Cancer,Neptune Cancer,astro_concept,,ASTRO_Neptune_Cancer 점성학 개념/조합 노드.
ASTRO_Neptune_Capricorn,Neptune Capricorn,astro_concept,,ASTRO_Neptune_Capricorn 점성학 개념/조합 노드.
ASTRO_Neptune_Gemini,Neptune Gemini,astro_concept,,ASTRO_Neptune_Gemini 점성학 개념/조합 노드.
ASTRO_Neptune_H1,Neptune H1,astro_alias,HP_neptune_1,ASTRO_Neptune_H1 is an alias for HP_neptune_1.
ASTRO_Neptune_H10,Neptune H10,astro_concept,,ASTRO_Neptune_H10 점성학 개념/조합 노드.
ASTRO_Neptune_H11,Neptune H11,astro_concept,,ASTRO_Neptune_H11 점성학 개념/조합 노드.
ASTRO_Neptune_H12,Neptune H12,astro_alias,HP_neptune_12,ASTRO_Neptune_H12 is an alias for HP_neptune_12.
ASTRO_Neptune_H2,Neptune H2,astro_concept,,ASTRO_Neptune_H2 점성학 개념/조합 노드.
ASTRO_Neptune_H3,Neptune H3,astro_concept,,ASTRO_Neptune_H3 점성학 개념/조합 노드.
ASTRO_Neptune_H4,Neptune H4,astro_concept,,ASTRO_Neptune_H4 점성학 개념/조합 노드.
ASTRO_Neptune_H5,Neptune H5,astro_concept,,ASTRO_Neptune_H5 점성학 개념/조합 노드.
ASTRO_Neptune_H6,Neptune H6,astro_concept,,ASTRO_Neptune_H6 점성학 개념/조합 노드.
ASTRO_Neptune_H7,Neptune H7,astro_alias,HP_neptune_7,ASTRO_Neptune_H7 is an alias for HP_neptune_7.
ASTRO_Neptune_H8,Neptune H8,astro_concept,,ASTRO_Neptune_H8 점성학 개념/조합 노드.
ASTRO_Neptune_H9,Neptune H9,astro_concept,,ASTRO_Neptune_H9 점성학 개념/조합 노드.
ASTRO_Neptune_Leo,Neptune Leo,astro_concept,,ASTRO_Neptune_Leo 점성학 개념/조합 노드.
ASTRO_Neptune_Libra,Neptune Libra,astro_concept,,ASTRO_Neptune_Libra 점성학 개념/조합 노드.
ASTRO_Neptune_Pisces,Neptune Pisces,astro_concept,,ASTRO_Neptune_Pisces 점성학 개념/조합 노드.
ASTRO_Neptune_Sagittarius,Neptune Sagittarius,astro_concept,,ASTRO_Neptune_Sagittarius 점성학 개념/조합 노드.
ASTRO_Neptune_Scorpio,Neptune Scorpio,astro_concept,,ASTRO_Neptune_Scorpio 점성학 개념/조합 노드.
ASTRO_Neptune_Taurus,Neptune Taurus,astro_concept,,ASTRO_Neptune_Taurus 점성학 개념/조합 노드.
ASTRO_Neptune_Virgo,Neptune Virgo,astro_concept,,ASTRO_Neptune_Virgo 점성학 개념/조합 노드.
ASTRO_PATTERN_GrandTrine,PATTERN GrandTrine,astro_concept,,ASTRO_PATTERN_GrandTrine 점성학 개념/조합 노드.
ASTRO_PATTERN_Stellium,PATTERN Stellium,astro_concept,,ASTRO_PATTERN_Stellium 점성학 개념/조합 노드.
ASTRO_PATTERN_Yod,PATTERN Yod,astro_concept,,ASTRO_PATTERN_Yod 점성학 개념/조합 노드.
ASTRO_POWER_MarsPluto,POWER MarsPluto,astro_concept,,ASTRO_POWER_MarsPluto 점성학 개념/조합 노드.
ASTRO_Pisces,Pisces,astro_alias,Pisces,ASTRO_Pisces is an alias for Pisces.
ASTRO_Pluto,Pluto,astro_alias,Pluto,ASTRO_Pluto is an alias for Pluto.
ASTRO_Pluto_Aquarius,Pluto Aquarius,astro_concept,,ASTRO_Pluto_Aquarius 점성학 개념/조합 노드.
ASTRO_Pluto_Aries,Pluto Aries,astro_concept,,ASTRO_Pluto_Aries 점성학 개념/조합 노드.
ASTRO_Pluto_Cancer,Pluto Cancer,astro_concept,,ASTRO_Pluto_Cancer 점성학 개념/조합 노드.
ASTRO_Pluto_Capricorn,Pluto Capricorn,astro_concept,,ASTRO_Pluto_Capricorn 점성학 개념/조합 노드.
ASTRO_Pluto_Gemini,Pluto Gemini,astro_concept,,ASTRO_Pluto_Gemini 점성학 개념/조합 노드.
ASTRO_Pluto_H1,Pluto H1,astro_alias,HP_pluto_1,ASTRO_Pluto_H1 is an alias for HP_pluto_1.
ASTRO_Pluto_H10,Pluto H10,astro_concept,,ASTRO_Pluto_H10 점성학 개념/조합 노드.
ASTRO_Pluto_H11,Pluto H11,astro_concept,,ASTRO_Pluto_H11 점성학 개념/조합 노드.
ASTRO_Pluto_H12,Pluto H12,astro_concept,,ASTRO_Pluto_H12 점성학 개념/조합 노드.
ASTRO_Pluto_H2,Pluto H2,astro_concept,,ASTRO_Pluto_H2 점성학 개념/조합 노드.
ASTRO_Pluto_H3,Pluto H3,astro_concept,,ASTRO_Pluto_H3 점성학 개념/조합 노드.
ASTRO_Pluto_H4,Pluto H4,astro_concept,,ASTRO_Pluto_H4 점성학 개념/조합 노드.
ASTRO_Pluto_H5,Pluto H5,astro_concept,,ASTRO_Pluto_H5 점성학 개념/조합 노드.
ASTRO_Pluto_H6,Pluto H6,astro_concept,,ASTRO_Pluto_H6 점성학 개념/조합 노드.
ASTRO_Pluto_H7,Pluto H7,astro_alias,HP_pluto_7,ASTRO_Pluto_H7 is an alias for HP_pluto_7.
ASTRO_Pluto_H8,Pluto H8,astro_alias,HP_pluto_8,ASTRO_Pluto_H8 is an alias for HP_pluto_8.
ASTRO_Pluto_H9,Pluto H9,astro_concept,,ASTRO_Pluto_H9 점성학 개념/조합 노드.
ASTRO_Pluto_Leo,Pluto Leo,astro_concept,,ASTRO_Pluto_Leo 점성학 개념/조합 노드.
ASTRO_Pluto_Libra,Pluto Libra,astro_concept,,ASTRO_Pluto_Libra 점성학 개념/조합 노드.
ASTRO_Pluto_Pisces,Pluto Pisces,astro_concept,,ASTRO_Pluto_Pisces 점성학 개념/조합 노드.
ASTRO_Pluto_Sagittarius,Pluto Sagittarius,astro_concept,,ASTRO_Pluto_Sagittarius 점성학 개념/조합 노드.
ASTRO_Pluto_Scorpio,Pluto Scorpio,astro_concept,,ASTRO_Pluto_Scorpio 점성학 개념/조합 노드.
ASTRO_Pluto_Taurus,Pluto Taurus,astro_concept,,ASTRO_Pluto_Taurus 점성학 개념/조합 노드.
ASTRO_Pluto_Virgo,Pluto Virgo,astro_concept,,ASTRO_Pluto_Virgo 점성학 개념/조합 노드.
ASTRO_REBIRTH_PlutoTransit,REBIRTH PlutoTransit,astro_alias,AT_pluto,ASTRO_REBIRTH_PlutoTransit is an alias for AT_pluto.
ASTRO_RELATIONSHIP_Venus7th,RELATIONSHIP Venus7th,astro_alias,HP_venus_7,ASTRO_RELATIONSHIP_Venus7th is an alias for HP_venus_7.
ASTRO_SERVICE_6thHouseFull,SERVICE 6thHouseFull,astro_alias,H6,ASTRO_SERVICE_6thHouseFull is an alias for H6.
ASTRO_SHADOW_12thHouse,SHADOW 12thHouse,astro_alias,H12,ASTRO_SHADOW_12thHouse is an alias for H12.
ASTRO_SIGN_Aquarius_HOUSE_H1,SIGN Aquarius HOUSE H1,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H10,SIGN Aquarius HOUSE H10,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H11,SIGN Aquarius HOUSE H11,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H12,SIGN Aquarius HOUSE H12,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H2,SIGN Aquarius HOUSE H2,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H3,SIGN Aquarius HOUSE H3,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H4,SIGN Aquarius HOUSE H4,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H5,SIGN Aquarius HOUSE H5,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H6,SIGN Aquarius HOUSE H6,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H7,SIGN Aquarius HOUSE H7,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H8,SIGN Aquarius HOUSE H8,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Aquarius_HOUSE_H9,SIGN Aquarius HOUSE H9,astro_concept,,ASTRO_SIGN_Aquarius_HOUSE_H9 점성학 개념/조합 노드.
