id,label,type,aspect_type,planet1,planet2,description,attraction_level,challenge_level,longevity,sexual_chemistry,emotional_depth,growth_potential,advice
SYN_016,달 오포지션 금성,Moon-Venus,opposition,Moon,Venus,"달과 금성의 오포지션(180도)은 감정과 사랑이 정반대 방향에서 만나는 긴장과 매력을 만듭니다. 서로에게 강한 매력을 느끼지만, 감정적 필요와 사랑의 가치관이 상반되어 내적 갈등을 경험합니다. 한 사람이 독립을 원할 때 다른 사람은 친밀함을 갈망하며, 이 밀당이 관계의 기본 리듬이 됩니다. 그러나 이 대극성이 서로를 완성시키는 힘이 되기도 합니다. 상대방을 통해 자신이 억압했던 감정적 측면을 발견하게 되며, 이를 통합하면 더 완전한 사랑을 경험합니다.",80,45,65,72,75,85,"상대방에게서 보이는 '나와 다른 점'이 사실은 자신의 억압된 측면임을 인식하세요. 투사를 멈추고 상대를 거울로 삼아 자기 이해를 깊이 하면 이 관계는 영혼의 성장을 이끄는 보물이 됩니다."
SYN_017,달 섹스타일 금성,Moon-Venus,sextile,Moon,Venus,"달과 금성의 섹스타일(60도)은 따뜻하고 우호적인 정서적 교류를 만듭니다. 서로에 대한 자연스러운 호감과 배려가 있으며, 함께 있으면 기분이 좋아지는 편안한 에너지가 흐릅니다. 노력을 기울이면 매우 아름다운 감정적 유대로 발전시킬 수 있으며, 우정에서 출발한 관계가 자연스럽게 로맨스로 변화하는 경우가 많습니다. 서로의 취향과 미적 감각에 관심을 보이며, 함께 문화생활을 즐기는 것이 관계의 접착제 역할을 합니다.",75,12,82,65,80,75,"이 관계의 부드러운 가능성을 적극적으로 가꿔 나가세요. 함께 미술관 방문, 음악 감상, 요리 등 감각적인 경험을 공유하면 정서적 유대가 한층 깊어집니다."
SYN_018,태양 합 금성,Sun-Venus,conjunct,Sun,Venus,"태양과 금성의 합(0도)은 순수한 매력과 사랑의 에너지가 폭발적으로 증폭되는 배치입니다. 금성 측은 태양 측을 이상적인 존재로 여기며 강하게 매료되고, 태양 측은 금성 측에게서 자신의 가치를 확인받는 기쁨을 느낍니다. 서로에게 최고의 모습을 보여주고 싶어하며, 함께 있을 때 두 사람 모두 더 아름답고 빛나는 존재가 됩니다. 사교적 상황에서 눈에 띄는 커플이 되며, 주변에서도 두 사람의 케미를 인정합니다. 관계의 초기 로맨스가 매우 화려하고 달콤합니다.",92,18,78,80,75,68,"초기의 화려한 로맨스가 영원하지 않음을 받아들이세요. 서로를 이상화하는 단계를 지나 현실적인 모습까지 사랑하는 성숙한 관계로 발전시키는 것이 과제입니다. 실제의 상대를 사랑하세요."
SYN_019,태양 트라인 금성,Sun-Venus,trine,Sun,Venus,"태양과 금성의 트라인(120도)은 자연스러운 호감과 상호 존경의 에너지를 만듭니다. 서로의 존재를 좋아하고 함께 있으면 기분이 좋아지는 편안한 매력이 있습니다. 극적이지는 않지만 꾸준히 서로를 아끼고 지지하는 안정적인 사랑이며, 외부 세계에서도 조화로운 커플로 인식됩니다. 가치관이 자연스럽게 일치하며, 돈의 사용이나 생활 방식에서 큰 갈등이 없습니다. 장기적으로 매우 안정적이며, 나이가 들수록 더 깊어지는 사랑의 잠재력을 가집니다.",82,10,90,70,80,75,"이 안정적인 사랑을 소중히 여기면서도 관계의 성장을 위한 새로운 도전을 멈추지 마세요. 함께 새로운 목표를 세우고 달성해나가면 사랑이 더 깊어지고 관계가 더 의미있어집니다."
SYN_020,태양 스퀘어 금성,Sun-Venus,square,Sun,Venus,"태양과 금성의 스퀘어(90도)는 매력과 불만족이 공존하는 복잡한 에너지를 만듭니다. 서로에게 끌리지만 근본적인 가치관의 차이로 지속적인 마찰이 발생합니다. 한 사람의 자아 표현 방식이 다른 사람의 사랑과 미적 가치관과 충돌하며, 상대를 변화시키고 싶은 욕구가 강하게 작동합니다. 돈의 사용 방식이나 사회적 활동에 대한 견해 차이가 반복적 갈등의 원인이 됩니다. 그러나 이 긴장이 서로를 매력적으로 만들기도 하며, 타협과 조정을 통해 더 넓은 관점을 얻게 됩니다.",78,55,58,72,60,82,"상대를 있는 그대로 받아들이는 연습을 하세요. 바꾸려 하기보다 차이를 인정하고 타협점을 찾으면, 이 관계는 서로의 세계를 넓혀주는 귀한 성장의 기회가 됩니다."
SYN_021,태양 오포지션 금성,Sun-Venus,opposition,Sun,Venus,"태양과 금성의 오포지션(180도)은 강한 매력과 매혹의 에너지를 만들면서도 사랑의 방식에서 근본적 긴장을 동반합니다. 금성 측은 태양 측의 강렬한 카리스마에 매료되고, 태양 측은 금성 측의 우아함과 매력에 끌립니다. 그러나 한 사람의 자아 표현이 다른 사람의 관계적 필요와 정면으로 충돌할 때가 있으며, 개인적 야심과 관계의 조화 사이에서 균형을 찾아야 합니다. 서로의 빈 곳을 채워주는 보완적 매력이 있지만 그 차이를 조율하는 노력이 필요합니다.",85,45,65,78,72,80,"개인의 목표와 관계의 필요 사이에서 건강한 균형을 찾으세요. 어느 한쪽이 지나치게 희생하면 관계가 불균형해집니다. 서로의 꿈을 지지하면서도 함께하는 시간의 질을 높이는 것이 핵심입니다."
SYN_022,태양 섹스타일 금성,Sun-Venus,sextile,Sun,Venus,"태양과 금성의 섹스타일(60도)은 유쾌하고 밝은 상호 호감의 에너지를 만듭니다. 서로에게 자연스럽게 끌리며, 함께 있으면 웃음이 많아지고 분위기가 밝아집니다. 사교적 상황에서 잘 어울리며, 공통된 친구들과 함께하는 시간이 즐겁습니다. 적당한 노력으로 매우 조화로운 관계를 만들 수 있으며, 특히 창의적 협업에서 시너지가 높습니다. 예술적 프로젝트나 파티 기획 등을 함께 하면 서로의 매력이 극대화됩니다.",76,12,80,68,72,73,"함께하는 창의적 활동을 자주 계획하세요. 요리, 공예, 음악, 여행 등 두 사람의 미적 감각을 발휘할 수 있는 공동 프로젝트가 관계에 활력과 기쁨을 불어넣습니다."
SYN_023,화성 합 토성,Mars-Saturn,conjunct,Mars,Saturn,"화성과 토성의 합(0도)은 시너스트리에서 가장 강력한 카르마적 유대 중 하나입니다. 토성 측은 화성 측의 에너지와 행동을 제한하거나 훈련시키는 역할을 하며, 화성 측은 이에 좌절감을 느끼면서도 토성의 구조 안에서 더 효율적으로 에너지를 사용하는 법을 배웁니다. 전생에서의 빚이나 미완의 과제를 연상시키는 강한 의무감이 두 사람을 연결하며, 쉽게 떠날 수 없는 숙명적 느낌을 줍니다. 인내와 헌신을 통해 카르마를 정산하고 진정한 성숙에 도달하는 관계입니다.",60,85,88,45,70,95,"이 관계가 때로 무겁게 느껴지더라도 성장의 기회를 놓치지 마세요. 토성의 인내와 화성의 행동력을 결합하면 현실에서 놀라운 성취를 이룰 수 있습니다. 서로에 대한 비판을 건설적 피드백으로 전환하세요."
SYN_024,화성 트라인 토성,Mars-Saturn,trine,Mars,Saturn,"화성과 토성의 트라인(120도)은 행동과 구조가 자연스럽게 조화를 이루는 생산적 에너지를 만듭니다. 합의 강제적 훈련이 아닌 자발적 협력으로, 함께 일하거나 목표를 추구할 때 놀라운 효율성을 발휘합니다. 토성 측의 계획력과 인내심이 화성 측의 추진력과 결합하여 현실적 성과를 만들어냅니다. 비즈니스 파트너로서도 훌륭한 궁합이며, 연인 관계에서도 함께 삶을 건설해나가는 믿음직한 동반자가 됩니다. 서로에 대한 존중과 신뢰가 관계의 기둥입니다.",70,25,92,55,72,88,"이 관계의 실질적 협력 능력을 최대한 활용하세요. 함께 장기 목표를 세우고 단계적으로 달성해나가면 관계에 대한 만족감과 성취감이 동시에 높아집니다."
SYN_025,화성 스퀘어 토성,Mars-Saturn,square,Mars,Saturn,"화성과 토성의 스퀘어(90도)는 시너스트리에서 가장 도전적인 배치 중 하나입니다. 토성 측이 화성 측의 행동과 욕구를 지속적으로 억제하거나 비판하며, 화성 측은 좌절감과 분노를 축적합니다. '하고 싶은데 하지 못하게 하는' 반복적 패턴이 관계에 긴장을 유발합니다. 부모-자녀 관계의 역동이 연인 관계에 투사될 수 있으며, 권력 투쟁이 핵심 이슈입니다. 그러나 이 압력이 진정한 자기 단련과 성숙을 강제하며, 극복하면 어떤 역경도 함께 이겨낼 수 있는 강철 같은 유대가 형성됩니다.",55,90,55,40,60,95,"이 관계에서의 좌절감을 자기 성장의 동력으로 전환하세요. 상대의 비판이 아프지만 그 속에 진실이 있을 수 있습니다. 개인 치료나 커플 상담을 통해 무의식적 권력 패턴을 인식하고 변화시키세요."
SYN_026,화성 오포지션 토성,Mars-Saturn,opposition,Mars,Saturn,"화성과 토성의 오포지션(180도)은 자유와 제약이 정면으로 충돌하는 강렬한 카르마적 에너지를 만듭니다. 화성 측은 토성 측에 의해 가로막히는 느낌을, 토성 측은 화성 측의 무모함에 불안을 느낍니다. 두 사람 사이에 보이지 않는 벽이 있으며, 가까워질수록 그 벽이 더 선명해집니다. 전생에서의 억압자-피억압자 관계가 재현될 수 있으며, 이번 생에서 그 패턴을 깨뜨리는 것이 공동의 과제입니다. 서로의 한계를 직면하게 해주는 거울이며, 이 도전을 받아들이면 카르마의 사슬이 풀립니다.",58,80,60,42,65,92,"전생의 카르마 패턴을 반복하지 마세요. 억압하는 쪽은 통제를 내려놓고, 억압받는 쪽은 건강하게 경계를 설정하세요. 이 관계의 진정한 목적은 서로를 해방시키는 것입니다."
SYN_027,화성 섹스타일 토성,Mars-Saturn,sextile,Mars,Saturn,"화성과 토성의 섹스타일(60도)은 실용적이고 건설적인 협력 에너지를 만듭니다. 스퀘어나 오포지션의 무거운 카르마적 압박 없이, 서로의 강점을 활용한 효율적 파트너십이 가능합니다. 토성 측의 지혜로운 조언과 화성 측의 실행력이 균형을 이루며, 함께 현실적 목표를 달성하는 데 탁월합니다. 관계에 책임감과 신뢰가 자연스럽게 스며들며, 장기적으로 안정적인 파트너십을 유지합니다. 서로를 성장시키면서도 부담을 주지 않는 건강한 거리감을 유지합니다.",68,20,85,52,68,82,"이 관계의 실질적 파트너십 에너지를 적극 활용하세요. 재정 관리, 건강 관리, 커리어 계획 등 현실적 영역에서 서로 돕고 격려하면 두 사람 모두의 삶이 실질적으로 향상됩니다."
SYN_028,남성목성 합 여성태양,Jupiter-Sun,conjunct,Jupiter_M,Sun_F,"남성의 목성이 여성의 태양과 합을 이루면, 남성이 여성의 인생에 행운과 확장의 에너지를 가져다줍니다. 여성은 남성과 함께할 때 자신감이 높아지고 가능성이 확장되는 느낌을 받으며, 남성은 여성의 존재에서 삶의 의미와 철학적 영감을 발견합니다. 목성의 풍요가 태양의 자아를 비추어 두 사람 모두 더 큰 비전을 품게 됩니다. 교육, 여행, 정신적 탐구 등 함께 세계를 넓혀가는 즐거움이 크며, 관계 자체가 성장과 확장의 엔진이 됩니다. 낙관적이고 관대한 에너지가 관계를 밝게 비춥니다.",85,10,85,65,78,95,"이 관계의 확장 에너지를 최대한 활용하세요. 함께 공부하고, 여행하고, 새로운 문화를 경험하면 두 사람 사이의 유대가 더욱 깊어집니다. 다만 과도한 낙관으로 현실을 놓치지 않도록 균형을 유지하세요."
SYN_029,여성목성 합 남성달,Jupiter-Moon,conjunct,Jupiter_F,Moon_M,"여성의 목성이 남성의 달과 합을 이루면, 여성이 남성의 감정적 세계에 풍요와 치유의 에너지를 가져다줍니다. 남성은 여성과 함께할 때 정서적으로 안전하고 확장된 느낌을 받으며, 어린 시절의 상처가 치유되는 경험을 합니다. 여성의 관대한 포용력이 남성의 감정적 취약함을 부드럽게 감싸며, 남성은 여성에게 깊은 감사와 헌신을 느낍니다. 가정을 함께 꾸릴 때 풍요롭고 따뜻한 가족 문화가 형성되며, 아이들에게도 넉넉한 사랑을 줄 수 있는 조합입니다.",82,8,90,60,92,88,"이 관계의 치유적 에너지를 감사히 받아들이세요. 남성은 감정적으로 안전한 이 공간에서 깊은 자기 탐구를 하고, 여성은 자신의 지혜와 관대함이 진심으로 감사받는 기쁨을 누리세요."
SYN_030,목성 트라인 태양,Jupiter-Sun,trine,Jupiter,Sun,"목성과 태양의 트라인(120도)은 자연스러운 축복과 상호 성장의 에너지를 만듭니다. 합보다 강도는 약하지만 더 안정적이고 지속적인 긍정적 영향을 주며, 서로의 성장을 자연스럽게 지원합니다. 함께 있으면 미래에 대한 희망이 커지고, 서로의 꿈을 격려하는 든든한 후원자가 됩니다. 여행, 학문, 영적 탐구에서 특히 시너지가 높으며, 관계가 두 사람 모두의 시야를 넓혀줍니다. 관대하고 낙관적인 에너지가 자연스럽게 흐르는 축복받은 배치입니다.",80,8,88,62,75,90,"이 자연스러운 축복을 당연하게 여기지 마세요. 서로에게 감사의 표현을 자주 하고, 이 긍정적 에너지를 주변 세계에도 나누면 관계의 풍요가 더욱 확장됩니다."
SYN_031,목성 스퀘어 금성,Jupiter-Venus,square,Jupiter,Venus,"목성과 금성의 스퀘어(90도)는 과도한 쾌락 추구와 방종의 위험을 동반하는 열정적 에너지를 만듭니다. 서로에 대한 호감이 매우 크지만 그 호감이 지나친 기대나 과소비로 이어질 수 있습니다. 함께 있으면 즐겁지만 현실적 책임을 소홀히 하기 쉬우며, 사치와 낭비의 유혹이 강합니다. 서로에게 '너무 좋은 것만 보여주고 싶은' 욕구가 관계의 진정성을 방해할 수 있습니다. 그러나 자기 절제를 배우면 풍요와 기쁨을 건강하게 나누는 관계로 발전합니다.",82,35,65,75,62,72,"즐거움과 절제의 균형을 배우는 것이 이 관계의 과제입니다. 함께 즐기되 예산을 세우고, 파티만큼 일상도 소중히 하세요. 진정한 풍요는 물질이 아닌 마음의 넉넉함에서 옵니다."
SYN_032,목성 합 달,Jupiter-Moon,conjunct,Jupiter,Moon,"목성과 달의 합(0도)은 감정적 풍요와 넉넉한 돌봄의 에너지를 만듭니다. 목성 측이 달 측의 감정적 필요를 풍성하게 채워주며, 달 측은 목성 측에게 깊은 정서적 교감과 안식처를 제공합니다. 가정과 가족에 대한 비전이 크고 관대하며, 함께하는 공간이 따뜻하고 넉넉한 에너지로 가득 찹니다. 음식과 요리를 통한 교감이 특히 강하며, 서로를 위해 정성스러운 식사를 준비하는 것이 큰 사랑의 표현이 됩니다. 감정적으로 매우 풍요로운 관계입니다.",85,10,88,62,92,82,"이 관계의 감정적 풍요를 마음껏 누리세요. 함께 요리하고, 가족과 시간을 보내며, 아늑한 가정을 꾸미는 일에 에너지를 투자하면 두 사람 모두 깊은 만족감을 느낍니다."
