id,label,type,number,name_ko,name_cn,name_en,upper_trigram,lower_trigram,element,description,judgment,image,life_situation,timing_advice,saju_parallel,astro_parallel
hex_11,泰,hexagram,11,태(泰) - 평화/태평,地天泰,Peace,곤,건,토(土),"땅이 위에 하늘이 아래로 천지가 서로 교감하는 형상. 음양이 조화를 이루어 만물이 번성하는 최고의 길괘이다. 소통과 화합의 시기를 상징한다.","작은 것이 가고 큰 것이 오니 길하고 형통하다.","천지가 사귀니 임금이 천지의 도를 재성(裁成)하여 백성을 돕는다.","모든 것이 순조롭게 풀리는 때. 사업이 번성하고 인간관계가 좋아지는 시기.","좋은 시기이지만 영원하지 않음을 알라. 이 시기에 기반을 다져라. 겸손함을 잃지 말라.","오행이 균형을 이룬 상태. 용신과 희신이 모두 유력한 사주. 대운에서 용신을 만난 길운기.","목성의 확장 에너지. 사수자리/물고기자리의 축복. 9하우스의 행운. 목성-금성 합(合)의 대길."
hex_12,否,hexagram,12,비(否) - 막힘/비색,天地否,Standstill (Stagnation),건,곤,금(金),"하늘이 위에 땅이 아래로 서로 교감하지 못하는 형상. 소통이 단절되고 만사가 막히는 흉괘이다. 그러나 비극 속에서도 새로운 전환의 씨앗이 있다.","큰 것이 가고 작은 것이 오니 소인에게 이롭고 군자에게는 이롭지 않다.","천지가 사귀지 않으니 군자는 덕을 검약하여 난을 피하고 녹봉과 영예로 유혹당하지 않는다.","모든 것이 막혀있는 때. 소통이 안 되고 노력해도 성과가 나지 않는 시기.","무리하게 밀어붙이지 말라. 안으로 힘을 기르며 때를 기다려라. 비(否)극 태(泰)래의 전환이 온다.","기신(忌神)이 왕성한 시기. 관살(官殺)이 과다하여 일간이 억눌린 상태. 형충(刑沖)이 있는 대운.","토성의 제한 에너지. 염소자리의 시련. 12하우스의 고립. 토성 역행기의 정체."
hex_13,同人,hexagram,13,동인(同人) - 뜻을 같이함,天火同人,Fellowship with Men,건,리,금(金),"하늘 아래 불이 타오르는 형상. 뜻이 같은 사람들이 모여 큰 일을 이루는 괘이다. 사심 없이 공정하게 동지를 모으면 어떤 어려움도 극복할 수 있다.","들판에서 사람과 동인하니 형통하다. 큰 강을 건너는 것이 이롭고 군자의 올바름이 이롭다.","하늘과 불이 함께하니 군자는 류(類)로 나누고 물(物)을 분별한다.","같은 뜻을 가진 사람들과 힘을 합쳐야 할 때. 커뮤니티 형성이나 공동 프로젝트의 시기.","사심을 버리고 공명정대하게 동료를 모아라. 파벌이 아닌 대의를 위해 연대하라.","비견(比肩)의 동지적 관계. 식상(食傷)으로 같은 방향의 표현. 합(合)과 방합(方合)의 에너지.","물병자리/사자자리 축. 천왕성의 공동체 정신. 11하우스의 동지애. 태양의 보편적 빛."
hex_14,大有,hexagram,14,대유(大有) - 크게 가짐,火天大有,Possession in Great Measure,리,건,화(火),"불이 하늘 위에 밝게 빛나는 형상. 큰 풍요와 성공을 누리는 괘이다. 밝은 덕으로 높은 위치에서 만물을 비추니 모든 것이 풍성하다.","크게 형통하다.","불이 하늘 위에 있으니 군자는 악을 막고 선을 드러내어 하늘의 아름다운 명에 순응한다.","큰 성공과 풍요를 누리는 때. 재산이 늘고 사회적 인정을 받는 시기.","겸손과 베풂으로 복을 나누어라. 풍요 속에서 교만하면 화가 따른다. 선행에 힘쓰라.","재성(財星)이 왕성한 사주. 신강(身強)하면서 재관(財官)이 유력한 대길의 격국.","사자자리/목성. 태양의 풍요 에너지. 2하우스와 8하우스의 풍요. 목성-태양 합의 대성공."
hex_15,謙,hexagram,15,겸(謙) - 겸손,地山謙,Modesty,곤,간,토(土),"땅 아래에 산이 있는 형상. 높은 산이 스스로 낮추는 겸손의 괘이다. 64괘 중 유일하게 여섯 효가 모두 길한 괘이며 겸손의 최고 덕목을 가르친다.","형통하니 군자는 끝마침이 있다.","땅 가운데 산이 있으니 군자는 많은 것을 덜어 적은 곳에 보태어 물건을 고르게 한다.","성공했으나 겸손해야 할 때. 능력이 있으면서도 자랑하지 말아야 할 때.","낮은 자세를 유지하라. 겸손은 모든 상황에서 최고의 전략이다. 베풀수록 더 받게 된다.","인성(印星)의 겸손한 덕성. 재성이 있으되 과시하지 않는 절제. 식신제살(食神制殺)의 부드러운 힘.","처녀자리/물고기자리 축. 토성과 해왕성의 겸허. 12하우스의 내면적 풍요. 6하우스의 봉사."
hex_16,豫,hexagram,16,예(豫) - 기쁨/즐거움,雷地豫,Enthusiasm,진,곤,목(木),"땅 위에 우레가 울리는 형상. 기쁨과 즐거움으로 사람들이 함께 하는 괘이다. 음악과 축제 열정의 에너지이며 대중의 마음을 사로잡는 힘이 있다.","후(侯)를 세우고 군사를 움직이는 것이 이롭다.","우레가 땅에서 나오니 선왕이 음악을 지어 덕을 숭상하고 이를 크게 올려 상제에게 제사하고 조고(祖考)에게 배향하였다.","즐거운 일이 생기거나 축하할 일이 있는 때. 열정을 발산해야 할 시기.","기쁨을 나누되 방탕에 빠지지 말라. 즐거움 속에서도 절제를 지켜라. 열정으로 사람들을 모아라.","식신(食神)의 즐거움. 상관(傷官)의 표현력이 재성(財星)을 만나 성과로 이어지는 시기.","사자자리/사수자리. 목성의 확장과 기쁨. 5하우스의 즐거움과 창조. 태양의 활력."
hex_17,隨,hexagram,17,수(隨) - 따름,澤雷隨,Following,태,진,금(金),"못 아래에 우레가 있어 우레가 못 속으로 들어가 쉬는 형상. 때에 맞추어 따르고 적응하는 지혜의 괘이다. 올바른 것을 따르면 길하다.","크게 형통하니 올바름이 이롭고 허물이 없다.","못 가운데 우레가 있으니 군자는 해가 지면 들어가 쉰다.","유연한 대응이 필요한 때. 트렌드를 따르거나 변화에 적응해야 할 시기.","고집을 버리고 상황에 맞게 유연하게 대처하라. 좋은 흐름을 읽고 따르라.","정관(正官)의 순종과 식신(食神)의 적응력. 시류에 맞는 용신 활용.","물고기자리/쌍둥이자리. 해왕성의 유연함. 수성의 적응력. 가변궁(Mutable)의 에너지."
hex_18,蠱,hexagram,18,고(蠱) - 부패/쇄신,山風蠱,Work on What Has Been Spoiled,간,손,토(土),"산 아래 바람이 부는 형상. 쌓인 폐단을 바로잡아야 할 때이다. 부패하고 해이해진 것을 개혁하고 새롭게 만드는 에너지를 담고 있다.","크게 형통하니 큰 강을 건너는 것이 이롭다. 갑(甲) 전 3일 갑 후 3일을 살펴라.","산 아래 바람이 있으니 군자는 백성을 진동시키고 덕을 기른다.","오래된 문제를 청산해야 할 때. 부모의 일을 이어받거나 낡은 것을 혁신해야 할 시기.","묵은 문제를 더 이상 미루지 말라. 3일간 준비하고 3일간 수습하며 근본부터 바꿔라.","상관견관(傷官見官)의 개혁 에너지. 편관(偏官)이 과다한 상태를 식상으로 제어.","전갈자리/처녀자리. 명왕성의 변혁. 8하우스의 죽음과 재생. 토성의 정화 작용."
hex_19,臨,hexagram,19,림(臨) - 다가옴/감독,地澤臨,Approach,곤,태,토(土),"땅 위에 못이 있어 물이 땅으로 스며드는 형상. 큰 기회가 다가오고 있으며 임하여 다스리는 리더십의 괘이다.","크게 형통하고 올바름이 이롭다. 8월에 이르면 흉하다.","못 위에 땅이 있으니 군자는 가르치는 생각이 다함이 없고 백성을 보호함에 끝이 없다.","좋은 기회가 다가오는 때. 승진이나 새 역할을 맡게 되는 시기.","기회가 올 때 적극적으로 잡아라. 그러나 영원하지 않으니 대비하라. 가을이 오기 전에 거둬라.","정관(正官)의 승진 에너지. 재생관(財生官)의 순환이 이루어지는 길한 대운.","목성/태양의 상승. 사자자리/염소자리의 권위. 10하우스의 승진. MC 트랜짓."
hex_20,觀,hexagram,20,관(觀) - 관찰/성찰,風地觀,Contemplation (View),손,곤,목(木),"바람이 땅 위에 부는 형상. 높은 곳에서 아래를 관찰하듯 전체를 조망하는 괘이다. 깊은 성찰과 통찰의 시기이며 자신을 돌아보는 지혜를 상징한다.","손을 씻고 아직 제물을 올리지 않았으나 믿음이 있고 우러러봄이 있다.","바람이 땅 위에 행하니 선왕이 지방을 순시하고 백성을 관찰하여 가르침을 베풀었다.","자기 자신을 깊이 돌아봐야 할 때. 큰 결정 전에 전체 상황을 관조해야 할 때.","행동하기 전에 먼저 관찰하고 성찰하라. 높은 관점에서 전체를 보라. 내면의 목소리에 귀 기울여라.","편인(偏印)의 관조와 통찰. 인성(印星)이 발달한 사주의 관찰력. 편인의 영적 감각.","물고기자리/사수자리. 해왕성의 명상. 9하우스의 철학. 12하우스의 내면 탐구."
hex_21,噬嗑,hexagram,21,서합(噬嗑) - 씹어 합침,火雷噬嗑,Biting Through,리,진,화(火),"불과 우레가 합쳐진 형상. 입 안에 장애물이 있어 이를 물어서 깨뜨려야 하는 괘이다. 장애물을 제거하고 공정한 법 집행의 의미를 담고 있다.","형통하니 옥사(獄事)를 다스리는 것이 이롭다.","우레와 번개가 합하니 선왕이 형벌을 밝히고 법을 다듬었다.","장애물을 강력하게 제거해야 할 때. 법적 문제의 해결이나 부정의 척결이 필요한 시기.","단호하게 장애물을 제거하라. 공정한 원칙으로 문제를 해결하라. 우유부단함이 가장 해롭다.","편관(偏官)의 단호한 결단. 상관(傷官)의 장애 제거 에너지. 칠살(七殺)의 법 집행.","전갈자리/양자리. 명왕성과 화성의 단호함. 8하우스의 정화. 화성 트랜짓의 결단."
hex_22,賁,hexagram,22,비(賁) - 꾸밈/문채,山火賁,Grace,간,리,화(火),"산 아래 불이 있어 아름답게 빛나는 형상. 문화와 예술 아름다움과 꾸밈의 괘이다. 그러나 외면의 화려함보다 내면의 충실함이 중요함을 일깨운다.","형통하나 작은 일에 이롭고 갈 바가 있다.","산 아래 불이 있으니 군자는 정사를 밝히되 감히 옥사를 결단하지 않는다.","외모를 가꾸거나 프레젠테이션을 준비할 때. 형식과 미(美)가 중요한 시기.","아름다움으로 꾸미되 실질을 잃지 말라. 겉치레보다 내실이 중요하다. 소박한 아름다움을 추구하라.","식신(食神)의 미적 감각. 상관(傷官)의 예술성. 비견(比肩)의 자기 표현과 인성의 내실.","천칭자리/황소자리. 금성의 미적 에너지. 2하우스의 물질적 아름다움. 5하우스의 예술적 표현."
hex_23,剝,hexagram,23,박(剝) - 벗겨짐/쇠퇴,山地剝,Splitting Apart,간,곤,토(土),"산이 땅 위에 있으나 무너져 내리는 형상. 쇠퇴와 붕괴의 시기이다. 기반이 약해져 무너지는 위기의 괘이지만 겨울 후에 봄이 오듯 새 시작을 준비한다.","갈 바가 이롭지 않다.","산이 땅에 붙어있으니 윗사람이 아랫사람을 두텁게 하여 집을 안정시킨다.","모든 것이 무너져 내리는 느낌이 드는 때. 직장이나 관계의 위기 재정적 손실의 시기.","무리하게 지키려 하지 말라. 잃을 것은 잃고 내면을 지켜라. 겨울이 지나면 반드시 봄이 온다.","기신(忌神)이 왕성하여 일간이 극도로 약한 상태. 형(刑)과 충(沖)이 겹치는 대운.","토성/명왕성 하드 애스펙트. 8하우스의 상실. 전갈자리의 죽음과 재생. 토성 리턴 시기."
hex_24,復,hexagram,24,복(復) - 돌아옴/회복,地雷復,Return (The Turning Point),곤,진,토(土),"땅 아래에서 우레가 다시 울리는 형상. 어둠 속에서 한 줄기 양(陽)의 빛이 돌아오는 괘이다. 동지(冬至)처럼 새로운 시작과 희망의 전환점을 상징한다.","형통하니 나가고 들어옴에 병이 없다. 친구가 와도 허물이 없다. 7일 만에 돌아온다.","우레가 땅 속에 있으니 선왕이 동짓날 관문을 닫아 상인과 여행자가 다니지 않게 하고 임금도 순시하지 않았다.","긴 침체 후 회복의 기미가 보이는 때. 새 출발을 준비하는 전환점.","작은 변화의 싹을 소중히 키워라. 서두르지 말고 자연의 리듬에 맞춰 천천히 회복하라.","대운이 바뀌는 전환기. 기신(忌神) 대운에서 용신(用神) 대운으로의 전환. 장생(長生)의 시작.","춘분점/양자리 0도. 태양의 귀환. 1하우스의 새로운 시작. 목성 트랜짓의 회복."
hex_25,無妄,hexagram,25,무망(無妄) - 순수함/뜻밖,天雷無妄,Innocence (The Unexpected),건,진,금(金),"하늘 아래 우레가 치는 형상. 꾸밈없는 순수함과 자연스러움의 괘이다. 인위적이지 않은 천도에 따르면 형통하나 사심을 품으면 재앙이 된다.","크게 형통하고 올바름이 이롭다. 그 올바르지 않으면 재앙이 있으니 갈 바가 이롭지 않다.","하늘 아래 우레가 행하여 만물이 다 무망하니 선왕이 때에 맞추어 만물을 기른다.","예상치 못한 일이 일어나는 때. 순수한 동기로 행동해야 할 시기.","계산하지 말고 순수한 마음으로 행동하라. 자연의 흐름을 따르라. 억지로 만들려 하지 말라.","식신(食神)의 자연스러운 에너지. 비겁(比劫)의 순수한 자아. 억부(抑扶)하지 않는 종격(從格).","사수자리/물고기자리. 목성의 순수한 확장. 9하우스의 진리. 해왕성의 순수한 영성."
hex_26,大畜,hexagram,26,대축(大畜) - 큰 축적,山天大畜,The Taming Power of the Great,간,건,토(土),"산이 하늘의 기운을 품고 있는 형상. 큰 힘을 축적하고 기르는 괘이다. 과거의 지혜를 배우고 큰 것을 담을 그릇을 만드는 시기이다.","올바름이 이롭다. 집에서 먹지 않으면 길하니 큰 강을 건너는 것이 이롭다.","하늘이 산 가운데 있으니 군자는 옛 성현의 말과 행실을 많이 알아 그 덕을 축적한다.","큰 프로젝트를 위해 자원과 역량을 모아야 할 때. 학업이나 수련에 집중해야 할 시기.","큰 뜻을 위해 지금은 힘을 비축하라. 학문과 경험을 쌓아라. 때가 되면 크게 쓰일 것이다.","인성(印星)의 큰 축적. 정인(正印)의 학문적 성취. 편인(偏印)의 깊은 전문성.","황소자리/염소자리. 토성의 축적 에너지. 2하우스의 물질적 축적. 10하우스의 경력 구축."
hex_27,頤,hexagram,27,이(頤) - 턱/양육,山雷頤,Corners of the Mouth (Nourishment),간,진,토(土),"산 아래 우레가 있어 입의 형상을 이룬다. 몸과 마음의 양육 섭생의 괘이다. 무엇을 먹고 무엇으로 정신을 기르는가가 인생을 결정한다.","올바름이 이롭다. 턱의 형상을 관찰하여 스스로 입에 넣는 것을 살펴라.","산 아래 우레가 있으니 군자는 말을 삼가고 음식을 절제한다.","건강관리나 자기계발이 필요한 때. 무엇을 섭취하고 학습할지 신중해야 할 시기.","몸에 좋은 것을 먹고 마음에 좋은 것을 공부하라. 말을 삼가고 귀를 열어라. 절제가 핵심이다.","식신(食神)의 양육 에너지. 인성(印星)의 정신적 자양분. 비견(比肩)의 자기 관리.","처녀자리/게자리. 달의 양육 에너지. 6하우스의 건강 관리. 4하우스의 정서적 안정."
hex_28,大過,hexagram,28,대과(大過) - 크게 지나침,澤風大過,Preponderance of the Great,태,손,금(金),"못 아래 나무가 있어 기둥이 무거운 짐을 버티는 형상. 큰 부담과 과부하의 괘이다. 비범한 상황에는 비범한 대처가 필요하며 과감한 행동을 요구한다.","마룻대가 휘어지니 갈 바가 있으면 이롭고 형통하다.","못이 나무를 멸하니 군자는 홀로 서도 두려워하지 않고 세상을 피해도 민민하지 않는다.","과도한 스트레스나 책임감에 시달리는 때. 비상 상황에서 과감한 결단이 필요한 시기.","비상시에는 비상한 수단이 필요하다. 과감하게 행동하되 핵심만 지켜라. 무너지기 전에 손을 써라.","양인(羊刃)과 건록(建祿)의 과강한 에너지. 신강(身强)이 극에 달한 상태. 관살이 부족한 과부하.","화성/천왕성의 과도한 에너지. 양자리의 돌진. 8하우스의 위기. 화성-명왕성 스퀘어의 긴장."
hex_29,坎,hexagram,29,감(坎) - 물/위험,坎為水,The Abysmal (Water),감,감,수(水),"물이 겹쳐 깊은 구덩이를 이루는 형상. 거듭된 위험과 시련의 괘이다. 그러나 물은 어떤 곳이든 낮은 곳으로 흘러가는 신의(信義)를 가르친다.","습감이니 믿음이 있으면 마음이 형통하고 행하면 숭상받는다.","물이 거듭 이르니 군자는 항상 덕행을 익히고 교육을 반복한다.","연이은 시련과 고난에 처한 때. 건강 문제나 재정적 어려움이 겹치는 시기.","두려워하지 말고 중심을 잡아라. 물처럼 유연하게 흘러라. 성실함과 신의만이 위험을 벗어나는 길이다.","편관(偏官)의 거듭된 시련. 관살(官殺)이 중첩된 사주. 기신(忌神) 대운의 연속적 시련.","전갈자리/물고기자리. 명왕성과 해왕성의 깊은 물. 8하우스와 12하우스의 시련. 토성의 시험."
hex_30,離,hexagram,30,리(離) - 불/밝음,離為火,The Clinging (Fire),리,리,화(火),"불이 겹쳐 밝게 빛나는 형상. 밝음과 아름다움 문명과 지성의 괘이다. 불은 무엇인가에 붙어야 타므로 의존과 연결의 의미도 있다.","올바름이 이롭고 형통하다. 암소를 기르면 길하다.","밝음이 두 번 떠오르니 대인은 계속 밝음을 이어 사방을 비춘다.","지적 활동이나 예술 문화적 성취가 필요한 때. 인정받고 빛나야 할 시기.","당신의 재능을 밝혀라. 그러나 혼자 타오르지 말고 올바른 것에 붙어 빛나라. 순수한 마음을 유지하라.","상관(傷官)의 예술적 광채. 식신(食神)의 지적 밝음. 화(火) 오행의 극대화.","사자자리/양자리. 태양의 빛나는 에너지. 5하우스의 창조와 표현. 태양-목성의 영광."
hex_31,咸,hexagram,31,함(咸) - 느낌/감응,澤山咸,Influence (Wooing),태,간,금(金),"산 위에 못이 있어 물이 아래로 스며드는 형상. 남녀간의 감응과 교감 사랑과 감정의 괘이다. 마음을 열고 서로 소통하면 좋은 인연을 만난다.","형통하고 올바름이 이롭다. 여자를 취하면 길하다.","산 위에 못이 있으니 군자는 허심(虛心)으로 남을 받아들인다.","사랑이 시작되거나 새로운 인연을 만나는 때. 감정적 교류가 중요한 시기.","마음을 열고 상대에게 진심으로 다가가라. 감정에 솔직하되 경솔하지 말라. 진정한 소통을 하라.","정재(正財)와 정관(正官)의 인연. 일간과 배우자성의 합(合). 도화(桃花)의 연인 에너지.","금성/달의 사랑 에너지. 천칭자리의 파트너십. 7하우스의 결혼. 5하우스의 연애."
hex_32,恆,hexagram,32,항(恆) - 항구/지속,雷風恆,Duration,진,손,목(木),"우레와 바람이 함께하는 형상. 변하지 않는 지속성과 항구함의 괘이다. 부부의 도(道)처럼 오래도록 한결같이 유지하는 것이 중요하다.","형통하고 허물이 없으며 올바름이 이롭다. 갈 바가 있으면 이롭다.","우레와 바람이 함께하니 군자는 자리를 바꾸지 않고 서있다.","장기적인 관계나 사업을 유지해야 할 때. 꾸준함과 인내가 필요한 시기.","변하지 않는 원칙을 지켜라. 새것을 좇기보다 이미 시작한 것을 깊이 파라. 꾸준함이 승리한다.","비견(比肩)의 항구한 자아. 정관(正官)의 지속적 원칙. 인성(印星)의 변하지 않는 가치관.","황소자리/전갈자리 축. 토성의 지속성. 고정궁(Fixed)의 에너지. 4하우스와 10하우스의 안정."
