source,target,relation_type,description
HEX_27,HEX_28,서괘,기름(이/양육) 다음은 큰 지나침(대과). 과도한 양육은 지나침을 낳음.
HEX_29,HEX_30,대대괘,"물(감)과 불(리)은 완전한 대립이자 보완. 위험과 밝음, 지혜와 아름다움."
HEX_31,HEX_32,서괘,감응(함/연애) 다음은 항구함(항/결혼). 설렘 후 지속이 중요.
HEX_32,HEX_31,서괘역,항구함의 이전은 감응. 지속적 관계는 처음의 감동에서 시작.
HEX_35,HEX_36,서괘,나아감(진) 다음은 밝음의 상함(명이). 너무 빠른 전진은 상처를 받음.
HEX_36,HEX_35,서괘역,상처(명이) 이전은 전진(진). 상처는 무리한 전진에서 비롯.
HEX_37,HEX_38,서괘,가정(가인) 다음은 어긋남(규). 가까운 사이일수록 어긋남이 생김.
HEX_38,HEX_39,서괘,어긋남(규) 다음은 험난함(건). 불화는 어려움으로 이어짐.
HEX_39,HEX_40,서괘,험난함(건) 다음은 풀림(해). 어려움의 극점에서 해결이 시작.
HEX_41,HEX_42,대대괘,"덜어냄(손)과 더함(익)은 대대괘. 줄이면 늘어나고, 늘리면 줄어드는 역설."
HEX_41,HEX_42,서괘,덜어냄 다음은 더해짐. 비움 후에 채워짐.
HEX_43,HEX_44,서괘,결단(쾌) 다음은 만남(구). 과감한 결단 후 새로운 인연.
HEX_47,HEX_48,서괘,곤궁함(곤) 다음은 우물(정). 극도의 어려움에서 생명의 근원을 발견.
HEX_49,HEX_50,서괘,혁명(혁) 다음은 새 질서(정/솥). 변혁 후 새로운 문명 건설.
HEX_53,HEX_54,서괘,점진적 발전(점) 다음은 여자가 시집감(귀매). 순서를 밟는 것의 중요성.
HEX_55,HEX_56,서괘,풍요(풍) 다음은 나그네(여). 풍요를 잃으면 떠돌게 됨.
HEX_59,HEX_60,서괘,흩어짐(환) 다음은 절제(절). 흩어진 것을 모으려면 절제가 필요.
HEX_61,HEX_62,서괘,마음의 진실(중부) 다음은 작은 지나침(소과). 진심이 지나치면 부담.
HEX_63,HEX_64,서괘,이미 건넘(기제) 다음은 아직 건너지 못함(미제). 완성은 없고 새 과제가 시작.
HEX_64,HEX_63,대대괘,"아직(미제)과 이미(기제)의 순환. 끝은 새 시작이고, 미완성이 곧 가능성."
HEX_01,HEX_14,삼효변,건의 3효가 변하면 대유. 강건함이 빛나면 크게 소유함.
HEX_01,HEX_09,사효변,건의 4효가 변하면 소축. 작은 것을 길러 큰 것을 이룸.
HEX_01,HEX_26,오효변,건의 5효가 변하면 대축. 큰 것을 기름. 현인을 기르는 군주.
HEX_01,HEX_10,상효변,건의 상효가 변하면 리(이). 하늘을 밟는 예절과 조심.
HEX_02,HEX_24,일효변,곤의 초효가 변하면 복. 순음에 양이 돌아옴. 희망의 시작.
HEX_02,HEX_07,이효변,곤의 2효가 변하면 사. 땅에서 군대가 일어남.
HEX_02,HEX_15,삼효변,곤의 3효가 변하면 겸. 땅 아래 산이 있는 겸손.
HEX_02,HEX_16,사효변,곤의 4효가 변하면 예. 땅 위에 우레가 울려 기쁨.
HEX_02,HEX_08,오효변,곤의 5효가 변하면 비. 물이 땅 위에 있어 친밀함.
HEX_09,HEX_26,상응괘,작은 기름과 큰 기름은 상응. 규모의 차이지만 같은 원리.
HEX_13,HEX_07,착괘,동인(화합)과 사(전쟁)는 착괘. 모든 효가 반대. 협력과 갈등의 근본 선택.
HEX_14,HEX_08,착괘,대유(큰소유)와 비(친밀)는 착괘. 소유와 관계의 선택.
HEX_15,HEX_16,서괘,겸손(겸) 다음은 즐거움(예). 겸손하면 즐거움이 따름.
HEX_17,HEX_53,호괘,수의 호괘는 점. 따르는 것의 내면에는 점진적 발전이 있음.
HEX_18,HEX_54,호괘,고의 호괘는 귀매. 부패 속에 성급한 결합의 문제가 숨어있음.
HEX_19,HEX_20,대대괘,다가감(임)과 봄(관)은 대대. 적극적 접근과 관조의 균형.
HEX_19,HEX_33,종괘,임(다가감)을 뒤집으면 둔(물러남). 전진과 후퇴의 선택.
HEX_20,HEX_19,종괘,관(봄)을 뒤집으면 임(다가감). 관찰 후 행동.
HEX_21,HEX_48,호괘,서합의 호괘는 정. 법의 내면에는 생명의 원천이 있음.
HEX_22,HEX_47,호괘,비의 호괘는 곤. 꾸밈의 내면에는 곤궁함이 숨어있음.
HEX_25,HEX_46,호괘,무망의 호괘는 승. 무욕의 내면에는 상승의 힘이 있음.
HEX_26,HEX_45,호괘,대축의 호괘는 췌. 큰 기름의 내면에는 모임이 있음.
HEX_27,HEX_02,호괘,이의 호괘는 곤. 기름(양육)의 내면에는 순응이 있음.
HEX_28,HEX_01,호괘,대과의 호괘는 건. 지나침의 내면에는 강건함이 있음.
HEX_29,HEX_27,호괘,감의 호괘는 이. 위험의 내면에는 양육이 있음.
HEX_30,HEX_28,호괘,리의 호괘는 대과. 밝음의 내면에는 지나침이 있음.
HEX_33,HEX_34,서괘,물러남(둔) 다음은 큰 힘(대장). 물러나야 큰 힘을 기를 수 있음.
HEX_34,HEX_33,서괘역,큰 힘의 이전은 물러남. 힘이 세면 물러날 줄도 알아야.
HEX_43,HEX_23,착괘,쾌(결단)와 박(벗겨짐)은 착괘. 결단과 쇠퇴의 관계.
HEX_44,HEX_24,착괘,구(만남)와 복(돌아옴)은 착괘. 새로운 만남과 귀환의 관계.
HEX_45,HEX_46,서괘,모임(췌) 다음은 오름(승). 모인 힘으로 상승.
HEX_51,HEX_52,대대괘,움직임(진/우레)과 멈춤(간/산)은 대대. 동과 정의 균형.
HEX_51,HEX_57,착괘,진(우레)과 손(바람)은 착괘. 위로 치솟음과 아래로 스며듦.
HEX_52,HEX_58,착괘,간(산)과 태(연못)은 착괘. 멈춤과 기쁨의 대비.
HEX_57,HEX_58,서괘,들어감(손) 다음은 기쁨(태). 겸손히 들어가면 기쁨이 옴.
HEX_58,HEX_57,서괘역,기쁨의 이전은 들어감. 기쁨은 겸손한 진입에서 비롯.
HEX_01,HEX_11,팔궁귀혼,건궁의 귀혼괘는 태. 순양에서 삼양삼음의 조화로 귀환.
HEX_02,HEX_12,팔궁귀혼,곤궁의 귀혼괘는 비. 순음에서 삼음삼양의 막힘으로 귀환.
HEX_29,HEX_59,팔궁귀혼,감궁의 귀혼괘는 환. 물의 위험에서 흩어짐으로 귀환.
HEX_30,HEX_60,팔궁귀혼,리궁의 귀혼괘는 절. 불의 밝음에서 절제로 귀환.
HEX_51,HEX_55,팔궁귀혼,진궁의 귀혼괘는 풍. 우레에서 풍요로 귀환.
HEX_52,HEX_56,팔궁귀혼,간궁의 귀혼괘는 여. 산의 멈춤에서 나그네로 귀환.
HEX_57,HEX_61,팔궁귀혼,손궁의 귀혼괘는 중부. 바람에서 마음의 진실로 귀환.
HEX_58,HEX_62,팔궁귀혼,태궁의 귀혼괘는 소과. 연못의 기쁨에서 작은 지나침으로 귀환.
HEX_03,HEX_42,착괘,둔(시작의어려움)과 익(더함)은 착괘. 어려운 시작과 이익의 관계.
HEX_04,HEX_41,착괘,몽(어리석음)과 손(덜어냄)은 착괘. 무지와 비움의 관계.
HEX_05,HEX_06,착괘,수(기다림)와 송(다툼)은 서괘이자 관련. 기다림과 갈등.
HEX_06,HEX_36,착괘,송(다툼)과 명이(상처)는 착괘. 다툼과 상처의 필연.
HEX_10,HEX_15,호괘,리(밟음)의 호괘는 겸. 예절의 내면에는 겸손이 있음.
HEX_11,HEX_54,호괘,태의 호괘는 귀매. 태평의 내면에는 성급함의 위험.
HEX_12,HEX_53,호괘,비의 호괘는 점. 막힘의 내면에는 점진적 발전의 지혜.
HEX_31,HEX_44,호괘,함의 호괘는 구. 감응의 내면에는 만남이 있음.
HEX_32,HEX_43,호괘,항의 호괘는 쾌. 항구함의 내면에는 결단이 필요.
HEX_37,HEX_64,호괘,가인의 호괘는 미제. 가정의 내면에는 미완의 과제가 있음.
HEX_38,HEX_63,호괘,규의 호괘는 기제. 어긋남의 내면에는 완성이 숨어있음.
HEX_40,HEX_63,호괘,해의 호괘는 기제. 풀림의 내면에는 완성이 있음.
HEX_39,HEX_64,호괘,건의 호괘는 미제. 험난함의 내면에는 미완성의 가능성.
HEX_46,HEX_23,호괘,승의 호괘는 박. 상승의 내면에는 벗겨짐의 위험.
HEX_47,HEX_37,호괘,곤의 호괘는 가인. 곤궁함의 내면에는 가정의 따뜻함.
HEX_48,HEX_38,호괘,정의 호괘는 규. 우물의 내면에는 어긋남이 있음.
HEX_49,HEX_44,호괘,혁의 호괘는 구. 혁명의 내면에는 새로운 만남.
HEX_50,HEX_43,호괘,정의 호괘는 쾌. 새 질서의 내면에는 결단이 있음.
HEX_53,HEX_64,호괘,점의 호괘는 미제. 점진적 발전의 내면에는 미완성.
HEX_54,HEX_63,호괘,귀매의 호괘는 기제. 성급한 결합의 내면에는 완성.
HEX_55,HEX_28,호괘,풍의 호괘는 대과. 풍요의 내면에는 지나침이 있음.
HEX_56,HEX_28,호괘,여의 호괘는 대과. 나그네의 내면에는 지나침이 있음.
HEX_59,HEX_27,호괘,환의 호괘는 이. 흩어짐의 내면에는 기름(양육)이 있음.
HEX_60,HEX_27,호괘,절의 호괘는 이. 절제의 내면에는 양육이 있음.
HEX_61,HEX_27,호괘,중부의 호괘는 이. 진실의 내면에는 양육이 있음.
HEX_62,HEX_28,호괘,소과의 호괘는 대과. 작은 지나침의 내면에는 큰 지나침.
HEX_63,HEX_64,호괘,기제의 호괘는 미제. 완성의 내면에는 미완성.
HEX_64,HEX_63,호괘,미제의 호괘는 기제. 미완성의 내면에는 완성.
