id,label,name,desc,category,element,description
father_jupiter,Father in Jupiter,Father 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Jupiter 표현:
father_saturn,Father in Saturn,Father 원형 - Saturn 표현,Saturn을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Saturn 표현:
father_uranus,Father in Uranus,Father 원형 - Uranus 표현,Uranus을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Uranus 표현:
father_neptune,Father in Neptune,Father 원형 - Neptune 표현,Neptune을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Neptune 표현:
father_pluto,Father in Pluto,Father 원형 - Pluto 표현,Pluto을 통해 표현되는 Father 원형,jung_planet_archetype,fire,Father 원형 - Pluto 표현:
wise_old_man_sun,Wise Old Man in Sun,Wise Old Man 원형 - Sun 표현,Sun을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Sun 표현:
wise_old_man_moon,Wise Old Man in Moon,Wise Old Man 원형 - Moon 표현,Moon을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Moon 표현:
wise_old_man_mercury,Wise Old Man in Mercury,Wise Old Man 원형 - Mercury 표현,Mercury을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Mercury 표현:
wise_old_man_venus,Wise Old Man in Venus,Wise Old Man 원형 - Venus 표현,Venus을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Venus 표현:
wise_old_man_mars,Wise Old Man in Mars,Wise Old Man 원형 - Mars 표현,Mars을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Mars 표현:
wise_old_man_jupiter,Wise Old Man in Jupiter,Wise Old Man 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Jupiter 표현:
wise_old_man_saturn,Wise Old Man in Saturn,Wise Old Man 원형 - Saturn 표현,Saturn을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Saturn 표현:
wise_old_man_uranus,Wise Old Man in Uranus,Wise Old Man 원형 - Uranus 표현,Uranus을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Uranus 표현:
wise_old_man_neptune,Wise Old Man in Neptune,Wise Old Man 원형 - Neptune 표현,Neptune을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Neptune 표현:
wise_old_man_pluto,Wise Old Man in Pluto,Wise Old Man 원형 - Pluto 표현,Pluto을 통해 표현되는 Wise Old Man 원형,jung_planet_archetype,fire,Wise Old Man 원형 - Pluto 표현:
trickster_sun,Trickster in Sun,Trickster 원형 - Sun 표현,Sun을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Sun 표현:
trickster_moon,Trickster in Moon,Trickster 원형 - Moon 표현,Moon을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Moon 표현:
trickster_mercury,Trickster in Mercury,Trickster 원형 - Mercury 표현,Mercury을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Mercury 표현:
trickster_venus,Trickster in Venus,Trickster 원형 - Venus 표현,Venus을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Venus 표현:
trickster_mars,Trickster in Mars,Trickster 원형 - Mars 표현,Mars을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Mars 표현:
trickster_jupiter,Trickster in Jupiter,Trickster 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Jupiter 표현:
trickster_saturn,Trickster in Saturn,Trickster 원형 - Saturn 표현,Saturn을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Saturn 표현:
trickster_uranus,Trickster in Uranus,Trickster 원형 - Uranus 표현,Uranus을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Uranus 표현:
trickster_neptune,Trickster in Neptune,Trickster 원형 - Neptune 표현,Neptune을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Neptune 표현:
trickster_pluto,Trickster in Pluto,Trickster 원형 - Pluto 표현,Pluto을 통해 표현되는 Trickster 원형,jung_planet_archetype,fire,Trickster 원형 - Pluto 표현:
anima_sun,Anima in Sun,Anima 원형 - Sun 표현,Sun을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Sun 표현:
anima_moon,Anima in Moon,Anima 원형 - Moon 표현,Moon을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Moon 표현:
anima_mercury,Anima in Mercury,Anima 원형 - Mercury 표현,Mercury을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Mercury 표현:
anima_venus,Anima in Venus,Anima 원형 - Venus 표현,Venus을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Venus 표현:
anima_mars,Anima in Mars,Anima 원형 - Mars 표현,Mars을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Mars 표현:
anima_jupiter,Anima in Jupiter,Anima 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Jupiter 표현:
anima_saturn,Anima in Saturn,Anima 원형 - Saturn 표현,Saturn을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Saturn 표현:
anima_uranus,Anima in Uranus,Anima 원형 - Uranus 표현,Uranus을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Uranus 표현:
anima_neptune,Anima in Neptune,Anima 원형 - Neptune 표현,Neptune을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Neptune 표현:
anima_pluto,Anima in Pluto,Anima 원형 - Pluto 표현,Pluto을 통해 표현되는 Anima 원형,jung_planet_archetype,fire,Anima 원형 - Pluto 표현:
animus_sun,Animus in Sun,Animus 원형 - Sun 표현,Sun을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Sun 표현:
animus_moon,Animus in Moon,Animus 원형 - Moon 표현,Moon을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Moon 표현:
animus_mercury,Animus in Mercury,Animus 원형 - Mercury 표현,Mercury을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Mercury 표현:
animus_venus,Animus in Venus,Animus 원형 - Venus 표현,Venus을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Venus 표현:
animus_mars,Animus in Mars,Animus 원형 - Mars 표현,Mars을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Mars 표현:
animus_jupiter,Animus in Jupiter,Animus 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Jupiter 표현:
animus_saturn,Animus in Saturn,Animus 원형 - Saturn 표현,Saturn을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Saturn 표현:
animus_uranus,Animus in Uranus,Animus 원형 - Uranus 표현,Uranus을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Uranus 표현:
animus_neptune,Animus in Neptune,Animus 원형 - Neptune 표현,Neptune을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Neptune 표현:
animus_pluto,Animus in Pluto,Animus 원형 - Pluto 표현,Pluto을 통해 표현되는 Animus 원형,jung_planet_archetype,fire,Animus 원형 - Pluto 표현:
shadow_sun,Shadow in Sun,Shadow 원형 - Sun 표현,Sun을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Sun 표현:
shadow_moon,Shadow in Moon,Shadow 원형 - Moon 표현,Moon을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Moon 표현:
shadow_mercury,Shadow in Mercury,Shadow 원형 - Mercury 표현,Mercury을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Mercury 표현:
shadow_venus,Shadow in Venus,Shadow 원형 - Venus 표현,Venus을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Venus 표현:
shadow_mars,Shadow in Mars,Shadow 원형 - Mars 표현,Mars을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Mars 표현:
shadow_jupiter,Shadow in Jupiter,Shadow 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Jupiter 표현:
shadow_saturn,Shadow in Saturn,Shadow 원형 - Saturn 표현,Saturn을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Saturn 표현:
shadow_uranus,Shadow in Uranus,Shadow 원형 - Uranus 표현,Uranus을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Uranus 표현:
shadow_neptune,Shadow in Neptune,Shadow 원형 - Neptune 표현,Neptune을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Neptune 표현:
shadow_pluto,Shadow in Pluto,Shadow 원형 - Pluto 표현,Pluto을 통해 표현되는 Shadow 원형,jung_planet_archetype,fire,Shadow 원형 - Pluto 표현:
self_sun,Self in Sun,Self 원형 - Sun 표현,Sun을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Sun 표현:
self_moon,Self in Moon,Self 원형 - Moon 표현,Moon을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Moon 표현:
self_mercury,Self in Mercury,Self 원형 - Mercury 표현,Mercury을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Mercury 표현:
self_venus,Self in Venus,Self 원형 - Venus 표현,Venus을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Venus 표현:
self_mars,Self in Mars,Self 원형 - Mars 표현,Mars을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Mars 표현:
self_jupiter,Self in Jupiter,Self 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Jupiter 표현:
self_saturn,Self in Saturn,Self 원형 - Saturn 표현,Saturn을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Saturn 표현:
self_uranus,Self in Uranus,Self 원형 - Uranus 표현,Uranus을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Uranus 표현:
self_neptune,Self in Neptune,Self 원형 - Neptune 표현,Neptune을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Neptune 표현:
self_pluto,Self in Pluto,Self 원형 - Pluto 표현,Pluto을 통해 표현되는 Self 원형,jung_planet_archetype,fire,Self 원형 - Pluto 표현:
persona_sun,Persona in Sun,Persona 원형 - Sun 표현,Sun을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Sun 표현:
persona_moon,Persona in Moon,Persona 원형 - Moon 표현,Moon을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Moon 표현:
persona_mercury,Persona in Mercury,Persona 원형 - Mercury 표현,Mercury을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Mercury 표현:
persona_venus,Persona in Venus,Persona 원형 - Venus 표현,Venus을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Venus 표현:
persona_mars,Persona in Mars,Persona 원형 - Mars 표현,Mars을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Mars 표현:
persona_jupiter,Persona in Jupiter,Persona 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Jupiter 표현:
persona_saturn,Persona in Saturn,Persona 원형 - Saturn 표현,Saturn을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Saturn 표현:
persona_uranus,Persona in Uranus,Persona 원형 - Uranus 표현,Uranus을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Uranus 표현:
persona_neptune,Persona in Neptune,Persona 원형 - Neptune 표현,Neptune을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Neptune 표현:
persona_pluto,Persona in Pluto,Persona 원형 - Pluto 표현,Pluto을 통해 표현되는 Persona 원형,jung_planet_archetype,fire,Persona 원형 - Pluto 표현:
child_sun,Child in Sun,Child 원형 - Sun 표현,Sun을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Sun 표현:
child_moon,Child in Moon,Child 원형 - Moon 표현,Moon을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Moon 표현:
child_mercury,Child in Mercury,Child 원형 - Mercury 표현,Mercury을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Mercury 표현:
child_venus,Child in Venus,Child 원형 - Venus 표현,Venus을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Venus 표현:
child_mars,Child in Mars,Child 원형 - Mars 표현,Mars을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Mars 표현:
child_jupiter,Child in Jupiter,Child 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Jupiter 표현:
child_saturn,Child in Saturn,Child 원형 - Saturn 표현,Saturn을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Saturn 표현:
child_uranus,Child in Uranus,Child 원형 - Uranus 표현,Uranus을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Uranus 표현:
child_neptune,Child in Neptune,Child 원형 - Neptune 표현,Neptune을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Neptune 표현:
child_pluto,Child in Pluto,Child 원형 - Pluto 표현,Pluto을 통해 표현되는 Child 원형,jung_planet_archetype,fire,Child 원형 - Pluto 표현:
maiden_sun,Maiden in Sun,Maiden 원형 - Sun 표현,Sun을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Sun 표현:
maiden_moon,Maiden in Moon,Maiden 원형 - Moon 표현,Moon을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Moon 표현:
maiden_mercury,Maiden in Mercury,Maiden 원형 - Mercury 표현,Mercury을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Mercury 표현:
maiden_venus,Maiden in Venus,Maiden 원형 - Venus 표현,Venus을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Venus 표현:
maiden_mars,Maiden in Mars,Maiden 원형 - Mars 표현,Mars을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Mars 표현:
maiden_jupiter,Maiden in Jupiter,Maiden 원형 - Jupiter 표현,Jupiter을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Jupiter 표현:
maiden_saturn,Maiden in Saturn,Maiden 원형 - Saturn 표현,Saturn을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Saturn 표현:
maiden_uranus,Maiden in Uranus,Maiden 원형 - Uranus 표현,Uranus을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Uranus 표현:
maiden_neptune,Maiden in Neptune,Maiden 원형 - Neptune 표현,Neptune을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Neptune 표현:
maiden_pluto,Maiden in Pluto,Maiden 원형 - Pluto 표현,Pluto을 통해 표현되는 Maiden 원형,jung_planet_archetype,fire,Maiden 원형 - Pluto 표현:
hero_aries,Hero in Aries,Hero in Aries,Aries 에너지로 표현되는 Hero,jung_sign_archetype,water,Hero in Aries:
hero_taurus,Hero in Taurus,Hero in Taurus,Taurus 에너지로 표현되는 Hero,jung_sign_archetype,water,Hero in Taurus:
hero_gemini,Hero in Gemini,Hero in Gemini,Gemini 에너지로 표현되는 Hero,jung_sign_archetype,water,Hero in Gemini:
hero_cancer,Hero in Cancer,Hero in Cancer,Cancer 에너지로 표현되는 Hero,jung_sign_archetype,water,Hero in Cancer:
hero_leo,Hero in Leo,Hero in Leo,Leo 에너지로 표현되는 Hero,jung_sign_archetype,water,Hero in Leo:
hero_virgo,Hero in Virgo,Hero in Virgo,Virgo 에너지로 표현되는 Hero,jung_sign_archetype,water,Hero in Virgo:
