id,life_path,month,universal_month,energy,focus,opportunity,challenge,advice,saju_correlation
NMF_4_9,4,9월,9,구축마무리,프로젝트완료,정리/마무리/이양,미련/집착,깔끔하게마무리하고넘기라,화-마무리
NMF_4_10,4,10월,1,새구축시작,새건설시작,새계획/새시작,과거실수반복,배운것을적용하여새로시작하라,목-새시작
NMF_4_11,4,11월,2,직관적구축,직관과구조의융합,영감받은설계,비현실적,직관을현실적계획으로바꾸라,수-직관
NMF_4_12,4,12월,3,구축축하,완성축하,기념/휴식/감사,피로/과로,한해노력을축하하고쉬어라,화-축하
NMF_5_1,5,1월,1,변화의시작,새로운모험시작,자유/새경험,불안정/산만,두려움없이새로운것을시작하라,목-모험
NMF_5_2,5,2월,2,변화속균형,변화중조화,적응/파트너협력,갈등/불안,변화속에서도관계균형을유지하라,토-균형
NMF_5_3,5,3월,3,변화의표현,변화경험공유,여행기/모험담,과장/분산,경험을흥미롭게나누라,목-공유
NMF_5_4,5,4월,4,변화의안정,변화중기반,임시정착/체계화,답답함/저항,필요한구조를임시로세우라,토-임시안정
NMF_5_5,5,5월,5,변화의절정,최대변화기,큰전환/모험,혼란/과잉자유,변화의파도를타고서핑하라,금-절정
NMF_5_6,5,6월,6,변화와책임,변화중책임,가족과의조율,책임회피,자유를누리되책임도다하라,토-책임
NMF_5_7,5,7월,7,변화의성찰,변화의의미탐구,여행중성찰/학습,방향상실,멈추고변화의의미를찾으라,수-성찰
NMF_5_8,5,8월,8,변화의성과,변화로인한이익,새기회/재정,과욕/도박,변화에서실질적이익을취하라,금-이익
NMF_5_9,5,9월,9,변화의정리,한사이클종료,정리/놓아줌,집착/미련,끝난변화를받아들이고정리하라,화-종료
NMF_5_10,5,10월,1,새모험시작,또다른모험,새경험/새시작,같은실수,지혜로운모험을시작하라,목-새모험
NMF_5_11,5,11월,2,영적모험,내면의여행,명상/영적탐구,혼란/환상,외면과내면의여행을균형맞추라,수-내면여행
NMF_5_12,5,12월,3,모험축하,한해모험정리,여행/파티/축하,피로/과잉,모험을축하하고쉬어라,화-축하
NMF_6_1,6,1월,1,돌봄의시작,새로운책임시작,가정/관계,과잉책임/독단,사랑으로책임을시작하라,목-사랑
NMF_6_2,6,2월,2,돌봄의조화,관계조율,균형/협력,희생/의존,주고받는균형을맞추라,토-균형
NMF_6_3,6,3월,3,돌봄의표현,사랑표현,선물/대화/기쁨,과잉/분산,사랑을아름답게표현하라,목-표현
NMF_6_4,6,4월,4,돌봄의구조,가정시스템,규칙/안정/체계,답답함/경직,사랑어린규칙을세우라,토-체계
NMF_6_5,6,5월,5,돌봄과자유,관계에서자유,개인시간/변화,갈등/불안,사랑안에서자유를허용하라,금-자유
NMF_6_6,6,6월,6,돌봄의절정,가정의중심,가족모임/사랑,과잉헌신,온전히사랑하되지치지말라,토-절정
NMF_6_7,6,7월,7,돌봄의성찰,사랑의의미,관계점검/내면,고독/의문,사랑의진정한의미를성찰하라,수-성찰
NMF_6_8,6,8월,8,돌봄의성과,관계의결실,결혼/출산/성과,물질화,사랑의열매를맺으라,금-결실
NMF_6_9,6,9월,9,돌봄의정리,관계정리,용서/화해/이별,미련/집착,필요한정리를사랑으로하라,화-정리
NMF_6_10,6,10월,1,새로운돌봄,새관계/새책임,새인연/새시작,과거패턴,더성숙한사랑을시작하라,목-새시작
NMF_6_11,6,11월,2,영적돌봄,무조건적사랑,영적연결/치유,현실무시,영적사랑을현실에연결하라,수-영적사랑
NMF_6_12,6,12월,3,돌봄의축제,가족축제,모임/축하/감사,피로/과잉,사랑을축하하고감사하라,화-감사
NMF_7_1,7,1월,1,지혜의시작,새학습시작,연구/탐구,고립/의심,호기심으로새지식을탐구하라,목-탐구
NMF_7_2,7,2월,2,지혜의공유,함께배움,스터디/토론,의견차이,타인의지혜도경청하라,토-공유
NMF_7_3,7,3월,3,지혜의표현,깨달음발표,강의/저술/공유,과잉/분산,배운것을나누라,목-나눔
NMF_7_4,7,4월,4,지혜의구조,체계적학습,연구계획/논문,답답함/고립,체계적으로정리하라,토-체계
NMF_7_5,7,5월,5,지혜와변화,새관점/여행,현장학습/모험,불안정/분산,변화에서지혜를얻으라,금-새관점
NMF_7_6,7,6월,6,지혜와가정,가정에서의지혜,가족상담/교육,책임/고립,가족에게지혜를나누라,토-가정
NMF_7_7,7,7월,7,지혜의절정,깊은통찰,명상/깨달음/직관,극심한고독,깊은내면에서진리를찾으라,수-절정
NMF_7_8,7,8월,8,지혜의활용,지식의수익화,컨설팅/저작권,물질화압박,지혜를현실에활용하라,금-활용
NMF_7_9,7,9월,9,지혜의완성,한사이클학습완료,졸업/마스터,집착/미련,배운것을정리하고다음을준비하라,화-완성
NMF_7_10,7,10월,1,새지혜탐구,새분야시작,새관심/새연구,과거반복,새로운분야에호기심을가지라,목-새탐구
NMF_7_11,7,11월,2,영적지혜,직관과지혜융합,영적통찰/비전,혼란/비현실,영적지혜를현실에적용하라,수-영적지혜
NMF_7_12,7,12월,3,지혜의나눔,깨달음축하,모임/토론/축하,피로/과시,한해깨달음을감사히나누라,화-나눔
NMF_8_1,8,1월,1,성취의시작,새목표설정,야망/계획,성급함/과욕,현실적이고큰목표를세우라,목-야망
NMF_8_2,8,2월,2,성취와협력,팀으로성취,파트너십/협상,권력다툼,함께성취하는법을배우라,토-협력
NMF_8_3,8,3월,3,성취의홍보,성과알리기,마케팅/발표,과장/분산,성과를효과적으로알리라,목-홍보
NMF_8_4,8,4월,4,성취의기반,단단한기반,시스템/조직,답답함/경직,성공의인프라를구축하라,토-인프라
NMF_8_5,8,5월,5,성취와변화,전략적변화,피봇/적응,불안정/위험,변화를기회로활용하라,금-전략
NMF_8_6,8,6월,6,성취와가정,일가정균형,가족사업/균형,과로/갈등,성취와가정을균형맞추라,토-균형
NMF_8_7,8,7월,7,성취의성찰,전략점검,분석/재평가,의심/정체,잠시멈추고전략을점검하라,수-점검
NMF_8_8,8,8월,8,성취의절정,최대성과,큰성공/재정절정,물질집착/과욕,인생최대의성취를이루라,금-절정
NMF_8_9,8,9월,9,성취의정리,수확정리,이익실현/배분,탐욕/집착,성과를정리하고나누라,화-수확
NMF_8_10,8,10월,1,새성취목표,더큰목표,새야망/새시작,과거반복,더높은목표를향해출발하라,목-새목표
NMF_8_11,8,11월,2,영적성취,물질을넘어선성취,의미/비전,공허함,진정한성공의의미를찾으라,수-의미
NMF_8_12,8,12월,3,성취축하,한해성과축하,파티/보너스/감사,과소비,성취를축하하고감사하라,화-축하
NMF_9_1,9,1월,1,봉사의시작,새봉사시작,자원봉사/이타심,자기희생,지혜롭게봉사를시작하라,목-봉사
NMF_9_2,9,2월,2,봉사와협력,함께봉사,단체활동/협력,이견/피로,함께하는봉사의힘을느끼라,토-협력
NMF_9_3,9,3월,3,봉사의표현,봉사알리기,캠페인/홍보,과장/지침,봉사의가치를널리알리라,목-전파
NMF_9_4,9,4월,4,봉사의체계,시스템봉사,조직화/효율,답답함/경직,지속가능한봉사체계를만들라,토-체계
NMF_9_5,9,5월,5,봉사와변화,새로운봉사방식,혁신/실험,불안정/실패,새로운방식의봉사를시도하라,금-혁신
NMF_9_6,9,6월,6,봉사와가정,가족봉사,가족과함께/지역,피로/갈등,가족과함께봉사하라,토-가정봉사
NMF_9_7,9,7월,7,봉사의성찰,봉사의의미,내면탐구/방향,회의/의심,진정한봉사의의미를찾으라,수-의미
NMF_9_8,9,8월,8,봉사의결실,봉사의보람,인정/감사/성과,기대/집착,봉사의열매를겸허히받으라,금-보람
NMF_9_9,9,9월,9,봉사의완성,큰사이클완료,인생정리/지혜,집착/미련,한생의지혜를정리하고나누라,화-완성
NMF_9_10,9,10월,1,새시작준비,다음사이클준비,재탄생/새계획,과거집착,새로운시작을준비하라,목-재탄생
NMF_9_11,9,11월,2,영적완성,영적봉사,무조건적사랑/치유,현실무시,영적성장을현실에연결하라,수-영적봉사
NMF_9_12,9,12월,3,봉사의축제,한해감사,나눔/축하/봉사,피로/과잉,감사하며한해를마무리하라,화-감사
