id,label,type,day,korean_name,core_trait,strengths,challenges,life_lesson,career_hints,description
NB_14,생일수14,numerology_birthday,14,14일생,자유로운변화추구자,적응력/다재다능/자유/변화,과잉자극/중독/불안정,절제와균형,미디어/여행/영업/변화,14일생은 카르마 숫자. 자유를 사랑하나 절제를 배워야 함.
NB_15,생일수15,numerology_birthday,15,15일생,책임있는돌봄이,사랑/책임/가정/예술적감각,과잉책임/소유욕/의존,건강한사랑,가정/예술/치유/봉사,15일생은 사랑과 책임의 조합. 가정과 아름다움을 중시하며 돌봄의 재능.
NB_16,생일수16,numerology_birthday,16,16일생,영적성장자,직관/영성/분석력/내면탐구,자아붕괴경험/고립/재건,겸손과재탄생,연구/영성/심리/치유,16일생은 카르마 숫자. 자아가 무너지는 경험을 통해 영적으로 재탄생.
NB_17,생일수17,numerology_birthday,17,17일생,영적성취자,영성/물질균형/직관/성취,물질과영성갈등/완벽주의,균형잡힌성공,경영/영성/리더십/연구,17일생은 영적 통찰과 물질적 성취의 균형. 두 세계를 통합하는 능력.
NB_18,생일수18,numerology_birthday,18,18일생,인류봉사자,인류애/용기/독립/치유,갈등/투쟁/가족문제,내면평화찾기,인도주의/의료/법률/사회,18일생은 인류를 위한 투쟁. 정의와 치유를 위해 싸우며 용감하게 봉사.
NB_19,생일수19,numerology_birthday,19,19일생,독립적리더,독립심/리더십/창의성/결단력,고립/도움거부/오만,상호의존배우기,리더십/창업/독립적역할,19일생은 카르마 숫자. 강한 독립심이 있으나 협력을 배워야 함.
NB_20,생일수20,numerology_birthday,20,20일생,민감한협력자,감수성/협력/직관/외교,과민감/의존/우유부단,자기신뢰키우기,상담/외교/예술/파트너십,20일생은 2의 에너지가 강화됨. 매우 민감하고 협력적이며 직관적.
NB_21,생일수21,numerology_birthday,21,21일생,사교적창조자,창의성/사교성/낙관/표현력,산만/피상적/책임회피,깊이와헌신,창작/연예/마케팅/소통,21일생은 창조적 사교가. 자기 표현이 뛰어나고 사람들과 쉽게 어울림.
NB_22,생일수22,numerology_birthday,22,22일생,마스터빌더,비전/건설능력/실용성/리더십,압도감/높은이상/좌절,단계적실현,대규모프로젝트/건축/경영,22일생은 마스터 넘버. 거대한 비전을 현실로 건설하는 능력.
NB_23,생일수23,numerology_birthday,23,23일생,다재다능한소통가,소통/다재다능/자유/적응력,산만/무책임/변덕,집중과완성,미디어/영업/여행/창작,23일생은 소통의 달인. 다양한 재능으로 자유롭게 소통하고 적응.
NB_24,생일수24,numerology_birthday,24,24일생,가정중심돌봄이,가정/책임/돌봄/예술,과잉보호/걱정/희생,자기돌봄포함,가정/교육/의료/서비스,24일생은 가정의 기둥. 가족을 돌보고 조화로운 환경을 만드는 재능.
NB_25,생일수25,numerology_birthday,25,25일생,직관적탐구자,직관/분석/탐구/영성,고립/의심/비밀,신뢰와공유,연구/영성/심리/과학,25일생은 깊은 탐구자. 직관과 분석을 결합하여 숨겨진 진실을 찾음.
NB_26,생일수26,numerology_birthday,26,26일생,물질적성취자,야심/성취/책임/가정,물질집착/일가정갈등/권력,가정과일의균형,경영/금융/부동산/가족사업,26일생은 물질적 성취와 가정의 조합. 두 영역 모두에서 성공을 추구.
NB_27,생일수27,numerology_birthday,27,27일생,인류애적지도자,인류애/지혜/리더십/용기,이상과현실갈등/희생/고집,균형잡힌이상,인도주의/리더십/예술/치유,27일생은 인류를 위한 리더. 높은 이상과 용기로 더 나은 세상을 위해 활동.
NB_28,생일수28,numerology_birthday,28,28일생,독립적협력자,독립심/협력/리더십/감수성,갈등/독립과의존사이/시작어려움,시작의용기,리더십/창업/파트너십/혁신,28일생은 독립과 협력의 조합. 혼자 할 수 있지만 함께할 때 더 강함.
NB_29,생일수29,numerology_birthday,29,29일생,영감받은봉사자,직관/영감/인류애/영성,극단적민감/이상주의/현실도피,영감을현실로,영적활동/예술/치유/상담,29일생은 마스터 에너지를 가진 봉사자. 강력한 직관으로 인류에 봉사.
NB_30,생일수30,numerology_birthday,30,30일생,창의적표현자,창의성/표현력/사교성/낙관,산만/피상적/자기중심,깊이있는표현,예술/연예/작가/강연,30일생은 순수한 창조 에너지. 자기 표현과 창조에서 기쁨을 찾음.
NB_31,생일수31,numerology_birthday,31,31일생,실용적건설자,실용성/조직력/창의성/인내,고집/과로/융통성부족,유연한접근,경영/건축/조직/제조,31일생은 창의적 건설가. 실용적으로 아이디어를 현실화하는 능력.
