id,label,type,shinsal_name,category,korean_name,formation,positive_effect,negative_effect,life_area,remedies,description
SS_현침살,현침살,saju_shinsal,현침살,skill,현침살,특정간지조합,기술/전문성/섬세함/의료,과도한완벽주의/예민함,기술전문직,기술을살린직업/의료미용,"현침살은 바늘과 실의 재주. 의료, 미용, 봉제 등 섬세한 기술에 재능이 있음."
SS_천라지망,천라지망,saju_shinsal,천라지망,restriction,천라지망,진술에서형성,깊은사고/신중함/철학적깊이,구속/제약/답답함/법적문제,법률구속,법률준수/구속된상황주의,천라지망은 하늘과 땅의 그물. 구속이나 제약을 받을 수 있으니 법을 준수하고 신중해야 함.
SS_지망,지망,saju_shinsal,지망,restriction,지망,축미에서형성,현실적사고/실용성/안정추구,침체/고립/정체/갇힌느낌,사업정체,새로운돌파구모색/변화시도,지망은 땅의 그물. 일이 막히거나 정체될 수 있으니 새로운 방법을 모색해야 함.
SS_원진살,원진살,saju_shinsal,원진살,conflict,원진살,특정지지조합,경쟁심/투지/반항심,불화/반목/이별/갈등,인간관계,화해와양보/갈등관리,원진살은 원수처럼 미워하는 관계. 특정 띠와 갈등이 있거나 반목하기 쉬움.
SS_귀문관살,귀문관살,saju_shinsal,귀문관살,spiritual,귀문관살,특정지지조합,영적민감성/직관력/신비체험,정신적불안/악몽/영적방해,영성정신,영적보호/명상수련,귀문관살은 귀신의 문. 영적으로 민감하여 신비 체험을 하거나 불안정할 수 있음.
SS_괴강살,괴강살,saju_shinsal,괴강살,power,괴강살,경진무술임진갑술,강한개성/리더십/결단력/독립심,고집/독선/외로움/갈등,리더십권위,유연성키우기/협력학습,괴강살은 강한 개성의 별. 리더십이 있고 독립적이나 고집이 세고 외로울 수 있음.
SS_공망,공망,saju_shinsal,공망,void,공망,순중에서빠진두지지,내면탐구/영성/비움의지혜,공허함/실속없음/노력무효,해당궁의공허,채우려하지말고비움으로전환,공망은 비어있는 자리. 해당 궁의 에너지가 약하거나 비어있으나 영적으로 전환하면 지혜가 됨.
SS_고신살,고신살,saju_shinsal,고신살,loneliness,고신살,년지에따라결정,독립심/자립심/내면의힘,고독/외로움/인연부족,인간관계,혼자있는시간활용/자기계발,고신살은 외로운 별. 혼자 있는 시간이 많으나 그 안에서 자립심과 내면의 힘을 키움.
SS_과숙살,과숙살,saju_shinsal,과숙살,loneliness,과숙살,년지에따라결정,독립적여성/강한여성성,결혼지연/배우자복약함,결혼배우자,자기완성후인연/독립적관계,과숙살은 여성에게 해당하는 고독의 별. 독립적이고 강하나 결혼이 늦거나 배우자운이 약할 수 있음.
SS_천살,천살,saju_shinsal,천살,caution,천살,년지삼합의장생지,조심성/신중함/위기감지능력,걱정/불안/과민반응,안전건강,적절한조심/과도한걱정은버리기,천살은 하늘의 재앙. 조심해야 할 일이 많으나 신중하면 위기를 피할 수 있음.
SS_지살,지살,saju_shinsal,지살,grounding,지살,년지삼합의왕지,현실감각/실용성/안정추구,고집/변화거부/답답함,재물직업,유연성키우기/변화수용,지살은 땅에 박힌 에너지. 안정적이고 현실적이나 변화를 거부할 수 있음.
SS_연살,연살,saju_shinsal,연살,relationship,연살,년지삼합의욕지,인연/만남/관계형성/소개,인연에휘둘림/관계복잡,인연만남,건강한경계/관계정리,연살은 인연의 별. 만남이 많고 소개를 받으나 복잡한 관계에 엮일 수 있음.
SS_월살,월살,saju_shinsal,월살,cycle,월살,년지삼합의고지,마무리/정리/완성/주기,끝이안남/미련/반복,사업완성,마무리짓기/새시작준비,월살은 달의 순환. 일을 마무리 짓고 새로운 시작을 준비해야 하는 시기.
SS_일살,일살,saju_shinsal,일살,daily,일살,년지삼합의병지,일상/루틴/성실함/꾸준함,지루함/반복/발전없음,일상직장,작은변화시도/루틴속새로움,일살은 매일의 별. 성실하고 꾸준하나 지루함에 빠질 수 있으니 작은 변화 필요.
SS_시살,시살,saju_shinsal,시살,timing,시살,년지삼합의사지,타이밍/시기/때를아는지혜,서두름/놓침/시기착오,사업투자,때를기다리기/타이밍포착,시살은 때를 아는 별. 적절한 타이밍을 잡는 지혜가 있으나 서두르면 놓칠 수 있음.
SS_홍염살,홍염살,saju_shinsal,홍염살,passion,홍염살,특정간지조합,강렬한매력/열정/성적끌림/카리스마,집착/질투/스캔들/불륜위험,연애성적매력,열정조절/건강한관계,홍염살은 붉은 불꽃. 강렬한 성적 매력과 열정이 있으나 불륜이나 스캔들에 주의해야 함.
SS_탕화살,탕화살,saju_shinsal,탕화살,dissipation,탕화살,사오에서형성,활발함/사교성/즐거움추구,낭비/탕진/유흥/중독,재물건강,절제/저축습관/건강관리,탕화살은 끓는 물. 에너지가 넘치고 즐기기를 좋아하나 낭비와 유흥에 빠질 수 있음.
SS_급각살,급각살,saju_shinsal,급각살,danger,급각살,인신사해충에서,빠른판단/순발력/위기대응,사고/낙상/골절/급한성격,안전건강,안전운전/급한성격조절,급각살은 급한 발. 빠른 판단력이 있으나 낙상이나 교통사고에 주의해야 함.
SS_낙정관살,낙정관살,saju_shinsal,낙정관살,fall,낙정관살,특정조합,높은곳주의/겸손함,추락/몰락/지위상실,직위명예,겸손/안전주의/높은곳조심,낙정관살은 우물에 빠지는 별. 높은 곳에서 추락하거나 지위를 잃을 수 있으니 겸손해야 함.
SS_음착살,음착살,saju_shinsal,음착살,entanglement,음착살,자축인조합,깊은인연/운명적만남,복잡한관계/삼각관계/비밀연애,연애인간관계,관계정리/경계명확,음착살은 음습한 얽힘. 복잡한 관계에 얽히거나 비밀 연애에 빠질 수 있음.
SS_효신살,효신살,saju_shinsal,효신살,transformation,효신살,인묘진조합,변신능력/적응력/카멜레온,정체성혼란/거짓/위장,적응변화,진정한자아찾기/일관성,효신살은 변신의 별. 상황에 맞게 변신하는 능력이 있으나 진짜 자신을 잃을 수 있음.
SS_천의성,천의성,saju_shinsal,천의성,healing,천의성,일간에따라결정,치유능력/의료인연/건강회복,건강집착/의료비과다,건강의료,의료직종/건강관련직업,천의성은 하늘의 의사. 의료에 인연이 있고 아픈 것을 잘 낫게 하는 치유의 별.
SS_천주귀인,천주귀인,saju_shinsal,천주귀인,blessing,천주귀인,일간에따라결정,요리재능/음식복/먹을복,과식/비만/음식집착,음식건강,적절한식단/요리재능활용,천주귀인은 하늘이 주는 먹을 복. 음식 솜씨가 좋고 먹을 것이 끊이지 않음.
SS_복성귀인,복성귀인,saju_shinsal,복성귀인,blessing,복성귀인,일간에따라결정,전생의복/타고난행운/복덕,과거집착/과거의업,전체운,복에감사/선행으로유지,복성귀인은 전생의 덕. 타고난 복이 있으나 복을 당연시하면 사라질 수 있음.
SS_암록,암록,saju_shinsal,암록,hidden_wealth,암록,일간의암장록지,숨겨진재능/비밀수입/잠재력,비밀유지스트레스/숨김,재물재능,숨겨진재능개발/적절한공개,암록은 숨겨진 녹봉. 드러나지 않는 수입이나 재능이 있으며 때가 되면 빛남.
SS_금여록,금여록,saju_shinsal,금여록,comfort,금여록,일간에따라결정,편안함/안락/배우자복/내조,나태함/안주/도전부족,결혼가정,안락속도전/편안함누리기,금여록은 황금 가마. 배우자 복이 있고 편안한 삶을 살지만 나태해지지 않도록 주의.
SS_건록,건록,saju_shinsal,건록,establishment,건록,일간의왕지,자수성가/독립/실력/근본,과도한독립/도움거부,직업재물,도움받는것도배우기,건록은 녹봉을 세우는 별. 자기 힘으로 일어서는 자수성가형이나 협력도 필요.
SS_제왕,제왕,saju_shinsal,제왕,peak,제왕,일간의제왕지,최고조/정점/리더/권위,교만/독선/하락준비,직위권력,겸손/후계자준비,제왕은 왕의 자리. 최고의 위치에 오르나 정점 이후는 내려가므로 겸손해야 함.
SS_장성,장성,saju_shinsal,장성,general,장성,년지에따라결정,군인기질/리더십/통솔력/용맹,공격성/폭력성/갈등,직업리더십,리더십긍정적활용/군경직,장성은 장군의 별. 군인이나 경찰에 적합하며 통솔력이 있으나 공격성 조절 필요.
SS_반안살,반안살,saju_shinsal,반안살,stability,반안살,년지에따라결정,안정/편안함/자리잡음,정체/변화두려움/매너리즘,직업거주,안정속성장/새로운도전,반안살은 안장에 앉은 별. 안정적인 자리를 잡으나 변화가 필요할 때도 있음.
SS_역마도화,역마도화,saju_shinsal,역마도화,mobile_charm,역마도화,역마와도화동시,여행중인연/외국인인연/멀리서오는사랑,불안정한연애/거리의연애,연애이동,거리를극복하는사랑/유연한만남,역마도화는 움직이면서 만나는 인연. 여행이나 해외에서 사랑을 만남.
SS_고란살,고란살,saju_shinsal,고란살,isolation,고란살,특정조합,독립적사고/특별한관점/고독의지혜,고립/소외/인정못받음,인간관계사회,외로움을지혜로/특별함인정,고란살은 외딴 난초. 홀로 피지만 그 향기는 특별하여 알아보는 이가 있음.
SS_절각살,절각살,saju_shinsal,절각살,cutting,절각살,특정조합,단절력/정리력/결단력,관계단절/이별/끊김,인간관계,필요한단절/건강한이별,절각살은 발이 잘리는 별. 관계나 상황이 갑자기 끊길 수 있으나 때로는 필요한 단절.
SS_천액살,천액살,saju_shinsal,천액살,obstacle,천액살,년지에따라결정,인내심/역경극복력/강인함,재난/액운/고난,건강전체운,인내/대비/보험,천액살은 하늘의 재액. 액운이 있을 수 있으나 대비하고 인내하면 극복 가능.
SS_혈인살,혈인살,saju_shinsal,혈인살,blood,혈인살,특정조합,의료적성/피에강함/수술회복빠름,유혈사고/수술/출혈,건강,헌혈/의료봉사/안전,혈인살은 피의 별. 수술을 하거나 피를 볼 일이 있으나 의료 관련 직업에 적성.
SS_육해살,육해살,saju_shinsal,육해살,harm,육해살,특정지지조합,갈등해결능력/조정력,친한사이의배신/가까운이의해,인간관계,가까운사람관계점검,육해살은 가까운 이의 해. 친한 사람에게 상처받을 수 있으니 경계하되 의심하지 말 것.
SS_삼형살,삼형살,saju_shinsal,삼형살,triple_punishment,삼형살,인사신/축술미/자묘,위기관리능력/법률적성/형사적성,법적문제/구설/형벌,법률직업,법조인적성/법률준수,삼형살은 세 가지 형벌. 법적 문제에 연루될 수 있으나 법조계에서 성공 가능.
SS_자형,자형,saju_shinsal,자형,self_punishment,자형,인인/오오/유유/해해/진진,자기성찰/독립심/자기완성,자해/자책/자기파괴/고집,정신건강,자기사랑/자책멈추기,자형은 스스로를 벌하는 것. 자기 자신에게 엄격하나 자기 비판을 넘어 자기 사랑 필요.
SS_형충파해,형충파해,saju_shinsal,형충파해,conflict_general,형충파해,지지의충돌,변화적응력/위기대처/강인함,갈등/변화/불안정/사고,전체운,변화수용/안전주의,형충파해는 지지의 충돌. 변화와 갈등이 많으나 적응력을 키우면 성장의 기회.
SS_삼기,삼기,saju_shinsal,삼기,three_wonders,삼기,갑무경/을병정/신임계,특별한재능/천재성/독창성,과대평가/자만/기대부담,재능창조,겸손/재능나눔,삼기는 세 가지 기이한 것. 특별한 재능이 있어 비범하나 자만하지 않도록 주의.
SS_문곡귀인,문곡귀인,saju_shinsal,문곡귀인,arts,문곡귀인,일간에따라결정,예술재능/음악/글쓰기/창작,감성과잉/현실과괴리,예술창작,예술활동/창작작업,"문곡귀인은 예술의 별. 음악, 문학, 미술 등 예술적 재능이 뛰어남."
SS_천희성,천희성,saju_shinsal,천희성,joy,천희성,년지에따라결정,기쁨/즐거움/좋은소식/경사,기쁨에취함/들뜸/과소비,경사행사,기쁨나누기/감사,천희성은 하늘의 기쁨. 좋은 소식과 경사가 있으며 기쁜 일이 많음.
SS_천고성,천고성,saju_shinsal,천고성,solitude,천고성,년지에따라결정,깊은사색/철학/명상/고독의지혜,외로움/우울/고립,영성정신,명상/철학공부/혼자시간활용,천고성은 하늘의 고독. 깊이 생각하고 혼자 있는 시간에서 지혜를 얻음.
SS_천문성,천문성,saju_shinsal,천문성,knowledge,천문성,년지에따라결정,학문/연구/탐구/지적호기심,지식집착/현학적/이론과다,학문연구,연구직/학자/교수,천문성은 하늘의 학문. 배움에 대한 욕구가 강하고 학자나 연구자에 적합.
SS_천복성,천복성,saju_shinsal,천복성,fortune,천복성,년지에따라결정,복/행운/은혜/보호,운에의존/노력부족,전체운,복받은만큼베풂,천복성은 하늘의 복. 타고난 복이 있어 어려움 중에도 도움이 옴.
SS_천수성,천수성,saju_shinsal,천수성,longevity,천수성,년지에따라결정,장수/건강/생명력,건강과신/방심,건강,건강관리지속/검진,천수성은 하늘이 주는 수명. 장수하고 건강하나 관리를 소홀히 하면 안 됨.
SS_천권성,천권성,saju_shinsal,천권성,authority,천권성,년지에따라결정,권위/리더십/통솔력/책임감,권위주의/독선/권력욕,직위권력,책임지는리더십,천권성은 하늘의 권한. 리더의 자질이 있고 높은 위치에 오를 수 있음.
SS_천액살,천액성,saju_shinsal,천액성,affliction,천액성,년지에따라결정,고난극복력/인내심/강인함,액운/재난/고통,건강안전,대비/보험/안전,천액성은 하늘의 재액. 고난이 있으나 그를 통해 강해지고 성숙해짐.
