id,label,type,daymaster,yearly_relation,description,career,wealth,relationship,health,timing_tip,advice
SU_을_인성,을목 인성 세운,seun_interpretation,을,인성,"을목 일간에게 인성(壬癸水)의 해가 오면 지적 성장과 내면 충전의 해입니다. 비와 이슬이 풀을 적시듯 학습과 영감이 풍부해집니다. 직관력이 강해지고 감성적 지혜가 깊어지는 시기입니다.","학업, 연구, 자격증 준비에 최적. 감성적 분야에서 깊이 있는 학습. 멘토나 스승의 도움 크게 받음.","당장의 수입보다 미래 투자. 교육비 지출 증가하지만 장기적으로 큰 가치. 직관적 투자 판단 가능.","어머니나 스승과의 관계 깊어짐. 보호받는 느낌. 감성적 인연 만남 가능.","신장, 방광, 냉증, 수면 장애 주의. 감정 기복 관리. 충분한 휴식과 수분 섭취.","겨울(10-12월)에 학습 집중. 봄(1-3월)에 시험 응시. 여름에 실습. 가을에 성과 정리.","이슬이 풀을 키우듯 배움이 성장의 자양분입니다. 올해의 공부가 내일의 꽃을 피웁니다."
SU_을_겁재,을목 겁재 세운,seun_interpretation,을,겁재,"을목 일간에게 겁재(甲木)의 해가 오면 강한 에너지가 밀려오는 해입니다. 큰 나무 그늘에 가려지는 느낌으로, 주변의 강한 인물에 의해 자신의 자리가 위협받을 수 있습니다. 재물 손실에 특히 주의해야 합니다.","강한 경쟁자 등장. 직장에서 밀려나는 느낌 가능. 자기 영역 지키기에 집중. 새로운 분야 개척 고려.","재물 손실 주의 최대. 보증, 빌려주기, 사기 각별히 조심. 안전자산 위주로 포트폴리오 유지.","강한 성격의 인물과 갈등. 형제자매 간 재산 문제 발생 가능. 인간관계에서 거리두기 필요.","간, 담, 신경계 건강 주의. 스트레스로 인한 과민 반응. 충분한 수면 확보.","봄에 방어적 자세. 여름(4-6월)에 갈등 최고조. 가을에 상황 정리. 겨울에 회복과 재충전.","큰 나무 옆에서도 작은 풀은 살아남습니다. 유연하게 대처하고 자기만의 방식으로 버텨내세요."
SU_병_비견,병화 비견 세운,seun_interpretation,병,비견,"병화 일간에게 비견(丙火)의 해가 오면 두 개의 태양이 떠오르는 듯 에너지가 과잉되는 해입니다. 자존심 경쟁이 치열해지고, 주목받고 싶은 욕구가 강해집니다. 독립적 활동에는 유리하지만 협력 관계에서는 갈등이 생길 수 있습니다.","독립 프로젝트에 유리. 경쟁자와 대등한 경쟁. 주목받는 포지션 경쟁. 개인 브랜딩에 집중해야 성과.","재물 분산 주의. 과시적 소비 증가. 동업이나 공동 투자 삼가. 독립적 수입원에 집중.","동료나 친구와 경쟁 심화. 이성 관계에서 경쟁자 등장. 자존심 충돌 주의.","심장, 눈, 혈압 건강 주의. 과열과 과로 조심. 화병이나 분노 조절 필요. 충분한 수면.","여름(4-6월)에 에너지 최고조이나 과열 주의. 봄과 가을이 균형 잡힌 시기. 겨울에 휴식 필수.","두 개의 태양은 서로를 태울 수 있습니다. 경쟁보다 자기만의 빛을 찾으세요."
SU_병_식신,병화 식신 세운,seun_interpretation,병,식신,"병화 일간에게 식신(戊土)의 해가 오면 창의력과 표현력이 넓은 무대에서 빛나는 해입니다. 태양이 대지를 비추듯 자신의 에너지를 세상에 풍성하게 나누는 시기이며, 대중적 인기와 사회적 인정을 받습니다.","대중 앞에서의 발표, 강연, 방송, 콘텐츠 제작에서 큰 성과. 교육이나 멘토링 활동 활발. 리더십 발휘.","재능을 통한 수입 증가. 강연료, 콘텐츠 수익, 인세 등. 대중적 활동이 재물로 연결.","따뜻한 에너지로 인맥 확장. 자녀 관련 기쁜 소식. 식사 자리에서 좋은 인연 만남. 인기 상승.","위장, 소화기 건강 주의. 과식이나 술자리 많아짐. 체중 관리. 구강 건강 체크.","봄에 콘텐츠 기획. 여름(4-6월)에 발표와 활동 최고조. 가을에 수확. 겨울에 재충전.","태양이 대지를 비추듯 당신의 재능으로 세상을 따뜻하게 하세요. 나눌수록 더 풍성해집니다."
SU_병_재성,병화 재성 세운,seun_interpretation,병,재성,"병화 일간에게 재성(庚辛金)의 해가 오면 적극적으로 재물을 추구하는 해입니다. 태양이 금속을 녹이듯 강한 에너지로 재물을 향해 나아갑니다. 사업 확장과 투자에 유리하지만 무리하면 손실도 큽니다.","사업 확장, 영업 성과 극대화. 적극적 비즈니스로 매출 증가. 신규 시장 개척 유리. 무리한 확장은 주의.","재물 유입 크지만 유출도 큼. 큰 투자 기회와 큰 리스크 병존. 분산 투자 권장. 과시적 소비 자제.","이성 운 활발. 적극적 구애 성공 가능. 다만 재물이 연애에 소비될 수 있음. 결혼 적기.","폐, 피부, 대장 건강 주의. 과로로 인한 면역력 저하. 충분한 휴식 필요.","봄에 사업 계획. 여름에 적극 실행. 가을(7-9월)에 수익 실현. 겨울에 정리와 절세.","태양처럼 과감하게 나아가되 지나치지 마세요. 적당한 절제가 큰 부를 만듭니다."
SU_병_관성,병화 관성 세운,seun_interpretation,병,관성,"병화 일간에게 관성(壬癸水)의 해가 오면 물이 불을 끄듯 외부의 압력이 강한 해입니다. 사회적 규범이나 상사의 압박이 커지지만, 이를 잘 넘기면 큰 성장과 인정을 받습니다. 자기 절제가 핵심입니다.","직장에서 높은 기대와 압박. 승진 기회이나 책임 무거움. 공공기관이나 대기업에서 인정. 자영업은 규제 주의.","세금, 법적 의무 지출 증가. 벌금이나 손해배상 주의. 안정적 수입 유지에 집중. 투기적 투자 삼가.","권위자와의 관계가 핵심. 여성은 남편/남자친구와의 관계 변화. 체면과 명예를 중시하는 해.","심장, 혈압, 눈 건강 주의. 물과 불의 충돌로 정서적 불안감. 명상과 휴식으로 균형 잡기.","겨울(10-12월)에 시련 최대. 봄에 회복. 여름에 재도전. 가을(7-9월)에 인정받는 시기.","물은 불을 끄지만 적당한 물은 증기를 만듭니다. 시련을 에너지로 바꾸는 지혜를 발휘하세요."
SU_병_인성,병화 인성 세운,seun_interpretation,병,인성,"병화 일간에게 인성(甲乙木)의 해가 오면 나무가 불을 지피듯 학습 에너지와 보호의 힘이 강해지는 해입니다. 지적 호기심이 넘치고, 멘토나 어머니의 도움이 큽니다. 학업과 연구에 최적의 해입니다.","학업 성취, 자격증 합격 유리. 교육 분야에서 성과. 연구 활동 활발. 새로운 기술 습득 최적기.","교육 투자가 미래 수입으로 연결. 학비 지출 증가하지만 가치 있음. 부동산이나 토지 관련 재물 운.","어머니, 스승, 멘토와의 관계 강화. 학문적 동반자 만남. 따뜻한 보호 속에서 성장.","간, 담, 눈 건강 주의. 과도한 학습으로 인한 피로. 적절한 운동과 휴식 병행.","봄(1-3월)에 학습 효율 최고. 여름에 실습과 경험. 가을에 시험 응시. 겨울에 정리.","나무가 불을 지피듯 배움이 열정을 키웁니다. 올해의 공부가 내일의 빛나는 커리어를 만듭니다."
SU_병_겁재,병화 겁재 세운,seun_interpretation,병,겁재,"병화 일간에게 겁재(丁火)의 해가 오면 은밀한 경쟁자가 나타나는 해입니다. 태양 옆의 촛불처럼 눈에 잘 띄지 않는 경쟁이 진행됩니다. 재물 손실에 특히 주의하고, 뒤에서 일하는 사람을 경계해야 합니다.","보이지 않는 경쟁자 주의. 뒤에서 자리를 노리는 동료. 자기 성과를 명확히 기록하고 증명하기.","재물 유출 주의. 사기, 도난, 은밀한 손해 가능. 보증이나 투자 사기 각별히 조심. 현금 관리 철저.","믿었던 사람의 배신 가능성. 친한 친구와의 금전 문제. 소셜 미디어에서의 구설수 주의.","심장, 소장, 눈 건강 주의. 정서적 불안감. 수면 장애. 화병 주의.","봄에 방어적 자세. 여름(4-6월)에 경쟁 최고조. 가을에 상황 정리. 겨울에 회복.","밝은 곳에 그림자가 있듯 성공 뒤에 시기가 있습니다. 겸손하고 신중하게 행동하세요."
SU_정_비견,정화 비견 세운,seun_interpretation,정,비견,"정화 일간에게 비견(丁火)의 해가 오면 같은 촛불이 나란히 타오르는 해입니다. 비슷한 감성과 재능을 가진 동료와의 만남이 많아지지만, 미묘한 경쟁도 생깁니다. 내면의 열정이 더욱 강해지는 시기입니다.","같은 분야 종사자와 경쟁. 창작 분야에서 비슷한 스타일의 경쟁자 등장. 차별화된 전문성으로 승부.","재물 분산 주의. 동료에게 돈 빌려주지 않기. 독자적 수입원 확보. 소액이라도 꾸준히 저축.","깊은 우정과 미묘한 경쟁이 공존. 감성적 갈등 가능. 예술적 교류는 풍성.","심장, 눈, 소장 건강 주의. 정서적 과민. 불면증. 카페인 조절 필요.","봄에 자기 정체성 확립. 여름(4-6월)에 경쟁 심화. 가을에 차별화 성과. 겨울에 성찰.","두 개의 촛불이 함께 타면 더 밝아집니다. 경쟁보다 함께 빛나는 방법을 찾으세요."
SU_정_식신,정화 식신 세운,seun_interpretation,정,식신,"정화 일간에게 식신(己土)의 해가 오면 섬세한 창의력이 실용적 결과로 이어지는 해입니다. 촛불이 비추는 작은 세계에서 정밀한 작품을 만들어내듯, 집중력 있는 창작 활동이 빛을 발합니다.","정밀한 작업, 편집, 교정, 디자인, 공예에서 성과. 글쓰기나 창작 활동 완성도 높음. 교육이나 상담 분야도 유리.","재능 기반의 안정적 수입. 작지만 알찬 수익 구조. 불필요한 지출 줄이고 실속 챙기기.","따뜻한 인간관계. 음식이나 선물을 통한 교류. 자녀 관련 기쁜 소식. 감성적 만남.","소화기 건강 주의. 과식 주의. 위장 질환. 스트레스성 식이장애 조심. 규칙적 식사.","봄에 아이디어 구상. 여름에 집중 작업. 가을(7-9월)에 완성과 발표. 겨울에 휴식과 다음 계획.","작은 불빛으로도 걸작을 만들 수 있습니다. 집중력과 정성이 최고의 무기입니다."
SU_정_재성,정화 재성 세운,seun_interpretation,정,재성,"정화 일간에게 재성(庚辛金)의 해가 오면 촛불이 금속을 녹이듯 섬세하게 재물을 다루는 해입니다. 큰 재물보다 세밀한 재테크와 알뜰한 자산 관리에 유리합니다. 보석이나 귀금속과 인연이 생길 수 있습니다.","섬세한 업무에서 수입 증가. 감정, 편집, 디자인, 보석 관련 직종 유리. 꼼꼼한 재무 관리가 수입으로 연결.","알뜰한 재테크로 자산 증가. 귀금속, 예술품 등 가치 투자 유리. 큰 투자보다 소규모 분산 투자.","이성 운 상승. 세련된 만남. 예술적 감성을 공유하는 인연. 결혼 적기이나 금전 문제 주의.","폐, 피부, 호흡기 건강 주의. 피부 트러블이나 알레르기. 건조한 환경 관리.","봄에 재테크 계획. 여름에 소규모 투자. 가을(7-9월)에 수익 실현. 겨울에 자산 정리.","촛불은 금을 섬세하게 다듭니다. 큰 것을 욕심내지 말고 세밀하게 자산을 가꾸세요."
SU_정_관성,정화 관성 세운,seun_interpretation,정,관성,"정화 일간에게 관성(壬癸水)의 해가 오면 물이 불을 위협하듯 외부의 압력이 느껴지는 해입니다. 다만 정화는 작은 불이라 큰 시련보다 미세한 압박을 받습니다. 내면의 불안감과 싸우면서 성장하는 시기입니다.","직장에서 미세한 압박. 성과 평가에 대한 불안. 공정한 평가를 받으면 승진 가능. 이직 고려 시 신중히.","세금이나 보험료 부담. 법적 문제에 연루되지 않도록 주의. 안정적 수입 유지에 집중.","권위자와의 관계에서 긴장감. 여성은 남성 파트너와의 관계 변화. 내면의 불안이 관계에 영향.","심장, 신장, 수면 건강 주의. 정서적 불안감. 우울 증상 조기 관리. 명상과 상담 도움.","겨울(10-12월)에 시련 최대. 봄(1-3월)에 회복. 여름에 자신감 회복. 가을에 성과 인정.","작은 불은 바람에 꺼질 수 있지만 지혜로운 촛불은 등불 안에서 오래 탑니다. 자신을 보호하면서 빛내세요."
SU_정_인성,정화 인성 세운,seun_interpretation,정,인성,"정화 일간에게 인성(甲乙木)의 해가 오면 나무가 불을 지피듯 학습과 성장의 에너지가 충전되는 해입니다. 집중력이 극대화되고, 한 분야에 깊이 파고들어 전문성을 쌓기 최적의 시기입니다.","전문 분야 학습과 연구에 최적. 자격증, 학위 취득 유리. 깊이 있는 독서와 사색. 교육 분야 성과.","학습 투자가 미래 수입으로. 교육비 지출 증가. 장기적 관점에서 가치 있는 투자. 부동산 관련 운.","어머니, 스승과의 관계 강화. 학문적 동반자 만남. 지적 교류가 풍성한 인간관계.","간, 눈, 심장 건강 주의. 과도한 공부로 인한 시력 저하. 적절한 야외활동 필요.","봄(1-3월)에 학습 시작. 여름에 집중 연구. 가을(7-9월)에 시험 응시. 겨울에 성찰과 정리.","촛불이 나무를 만나면 활활 타오릅니다. 올해의 배움이 내면의 불꽃을 더욱 강하게 만듭니다."
SU_정_겁재,정화 겁재 세운,seun_interpretation,정,겁재,"정화 일간에게 겁재(丙火)의 해가 오면 강한 태양빛에 촛불이 가려지는 해입니다. 더 강한 존재에 의해 자신의 빛이 묻히거나 재물이 빼앗길 수 있습니다. 자기 자리를 지키는 것이 중요합니다.","강한 경쟁자 등장으로 빛이 바래는 느낌. 자기 전문성으로 차별화 필수. 대중적 경쟁보다 전문 영역 고수.","재물 손실 주의. 강한 인물에 의한 경제적 손해 가능. 보증이나 동업 절대 삼가. 자기 자산 보호.","강한 성격의 인물에 압도당하는 느낌. 자존감 유지가 핵심. 가까운 사람의 금전 요구 거절하기.","심장, 눈, 혈압 건강 주의. 화병, 분노. 과열 증상. 냉정함 유지 노력.","봄에 자기 영역 확인. 여름(4-6월)에 압박 최고조. 가을에 상황 안정. 겨울에 에너지 회복.","큰 불 옆에서도 촛불은 자기만의 빛이 있습니다. 남과 비교하지 말고 내면의 빛을 지키세요."
SU_무_비견,무토 비견 세운,seun_interpretation,무,비견,"무토 일간에게 비견(戊土)의 해가 오면 두 개의 산이 마주한 듯 듬직하지만 양보 없는 해입니다. 동료나 형제와의 경쟁이 발생할 수 있으며, 자기 영역을 지키려는 고집이 강해집니다.","동종 업계 경쟁 심화. 부동산이나 건설 분야에서 경쟁자 등장. 자기 영역 확보에 집중. 무리한 확장 자제.","재물 분산 주의. 부동산 공동 투자 시 갈등 가능. 독립적 자산 관리. 보증 서지 않기.","형제자매, 동료와의 의견 충돌. 고집 부리면 관계 악화. 양보와 타협의 지혜 필요.","위장, 소화기, 관절 건강 주의. 체중 관리. 스트레스성 소화불량. 규칙적 식사.","봄에 영역 확인. 여름(4-6월)에 경쟁 심화. 가을에 안정. 겨울에 재충전과 다음 해 준비.","산은 움직이지 않습니다. 자기 자리를 지키되 다른 산과 부딪히지 마세요."
SU_무_식신,무토 식신 세운,seun_interpretation,무,식신,"무토 일간에게 식신(庚金)의 해가 오면 산에서 광물이 나오듯 내면의 재능이 결실로 이어지는 해입니다. 실용적 창의력이 빛을 발하며, 구체적이고 실질적인 성과를 만들어냅니다.","기술적 성과, 제품 개발, 관리 능력으로 인정. 건설이나 제조업에서 혁신적 아이디어. 교육이나 컨설팅 활동.","재능을 통한 수입 증가. 기술료, 특허, 컨설팅 수입. 부동산 관련 부수입 가능.","안정적이고 따뜻한 인간관계. 자녀 관련 기쁜 소식. 식사 모임을 통한 인맥 형성.","폐, 대장, 피부 건강 주의. 소화기 관리. 과식 주의. 적당한 운동 필요.","봄에 아이디어 구상. 여름에 개발과 실행. 가을(7-9월)에 성과 발표. 겨울에 다음 프로젝트 기획.","산에 묻힌 보석을 캐내세요. 무토의 실용적 창의력이 올해 최고의 자산입니다."
SU_무_재성,무토 재성 세운,seun_interpretation,무,재성,"무토 일간에게 재성(壬癸水)의 해가 오면 산이 물을 다스리듯 적극적으로 재물을 관리하는 해입니다. 부동산과 관련된 재물 운이 강하며, 대규모 사업이나 프로젝트에서 수익을 낼 수 있습니다.","부동산 개발, 건설, 토목 분야에서 큰 성과. 대규모 프로젝트 수주. 관리 능력으로 수입 증가.","부동산 투자 최적기. 대출이나 레버리지 활용 가능하나 리스크 관리 필수. 물 관련 사업 유리.","이성 운 활발. 적극적 구애 가능. 결혼 적기. 다만 재물 문제가 관계에 영향 줄 수 있음.","신장, 방광, 허리 건강 주의. 수분 대사 관련 문제. 부종이나 냉증. 체온 관리.","봄에 부동산 조사. 여름에 투자 결정. 가을(7-9월)에 수익 실현. 겨울(10-12월)에 자산 정리.","산이 물을 가두면 저수지가 되고 댐이 됩니다. 재물을 잘 관리하면 큰 부를 이룹니다."
SU_무_관성,무토 관성 세운,seun_interpretation,무,관성,"무토 일간에게 관성(甲乙木)의 해가 오면 나무가 산을 뚫듯 외부의 변화와 도전이 찾아오는 해입니다. 기존의 안정이 흔들릴 수 있지만, 이를 통해 새로운 성장이 이루어집니다. 법적 문제나 조직 내 갈등에 주의.","조직 내 변화나 구조조정 가능. 새로운 상사 부임. 승진 기회이나 책임 증가. 이직이나 전환 기회.","세금이나 법적 비용 증가. 부동산 관련 규제 주의. 안정적 자산 보호에 집중. 무리한 투자 삼가.","권위자와의 관계 변화. 여성은 남성 파트너와의 관계 재정립. 상하 관계에서 인내 필요.","간, 소화기, 근육 건강 주의. 스트레스로 인한 위장 장애. 적절한 스트레칭과 산책.","봄(1-3월)에 변화 시작. 여름에 적응기. 가을에 안정. 겨울에 새로운 기반 다지기.","산이 흔들려도 무너지지 않습니다. 변화를 받아들이되 중심을 잃지 마세요."
SU_무_인성,무토 인성 세운,seun_interpretation,무,인성,"무토 일간에게 인성(丙丁火)의 해가 오면 태양이나 불이 산을 데우듯 따뜻한 에너지가 충전되는 해입니다. 학습 의욕이 강해지고, 사회적 명예와 학문적 성과가 동시에 기대됩니다.","학업 성취, 자격증, 연구 성과 유리. 명예직 발탁 가능. 교육이나 공공 분야에서 인정. 강연 활동.","교육 투자가 명예와 수입으로 연결. 학위나 자격이 급여 인상으로. 부동산 관련 좋은 정보 입수.","어머니나 스승의 도움. 학문적 동반자와의 만남. 명예로운 자리에서 좋은 인연 형성.","심장, 눈, 혈압 건강 주의. 과로 주의. 명예에 대한 압박으로 스트레스. 정기적 휴식.","여름(4-6월)에 학습과 명예 운 최고. 봄에 준비. 가을에 시험. 겨울에 성찰.","산이 햇볕을 받으면 따뜻해지듯, 배움이 당신을 더 크고 든든한 존재로 만듭니다."
