id,label,type,sipsin1,sipsin2,interaction_type,description,career_effect,relationship_effect,psychological_insight,advice,tarot_parallel,dream_symbol,famous_pattern
SI_11_정재_겁재,재물 탈취,sipsin_interaction,정재,겁재,극 관계,"겁재가 정재를 탈취하는 형국으로 안정적으로 모은 재물이 갑작스러운 상황으로 손실되는 위험한 조합이다. 사기 도난 보증 피해 등의 형태로 재물 손실이 발생할 수 있다.","사업에서 동업자의 배신이나 직원의 횡령으로 큰 손실을 입을 수 있다. 금전 거래에서 사기를 당하기 쉬우며 보증을 서면 반드시 손해를 본다.","돈으로 인한 인간관계 파탄이 발생할 수 있다. 가까운 사람에게 돈을 빌려주면 돌려받기 어렵고 관계까지 잃게 된다.","재물에 대한 깊은 불안감과 피해 의식이 있다. 누군가 자신의 것을 빼앗을 것이라는 무의식적 두려움이 있다.","재물 관리를 철저히 하고 타인에게 재정적 권한을 쉽게 넘기지 마라. 보증은 절대 서지 마라.",소드5/펜타클5,도둑맞는꿈/사기당하는꿈,보증피해자-재물탈취피해사례
SI_12_정재_정관,안정적 출세,sipsin_interaction,정재,정관,상생적 조합,"정재가 정관을 생하는 관계로 재물과 지위가 안정적으로 연결되는 출세의 정석 조합이다. 경제적 기반이 사회적 지위를 뒷받침한다.","공무원 대기업 임원 금융기관 등 안정적이고 체계적인 조직에서 꾸준히 승진하는 유형이다.","사회적으로 인정받는 안정적인 가정을 이룬다. 믿음직한 가장이나 배우자로서의 역할을 충실히 수행한다.","사회적 성취와 경제적 안정에 대한 건강한 욕구가 있다. 질서 있고 계획적인 삶을 추구한다.","안정적 출세의 길을 걸으되 지나치게 보수적이 되지 않도록 성장의 기회를 모색하라.",황제/펜타클10,승진하는꿈/안정된가정꿈,정통엘리트-안정적출세사례
SI_13_편재_식신,편재 활용의 최적 조합,sipsin_interaction,편재,식신,상생적 조합,"식신이 편재를 생하는 관계로 재능과 기술로 큰 재물을 만들어내는 최적의 조합이다. 사업 수완이 뛰어나고 큰 돈을 벌 수 있는 구조이다.","사업 수완이 탁월하여 자기 기술로 큰 사업을 일으킬 수 있다. 음식업 IT 서비스업 등에서 큰 성공을 거둔다.","넉넉한 재력으로 주변 사람들에게 베푸는 관계를 형성한다. 사교적이고 호탕하며 사람을 끌어들이는 매력이 있다.","자신의 능력에 대한 자신감이 있고 이것을 현실적 성과로 연결하는 실행력이 있다.","좋은 조합이지만 편재의 유혹에 빠져 무리한 확장을 하면 식신의 기반까지 잃을 수 있다. 핵심 기술을 유지하라.",펜타클왕/펜타클에이스,대박나는사업꿈/큰돈버는꿈,자수성가기업인-기술로부를이룬사례
SI_14_편재_겁재,투기에서의 손실,sipsin_interaction,편재,겁재,극 관계,"겁재가 편재를 극하는 형국으로 투기적 재물이 경쟁과 탈취의 대상이 되는 매우 위험한 조합이다. 도박이나 투기에서 패가망신할 수 있다.","고위험 투자나 투기에서 큰 손실을 입을 수 있다. 사업 경쟁에서 과도한 투자로 파산하거나 동업자에게 배신당할 위험이 높다.","큰 돈과 관련된 문제로 인간관계가 파괴된다. 돈보다 사람이 중요하다는 가치관을 확립해야 한다.","한탕주의적 심리와 경쟁에서 이기려는 강박이 결합된 위험한 심리 상태이다. 손절의 용기가 필요하다.","투기와 도박에 절대 손대지 마라. 재물은 식신(실력)으로 벌고 정재(안정적 저축)로 지키는 원칙을 세우라.",운명의수레바퀴역방향/탑,파산하는꿈/전재산잃는꿈,투기실패자-투기로몰락한사례
SI_15_정관_정인,관인상생 - 출세의 정석,sipsin_interaction,정관,정인,상생적 조합,"관인상생(官印相生)은 사주학에서 가장 좋은 조합 중 하나로 사회적 지위와 지적 능력이 상승 작용을 일으킨다. 정통 엘리트의 경로이다.","고시 합격 대기업 임원 교수 등 학력과 능력이 사회적 지위로 직결되는 정통 출세 코스를 밟는다.","지적이고 품격 있는 대인관계를 형성한다. 존경받는 위치에서 지혜로운 조언자 역할을 한다.","성취 동기와 학습 욕구가 조화를 이룬 건강한 심리 상태이다. 사회적 규범을 존중하면서 그 안에서 최고가 되려는 건전한 야망이 있다.","관인상생의 좋은 에너지를 살려 학문과 사회적 역할을 결합하는 분야에서 역량을 발휘하라.",여교황/황제,합격발표꿈/승진꿈,행시합격자/고위관료-관인상생성공사례
SI_16_정관_편인,우유부단,sipsin_interaction,정관,편인,상생적 조합,"정관이 편인을 생하는 관계이나 편인의 불안정한 성질로 인해 결정을 미루거나 쉽게 번복하는 우유부단한 성향이 나타난다.","직장에서 결정을 내리지 못하고 기회를 놓치는 경우가 많다. 분석과 판단의 역할보다 실행의 역할이 주어질 때 갈등이 커진다.","파트너에게 확실한 답을 주지 못해 답답함을 유발한다. 약속을 쉽게 번복하거나 태도가 오락가락하여 신뢰를 잃을 수 있다.","결정에 대한 불안과 실패에 대한 두려움이 우유부단의 근본 원인이다. 불완전한 결정도 결정이라는 용기가 필요하다.","작은 결정부터 빠르게 내리는 연습을 하라. 편인의 직관을 신뢰하되 정관의 원칙에 따라 신속하게 실행하라.",소드2/컵4,갈림길에서헤매는꿈/선택못하는꿈,결정장애자-우유부단사례
SI_17_편관_식신,식신제살(食神制殺) - 위기를 기회로,sipsin_interaction,편관,식신,극 관계,"식신제살(食神制殺)은 매우 좋은 조합으로 식신이 편관(칠살)의 흉한 에너지를 제어하여 위기를 기회로 바꾸는 구조이다.","위기 상황에서 자신의 기술과 재능으로 문제를 해결하는 능력이 탁월하다. 군인 경찰 소방관 외과의사 위기관리 전문가 등에서 성공한다.","강한 상대를 자신의 능력으로 다루는 관계 능력이 있다. 위기 상황에서 가족과 주변 사람을 보호하는 든든한 존재이다.","위기에 대한 건전한 대응 능력과 자기 능력에 대한 신뢰가 결합된 강인한 심리이다. 역경에서 성장하는 성장 마인드셋을 가지고 있다.","식신의 기술을 끊임없이 연마하여 어떤 위기에서도 대응할 수 있는 실력을 갖추라. 위기는 곧 기회임을 기억하라.",힘/전차,위기를극복하는꿈/괴물을물리치는꿈,위기관리전문가-식신제살성공사례
SI_18_편관_편인,살인상생(殺印相生) - 권력과 지혜,sipsin_interaction,편관,편인,상생적 조합,"살인상생(殺印相生)은 편관(칠살)이 편인을 생하여 강력한 권력과 깊은 지혜가 결합되는 조합이다. 카리스마 있는 지도자나 전략가의 면모를 갖추게 된다.","군사 전략가 정치인 비밀 조직의 수장 정보 분석가 등 권력과 지혜가 결합된 분야에서 큰 성과를 이룬다.","강렬한 카리스마로 사람들을 압도하며 존경과 두려움을 동시에 받는다. 깊은 통찰력으로 사람의 본심을 꿰뚫어본다.","강렬한 권력 욕구와 깊은 직관이 결합된 복잡한 심리 구조이다. 타인을 지배하려는 욕구와 지혜로운 인도 사이에서 균형을 잡아야 한다.","큰 권력에는 큰 책임이 따른다. 편관의 힘을 편인의 지혜로 올바르게 사용하여 세상에 이로운 방향으로 이끌어라.",마법사/황제,왕이되는꿈/권력을얻는꿈,카리스마리더-살인상생성공사례
SI_19_정인_식신,학문과 재능의 조화,sipsin_interaction,정인,식신,긴장적 조합,"정인(학문과 지식)과 식신(재능과 표현)이 만나면 배운 것을 재능으로 발현하는 조화로운 구조가 된다.","학문적 지식을 실용적 기술로 전환하는 분야에서 크게 성공한다. 교수이면서 실무자 연구원이면서 개발자 등 이론과 실천을 겸비한 전문가로 인정받는다.","지적이면서도 실제적인 도움을 주는 관계를 형성한다. 상대방의 잠재력을 발견하고 키워주는 멘토 역할을 잘 한다.","학습 욕구와 표현 욕구가 건강하게 공존하는 심리 상태이다. 배운 것을 나누고 표현하는 과정에서 더 깊은 이해에 도달하는 선순환을 경험한다.","학문과 재능의 조화를 최대한 살려 이론과 실천을 겸비한 전문가가 되라.",여교황/펜타클3,강의하는꿈/학생가르치는꿈,교수/강사-학문과실무겸비사례
SI_20_편인_상관,기상천외한 아이디어,sipsin_interaction,편인,상관,긴장적 조합,"편인(비정통적 지식과 직관)과 상관(파격적 표현)이 만나면 기존 틀을 완전히 벗어난 독창적이고 기상천외한 아이디어가 탄생한다. 천재적이거나 괴짜적인 성향이 극대화된다.","전위 예술가 발명가 SF 작가 첨단 기술 연구원 등 기존의 틀을 완전히 벗어난 분야에서 독보적인 성과를 낸다.","독특한 사고방식으로 인해 일반 사람들과의 소통에 어려움을 겪을 수 있다. 같은 수준의 지적 교류가 가능한 소수와 깊은 관계를 형성한다.","비정통적 사고와 파격적 표현이 결합된 매우 독특한 심리 구조이다. 자신의 독특함을 수용하되 현실과의 접점을 유지하는 것이 과제이다.","독창적 아이디어를 세상에 전달하기 위해서는 일반인이 이해할 수 있는 번역 과정이 필요하다.",달/바보,기이한발명꿈/외계인과대화,천재발명가-독창적아이디어사례
SI_21_비견_편관,칠살의 공격을 받는 자아,sipsin_interaction,비견,편관,극 관계,"편관(칠살)이 비견을 극하는 형국으로 강력한 외부의 압박과 위협이 자아를 공격하는 구조이다. 갑작스럽고 강력한 시련이 닥칠 수 있다.","직장에서 부당한 대우나 갑작스러운 해고를 당할 수 있다. 권력형 상사의 괴롭힘이나 조직적 불이익에 시달릴 수 있다.","강압적이거나 폭력적인 관계에 빠질 위험이 있다. 자신보다 강한 상대에게 지배당하는 관계 패턴이 반복될 수 있다.","외부 위협에 대한 불안감과 자기 보호 본능이 강하게 작동하는 심리 상태이다. 세상을 위험한 곳으로 인식하며 항상 경계한다.","편관의 공격에 직접 맞서기보다 식신의 에너지를 키워 제살(制殺)하는 지혜가 필요하다. 자신의 실력과 능력을 키우는 것이 최선의 방어이다.",탑/소드10,쫓기는꿈/위협받는꿈,직장내갑질피해자-편관공격사례
SI_22_겁재_상관,대담한 혁신,sipsin_interaction,겁재,상관,상생적 조합,"겁재(대담한 경쟁심)가 상관(파격적 창의성)을 만나면 대담하고 과감한 혁신이 이루어진다. 아무도 시도하지 못한 파격적인 행보를 보인다.","아무도 가지 않는 새로운 시장을 개척하거나 기존 업계의 판도를 바꾸는 파괴적 혁신을 이끈다. 스타트업 창업 모험적 사업 등에서 빛을 발한다.","강렬한 개성과 대담한 행동으로 주변에 강한 인상을 남긴다. 호불호가 극명하게 갈리며 열렬한 지지자와 강한 반대자를 동시에 만든다.","모험심과 반항심이 결합된 대담한 심리 상태이다. 안전한 길을 거부하고 위험하지만 가치 있는 도전을 선택하는 용기가 있다.","대담한 혁신은 계획 없이는 무모한 도전에 불과하다. 겁재의 용기에 전략적 사고를 더하라.",바보/완드기사,새로운세계발견꿈/혁명꿈,파괴적혁신가-대담한창업사례
SI_23_정재_편관,재물로 인한 시련,sipsin_interaction,정재,편관,긴장적 조합,"정재가 편관을 생하는 관계이나 이것이 오히려 시련을 키우는 구조가 될 수 있다. 돈 때문에 관재구설이나 법적 문제에 휘말리는 상황이 발생할 수 있다.","재물이 늘어날수록 시기와 질투를 받아 법적 분쟁이나 세무 문제에 직면할 수 있다. 합법적이고 투명한 사업 운영이 필수적이다.","돈으로 인해 권력자와의 마찰이 생기거나 시기하는 사람들의 공격을 받을 수 있다.","부에 대한 양가적 감정이 있다. 재물을 원하면서도 그로 인한 위험을 두려워하는 심리 갈등이 있다.","재물을 모으되 겸손하고 검소한 생활을 유지하라. 법적으로 완벽한 재정 관리를 하라.",정의역방향/소드7,세무조사받는꿈/고소당하는꿈,탈세적발사례-재물로인한시련
SI_24_편재_정관,사업과 관직의 균형,sipsin_interaction,편재,정관,상생적 조합,"편재가 정관을 생하는 관계로 사업적 수완과 사회적 지위가 조화를 이루는 구조이다.","사업가로서 사회적 인정도 받는 이상적인 위치를 점할 수 있다. 경영인이면서 사회 지도자의 역할도 가능하다.","사회적으로 인정받는 성공한 사업가로서 넓은 인맥을 형성한다. 리더십과 재력이 결합된 매력적인 존재이다.","성취 욕구와 사회적 인정 욕구가 건강하게 결합된 심리 상태이다. 균형 감각이 좋고 현실적이면서도 이상적이다.","사업의 성공에 취해 정관의 규범을 무시하면 안 된다. 합법적이고 윤리적인 사업 운영을 최우선으로 하라.",펜타클왕/황제,사업성공과명예꿈,성공한CEO-사업과명예균형사례
SI_25_정인_겁재,보호받는 경쟁자,sipsin_interaction,정인,겁재,상생적 조합,"정인(보호와 지원)이 겁재를 만나면 강력한 후원 아래 대담하게 경쟁하는 구조가 된다.","든든한 후원자나 스승의 지원을 받으며 경쟁적인 분야에서 승승장구한다. 멘토의 도움이 성공의 핵심 요소이다.","보호자적 위치의 사람(부모 스승 윗사람)과의 관계가 인생에 큰 영향을 미친다.","안전 기반 위에서 도전하는 건강한 모험 심리가 있다. 실패해도 돌아갈 곳이 있다는 안도감이 과감한 시도를 가능하게 한다.","정인의 보호에 감사하되 영원히 의존하지 마라. 보호막이 있을 때 실력을 쌓아 독립할 준비를 해야 한다.",여교황/완드6,스승의도움받는꿈/부모의지원꿈,금수저창업가-후원받는성공사례
SI_26_편인_비견,독자적 학문,sipsin_interaction,편인,비견,상생적 조합,"편인(비정통적 지식)이 비견(자아의 힘)을 생하여 독창적이고 독립적인 학문적 성취를 이루는 구조이다.","비주류 학문 대체 의학 독자적 기술 개발 독립 연구 등 남들이 가지 않는 학문적 경로에서 독보적인 성과를 낸다.","같은 비주류적 관심사를 공유하는 소수의 사람들과 깊은 유대를 형성한다.","지적 독립심이 매우 강하고 타인의 평가나 주류의 인정에 크게 흔들리지 않는 독자적 자아를 가지고 있다.","독자적 학문의 가치는 결국 세상에 기여할 때 빛난다. 자신만의 세계에 갇히지 말고 연구 결과를 세상과 나누라.",은둔자/여교황,독자적발견꿈/새이론정립꿈,독립연구자-독자적학문사례
SI_27_식신_정관,실력으로 인정받음,sipsin_interaction,식신,정관,간접적 조합,"식신(실력과 재능)과 정관(사회적 인정) 사이에 정재가 매개하는 간접적 상생 구조로 실력이 정당하게 평가받는 구조이다.","기술력과 전문성으로 조직에서 인정받아 승진하는 실력파의 전형이다. 실력으로 말하는 사람으로 존경받는다.","실력으로 신뢰를 쌓는 관계를 형성한다. 말보다 행동으로 보여주는 타입이라 가식이 없다.","자기 능력에 대한 건전한 자신감과 사회적 인정 욕구가 균형을 이룬 심리 상태이다.","실력을 갈고닦되 이를 적절히 드러내는 능력도 길러야 한다. 실력은 알려져야 인정받는다.",펜타클3/펜타클8,승진하는꿈/실력인정받는꿈,실력파전문가-능력으로인정받은사례
SI_28_상관_편재,투기적 재능,sipsin_interaction,상관,편재,상생적 조합,"상관이 편재를 생하는 관계로 파격적이고 비범한 재능이 큰 재물로 연결되는 구조이다. 과정이 불안정하고 투기적인 성격을 띈다.","비범한 재능으로 한순간에 큰 돈을 벌 수 있는 능력이 있다. 연예인 프로 게이머 트레이더 등에서 큰 수익을 올린다. 그러나 수입의 기복이 심하다.","화려하고 극적인 인간관계를 형성한다. 진정한 관계와 이해관계를 구분하는 안목이 필요하다.","일확천금에 대한 강한 욕구와 자신의 비범한 재능에 대한 확신이 결합된 심리이다. 기복이 심한 감정 상태를 관리하는 것이 과제이다.","큰 재능이 큰 돈으로 이어질 수 있지만 안정적 기반이 없으면 모래 위의 성과 같다. 수입의 일정 부분은 반드시 안정적으로 저축하라.",운명의수레바퀴/펜타클7,대박나는꿈/스타되는꿈,연예인/트레이더-재능으로대박사례
SI_29_정재_정인,현실과 학문의 균형,sipsin_interaction,정재,정인,긴장적 조합,"정재(현실적 재물)와 정인(학문적 지식)은 서로 극하는 관계이다. 재물을 추구하면 학문이 소홀해지고 학문에 집중하면 재물을 놓치는 딜레마가 발생한다.","학업과 생업 사이에서 갈등하는 경우가 많다. 실용적 학문이나 지식 기반 사업이 해결책이다.","지적 교류와 현실적 지원 사이에서 관계의 균형을 찾아야 한다.","물질적 안정과 지적 성장 두 가지 모두를 원하는 내적 갈등이 있다.","현실과 학문은 양립할 수 있다. 배움을 수입으로 연결하고 재물을 자기계발에 투자하는 선순환 구조를 만들어라.",펜타클4/여교황,공부와돈사이갈등꿈,학자기업인-학문과사업병행사례
SI_30_편관_겁재,위험한 경쟁,sipsin_interaction,편관,겁재,극 관계,"편관(칠살)이 겁재를 극하는 형국으로 외부의 강력한 위협 속에서 대담한 경쟁을 벌이는 가장 위험한 조합 중 하나이다.","극도로 위험한 업종이나 경쟁에서 성패가 갈리는 분야에 노출되기 쉽다. 위험을 관리하고 회피하는 지혜가 생존의 핵심이다.","위험한 사람과의 관계에 빠지기 쉽다. 위험 신호를 감지하면 즉시 관계를 정리하는 결단이 필요하다.","위험에 대한 중독적 끌림과 극한 상황에서의 아드레날린을 추구하는 심리가 있다. 이 심리를 스포츠 등 건전한 방향으로 전환해야 한다.","위험을 즐기는 것과 자기 파괴는 다르다. 대담함은 미덕이지만 무모한 도전은 파멸을 초래한다. 계산된 위험만을 감수하라.",탑/악마,목숨건싸움꿈/위험한경쟁꿈,고위험사업가-위험한경쟁사례
SI_31_정인_정관,정통 학문 출세,sipsin_interaction,정인,정관,상생적 조합,"정인이 정관을 돕고 정관이 정인을 생하는 상호 상생 구조로 학문과 관직이 완벽히 조화를 이루는 최상의 조합이다.","학자 고위 관료 법관 등 학문과 권위가 결합된 최고의 위치에 오를 수 있다. 정통 엘리트 코스의 정점이다.","지적이고 품격 있는 최상류 인맥을 형성한다. 학연 지연 혈연이 결합된 강력한 네트워크의 중심에 서게 된다.","학문적 성취와 사회적 인정이 완벽히 조화된 자아실현 상태이다. 사회의 중심에서 자신의 역할을 다하는 건전한 엘리트 의식이 있다.","좋은 조합이지만 기득권화되면 혁신을 거부하는 보수적 존재가 될 수 있다. 열린 마음을 유지하라.",교황/황제,대학총장꿈/대법관꿈,대학총장/대법관-학문관직정점사례
SI_32_식신_상관,표현의 극대화,sipsin_interaction,식신,상관,상생적 조합,"식신(온화한 표현)과 상관(파격적 표현)이 함께 있으면 표현 에너지가 극대화된다. 식상이 모두 강하면 예술적 재능이 폭발적으로 발현된다.","예술가 작가 연예인 등 표현이 핵심인 분야에서 압도적인 재능을 보인다. 다작을 하며 다양한 스타일을 선보일 수 있다.","매력적이고 표현력이 풍부하여 인기가 많다. 그러나 모든 것을 표현해야 직성이 풀리므로 비밀 유지가 어렵다.","표현 욕구가 매우 강하여 이를 발산하지 못하면 답답함을 느낀다. 창작 활동이 정신 건강에 필수적이다.","표현의 양과 질의 균형을 맞추라. 모든 것을 쏟아내기보다 선택과 집중이 필요하다.",완드3/컵페이지,작품발표꿈/무대위꿈,다작예술가-표현극대화사례
