id,ilgan,ilgan_strength,preferred_yongsin,secondary_yongsin,ki_yongsin,heung_yongsin,yongsin_weakness,remedy,description
YS_토다,일간상관없음,토과다,목,금,화,수,토,목운필수_토기분산,"토가 과다하면 목(木)으로 개간 필수. 금(金)으로 설기하면 가치 발휘."
YS_금다,일간상관없음,금과다,화,수,토,목,금,화운필수_금기단련,"금이 과다하면 화(火)로 단련 필수. 수(水)로 설기하면 지혜 발휘."
YS_수다,일간상관없음,수과다,토,목,금,화,수,토운필수_수기제방,"수가 과다하면 토(土)로 제방 필수. 목(木)으로 설기하면 성장 유도."
YS_종재,일간종격,종재격,재성,식상,인성,비겁,관성,재성을따라야_비겁이파격,"종재격은 재성을 따라야 성공. 비겁이 오면 격 파괴 주의."
YS_종관,일간종격,종관격,관성,재성,식상,비겁,인성,관성을따라야_비겁이파격,"종관격은 관성을 따라야 성공. 비겁이 오면 격 파괴 주의."
YS_종아,일간종격,종아격,식상,재성,인성,비겁,관성,식상을따라야_비겁이파격,"종아격은 식상을 따라야 성공. 비겁이 오면 격 파괴 주의."
YS_종강,일간종격,종강격,비겁,인성,식상,재성,관성,비겁을따라야_재관이파격,"종강격은 비겁을 따라야 성공. 재성/관성이 오면 격 파괴 주의."
YS_화격_목화,일간화격,목화통명,화,목,토,수,금,화운최고_목운도길,"목화통명 화격은 화(火)가 최고 용신. 목(木)도 좋고 수(水)는 흉."
YS_화격_금수,일간화격,금수상관,수,금,목,화,토,수운최고_금운도길,"금수상관 화격은 수(水)가 최고 용신. 금(金)도 좋고 화(火)는 흉."
YS_신강_관왕,일간신강,관성왕,식상,재성,인성,관성,비겁,식상으로제관_재성도길,"신강하고 관성이 왕하면 식상으로 제관하면 귀. 재성도 길하게 작용."
YS_신강_재왕,일간신강,재성왕,관성,비겁,인성,재성,식상,관성이용신_비겁으로분재,"신강하고 재성이 왕하면 관성이 용신. 비겁으로 재를 나누면 안정."
YS_신약_관왕,일간신약,관성왕,인성,비겁,식상,관성,재성,인성이용신_화관위인,"신약하고 관성이 왕하면 인성이 용신. 관을 인으로 화하면 귀."
YS_신약_재왕,일간신약,재성왕,비겁,인성,식상,재성,관성,비겁이용신_분재위복,"신약하고 재성이 왕하면 비겁이 용신. 재를 나누어 복으로."
YS_식신제살,일간특수,칠살유식신,식신,인성,재성,관성,비겁,식신이용신_제살성격,"식신이 칠살을 제어하면 귀. 식신이 용신이 되어 지혜로운 통제."
YS_상관패인,일간특수,상관유인성,정인,상관,재성,비겁,관성,정인이용신_패상관,"정인이 상관을 패하면 귀. 상관의 날카로움을 인성이 순화."
