id,label,type,element,yinyang,branch,role,description,daymaster_interaction,career_hint,relationship_hint
HIDDEN_진_계,계,지장간,수,음,辰,여기,"진(辰) 속의 계수(癸水). 진은 수(水)의 고(庫)로 물을 저장하는 창고. 숨겨진 지혜와 감정의 저수지. 표면 아래의 깊은 감성.","계수 일간이면 진이 자신의 창고로 잠재력이 풍부. 대운에서 충(戌)이 오면 창고가 열려 능력이 발현.","심층 분석/연구/심리 분야. 깊이 숨어있는 정보를 발견하는 능력.","감정의 저수지. 오랜 시간 감정을 모아두다가 한 번에 폭발할 수 있음."
HIDDEN_사_병,병,지장간,화,양,巳,본기,"사(巳) 속의 병화(丙火). 사화의 본기로 강한 양화의 에너지. 뱀의 지혜와 태양의 열정이 합쳐진 전략적 열정가.","병화 일간이면 사에서 건록. 가장 밝고 열정적인 상태. 임수 일간이면 편재로 투기적 재물운과 모험.","연예/마케팅/IT/에너지 분야. 전략적 사고(뱀)+열정(불)으로 비즈니스에 강함.","지적이면서 열정적인 사랑. 전략적으로 다가가지만 마음은 뜨거움."
HIDDEN_사_무,무,지장간,토,양,巳,중기,"사(巳) 속의 무토(戊土). 화생토(火生土)의 원리로 불이 만든 따뜻한 흙. 열정이 현실적 기반으로 전환되는 에너지.","무토 일간이면 사화가 편인(보호자)이 되어 지적 능력 향상. 불의 에너지를 흙으로 안정화.","부동산/건설/에너지 인프라 분야. 열정을 현실화하는 능력.","따뜻한 안정감. 열정적이면서도 현실적인 파트너."
HIDDEN_사_경,경,지장간,금,양,巳,여기,"사(巳) 속의 경금(庚金). 불 속에서 단련되는 금속. 시련을 통해 강해지는 의지력과 결단력의 상징.","경금 일간이면 사화가 정관으로 자신을 단련하는 시련. 을목 일간이면 사 속 경금이 정관으로 숨겨진 권위.","법률/군사/의료(수술)/보안 분야. 시련을 이겨낸 전문가형.","시련을 함께 겪으면 더 강해지는 관계. 위기 때 진가를 발휘하는 파트너."
HIDDEN_오_정,정,지장간,화,음,午,본기,"오(午) 속의 정화(丁火). 오화의 본기이자 촛불같은 음화의 에너지. 화려한 양화(오) 속에 섬세한 음화(정)가 숨어있다. 따뜻한 마음과 세심한 배려.","정화 일간이면 오에서 건록. 따뜻하고 섬세한 성격이 극대화. 계수 일간이면 편재로 감성적 재물운.","서비스/상담/의료/교육 분야. 따뜻한 마음으로 사람을 돌보는 직업.","섬세하고 따뜻한 사랑. 상대의 작은 변화도 놓치지 않는 세심함."
HIDDEN_오_기,기,지장간,토,음,午,중기,"오(午) 속의 기토(己土). 화생토의 원리로 여름 불이 만든 비옥한 흙. 열정의 결실. 뜨거운 에너지가 실속으로 전환됨.","기토 일간이면 오화가 정인(학문/예술). 열정에서 지혜를 얻는 상. 갑목 일간이면 정재로 열정적 사업의 수입.","농업/식품/교육/부동산 분야. 열정적 시작을 안정적 수입으로 전환.","열정적으로 시작한 관계가 안정적으로 정착. 뜨거운 연애 후 따뜻한 결혼."
HIDDEN_미_기,기,지장간,토,음,未,본기,"미(未) 속의 기토(己土). 미토의 본기로 여름 끝의 건조한 흙. 성숙과 수확 직전의 에너지. 참을성과 끈기의 상징.","기토 일간이면 미가 비견(동료)으로 지원. 미는 목(木)의 창고(庫)로 잠재된 성장 에너지 보유.","식품/농업/한의학/전통산업. 오래 숙성시키는 산업(발효, 와인, 장류).","느리지만 확실한 사랑. 오래 사귈수록 깊어지는 정. 만혼 경향."
HIDDEN_미_을,을,지장간,목,음,未,중기,"미(未) 속의 을목(乙木). 미토는 목(木)의 고(庫). 땅 속에 저장된 나무의 에너지. 가을을 앞두고 마지막으로 저장되는 성장의 씨앗.","을목 일간이면 미토가 편재(투기적 재물)이면서 동시에 자신의 창고. 대운에서 축이 와서 미를 충하면 창고가 열림.","장기 투자/종자산업/교육콘텐츠 아카이브. 미래를 위해 저장하는 분야.","오래 간직한 마음. 묻어둔 감정이 언젠가 꽃필 수 있음."
HIDDEN_미_정,정,지장간,화,음,未,여기,"미(未) 속의 정화(丁火). 여름의 마지막 불씨. 꺼져가지만 따뜻한 온기. 여운과 그리움의 에너지.","정화 일간이면 미토가 식신(표현력)으로 감성적 표현 능력. 섬세한 글쓰기, 예술 창작.","문학/수필/시/감성 콘텐츠 분야. 지나간 것에 대한 아름다운 기록.","이별 후에도 오래 기억하는 타입. 추억을 소중히 여기는 감성적 연인."
HIDDEN_신_경,경,지장간,금,양,申,본기,"신(申) 속의 경금(庚金). 신금의 본기로 강한 양금의 에너지. 쇠를 벼리는 대장장이의 힘. 결단력과 실행력의 정수.","경금 일간이면 신에서 건록. 결단력과 실행력이 극대화. 갑목 일간이면 편관으로 강력한 도전과 시련.","군사/법집행/금융/수술/정밀기계. 칼처럼 명쾌한 결정이 필요한 분야.","직설적이고 명확한 사랑. 돌려 말하지 않음. 다만 무뚝뚝하게 느껴질 수 있음."
HIDDEN_신_임,임,지장간,수,양,申,중기,"신(申) 속의 임수(壬水). 금생수(金生水)의 원리로 금속에서 물이 생기는 형상. 결단에서 지혜가 탄생. 행동 후 반성하는 에너지.","임수 일간이면 신금이 편인(보호/학문). 금의 보호 아래 지혜가 자라남. 갑목 일간이면 편재가 숨어있어 투기적 기회.","금융분석/데이터과학/전략컨설팅. 행동(금)과 분석(수)을 겸비.","행동파 안에 숨겨진 사려깊은 면. 겉은 거칠지만 속은 배려깊음."
HIDDEN_신_무,무,지장간,토,양,申,여기,"신(申) 속의 무토(戊土). 금속을 품고 있는 산의 흙. 금을 보호하고 키우는 기반. 실력을 뒷받침하는 안정적 환경.","무토 일간이면 신금이 식신(표현력/기술). 안정된 기반 위에서 기술을 발휘.","제조업/건설/인프라/교육 기관. 기술자를 양성하는 환경.","든든한 뒷배경. 파트너의 재능을 키워주는 조력자 역할."
HIDDEN_유_신,신,지장간,금,음,酉,본기,"유(酉) 속의 신금(辛金). 유금의 유일한 본기. 순수한 음금의 에너지. 보석처럼 빛나는 아름다움과 날카로운 판단력. 완벽주의와 미적 감각.","신금 일간이면 유에서 건록. 가장 순수한 금의 에너지. 미적 감각과 판단력 극대화. 을목 일간이면 편관으로 엄격한 기준.","보석/패션/화장품/미술/감정평가. 아름다움의 가치를 판단하는 분야.","까다롭지만 진심을 주면 변치 않는 사랑. 높은 기준을 가진 연인."
HIDDEN_술_무,무,지장간,토,양,戌,본기,"술(戌) 속의 무토(戊土). 술토의 본기로 가을 끝의 건조한 흙. 화(火)의 창고(庫)이자 만물을 저장하는 마지막 보관소. 수호와 보존의 에너지.","무토 일간이면 술이 비견으로 강력한 지원. 술은 화의 고(庫)로 열정의 저장소. 충(辰)이 오면 열정이 폭발.","보안/수호/보관/경비/감사. 무언가를 지키고 보호하는 직업. 종교/영성 분야.","충직한 수호자. 한번 맡으면 끝까지 지키는 파트너. 믿음직한 연인."
HIDDEN_술_신,신,지장간,금,음,戌,중기,"술(戌) 속의 신금(辛金). 가을 흙 속에 묻힌 보석. 마지막 수확물. 숙성된 가치.","신금 일간이면 술토가 정인(학문)으로 보호. 흙 속에서 빛나는 보석처럼 보호받으며 성장.","골동품/와인/예술품 감정. 시간이 지날수록 가치가 높아지는 분야.","세월이 갈수록 빛나는 관계. 오래된 연인, 오래된 친구의 소중함."
HIDDEN_술_정,정,지장간,화,음,戌,여기,"술(戌) 속의 정화(丁火). 술은 화(火)의 고(庫)로 꺼져가는 불씨를 보관. 밤의 촛불같은 따뜻한 여운. 지나간 열정의 잔향.","정화 일간이면 술이 자신의 창고. 열정을 저장했다가 필요할 때 꺼내 쓸 수 있음. 충(辰)이 오면 열정 재점화.","야간업무/보안/종교의식/치유 분야. 어둠 속에서 빛나는 역할.","불씨처럼 꺼지지 않는 마음. 오랜 기다림 끝에 재회. 첫사랑의 기억."
HIDDEN_해_임,임,지장간,수,양,亥,본기,"해(亥) 속의 임수(壬水). 해수의 본기로 강한 양수의 에너지. 바다처럼 넓고 깊은 물. 큰 지혜와 포용력. 해외/원거리와의 인연.","임수 일간이면 해에서 건록. 가장 넓고 깊은 상태. 병화 일간이면 편관으로 거대한 도전과 기회.","무역/해운/IT/글로벌비즈니스. 넓은 세계를 무대로 활동하는 분야.","바다처럼 넓은 사랑. 자유로운 영혼이라 구속을 싫어하지만 깊이는 한없음."
HIDDEN_해_갑,갑,지장간,목,양,亥,중기,"해(亥) 속의 갑목(甲木). 수생목(水生木)의 원리로 물에서 나무가 자라나는 형상. 겨울 물속에 숨어있는 봄의 씨앗. 잠재된 성장 에너지.","갑목 일간이면 해수가 정인(학문/보호). 물의 양분을 받아 성장하는 나무. 겨울에 봄을 준비하는 상.","연구/교육/미래기획 분야. 지금은 보이지 않지만 미래에 크게 자랄 프로젝트.","미래를 함께 설계하는 관계. 지금은 조용하지만 언젠가 함께 크게 피어날 인연."
