src,dst,rel,desc
갑자,계묘,해,"피로·오해의 흐름, 감정에서 속도조절 필요."
갑자,갑진,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
갑자,을사,합,"새로운 인연 또는 프로젝트 결합, 진로 안정화."
갑자,병오,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
갑자,정미,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
갑자,무신,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
갑자,기유,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
갑자,경술,해,"피로·오해의 흐름, 사회에서 속도조절 필요."
갑자,경술,귀인,도움 손길이 다가오며 직업 성과 향상.
갑자,경술,충,갑자와 경술 충돌. 감정 방향 수정의 전환점.
갑자,신해,형,갑자와 신해 사이의 내적 긴장. 심리적 피로 경계.
갑자,신해,해,"피로·오해의 흐름, 관계에서 속도조절 필요."
갑자,신해,충,기존 구조가 흔들리지만 새로운 선택의 기회.
갑자,임자,해,"피로·오해의 흐름, 사회에서 속도조절 필요."
갑자,임자,귀인,도움 손길이 다가오며 능률 성과 향상.
갑자,계축,형,갑자와 계축 사이의 내적 긴장. 심리적 피로 경계.
갑자,계축,귀인,도움 손길이 다가오며 관계 성과 향상.
갑자,계축,충,목-수 대립으로 이동·변화 발생.
갑자,갑인,합,갑자와 갑인의 교류로 조화로운 변화. 명예에서 협력·이익 상승.
갑자,을묘,합,갑자와 을묘의 교류로 조화로운 변화. 명예에서 협력·이익 상승.
갑자,병진,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
갑자,정사,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
갑자,무오,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
갑자,기미,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
갑자,경신,해,"피로·오해의 흐름, 명예에서 속도조절 필요."
갑자,경신,귀인,재정에 귀인의 조력 출현. 갑자-경신 상호보완 기운.
갑자,경신,형,"형세 재편의 시기, 감정관리 중요."
갑자,신유,충,갑자와 신유 충돌. 사회 방향 수정의 전환점.
갑자,신유,형,갑자와 신유 사이의 내적 긴장. 심리적 피로 경계.
갑자,임술,형,"형세 재편의 시기, 감정관리 중요."
갑자,임술,귀인,감정에 귀인의 조력 출현. 갑자-임술 상호보완 기운.
갑자,임술,해,"정서적 정리와 단절, 새 순환을 준비."
갑자,계해,해,갑자와 계해의 해(害)기운. 감정 노출과 정리의 시기.
갑자,계해,형,"형세 재편의 시기, 감정관리 중요."
을축,갑자,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
을축,을축,합,"새로운 인연 또는 프로젝트 결합, 진로 안정화."
을축,병인,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
을축,정묘,생,에너지가 확장되며 명예에서 새로운 돌파구 등장.
을축,무진,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,기사,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,경오,해,을축와 경오의 해(害)기운. 감정 노출과 정리의 시기.
을축,경오,형,을축와 경오 사이의 내적 긴장. 심리적 피로 경계.
을축,신미,충,목-금 대립으로 이동·변화 발생.
을축,신미,해,"피로·오해의 흐름, 관계에서 속도조절 필요."
을축,임신,해,"정서적 정리와 단절, 새 순환을 준비."
을축,임신,귀인,재정에 귀인의 조력 출현. 을축-임신 상호보완 기운.
을축,계유,해,"정서적 정리와 단절, 새 순환을 준비."
을축,계유,형,"형세 재편의 시기, 감정관리 중요."
을축,계유,충,목-수 대립으로 이동·변화 발생.
을축,갑술,합,을축와 갑술의 교류로 조화로운 변화. 진로에서 협력·이익 상승.
을축,을해,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
을축,병자,생,내면이 밝아지고 사회에 기회가 열린다.
을축,정축,생,내면이 밝아지고 진로에 기회가 열린다.
을축,무인,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,기묘,극,"조율이 필요한 시기, 목이 토을 제어한다. 객관적 판단 요구."
을축,경진,충,기존 구조가 흔들리지만 새로운 선택의 기회.
을축,경진,형,"형세 재편의 시기, 감정관리 중요."
을축,신사,형,을축와 신사 사이의 내적 긴장. 심리적 피로 경계.
을축,신사,충,목-금 대립으로 이동·변화 발생.
을축,신사,귀인,도움 손길이 다가오며 대인관계 성과 향상.
을축,임오,형,을축와 임오 사이의 내적 긴장. 심리적 피로 경계.
을축,임오,해,"정서적 정리와 단절, 새 순환을 준비."
을축,임오,귀인,도움 손길이 다가오며 생활 성과 향상.
을축,계미,충,목-수 대립으로 이동·변화 발생.
을축,계미,해,"피로·오해의 흐름, 감정에서 속도조절 필요."
을축,갑신,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
을축,을유,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
을축,병술,생,에너지가 확장되며 사회에서 새로운 돌파구 등장.
을축,정해,생,내면이 밝아지고 명예에 기회가 열린다.
을축,무자,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,기축,극,"조율이 필요한 시기, 목이 토을 제어한다. 객관적 판단 요구."
을축,경인,귀인,진로에 귀인의 조력 출현. 을축-경인 상호보완 기운.
을축,경인,해,"피로·오해의 흐름, 감정에서 속도조절 필요."
을축,신묘,귀인,도움 손길이 다가오며 사회 성과 향상.
을축,신묘,해,"정서적 정리와 단절, 새 순환을 준비."
을축,신묘,충,을축와 신묘 충돌. 감정 방향 수정의 전환점.
을축,임진,귀인,사회에 귀인의 조력 출현. 을축-임진 상호보완 기운.
을축,임진,충,목-수 대립으로 이동·변화 발생.
을축,임진,해,"피로·오해의 흐름, 감정에서 속도조절 필요."
을축,임진,형,"형세 재편의 시기, 감정관리 중요."
을축,계사,충,기존 구조가 흔들리지만 새로운 선택의 기회.
을축,계사,형,"형세 재편의 시기, 감정관리 중요."
을축,계사,귀인,도움 손길이 다가오며 감정 성과 향상.
을축,갑오,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
을축,을미,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
을축,병신,생,"성장과 발전의 시기, 목이 화을 북돋워 활력을 준다."
을축,정유,생,내면이 밝아지고 진로에 기회가 열린다.
을축,무술,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,기해,극,"조율이 필요한 시기, 목이 토을 제어한다. 객관적 판단 요구."
을축,경자,형,"규칙과 자유의 마찰, 진로에서 자기통제 필요."
을축,경자,해,"피로·오해의 흐름, 재정에서 속도조절 필요."
을축,경자,귀인,좋은 인연·정보가 열려 생활 안정.
을축,신축,형,"규칙과 자유의 마찰, 명예에서 자기통제 필요."
을축,신축,해,"피로·오해의 흐름, 직업에서 속도조절 필요."
을축,신축,충,을축와 신축 충돌. 대인관계 방향 수정의 전환점.
을축,신축,귀인,감정에 귀인의 조력 출현. 을축-신축 상호보완 기운.
을축,임인,충,을축와 임인 충돌. 사회 방향 수정의 전환점.
을축,임인,형,을축와 임인 사이의 내적 긴장. 심리적 피로 경계.
을축,계묘,해,"정서적 정리와 단절, 새 순환을 준비."
을축,계묘,귀인,생활에 귀인의 조력 출현. 을축-계묘 상호보완 기운.
을축,갑진,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
을축,을사,합,"새로운 인연 또는 프로젝트 결합, 진로 안정화."
을축,병오,생,내면이 밝아지고 진로에 기회가 열린다.
을축,정미,생,내면이 밝아지고 명예에 기회가 열린다.
을축,무신,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,기유,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
을축,경술,충,을축와 경술 충돌. 진로 방향 수정의 전환점.
을축,경술,귀인,좋은 인연·정보가 열려 재정 안정.
을축,경술,형,"규칙과 자유의 마찰, 감정에서 자기통제 필요."
을축,신해,귀인,좋은 인연·정보가 열려 사회 안정.
을축,신해,충,목-금 대립으로 이동·변화 발생.
을축,신해,해,을축와 신해의 해(害)기운. 감정 노출과 정리의 시기.
을축,임자,형,을축와 임자 사이의 내적 긴장. 심리적 피로 경계.
을축,임자,해,"정서적 정리와 단절, 새 순환을 준비."
을축,임자,충,목-수 대립으로 이동·변화 발생.
을축,임자,귀인,도움 손길이 다가오며 감정 성과 향상.
을축,계축,해,을축와 계축의 해(害)기운. 감정 노출과 정리의 시기.
을축,계축,형,"형세 재편의 시기, 감정관리 중요."
을축,계축,귀인,도움 손길이 다가오며 생활 성과 향상.
을축,갑인,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
을축,을묘,합,목-목합기운으로 우호관계·창조적 아이디어 발동.
을축,병진,생,에너지가 확장되며 명예에서 새로운 돌파구 등장.
을축,정사,생,에너지가 확장되며 진로에서 새로운 돌파구 등장.
을축,무오,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,기미,극,"목-토의 충돌로 현실점검 필요, 경험치가 성장한다."
을축,경신,해,을축와 경신의 해(害)기운. 감정 노출과 정리의 시기.
을축,경신,귀인,직업에 귀인의 조력 출현. 을축-경신 상호보완 기운.
을축,신유,형,"형세 재편의 시기, 감정관리 중요."
을축,신유,충,기존 구조가 흔들리지만 새로운 선택의 기회.
을축,임술,해,"정서적 정리와 단절, 새 순환을 준비."
을축,임술,충,을축와 임술 충돌. 직업 방향 수정의 전환점.
을축,임술,형,을축와 임술 사이의 내적 긴장. 심리적 피로 경계.
을축,계해,형,을축와 계해 사이의 내적 긴장. 심리적 피로 경계.
을축,계해,해,"피로·오해의 흐름, 재정에서 속도조절 필요."
을축,계해,충,목-수 대립으로 이동·변화 발생.
병인,갑자,형,병인와 갑자 사이의 내적 긴장. 심리적 피로 경계.
병인,갑자,해,병인와 갑자의 해(害)기운. 감정 노출과 정리의 시기.
병인,갑자,귀인,좋은 인연·정보가 열려 생활 안정.
병인,을축,해,"피로·오해의 흐름, 진로에서 속도조절 필요."
병인,을축,귀인,좋은 인연·정보가 열려 생활 안정.
병인,을축,충,화-목 대립으로 이동·변화 발생.
병인,병인,합,화-화합기운으로 우호관계·창조적 아이디어 발동.
병인,정묘,합,"새로운 인연 또는 프로젝트 결합, 사회 안정화."
병인,무진,생,내면이 밝아지고 진로에 기회가 열린다.
병인,기사,생,"성장과 발전의 시기, 화이 토을 북돋워 활력을 준다."
병인,경오,극,긴장 속에서 균형을 잡을 때. 명예 변동 예상.
병인,신미,극,긴장 속에서 균형을 잡을 때. 진로 변동 예상.
병인,임신,충,병인와 임신 충돌. 진로 방향 수정의 전환점.
병인,임신,귀인,좋은 인연·정보가 열려 재정 안정.
병인,임신,형,"규칙과 자유의 마찰, 능률에서 자기통제 필요."
병인,계유,충,병인와 계유 충돌. 사회 방향 수정의 전환점.
병인,계유,해,"피로·오해의 흐름, 관계에서 속도조절 필요."
병인,계유,형,"형세 재편의 시기, 감정관리 중요."
병인,갑술,충,화-목 대립으로 이동·변화 발생.
병인,갑술,형,"형세 재편의 시기, 감정관리 중요."
병인,갑술,귀인,생활에 귀인의 조력 출현. 병인-갑술 상호보완 기운.
병인,갑술,해,병인와 갑술의 해(害)기운. 감정 노출과 정리의 시기.
병인,을해,해,병인와 을해의 해(害)기운. 감정 노출과 정리의 시기.
병인,을해,충,기존 구조가 흔들리지만 새로운 선택의 기회.
병인,을해,귀인,능률에 귀인의 조력 출현. 병인-을해 상호보완 기운.
병인,병자,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
병인,정축,합,병인와 정축의 교류로 조화로운 변화. 명예에서 협력·이익 상승.
병인,무인,생,"성장과 발전의 시기, 화이 토을 북돋워 활력을 준다."
병인,기묘,생,에너지가 확장되며 사회에서 새로운 돌파구 등장.
병인,경진,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
병인,신사,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
병인,임오,형,병인와 임오 사이의 내적 긴장. 심리적 피로 경계.
병인,임오,해,"정서적 정리와 단절, 새 순환을 준비."
병인,계미,형,병인와 계미 사이의 내적 긴장. 심리적 피로 경계.
병인,계미,해,"정서적 정리와 단절, 새 순환을 준비."
병인,계미,귀인,도움 손길이 다가오며 능률 성과 향상.
병인,갑신,형,"규칙과 자유의 마찰, 진로에서 자기통제 필요."
병인,갑신,귀인,관계에 귀인의 조력 출현. 병인-갑신 상호보완 기운.
병인,갑신,해,"정서적 정리와 단절, 새 순환을 준비."
병인,을유,형,"형세 재편의 시기, 감정관리 중요."
병인,을유,충,병인와 을유 충돌. 능률 방향 수정의 전환점.
병인,병술,합,병인와 병술의 교류로 조화로운 변화. 진로에서 협력·이익 상승.
병인,정해,합,병인와 정해의 교류로 조화로운 변화. 사회에서 협력·이익 상승.
병인,무자,생,에너지가 확장되며 진로에서 새로운 돌파구 등장.
병인,기축,생,내면이 밝아지고 진로에 기회가 열린다.
병인,경인,극,"화-금의 충돌로 현실점검 필요, 경험치가 성장한다."
병인,신묘,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
병인,임진,형,"형세 재편의 시기, 감정관리 중요."
병인,임진,귀인,좋은 인연·정보가 열려 능률 안정.
병인,계사,해,"피로·오해의 흐름, 명예에서 속도조절 필요."
병인,계사,귀인,도움 손길이 다가오며 재정 성과 향상.
병인,계사,충,화-수 대립으로 이동·변화 발생.
병인,계사,형,병인와 계사 사이의 내적 긴장. 심리적 피로 경계.
병인,갑오,형,"형세 재편의 시기, 감정관리 중요."
병인,갑오,해,"피로·오해의 흐름, 관계에서 속도조절 필요."
병인,갑오,충,병인와 갑오 충돌. 감정 방향 수정의 전환점.
병인,을미,귀인,도움 손길이 다가오며 진로 성과 향상.
병인,을미,충,화-목 대립으로 이동·변화 발생.
병인,병신,합,병인와 병신의 교류로 조화로운 변화. 진로에서 협력·이익 상승.
병인,정유,합,화-화합기운으로 우호관계·창조적 아이디어 발동.
병인,무술,생,내면이 밝아지고 사회에 기회가 열린다.
병인,기해,생,"성장과 발전의 시기, 화이 토을 북돋워 활력을 준다."
병인,경자,극,긴장 속에서 균형을 잡을 때. 진로 변동 예상.
병인,신축,극,긴장 속에서 균형을 잡을 때. 진로 변동 예상.
병인,임인,귀인,명예에 귀인의 조력 출현. 병인-임인 상호보완 기운.
병인,임인,충,화-수 대립으로 이동·변화 발생.
병인,임인,형,"형세 재편의 시기, 감정관리 중요."
병인,계묘,해,"피로·오해의 흐름, 진로에서 속도조절 필요."
병인,계묘,귀인,도움 손길이 다가오며 관계 성과 향상.
병인,계묘,충,기존 구조가 흔들리지만 새로운 선택의 기회.
병인,갑진,형,병인와 갑진 사이의 내적 긴장. 심리적 피로 경계.
병인,갑진,충,기존 구조가 흔들리지만 새로운 선택의 기회.
병인,을사,충,화-목 대립으로 이동·변화 발생.
병인,을사,귀인,관계에 귀인의 조력 출현. 병인-을사 상호보완 기운.
병인,을사,형,"규칙과 자유의 마찰, 일상에서 자기통제 필요."
병인,병오,합,병인와 병오의 교류로 조화로운 변화. 명예에서 협력·이익 상승.
병인,정미,합,병인와 정미의 교류로 조화로운 변화. 사회에서 협력·이익 상승.
병인,무신,생,내면이 밝아지고 진로에 기회가 열린다.
병인,기유,생,에너지가 확장되며 진로에서 새로운 돌파구 등장.
병인,경술,극,"화-금의 충돌로 현실점검 필요, 경험치가 성장한다."
병인,신해,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
병인,임자,귀인,진로에 귀인의 조력 출현. 병인-임자 상호보완 기운.
병인,임자,해,병인와 임자의 해(害)기운. 감정 노출과 정리의 시기.
병인,계축,형,"규칙과 자유의 마찰, 사회에서 자기통제 필요."
병인,계축,해,병인와 계축의 해(害)기운. 감정 노출과 정리의 시기.
병인,계축,귀인,도움 손길이 다가오며 생활 성과 향상.
병인,갑인,해,"피로·오해의 흐름, 사회에서 속도조절 필요."
병인,갑인,형,"형세 재편의 시기, 감정관리 중요."
병인,갑인,귀인,감정에 귀인의 조력 출현. 병인-갑인 상호보완 기운.
병인,을묘,해,병인와 을묘의 해(害)기운. 감정 노출과 정리의 시기.
병인,을묘,귀인,좋은 인연·정보가 열려 직업 안정.
병인,을묘,충,병인와 을묘 충돌. 대인관계 방향 수정의 전환점.
병인,을묘,형,"형세 재편의 시기, 감정관리 중요."
병인,병진,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
병인,정사,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
병인,무오,생,내면이 밝아지고 사회에 기회가 열린다.
병인,기미,생,"성장과 발전의 시기, 화이 토을 북돋워 활력을 준다."
병인,경신,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
병인,신유,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
병인,임술,충,화-수 대립으로 이동·변화 발생.
병인,임술,귀인,직업에 귀인의 조력 출현. 병인-임술 상호보완 기운.
병인,임술,해,병인와 임술의 해(害)기운. 감정 노출과 정리의 시기.
병인,계해,충,병인와 계해 충돌. 사회 방향 수정의 전환점.
병인,계해,형,"형세 재편의 시기, 감정관리 중요."
병인,계해,귀인,좋은 인연·정보가 열려 생활 안정.
정묘,갑자,귀인,도움 손길이 다가오며 사회 성과 향상.
정묘,갑자,해,"정서적 정리와 단절, 새 순환을 준비."
정묘,갑자,충,정묘와 갑자 충돌. 일상 방향 수정의 전환점.
정묘,을축,형,"규칙과 자유의 마찰, 사회에서 자기통제 필요."
정묘,을축,귀인,재정에 귀인의 조력 출현. 정묘-을축 상호보완 기운.
정묘,병인,합,정묘와 병인의 교류로 조화로운 변화. 사회에서 협력·이익 상승.
정묘,정묘,합,화-화합기운으로 우호관계·창조적 아이디어 발동.
정묘,무진,생,에너지가 확장되며 진로에서 새로운 돌파구 등장.
정묘,기사,생,에너지가 확장되며 명예에서 새로운 돌파구 등장.
정묘,경오,극,"화-금의 충돌로 현실점검 필요, 경험치가 성장한다."
정묘,신미,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
정묘,임신,충,기존 구조가 흔들리지만 새로운 선택의 기회.
정묘,임신,해,정묘와 임신의 해(害)기운. 감정 노출과 정리의 시기.
정묘,임신,귀인,도움 손길이 다가오며 감정 성과 향상.
정묘,계유,형,"형세 재편의 시기, 감정관리 중요."
정묘,계유,귀인,직업에 귀인의 조력 출현. 정묘-계유 상호보완 기운.
정묘,계유,해,정묘와 계유의 해(害)기운. 감정 노출과 정리의 시기.
정묘,갑술,형,정묘와 갑술 사이의 내적 긴장. 심리적 피로 경계.
정묘,갑술,귀인,도움 손길이 다가오며 대인관계 성과 향상.
정묘,갑술,충,기존 구조가 흔들리지만 새로운 선택의 기회.
정묘,을해,귀인,좋은 인연·정보가 열려 사회 안정.
정묘,을해,형,정묘와 을해 사이의 내적 긴장. 심리적 피로 경계.
정묘,병자,합,화-화합기운으로 우호관계·창조적 아이디어 발동.
정묘,정축,합,"새로운 인연 또는 프로젝트 결합, 진로 안정화."
정묘,무인,생,내면이 밝아지고 진로에 기회가 열린다.
정묘,기묘,생,내면이 밝아지고 진로에 기회가 열린다.
정묘,경진,극,긴장 속에서 균형을 잡을 때. 진로 변동 예상.
정묘,신사,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
정묘,임오,귀인,좋은 인연·정보가 열려 진로 안정.
정묘,임오,해,정묘와 임오의 해(害)기운. 감정 노출과 정리의 시기.
정묘,계미,형,"규칙과 자유의 마찰, 사회에서 자기통제 필요."
정묘,계미,충,기존 구조가 흔들리지만 새로운 선택의 기회.
정묘,갑신,충,기존 구조가 흔들리지만 새로운 선택의 기회.
정묘,갑신,형,"규칙과 자유의 마찰, 대인관계에서 자기통제 필요."
정묘,을유,충,정묘와 을유 충돌. 사회 방향 수정의 전환점.
정묘,을유,해,"피로·오해의 흐름, 직업에서 속도조절 필요."
정묘,병술,합,화-화합기운으로 우호관계·창조적 아이디어 발동.
정묘,정해,합,정묘와 정해의 교류로 조화로운 변화. 진로에서 협력·이익 상승.
정묘,무자,생,"성장과 발전의 시기, 화이 토을 북돋워 활력을 준다."
정묘,기축,생,내면이 밝아지고 진로에 기회가 열린다.
정묘,경인,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
정묘,신묘,극,긴장 속에서 균형을 잡을 때. 사회 변동 예상.
정묘,임진,해,"피로·오해의 흐름, 사회에서 속도조절 필요."
정묘,임진,충,기존 구조가 흔들리지만 새로운 선택의 기회.
정묘,임진,귀인,도움 손길이 다가오며 대인관계 성과 향상.
정묘,임진,형,"형세 재편의 시기, 감정관리 중요."
정묘,계사,귀인,명예에 귀인의 조력 출현. 정묘-계사 상호보완 기운.
정묘,계사,충,정묘와 계사 충돌. 대인관계 방향 수정의 전환점.
정묘,계사,형,정묘와 계사 사이의 내적 긴장. 심리적 피로 경계.
정묘,갑오,귀인,명예에 귀인의 조력 출현. 정묘-갑오 상호보완 기운.
정묘,갑오,해,"정서적 정리와 단절, 새 순환을 준비."
정묘,을미,형,"형세 재편의 시기, 감정관리 중요."
정묘,을미,충,기존 구조가 흔들리지만 새로운 선택의 기회.
정묘,병신,합,"새로운 인연 또는 프로젝트 결합, 명예 안정화."
정묘,정유,합,"새로운 인연 또는 프로젝트 결합, 진로 안정화."
정묘,무술,생,에너지가 확장되며 명예에서 새로운 돌파구 등장.
정묘,기해,생,"성장과 발전의 시기, 화이 토을 북돋워 활력을 준다."
정묘,경자,극,"화-금의 충돌로 현실점검 필요, 경험치가 성장한다."
정묘,신축,극,긴장 속에서 균형을 잡을 때. 진로 변동 예상.
정묘,임인,충,기존 구조가 흔들리지만 새로운 선택의 기회.
정묘,임인,형,"규칙과 자유의 마찰, 재정에서 자기통제 필요."
정묘,임인,귀인,좋은 인연·정보가 열려 감정 안정.
정묘,계묘,충,화-수 대립으로 이동·변화 발생.
정묘,계묘,해,정묘와 계묘의 해(害)기운. 감정 노출과 정리의 시기.
정묘,갑진,해,"피로·오해의 흐름, 진로에서 속도조절 필요."
정묘,갑진,귀인,도움 손길이 다가오며 관계 성과 향상.
정묘,갑진,형,정묘와 갑진 사이의 내적 긴장. 심리적 피로 경계.
정묘,을사,형,"형세 재편의 시기, 감정관리 중요."
정묘,을사,귀인,도움 손길이 다가오며 재정 성과 향상.
정묘,을사,충,정묘와 을사 충돌. 생활 방향 수정의 전환점.
정묘,병오,합,화-화합기운으로 우호관계·창조적 아이디어 발동.
정묘,정미,합,정묘와 정미의 교류로 조화로운 변화. 진로에서 협력·이익 상승.
정묘,무신,생,에너지가 확장되며 명예에서 새로운 돌파구 등장.
정묘,기유,생,에너지가 확장되며 명예에서 새로운 돌파구 등장.
정묘,경술,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
정묘,신해,극,"조율이 필요한 시기, 화이 금을 제어한다. 객관적 판단 요구."
정묘,임자,충,기존 구조가 흔들리지만 새로운 선택의 기회.
