id,relation_type,branch1,branch2,branch3,nature,strength,timing_effect,personality_effect,relationship_effect,career_effect,health_effect,advice,description
JR_오오자형,자형,오,오,,자형,중,자형이작동하면과열발생,과열되기쉬움/번아웃,과열되는관계/쉬어야함,열정적분야에서과로주의,심장혈압주의,열정을조절하고휴식,"오(午)오(午)의 자형. 스스로를 태우는 형벌. 과열 경향."
JR_유유자형,자형,유,유,,자형,중,자형이작동하면고립발생,고독하고쓸쓸함/자기비판,고독한관계/소통어려움,혼자하는전문분야,폐대장피부주의,고독을즐기되소통도,"유(酉)유(酉)의 자형. 스스로를 깎는 형벌. 고립 경향."
JR_해해자형,자형,해,해,,자형,중,자형이작동하면침잠발생,우울해지기쉬움/내면침잠,깊이빠지는관계,심층연구분야,신장방광주의,깊이를살리되빠져나오기도,"해(亥)해(亥)의 자형. 스스로를 빠뜨리는 형벌. 침잠 경향."
JR_자유파,파,자,유,,파,중약,파가작동하면불화발생,작은마찰누적/불화,사소한갈등이쌓이는관계,세심함필요한분야,신장폐계통주의,작은갈등도조기해결,"자(子)와 유(酉)의 파. 물과 금의 불화. 작은 마찰."
JR_축진파,파,축,진,,파,중약,파가작동하면고집충돌,고집이부딪힘/양보없음,양보없는관계/교착상태,협상필요분야에서어려움,소화기계통주의,고집을꺾고양보,"축(丑)과 진(辰)의 파. 토와 토의 불화. 고집 충돌."
JR_인해파,파,인,해,,파,중약,파가작동하면과잉발생,에너지과잉/산만함,과열되기쉬운관계,활동적분야에서조절필요,간신장계통주의,에너지를집중하라,"인(寅)과 해(亥)의 파. 목과 수의 과잉. 에너지 넘침."
JR_묘오파,파,묘,오,,파,중약,파가작동하면소모발생,에너지소모심함/지침,소모적인관계/피로,지속불가능한분야,간심장계통주의,에너지관리철저히,"묘(卯)와 오(午)의 파. 목과 화의 소모. 에너지 손실."
JR_사신파,파,사,신,,파,중약,파가작동하면계획틀어짐,계획이틀어짐/변수많음,예상치못한관계변화,계획보다실행중심,심장폐계통주의,유연하게대처하라,"사(巳)와 신(申)의 파. 화와 금의 불화. 계획 변동."
JR_술미파,파,술,미,,파,중약,파가작동하면정체발생,답답함/진전없음,정체된관계,혁신필요분야,소화기피부주의,새로운방법시도,"술(戌)과 미(未)의 파. 토와 토의 정체. 막힘."
JR_자미해,해,자,미,,해,중약,해가작동하면손해발생,손실발생/실수많음,손해보는관계/희생,투자주의분야,신장비장주의,신중하게결정,"자(子)와 미(未)의 해. 수와 토의 상해. 손실 발생."
JR_축오해,해,축,오,,해,중약,해가작동하면갈등발생,충돌/상처받음,상처주고받는관계,감정노동분야주의,비장심장주의,감정관리철저히,"축(丑)과 오(午)의 해. 토와 화의 상해. 갈등 발생."
JR_인사해,해,인,사,,해,중약,해가작동하면시비발생,시비에휘말림/논쟁,논쟁많은관계,법률분쟁관련주의,간심장주의,시비를피하고물러서라,"인(寅)과 사(巳)의 해. 목과 화의 상해. 시비 발생."
JR_묘진해,해,묘,진,,해,중약,해가작동하면막힘발생,답답함/진전없음,막힌관계,돌파필요분야,간비장주의,막힘을풀방법찾아라,"묘(卯)와 진(辰)의 해. 목과 토의 상해. 막힘 발생."
JR_신해해,해,신,해,,해,중약,해가작동하면침체발생,침체/기운없음,활력없는관계,활력필요분야,폐신장주의,활력을되찾을방법,"신(申)과 해(亥)의 해. 금과 수의 상해. 침체."
JR_유술해,해,유,술,,해,중약,해가작동하면파괴발생,파괴적경향/손상,파괴적관계,재건필요분야,폐소화기주의,파괴후재건,"유(酉)와 술(戌)의 해. 금과 토의 상해. 파괴."
JR_인묘진방합,방합,인,묘,진,방합,강,동방목기운강화,성장지향적/학문적,발전하는관계,교육학술분야,간담계통관리,성장에너지활용,"인(寅)묘(卯)진(辰) 동방 목국 방합. 봄의 에너지 강화."
JR_사오미방합,방합,사,오,미,방합,강,남방화기운강화,열정적/예술적,활발한관계,예술창작분야,심장혈압관리,열정에너지활용,"사(巳)오(午)미(未) 남방 화국 방합. 여름의 에너지 강화."
JR_신유술방합,방합,신,유,술,방합,강,서방금기운강화,결단력/완성력,신뢰있는관계,금융법률분야,폐대장관리,결단에너지활용,"신(申)유(酉)술(戌) 서방 금국 방합. 가을의 에너지 강화."
JR_해자축방합,방합,해,자,축,방합,강,북방수기운강화,지혜롭고침착,깊은관계,연구학문분야,신장방광관리,지혜에너지활용,"해(亥)자(子)축(丑) 북방 수국 방합. 겨울의 에너지 강화."
JR_진술축미토방합,방합,진,술,축,미,토,중앙토기운강화,안정적/포용적,안정적관계,부동산농업분야,비위장관리,안정에너지활용,"진(辰)술(戌)축(丑)미(未) 중앙 토국. 사계의 중심."
JR_자축암합,암합,자,축,,암합,은밀,은밀한변화진행,겉과속다름/내면변화,숨겨진관계/비밀,은밀한분야,신장비위주의,드러나지않는인연주시,"자(子)와 축(丑)의 암합. 겉으로 드러나지 않는 은밀한 합."
JR_인해암합,암합,인,해,,암합,은밀,은밀한도움있음,숨은조력자있음/후원,숨겨진후원관계,음지에서돕는역할,간신장주의,숨은귀인에게감사,"인(寅)과 해(亥)의 암합. 겉으로 드러나지 않는 은밀한 도움."
JR_사신암충,암충,사,신,,암충,은밀,은밀한갈등진행,보이지않는갈등/내면충돌,숨겨진갈등관계,표면평화속갈등,심장폐주의,숨은갈등을해결하라,"사(巳)와 신(申)의 암충. 겉으로 드러나지 않는 은밀한 충돌."
JR_오미반합,반합,오,미,,반합,중,반만합/불완전한합,미완성/아쉬움,불완전한관계/미진,완성을향해노력필요분야,심장비위주의,부족한부분을채워라,"오(午)와 미(未)의 반합. 절반만 합하여 불완전함."
JR_사유반합,반합,사,유,,반합,중,반만합/불완전한합,미완성/아쉬움,불완전한관계/미진,완성을향해노력필요분야,심장폐주의,부족한부분을채워라,"사(巳)와 유(酉)의 반합. 금국 삼합의 일부. 불완전."
JR_해묘반합,반합,해,묘,,반합,중,반만합/불완전한합,가능성있음/발전중,성장하는관계,발전가능분야,신장간주의,성장을이어가라,"해(亥)와 묘(卯)의 반합. 목국 삼합의 일부. 성장 중."
