id,label,type,stem,branch,element_interaction,description,career,wealth,relationship,health,advice
AF_갑_술,갑술년운,annual_fortune,갑,戌,목극토,"갑목이 술토를 만나 편재운. 진과 유사한 투기적 재물이지만 가을 토라 더 건조. 재물의 저장/정리.","사업 정리/구조조정. 불필요한 것을 버리고 핵심에 집중. 부동산 정리.","숨겨진 재물 발견 또는 재산 정리. 보험금/상속 관련 변동.","비밀 관계 정리. 오래된 인연의 매듭짓기. 솔직한 대화 필요.","소화기/피부 주의. 가을 건조함으로 피부 트러블.","정리하고 비우세요. 묵은 것을 정리해야 새것이 들어옵니다."
AF_갑_해,갑해년운,annual_fortune,갑,亥,수생목,"갑목이 해수를 만나 정인운. 인해합목으로 합의 에너지까지. 최고의 학문/보호운.","학업 성취 극대화. 해외 유학/연수 기회. 멘토의 강력한 지원. 자격 취득 최적.","학습 투자 대비 수익 극대화. 장학금/후원금 가능. 지적 자산 축적.","지적으로 성장시켜주는 파트너. 연상/스승과의 인연. 깊은 교감.","신장/비뇨기 주의. 겨울 냉증 관리.","배움의 황금기입니다. 올해 공부하면 평생의 자산이 됩니다."
AF_을_자,을자년운,annual_fortune,을,子,수생목,"을목이 자수를 만나 정인운. 부드러운 나무에 물이 공급. 예술적 감성과 학문이 성장.","예술/디자인/패션 분야 성장. 감성적 콘텐츠 창작. 심리상담/교육 분야 유리.","감성적 가치가 돈이 됨. 예술품/디자인 수입. 무형 자산 가치 상승.","감성적으로 깊은 관계. 예술적 교감. 시/음악/영화를 통한 소통.","신장/방광 주의. 냉증/부종 관리.","감성을 키우세요. 예술적 표현이 올해의 가장 큰 자산입니다."
AF_을_축,을축년운,annual_fortune,을,丑,목극토,"을목이 축토를 만나 편재운. 유연한 나무가 땅을 파고드는 상. 다양한 수입원 개발.","부업/사이드잡에서 수입. 여러 프로젝트 동시 진행. 유연한 업무 스타일.","다양한 소규모 수입. 분산 투자에 적합. 한 곳에 올인 금지.","다양한 만남. 여러 인연이 교차. 선택의 기로.","소화기 주의. 불규칙한 식습관으로 위장 문제.","유연하게 대처하세요. 한 가지에 집착하지 말고 여러 기회를 탐색하세요."
AF_을_인,을인년운,annual_fortune,을,寅,비화목,"을목이 인목을 만나 겁재운. 큰 나무(인) 옆의 작은 풀(을). 경쟁에서 밀릴 수 있으나 적응력으로 생존.","대기업/큰 조직에서 적응력 발휘. 빈틈을 찾아 기회 포착. 보조/지원 역할에서 성과.","재물 유출 주의. 남에게 빌려주지 말 것. 공동 투자 손실 가능.","강한 상대와의 관계. 주도권을 뺏기기 쉬움. 자기 목소리 내기.","간 건강 주의. 스트레스 관리.","큰 나무 그늘에서 자라는 것도 전략입니다. 적응력이 당신의 무기입니다."
AF_을_묘,을묘년운,annual_fortune,을,卯,비화목,"을목이 묘목을 만나 비견운(건록). 을목의 가장 순수한 에너지. 자아 발현과 독립의 해.","예술/디자인/패션에서 개성 발휘. 프리랜서/1인기업 유리. 자기 브랜드 구축.","자기 능력으로 벌기. 디자인/예술로 수입. 독립적 수입원.","나와 비슷한 감성의 사람과 인연. 예술적 동반자. 감성적 우정.","간/담 건강 주의. 알레르기/피부 주의.","당신만의 개성을 살리세요. 남을 따라하지 말고 자기만의 스타일을 만드세요."
AF_을_진,을진년운,annual_fortune,을,辰,목극토,"을목이 진토를 만나 정재운. 유연한 풀이 비옥한 봄 흙에 뿌리내리는 상. 꾸준한 수확과 실속 있는 재물운.","실무 능력이 인정받는 해. 프로젝트 성과를 통한 승진. 농업/원예/조경 관련 기회.","안정적이고 실속 있는 수입. 적금/펀드 등 꾸준한 재테크가 유리. 소액 투자 성과.","성실함으로 신뢰를 쌓는 관계. 현실적 조건이 맞는 인연. 안정적 교제.","소화기/위장 주의. 봄철 알레르기 관리. 습기 관련 피부질환.","실속을 다지세요. 화려하지 않아도 알찬 결실을 맺는 해입니다."
AF_을_사,을사년운,annual_fortune,을,巳,목생화,"을목이 사화를 만나 식신운. 부드러운 풀이 따뜻한 불빛을 만나 재능이 피어나는 상. 감성적 표현력의 절정.","문학/음악/미술 등 감성 분야 성과. 글쓰기/블로그/SNS 콘텐츠 창작에 최적. 교육/강연.","감성적 재능이 수입으로 전환. 소규모 창작물 판매. 온라인 콘텐츠 수익화.","다정하고 섬세한 소통. 상대의 마음을 읽는 능력이 빛남. 감성적 데이트.","심장/소장 주의. 눈 피로 관리. 화기 상승으로 두통 가능.","감성을 표현하세요. 마음속 이야기를 밖으로 꺼내면 뜻밖의 기회가 됩니다."
AF_을_오,을오년운,annual_fortune,을,午,목생화,"을목이 오화를 만나 상관운. 섬세한 풀이 강렬한 불을 만남. 표현이 과격해질 수 있으나 창의력은 극대화.","창의적 직종에서 돌파구. 기존 방식을 뒤엎는 혁신 아이디어. 예술적 반항이 성과로.","불규칙하지만 큰 수입 가능. 예술/엔터 분야 대박 가능성. 동시에 지출도 큼.","감정 표현이 과격해질 수 있음. 솔직함이 상처가 되기도. 자유로운 연애 추구.","심장/혈압 주의. 화병 조심. 감정 기복으로 인한 불면.","날카로운 표현력을 창작으로 승화시키세요. 말보다 작품으로 이야기하세요."
AF_을_미,을미년운,annual_fortune,을,未,목극토,"을목이 미토를 만나 편재운. 여름 흙 위에 유연한 풀이 자유롭게 뻗어가는 상. 다양한 재물 기회 포착.","프리랜서/멀티잡에 유리. 여러 수입원을 동시에 관리. 마케팅/영업/중개 분야.","투기적이지만 감각적 투자. 트렌드를 읽는 능력이 수익으로. 쇼핑몰/소매업.","가벼운 만남이 많아짐. 깊은 관계보다 넓은 교우. 새로운 인연 탐색.","소화기/비장 주의. 여름 습기로 부종. 식중독 조심.","기회를 다양하게 잡으세요. 유연함이 곧 경쟁력인 한 해입니다."
AF_을_신,을신년운,annual_fortune,을,申,금극목,"을목이 신금을 만나 정관운. 정밀한 금이 부드러운 풀을 다듬는 상. 세련된 규율과 사회적 역할 부여.","조직 내 공식 역할 부여. 승진/발령/직위 변동. 패션/뷰티/아트 분야의 관리직.","직위에 따른 안정적 수입 증가. 명예와 재물이 동반. 계약/협약을 통한 수익.","격식 있는 관계 진전. 약혼/결혼 등 공식적 단계. 파트너의 사회적 지위 상승.","폐/대장/간 주의. 금목 충돌로 근육경련 가능. 호흡기 질환.","사회적 역할을 받아들이세요. 책임이 무겁지만 그만큼 성장합니다."
AF_을_술,을술년운,annual_fortune,을,戌,목극토,"을목이 술토를 만나 정재운. 가을 마른 흙에 풀이 마지막 결실을 거두는 상. 정리와 수확의 시기.","프로젝트 마무리에 유리. 장기 과제의 결실. 부동산/인테리어/리모델링.","숨어 있던 자산의 가치 발견. 중고/빈티지 물품 거래. 절약을 통한 저축.","오래된 관계 정리. 불필요한 인연은 놓고 소중한 인연에 집중.","소화기/피부 주의. 건조한 계절 피부관리. 관절 건강.","거두고 정리하세요. 불필요한 것을 내려놓으면 진짜 소중한 것이 보입니다."
AF_을_해,을해년운,annual_fortune,을,亥,수생목,"을목이 해수를 만나 편인운. 겨울 물이 부드러운 풀에 지혜를 더하는 상. 내면 성장과 직관력 강화.","심리학/상담/치유 분야 적성 발견. 명상/영적 성장. 해외 연수/문화 교류.","지적 자산 축적기. 당장 수익보다 미래를 위한 투자. 자격증/학위 취득.","영적으로 깊은 교감. 직관적으로 통하는 인연. 연상자와의 관계.","신장/방광 주의. 겨울 냉증 관리. 우울증/무기력 주의.","내면을 가꾸세요. 올해의 내적 성장이 내년의 외적 성공을 만듭니다."
AF_병_축,병축년운,annual_fortune,병,丑,화생토,"병화가 축토를 만나 식신운. 태양이 겨울 땅을 따뜻하게 녹이는 상. 재능이 현실적 성과로 연결.","실용적 창작 활동. 요리/제빵/도자기 등 손으로 만드는 분야. 실무형 콘텐츠.","재능을 상품화하는 해. 핸드메이드/수제품 수입. 소규모 사업 시작.","따뜻하게 돌보는 관계. 상대를 녹이는 배려. 요리해주는 사랑.","위장/소화기 주의. 겨울 한파에 체온 관리. 피부 건조.","당신의 따뜻함을 실용적으로 표현하세요. 손으로 만든 것이 가장 가치있습니다."
AF_병_묘,병묘년운,annual_fortune,병,卯,목생화,"병화가 묘목을 만나 정인운. 봄꽃(묘)이 태양(병)에게 생기를 더하는 상. 예술적 영감과 학문의 조화.","예술교육/미학/디자인 학문 분야. 미술사/음악이론 등 감성적 학문. 교직/강사.","학문적 성과가 경제적 가치로. 강의/교육 수입. 저서/출판 수익.","로맨틱하고 지적인 관계. 문화적 취미를 공유하는 파트너. 봄날의 연애.","간/심장 주의. 봄철 화기 상승. 눈 건강관리.","아름다움 속에서 지혜를 찾으세요. 예술과 학문을 결합하면 빛나는 해입니다."
AF_병_진,병진년운,annual_fortune,병,辰,화생토,"병화가 진토를 만나 상관운. 태양이 봄 대지를 강렬히 비추는 상. 과감한 표현과 창조적 파괴.","혁신적 프로젝트 주도. 기존 시스템 개편. 창업/스타트업에서 돌파구. 방송/미디어.","크게 벌고 크게 쓰는 해. 사업 아이디어로 대박 가능. 동시에 과소비 주의.","솔직하고 강렬한 감정 표현. 상대를 압도하는 열정. 기존 관계 흔들림 가능.","위장/소화기 주의. 스트레스성 위염. 피부 트러블.","창조적 파괴를 두려워하지 마세요. 낡은 것을 부수어야 새것이 탄생합니다."
AF_병_사,병사년운,annual_fortune,병,巳,비화화,"병화가 사화를 만나 겁재운. 태양 옆에 큰 불. 에너지가 넘치지만 경쟁과 소모가 큰 해.","업계 내 치열한 경쟁. 주목받지만 경쟁자도 강함. 방송/연예/스포츠 분야.","재물 유출 주의. 과시적 소비 경계. 보증/대출 주의.","경쟁적 관계. 삼각관계 가능성. 질투와 시기. 열정적이나 불안정.","심장/소장 특별 주의. 고열/열사병/화상. 혈압 급등.","타오르되 태우지 마세요. 에너지를 분산하지 말고 한곳에 집중하세요."
AF_병_미,병미년운,annual_fortune,병,未,화생토,"병화가 미토를 만나 식신운. 여름 태양이 대지를 풍요롭게 하는 상. 재능이 풍성하게 결실을 맺음.","요식업/서비스업/관광업 전성기. 사람들에게 즐거움을 주는 분야. 이벤트/축제 기획.","재능이 꾸준한 수입으로. 식당/카페/숙박업 수익 양호. 체험형 비즈니스.","따뜻하고 풍요로운 관계. 함께 즐기는 여행/미식. 가족 같은 편안함.","위장/비장 주의. 여름 더위에 체력 소모. 소화불량 주의.","풍요를 나누세요. 당신의 따뜻한 에너지가 주변을 행복하게 합니다."
AF_병_신,병신년운,annual_fortune,병,申,화극금,"병화가 신금을 만나 편재운. 태양이 금속을 녹이는 상. 강렬한 재물 활동과 과감한 투자.","금융/제조/가공 분야에서 기회. 원재료를 가공해 가치를 높이는 사업. 기술 혁신.","과감한 투자에서 큰 수익 가능. 하지만 무리한 확장은 손실. 제조업/기술업 유리.","강렬하고 주도적인 연애. 상대를 변화시키려는 욕구. 지배적 관계 경향.","폐/대장 주의. 호흡기 염증. 발열 질환. 피부 화상.","금을 녹여 새 형태를 만드세요. 원석을 보석으로 만드는 것이 올해의 과제입니다."
AF_병_유,병유년운,annual_fortune,병,酉,화극금,"병화가 유금을 만나 정재운. 태양빛이 보석을 빛나게 하는 상. 아름다움에서 실질적 가치를 창출.","주얼리/럭셔리/뷰티 산업. 미적 감각을 활용한 비즈니스. 브랜드 가치 향상.","안정적이고 아름다운 재물. 명품/보석/미술품 투자. 미적 가치의 경제적 실현.","우아하고 세련된 관계. 함께 문화생활을 즐기는 파트너. 미적 취향 공유.","폐/호흡기 주의. 피부 관리. 가을 건조함에 수분 보충.","아름다움에서 가치를 찾으세요. 미적 감각이 곧 경제력인 해입니다."
AF_병_술,병술년운,annual_fortune,병,戌,화생토,"병화가 술토를 만나 상관운. 태양이 가을 대지를 비추며 마지막 수확을 재촉. 정리와 혁신의 교차점.","사업 리스트럭처링. 비효율 제거. 컨설팅/구조조정 분야. 새로운 비전 제시.","묵은 자산 정리를 통한 수익 창출. 부동산 매각/교환. 정리를 통한 현금 확보.","관계 재정립. 불필요한 인연 정리. 솔직한 대화로 관계 업그레이드.","위장/소화기 주의. 가을 건조함. 피부/호흡기 관리.","불필요한 것을 태우세요. 가을 들불처럼 정리한 자리에 새 생명이 옵니다."
AF_병_해,병해년운,annual_fortune,병,亥,수극화,"병화가 해수를 만나 정관운. 큰 바다가 태양의 열기를 제어. 사회적 규율과 책임의 무게.","공공기관/대기업에서의 승진. 사회적 인정과 동시에 막중한 책임. 관리직 발령.","안정적 급여와 직위 수당. 명예로운 지위에 따른 부수입. 사회적 신용 상승.","격식 있고 책임감 있는 관계. 사회적으로 인정받는 커플. 공식 행사 참석.","심장/신장 동시 주의. 수화 불균형. 혈압/비뇨기 관리.","태양도 바다 앞에선 겸손합니다. 사회적 책임을 수용하면 더 높이 오릅니다."
AF_정_자,정자년운,annual_fortune,정,子,수극화,"정화가 자수를 만나 정관운. 밤하늘 촛불이 차가운 물을 만남. 섬세한 불빛에 규율이 더해지는 해.","세밀한 기준이 요구되는 직종. 감사/검수/품질관리. 야간 업무/보안 분야.","안정적이지만 소규모 수입. 절약과 관리가 중요. 무리한 확장 금지.","진중하고 격식 있는 관계. 말보다 행동으로 보여주는 사랑.","심장/신장 주의. 냉증과 심장 부담 동시. 겨울 건강 특별 관리.","작은 불꽃이라도 방향이 있으면 어둠을 밝힙니다. 규율 속에서 빛나세요."
AF_정_축,정축년운,annual_fortune,정,丑,화생토,"정화가 축토를 만나 식신운. 촛불이 겨울 흙을 은은하게 데우는 상. 소박하지만 진실한 재능 발현.","수공예/공방/소규모 교실 운영. 세밀한 손재주가 빛나는 분야. 도예/자수/제과.","소규모 부업에서 안정 수입. 핸드메이드 판매. 정성이 담긴 상품의 가치.","소박하고 진실한 관계. 함께 무언가를 만드는 기쁨. 가정적 교제.","위장/소화기 주의. 겨울 소화불량. 체온 관리.","소박함 속에 진심이 있습니다. 작지만 정성 어린 것이 가장 빛나는 해입니다."
AF_정_인,정인년운,annual_fortune,정,寅,목생화,"정화가 인목을 만나 정인운. 큰 나무가 촛불에 장작을 공급. 꾸준한 학문적 성장과 보호.","학위/자격증 취득 최적기. 멘토의 든든한 지원. 교육/학술 분야 성과.","교육 투자가 장기적 수익으로. 장학금/연구비 수혜. 지적 자산 형성.","지적으로 이끌어주는 파트너. 스승 같은 연인. 깊은 신뢰 관계.","간/심장 주의. 과로로 인한 심장 부담. 봄철 알레르기.","지혜의 불을 밝히세요. 올해 쌓은 학문은 평생의 등불이 됩니다."
AF_정_진,정진년운,annual_fortune,정,辰,화생토,"정화가 진토를 만나 상관운. 촛불이 봄 대지를 비추며 새로운 가능성을 드러내는 상. 섬세한 혁신.","디테일한 혁신이 필요한 분야. UI/UX 디자인/소프트웨어 개선. 제안/기획서 작성.","아이디어를 현실화하는 수익. 특허/디자인 등록. 작은 혁신의 큰 가치.","섬세하지만 도전적인 관계. 상대의 변화를 이끌어내는 소통.","위장/소화기 주의. 봄철 습기 관련 질환. 스트레스성 위염.","섬세한 관찰이 혁신의 시작입니다. 작은 차이가 큰 변화를 만드세요."
AF_정_오,정오년운,annual_fortune,정,午,비화화,"정화가 오화를 만나 겁재운. 촛불이 한낮의 태양 곁에. 자아가 환하게 드러나지만 빛 경쟁.","예술/공연/연기 분야에서 돋보이려는 노력. 경쟁 속 차별화 전략. 소규모 공연.","재물 경쟁이 치열. 지출 관리 필수. 공동 투자/동업 손실 주의.","열정적이지만 불안정. 상대와 주목받기 경쟁. 서로를 응원하는 자세 필요.","심장/혈압 특별 주의. 화병/두통. 여름 열사병 조심.","큰 불 옆에서도 꺼지지 않는 촛불이 되세요. 자기만의 빛을 지키세요."
AF_정_미,정미년운,annual_fortune,정,未,화생토,"정화가 미토를 만나 식신운. 여름 저녁 촛불이 따뜻한 흙 위에. 포근하고 감성적인 재능 발현.","요리/베이킹/카페/소규모 살롱. 감성적 공간 연출. 인테리어/플라워.","감성적 서비스로 수입. 카페/공방 운영 수익. 따뜻한 공간이 돈이 됨.","포근하고 가정적인 관계. 함께 집밥을 만드는 행복. 어머니 같은 사랑.","위장/비장 주의. 여름 습기 관련 질환. 소화기 관리.","따뜻한 공간을 만드세요. 당신의 포근한 에너지가 사람을 모읍니다."
AF_정_신,정신년운,annual_fortune,정,申,화극금,"정화가 신금을 만나 편재운. 촛불이 세공용 금속을 정밀하게 녹이는 상. 섬세한 재물 활동.","정밀 가공/보석 세공/치과기공. 세밀한 기술이 경제적 가치로. 수리/수선업.","정밀 기술로 수입. 세공/수선/수리 분야의 높은 부가가치. 기술료 수입.","섬세하게 다듬어가는 관계. 서로를 정교하게 맞추는 노력. 디테일한 배려.","폐/심장 주의. 호흡기 염증. 미세먼지 주의. 눈 건강.","세밀함이 가치를 만듭니다. 정밀한 기술이 올해 최고의 무기입니다."
AF_정_유,정유년운,annual_fortune,정,酉,화극금,"정화가 유금을 만나 정재운. 촛불이 보석을 은은하게 비추는 상. 아름다운 가치의 안정적 수확.","주얼리 디자인/미술 감정/화랑 운영. 미적 안목이 직업이 되는 해.","미술품/보석 투자 안정적 수익. 미적 감각이 안정적 재물로. 감정 수수료.","세련되고 우아한 관계. 함께 전시회/공연 관람. 미적 취향이 일치하는 인연.","폐/대장 주의. 호흡기 관리. 가을 건조함 피부 케어.","은은한 빛이 보석을 더 빛나게 합니다. 절제된 아름다움이 올해의 키워드."
AF_정_술,정술년운,annual_fortune,정,戌,화생토,"정화가 술토를 만나 상관운. 가을밤 촛불이 마른 흙을 비추며 숨겨진 것을 드러내는 상. 통찰과 폭로.","탐사보도/조사/감사/수사 관련. 숨겨진 문제를 밝히는 역할. 심리 분석.","숨겨진 자산 발견. 보험금/유산/잊힌 자산 정리. 정리를 통한 현금화.","비밀이 드러나는 관계. 솔직함이 치유가 됨. 깊은 대화를 통한 관계 재건.","위장/소화기 주의. 가을 건조함. 야간 활동으로 수면 부족.","어둠 속에서 빛을 비추세요. 진실을 밝히는 것이 올해 당신의 사명입니다."
AF_무_축,무축년운,annual_fortune,무,丑,비화토,"무토가 축토를 만나 겁재운. 큰 산 옆에 언덕이 있는 상. 경쟁적이지만 안정적인 기반 위의 견제.","부동산/건설 분야 내 경쟁. 동종업계 경쟁자 출현. 조직 내 파벌 경쟁.","재물 유출 주의. 부동산 공동투자 손실 가능. 보증 금지. 단독 자산 관리.","경쟁적 관계. 비슷한 성향의 사람과 갈등. 영역 다툼.","위장/비장 주의. 겨울 소화불량. 비만 관리.","나의 영역을 지키세요. 무리하게 확장하지 말고 기존 기반을 견고히 하세요."
AF_무_인,무인년운,annual_fortune,무,寅,목극토,"무토가 인목을 만나 편관운. 큰 나무가 산을 파고드는 상. 외부로부터 강한 도전과 시험.","조직 내 구조조정/변화에 직면. 상사의 압박. 법적 분쟁 가능. 공무원/군인에겐 승진 기회.","예상치 못한 지출. 법적 비용/벌금 가능. 안전자산 확보 필요.","강한 외부 압력으로 관계 긴장. 파트너의 요구 증가. 인내심 시험.","간/위장 주의. 근골격계 통증. 스트레스성 두통.","시련은 성장의 전제조건입니다. 산이 흔들려야 더 단단해집니다."
AF_무_묘,무묘년운,annual_fortune,무,卯,목극토,"무토가 묘목을 만나 정관운. 부드러운 풀이 산에 규율을 부여하는 상. 질서 있는 변화와 사회적 역할.","관리직/공직 진출 유리. 조직 내 공식 직위 부여. 규칙을 만들고 관리하는 역할.","안정적 급여/직위 수당. 사회적 신용 상승으로 대출/투자 유리.","책임감 있고 신뢰할 수 있는 관계. 약혼/결혼 등 공식적 진전.","간/위장 주의. 봄 알레르기. 소화기와 간 동시 관리.","사회적 규범을 받아들이세요. 규율 속에서 자유를 찾는 것이 진정한 지혜입니다."
AF_무_사,무사년운,annual_fortune,무,巳,화생토,"무토가 사화를 만나 편인운. 뱀의 지혜가 산을 더 굳건하게. 전략적 학문과 깊은 사색.","전략기획/경영컨설팅/부동산 분석. 데이터 기반 의사결정. 연구개발.","지식이 재물을 보호. 부동산 분석 능력이 수입으로. 전문가 자문료.","지적이고 전략적인 관계. 머리를 맞대고 계획하는 파트너.","심장/위장 주의. 화기로 인한 위열. 여름 열병 조심.","지혜로 기반을 다지세요. 전략 없는 행동은 모래 위의 성입니다."
AF_무_미,무미년운,annual_fortune,무,未,비화토,"무토가 미토를 만나 겁재운. 여름 산과 여름 땅이 만나 열기가 과잉. 고집과 경쟁의 과열.","부동산/토목/건설 분야 경쟁 과열. 동종업계 출혈 경쟁. 무리한 확장 자제.","재물 유출 주의. 과열된 시장에서 손실 가능. 냉정한 판단 필요.","고집 대 고집. 서로 양보하지 않는 갈등. 융통성이 필요한 관계.","위장/비장 특별 주의. 여름 더위에 소화불량. 당뇨/비만 관리.","과열을 경계하세요. 한발 물러나 냉정하게 보면 답이 보입니다."
AF_무_신,무신년운,annual_fortune,무,申,토생금,"무토가 신금을 만나 식신운. 산에서 광물이 생산되는 상. 내재된 재능이 실질적 결과로 나옴.","제조업/광업/IT 분야 성과. 기술력이 상품화되는 해. 엔지니어/개발자 유리.","기술로 수입. 특허/제품 개발 수익. 실물 생산에서 높은 부가가치.","실질적 도움을 주고받는 관계. 함께 무언가를 만드는 파트너.","폐/위장 주의. 호흡기와 소화기 동시 관리.","내면의 보물을 꺼내세요. 당신 안의 기술과 능력이 올해 현실이 됩니다."
AF_무_유,무유년운,annual_fortune,무,酉,토생금,"무토가 유금을 만나 상관운. 산에서 보석이 나오는 상. 숨겨진 재능이 과감하게 표출.","기존 방식을 깨는 혁신. 새로운 기술/디자인 발표. 비평/리뷰/심사 분야.","혁신적 기술로 수입. 파격적 아이디어의 상업화. 다만 지출도 과감.","솔직하고 파격적인 관계. 기존 연애 방식 거부. 자유로운 표현.","폐/대장 주의. 호흡기 질환. 과한 표현으로 목/성대 무리.","내면의 보석을 과감하게 드러내세요. 숨기면 영원히 돌 속의 옥입니다."
AF_무_술,무술년운,annual_fortune,무,戌,비화토,"무토가 술토를 만나 비견운. 큰 산과 가을 대지가 합쳐진 상. 거대한 안정감이지만 고립 위험.","안정적이지만 변화 없는 환경. 현상 유지에 최적. 부동산/건설/토목 안정.","안정 자산 유지. 큰 변동 없는 재물운. 현상 유지가 최선.","안정적이지만 권태로운 관계 가능. 새로운 자극이 필요.","위장/소화기 주의. 가을 건조함. 관절/뼈 관리.","안정은 좋지만 정체는 아닙니다. 변화의 씨앗을 심어두세요."
