id,ilju,stem,branch,personality,career,love,wealth,health,famous_people,description
IJ_갑술,갑술,甲,戌,개척자 정신에 신중함 가미. 책임감 강하고 의리 있다. 늦게 피지만 단단한 꽃.,"공무원, 법조, 경찰, 군인, 종교. 정의를 실현하는 분야.",진지하고 책임감 있는 연애. 가정을 중시하는 타입.,중년 이후 안정적인 재물. 투기보다 안정적 수입.,"위장, 피부 주의. 스트레스로 인한 소화 불량 조심.",아브라함 링컨,IJ_갑술: Astro interpretation data.
IJ_을해,을해,乙,亥,유연하고 지혜로움. 덩굴과 바다의 조합으로 적응력과 포용력 겸비.,"교육, 의료, 종교, 예술, 해외사업. 봉사와 창작의 분야.",헌신적이고 이해심 깊은 연애. 상대의 아픔을 보듬어 줌.,해외나 물과 관련된 사업으로 성공. 여러 수입원.,"신장, 방광 주의. 차가운 것 피하고 보온 중요.",테레사 수녀,IJ_을해: Astro interpretation data.
IJ_병자,병자,丙,子,열정과 지혜의 조화. 태양이 물 위에 비치는 형상. 밝으면서도 깊이가 있다.,"미디어, 홍보, 교육, 연구, 예술. 표현과 분석의 분야.",매력적이나 감정 기복 있음. 뜨겁다 차갑다 하는 면.,"아이디어로 돈 벌음. 투자보다 창작, 컨텐츠로 수입.","심장, 신장 균형 주의. 냉온 차이 큰 환경 피해야.",스티브 잡스,IJ_병자: Astro interpretation data.
IJ_정축,정축,丁,丑,섬세함과 현실감 조화. 촛불이 대지에 비치는 형상. 따뜻하면서 실속있다.,"금융, 회계, 예술경영, 요식업. 실용적 예술의 분야.",따뜻하고 진실된 연애. 천천히 신뢰를 쌓아가는 스타일.,꾸준히 모아 중년에 부자. 안정적인 투자 선호.,"소화기, 심장 주의. 규칙적인 식사와 따뜻한 음식.",앤디 워홀,IJ_정축: Astro interpretation data.
IJ_무인,무인,戊,寅,산과 호랑이. 웅장하고 진취적. 모험정신과 안정감을 동시에 갖춘 리더형.,"건설, 부동산, 스포츠, 모험사업. 개척하는 분야.",든든하고 리드하는 연애. 상대에게 안정감과 자극 동시에.,부동산이나 사업으로 성공. 큰 것을 노리는 타입.,"간, 근육 주의. 과음, 과로 조심하고 스트레칭 필요.",잭 웰치,IJ_무인: Astro interpretation data.
IJ_기묘,기묘,己,卯,유연하고 예술적. 부드러운 땅에 꽃이 핀 형상. 감성적이면서 현실적.,"원예, 인테리어, 패션, 뷰티, 교육. 아름다움을 가꾸는 분야.",부드럽고 감성적인 연애. 분위기를 중시하는 로맨티스트.,꾸준히 벌어 모으는 타입. 미적 감각 활용한 수입.,"간, 피부 주의. 알레르기와 스트레스성 질환 조심.",오드리 헵번,IJ_기묘: Astro interpretation data.
IJ_경진,경진,庚,辰,결단력과 포용력. 칼과 용의 만남으로 강하면서 크다. 큰 그릇의 리더.,"대기업, 군인, 외과의사, 금융. 결단과 규모의 분야.",듬직하고 카리스마 있는 연애. 상대를 보호하려는 성향.,"큰 돈을 다루는 재능. 사업, 투자에서 대박 가능.","폐, 위장 주의. 과식, 과음 주의하고 규칙적 생활.",록펠러,IJ_경진: Astro interpretation data.
IJ_신사,신사,辛,巳,보석과 뱀. 아름답고 지혜로움. 겉은 화려하고 속은 날카롭다.,"보석, 패션, 금융, 의료, 법률. 전문성과 미학의 분야.",매력적이고 까다로운 연애. 상대의 품격을 중시.,전문성으로 고소득. 투자 감각도 좋은 편.,"심장, 폐 주의. 열이 많으니 자극적인 것 피해야.",엘리자베스 테일러,IJ_신사: Astro interpretation data.
IJ_임오,임오,壬,午,바다와 말. 지혜와 열정의 조화. 넓은 시야와 추진력을 겸비.,"무역, 물류, 마케팅, 스포츠. 넓고 빠른 분야.",열정적이나 자유로운 연애. 구속받는 것을 싫어함.,젊어서 많이 벌고 많이 씀. 해외와 관련된 수입.,"심장, 신장 균형 주의. 과열과 탈수 조심.",마르코 폴로,IJ_임오: Astro interpretation data.
IJ_계미,계미,癸,未,샘물과 양. 부드럽고 포용적. 직관력과 현실감각 겸비.,"의료, 상담, 종교, 식품, 서비스. 치유와 서비스의 분야.",따뜻하고 배려하는 연애. 상대의 마음을 잘 헤아림.,서비스업이나 의료로 안정 수입. 무리한 투자 피해야.,"위장, 비장 주의. 소화 잘 되는 음식 섭취.",나이팅게일,IJ_계미: Astro interpretation data.
IJ_갑신,갑신,甲,申,나무와 원숭이. 개척 정신에 영리함 가미. 융통성 있는 리더.,"IT, 스타트업, 컨설팅, 무역. 빠르고 새로운 분야.",재치있고 다양한 연애. 지적인 대화를 즐기는 편.,아이디어로 돈 버는 타입. 다양한 수입원 확보.,"간, 폐 주의. 신경 쓰는 일 많아 스트레스 관리.",마크 저커버그,IJ_갑신: Astro interpretation data.
IJ_을유,을유,乙,酉,덩굴과 닭. 유연하면서 예리함. 예술적 감각과 비평 능력.,"예술, 비평, 보석, 패션, 감정. 아름다움을 평가하는 분야.",까다롭지만 매력적인 연애. 미적 기준이 높은 편.,전문성으로 고소득. 한 분야 장인으로 성공.,"간, 폐 주의. 알레르기 체질 가능. 건강식 섭취.",레오나르도 다빈치,IJ_을유: Astro interpretation data.
IJ_병술,병술,丙,戌,태양과 개. 밝고 의리있음. 정의감과 따뜻함을 겸비.,"공무원, 군인, 경찰, 교육, 종교. 의를 실현하는 분야.",의리있고 진실한 연애. 한번 사랑하면 끝까지.,중년 이후 안정. 투기보다 안정적 투자.,"심장, 위장 주의. 스트레스와 과식 조심.",간디,IJ_병술: Astro interpretation data.
IJ_정해,정해,丁,亥,촛불과 바다. 따뜻하고 깊이있음. 감성과 지혜의 조화.,"예술, 종교, 의료, 심리, 해외. 깊이와 치유의 분야.",헌신적이고 영적인 연애. 깊은 교감을 원함.,예술이나 치유로 수입. 해외 인연 가능.,"심장, 신장 주의. 따뜻하게 유지하고 보온.",존 레논,IJ_정해: Astro interpretation data.
IJ_무자,무자,戊,子,산과 물. 안정과 지혜. 묵직하면서 깊이있는 사고.,"연구, 부동산, 금융, 교육. 깊이와 안정의 분야.",진중하고 책임감 있는 연애. 신뢰를 중시.,부동산이나 금융으로 성공. 장기 투자 유리.,"위장, 신장 주의. 차가운 것 피하고 보온.",워런 버핏,IJ_무자: Astro interpretation data.
IJ_기축,기축,己,丑,흙과 흙. 겹토(疊土)로 안정감 극대화. 인내와 성실의 대명사.,"부동산, 농업, 건설, 금융. 땅과 관련된 분야.",느리지만 확실한 연애. 신뢰를 쌓아가는 스타일.,늦게 피는 꽃. 40대 이후 큰 부. 땅 관련 투자.,"비장, 위장 주의. 습기 피하고 규칙적 식사.",앤드류 카네기,IJ_기축: Astro interpretation data.
IJ_경인,경인,庚,寅,칼과 호랑이. 결단력과 용맹함. 강하고 추진력 있음.,"군인, 스포츠, 외과의사, 경영. 결단의 분야.",강렬하고 리드하는 연애. 약한 모습 보이기 싫어함.,젊어서 크게 성공 가능. 투기성 사업 유리.,"간, 폐 주의. 무리한 운동과 과음 조심.",이순신,IJ_경인: Astro interpretation data.
IJ_신묘,신묘,辛,卯,보석과 토끼. 아름답고 감성적. 섬세한 미적 감각.,"보석, 패션, 예술, 뷰티. 아름다움의 분야.",로맨틱하고 감성적인 연애. 분위기와 미적 감각 중시.,예술적 재능으로 수입. 한 분야 전문가로.,"폐, 간 주의. 스트레스 관리와 충분한 수면.",클림트,IJ_신묘: Astro interpretation data.
IJ_임진,임진,壬,辰,바다와 용. 광대하고 변화무쌍. 큰 꿈과 포부.,"무역, 해운, 정치, 대기업. 큰 것을 다루는 분야.",스케일 큰 연애. 평범한 것은 싫어하는 편.,큰 돈을 다루거나 해외 관련 수입. 대박 가능.,"신장, 위장 주의. 과음, 과식 조심.",알렉산더 대왕,IJ_임진: Astro interpretation data.
IJ_계사,계사,癸,巳,샘물과 뱀. 지혜롭고 통찰력. 직관과 분석의 조화.,"연구, 의료, 법률, 심리, 금융. 분석의 분야.",신비롭고 깊이있는 연애. 상대의 속을 꿰뚫어봄.,전문성으로 고소득. 분석 능력 활용한 투자.,"심장, 신장 주의. 냉온 균형과 정신 건강 관리.",셜록 홈즈(가상),IJ_계사: Astro interpretation data.
IJ_갑오,갑오,甲,午,나무와 말. 성장과 열정. 활기차고 추진력 강함.,"스포츠, 마케팅, 창업, 교육. 활동적인 분야.",열정적이고 활발한 연애. 함께 활동하는 것을 좋아함.,젊어서 크게 벌 수 있음. 활동적인 사업 유리.,"간, 심장 주의. 과열 조심하고 휴식 중요.",무하마드 알리,IJ_갑오: Astro interpretation data.
IJ_을미,을미,乙,未,덩굴과 양. 유연하고 따뜻함. 포용력과 감성.,"교육, 요식업, 서비스, 예술. 사람을 돌보는 분야.",따뜻하고 헌신적인 연애. 상대를 챙기는 스타일.,서비스업이나 예술로 안정 수입. 꾸준히 모음.,"비장, 위장 주의. 소화 잘 되는 음식 섭취.",다이애나 비,IJ_을미: Astro interpretation data.
IJ_병신,병신,丙,申,태양과 원숭이. 밝고 영리함. 사교적이고 재치있음.,"연예, 마케팅, 컨설팅, IT. 소통과 아이디어의 분야.",재미있고 다양한 연애. 유머와 대화를 즐김.,아이디어로 돈 벌음. 다양한 사업 가능.,"심장, 폐 주의. 과로와 신경 쓰는 일 조심.",짐 캐리,IJ_병신: Astro interpretation data.
IJ_정유,정유,丁,酉,촛불과 닭. 섬세하고 예리함. 미적 감각과 비평력.,"보석, 예술, 비평, 금융. 분석과 미학의 분야.",까다롭고 품격 있는 연애. 상대의 수준을 중시.,전문성으로 고소득. 투자 감각도 좋은 편.,"심장, 폐 주의. 자극적인 것 피하고 절제.",아이작 뉴턴,IJ_정유: Astro interpretation data.
IJ_무술,무술,戊,戌,산과 개. 묵직하고 의리있음. 책임감과 신뢰의 상징.,"공무원, 군인, 경찰, 건설. 안정과 의리의 분야.",믿음직하고 진실한 연애. 가정적이고 책임감 강함.,중년 이후 안정적 부. 땅 관련 투자 유리.,"위장, 피부 주의. 스트레스 관리와 규칙적 생활.",칭기즈 칸,IJ_무술: Astro interpretation data.
IJ_기해,기해,己,亥,흙과 바다. 포용력과 깊이. 현실적이면서 지혜로움.,"무역, 해운, 부동산, 종교. 넓고 깊은 분야.",따뜻하고 이해심 있는 연애. 상대를 품어주는 타입.,해외나 물 관련 사업으로 성공. 안정적 투자.,"비장, 신장 주의. 습기 조절과 보온 필요.",조지 워싱턴,IJ_기해: Astro interpretation data.
IJ_경자,경자,庚,子,칼과 물. 결단력과 지혜. 냉철하고 명석함.,"금융, 법률, 연구, IT. 분석과 결단의 분야.",쿨하고 지적인 연애. 감정보다 논리 중시.,투자 감각 좋음. 금융이나 분석으로 수입.,"폐, 신장 주의. 차가운 체질이니 보온.",아인슈타인,IJ_경자: Astro interpretation data.
IJ_신축,신축,辛,丑,보석과 흙. 숨은 보석. 겉은 수수하나 속은 화려함.,"금융, 보석, 골동품, 연구. 가치를 발굴하는 분야.",진지하고 신중한 연애. 천천히 신뢰를 쌓음.,늦게 피는 꽃. 40대 이후 큰 부. 장기 투자.,"폐, 위장 주의. 건조한 환경과 규칙적 식사.",베토벤,IJ_신축: Astro interpretation data.
IJ_임인,임인,壬,寅,바다와 호랑이. 넓고 용맹함. 큰 꿈과 추진력.,"무역, 정치, 스포츠, 대기업. 크고 활동적인 분야.",스케일 크고 활발한 연애. 평범한 것은 거부.,해외나 큰 사업으로 성공. 대박 가능성.,"신장, 간 주의. 과음과 무리한 활동 조심.",나폴레옹,IJ_임인: Astro interpretation data.
IJ_계묘,계묘,癸,卯,샘물과 토끼. 맑고 감성적. 직관력과 예술성.,"예술, 상담, 교육, 의료. 치유와 감성의 분야.",부드럽고 감성적인 연애. 정서적 교감 중시.,예술이나 상담으로 수입. 안정적으로 모음.,"신장, 간 주의. 스트레스 관리와 충분한 수면.",모차르트,IJ_계묘: Astro interpretation data.
IJ_갑진,갑진,甲,辰,나무와 용. 성장과 변화. 큰 꿈을 품은 개척자.,"창업, 정치, 건설, 교육. 개척과 변화의 분야.",이상적이고 스케일 큰 연애. 큰 꿈을 함께 꿈.,사업으로 대박 가능. 변화에 강함.,"간, 위장 주의. 과욕과 스트레스 조심.",이건희,IJ_갑진: Astro interpretation data.
IJ_을사,을사,乙,巳,덩굴과 뱀. 유연하고 지혜로움. 적응력과 통찰력.,"외교, 비서, 상담, 의료. 사람을 다루는 분야.",매력적이고 센스있는 연애. 상대 니즈 파악.,여러 수입원. 투자 감각 있으나 도박 주의.,"간, 심장 주의. 과로와 스트레스 관리.",클레오파트라,IJ_을사: Astro interpretation data.
IJ_병오,병오,丙,午,태양과 말. 열정의 극치. 뜨겁고 활발함.,"연예, 스포츠, 마케팅, 정치. 주목받는 분야.",열정적이고 강렬한 연애. 뜨겁게 사랑.,젊어서 크게 성공. 유명세로 수입.,"심장, 혈압 주의. 과열 조심하고 휴식.",마이클 조던,IJ_병오: Astro interpretation data.
IJ_정미,정미,丁,未,촛불과 양. 따뜻하고 부드러움. 감성과 포용력.,"서비스, 요식업, 교육, 예술. 사람을 돌보는 분야.",헌신적이고 따뜻한 연애. 상대를 위해 희생.,서비스업으로 안정 수입. 꾸준히 모음.,"심장, 위장 주의. 따뜻한 음식과 휴식.",간호사 플로렌스,IJ_정미: Astro interpretation data.
IJ_무신,무신,戊,申,산과 원숭이. 안정과 영리함. 현실적이면서 재치.,"부동산, 컨설팅, 금융, IT. 안정과 아이디어.",현실적이고 재치있는 연애. 실속을 추구.,부동산이나 컨설팅으로 성공. 안정적 투자.,"위장, 폐 주의. 과식과 신경 쓰는 일 조심.",앨런 그린스펀,IJ_무신: Astro interpretation data.
IJ_기유,기유,己,酉,흙과 닭. 현실적이고 예리함. 실속과 분석력.,"금융, 회계, 분석, 감정. 실속과 분석의 분야.",현실적이고 까다로운 연애. 조건을 따지는 편.,분석력으로 투자 성공. 안정적 재테크.,"비장, 폐 주의. 건조한 환경 피하고 보습.",제시 리버모어,IJ_기유: Astro interpretation data.
IJ_경술,경술,庚,戌,칼과 개. 결단력과 의리. 강하고 책임감 있음.,"군인, 경찰, 법률, 금융. 결단과 의리의 분야.",의리있고 진실한 연애. 믿음직한 파트너.,중년 이후 안정. 투기보다 안정 투자.,"폐, 위장 주의. 스트레스와 과음 조심.",맥아더,IJ_경술: Astro interpretation data.
IJ_신해,신해,辛,亥,보석과 바다. 아름답고 지혜로움. 미적 감각과 깊이.,"보석, 예술, 해외사업, 종교. 아름다움과 깊이.",신비롭고 깊이있는 연애. 영적 교감 원함.,해외나 예술로 성공. 숨은 재능 활용.,"폐, 신장 주의. 보온과 정신 건강 관리.",마돈나,IJ_신해: Astro interpretation data.
IJ_임자,임자,壬,子,바다와 물. 수의 극치. 넓고 깊은 지혜.,"학문, 연구, 해운, 무역. 깊고 넓은 분야.",지적이고 깊은 연애. 정신적 교감 중시.,학문이나 해외로 성공. 투자 감각 좋음.,"신장, 방광 주의. 냉한 체질이니 보온.",아리스토텔레스,IJ_임자: Astro interpretation data.
IJ_계축,계축,癸,丑,샘물과 흙. 지혜와 현실성. 직관과 실속.,"금융, 연구, 의료, 부동산. 분석과 안정.",신중하고 진지한 연애. 신뢰를 쌓아감.,늦게 피는 꽃. 40대 이후 안정적 부.,"신장, 비장 주의. 습기 피하고 보온.",J.P. 모건,IJ_계축: Astro interpretation data.
IJ_갑인,갑인,甲,寅,나무와 호랑이. 목의 왕지. 성장과 용맹의 극치.,"창업, 정치, 스포츠, 군인. 리더와 개척자.",활발하고 리드하는 연애. 강한 카리스마.,젊어서 크게 성공. 사업으로 대박.,간 주의. 과음과 과로 조심.,손정의,IJ_갑인: Astro interpretation data.
IJ_을묘,을묘,乙,卯,덩굴과 토끼. 목의 극치. 유연함과 감성의 정점.,"예술, 패션, 교육, 상담. 감성과 예술의 분야.",로맨틱하고 감성적인 연애. 분위기 중시.,예술로 성공. 꾸준히 모으는 스타일.,간 주의. 스트레스와 신경 쓰는 일 조심.,빈센트 반 고흐,IJ_을묘: Astro interpretation data.
IJ_병진,병진,丙,辰,태양과 용. 밝고 웅장함. 카리스마와 포부.,"정치, 대기업, 연예, 교육. 큰 무대에서 활약.",스케일 크고 리드하는 연애. 주목받고 싶음.,큰 사업으로 성공. 유명세로 수입.,"심장, 위장 주의. 과욕과 스트레스 조심.",스티브 잡스,IJ_병진: Astro interpretation data.
IJ_정사,정사,丁,巳,촛불과 뱀. 화의 왕지. 지혜롭고 섬세한 열정.,"연구, 예술, 의료, 심리. 깊이와 통찰의 분야.",매력적이고 깊이있는 연애. 강렬한 끌림.,전문성으로 고소득. 분석 능력 활용.,심장 주의. 과열과 스트레스 관리.,마리 퀴리,IJ_정사: Astro interpretation data.
IJ_무오,무오,戊,午,산과 말. 안정과 열정. 듬직하면서 활발함.,"부동산, 스포츠, 건설, 교육. 안정과 활동.",든든하고 활발한 연애. 함께 활동하는 것을 좋아함.,부동산이나 사업으로 성공. 안정적이면서 활발.,"위장, 심장 주의. 과식과 과열 조심.",록펠러,IJ_무오: Astro interpretation data.
IJ_기미,기미,己,未,흙과 양. 토의 극치. 포용력과 현실성 최고.,"부동산, 요식업, 농업, 서비스. 땅과 사람.",따뜻하고 헌신적인 연애. 가정적이고 포용적.,땅 관련 사업으로 성공. 안정적 재테크.,"비장, 위장 주의. 습기 피하고 규칙적 식사.",앤드류 카네기,IJ_기미: Astro interpretation data.
IJ_경신,경신,庚,申,칼과 원숭이. 금의 왕지. 결단력과 영리함 극치.,"금융, 법률, IT, 컨설팅. 분석과 결단.",쿨하고 재치있는 연애. 지적인 대화 중시.,투자로 대박 가능. 분석력 활용.,폐 주의. 건조한 환경과 스트레스 조심.,워런 버핏,IJ_경신: Astro interpretation data.
IJ_신유,신유,辛,酉,보석과 닭. 금의 극치. 아름답고 날카로움 정점.,"보석, 예술, 금융, 비평. 미학과 분석.",까다롭고 품격 있는 연애. 최고를 추구.,전문성으로 최고 수입. 투자 감각 뛰어남.,폐 주의. 알레르기와 건조함 조심.,코코 샤넬,IJ_신유: Astro interpretation data.
IJ_임술,임술,壬,戌,바다와 개. 넓고 의리있음. 지혜와 책임감.,"무역, 군인, 법률, 해운. 넓고 의로운 분야.",의리있고 넓은 연애. 상대를 품어줌.,해외나 큰 사업으로 성공. 중년 안정.,"신장, 위장 주의. 과음과 과식 조심.",조지 워싱턴,IJ_임술: Astro interpretation data.
IJ_계해,계해,癸,亥,샘물과 바다. 수의 극치. 지혜와 직관의 정점.,"학문, 연구, 종교, 해외. 깊고 신비로운 분야.",영적이고 깊이있는 연애. 정신적 교감.,학문이나 해외로 성공. 숨은 재능 활용.,신장 주의. 냉한 체질이니 보온 필수.,노자,IJ_계해: Astro interpretation data.
