id,pillar,pillar_kr,cheongan,cheongan_kr,cheongan_ohang,jiji,jiji_kr,jiji_animal,jiji_ohang,napeum,nature,personality,career_hint,relationship_hint,description
PILLAR_己卯,己卯,기묘,己,기,토,卯,묘,토끼,목,화,"밭, 포용, 수용의 기운이 토끼의 특성과 결합",토의 성질을 목의 땅에서 발휘. 기묘일주.,"밭, 포용, 수용과 관련된 분야에서 토끼의 특성 활용",음의 천간과 목의 지지 조합이 관계에 영향,PILLAR_己卯: Astro interpretation data.
PILLAR_庚辰,庚辰,경진,庚,경,금,辰,진,용,토,토,"쇠, 결단, 의리의 기운이 용의 특성과 결합",금의 성질을 토의 땅에서 발휘. 경진일주.,"쇠, 결단, 의리과 관련된 분야에서 용의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_庚辰: Astro interpretation data.
PILLAR_辛巳,辛巳,신사,辛,신,금,巳,사,뱀,화,토,"보석, 섬세, 예민의 기운이 뱀의 특성과 결합",금의 성질을 화의 땅에서 발휘. 신사일주.,"보석, 섬세, 예민과 관련된 분야에서 뱀의 특성 활용",음의 천간과 화의 지지 조합이 관계에 영향,PILLAR_辛巳: Astro interpretation data.
PILLAR_壬午,壬午,임오,壬,임,수,午,오,말,화,목,"바다, 지혜, 포용의 기운이 말의 특성과 결합",수의 성질을 화의 땅에서 발휘. 임오일주.,"바다, 지혜, 포용과 관련된 분야에서 말의 특성 활용",양의 천간과 화의 지지 조합이 관계에 영향,PILLAR_壬午: Astro interpretation data.
PILLAR_癸未,癸未,계미,癸,계,수,未,미,양,토,목,"비, 순응, 침투의 기운이 양의 특성과 결합",수의 성질을 토의 땅에서 발휘. 계미일주.,"비, 순응, 침투과 관련된 분야에서 양의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_癸未: Astro interpretation data.
PILLAR_甲申,甲申,갑신,甲,갑,목,申,신,원숭이,금,금,"큰 나무, 시작, 진취의 기운이 원숭이의 특성과 결합",목의 성질을 금의 땅에서 발휘. 갑신일주.,"큰 나무, 시작, 진취과 관련된 분야에서 원숭이의 특성 활용",양의 천간과 금의 지지 조합이 관계에 영향,PILLAR_甲申: Astro interpretation data.
PILLAR_乙酉,乙酉,을유,乙,을,목,酉,유,닭,금,금,"풀, 유연함, 적응의 기운이 닭의 특성과 결합",목의 성질을 금의 땅에서 발휘. 을유일주.,"풀, 유연함, 적응과 관련된 분야에서 닭의 특성 활용",음의 천간과 금의 지지 조합이 관계에 영향,PILLAR_乙酉: Astro interpretation data.
PILLAR_丙戌,丙戌,병술,丙,병,화,戌,술,개,토,수,"태양, 열정, 밝음의 기운이 개의 특성과 결합",화의 성질을 토의 땅에서 발휘. 병술일주.,"태양, 열정, 밝음과 관련된 분야에서 개의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_丙戌: Astro interpretation data.
PILLAR_丁亥,丁亥,정해,丁,정,화,亥,해,돼지,수,수,"촛불, 지혜, 정밀의 기운이 돼지의 특성과 결합",화의 성질을 수의 땅에서 발휘. 정해일주.,"촛불, 지혜, 정밀과 관련된 분야에서 돼지의 특성 활용",음의 천간과 수의 지지 조합이 관계에 영향,PILLAR_丁亥: Astro interpretation data.
PILLAR_戊子,戊子,무자,戊,무,토,子,자,쥐,수,화,"산, 신뢰, 중후의 기운이 쥐의 특성과 결합",토의 성질을 수의 땅에서 발휘. 무자일주.,"산, 신뢰, 중후과 관련된 분야에서 쥐의 특성 활용",양의 천간과 수의 지지 조합이 관계에 영향,PILLAR_戊子: Astro interpretation data.
PILLAR_己丑,己丑,기축,己,기,토,丑,축,소,토,화,"밭, 포용, 수용의 기운이 소의 특성과 결합",토의 성질을 토의 땅에서 발휘. 기축일주.,"밭, 포용, 수용과 관련된 분야에서 소의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_己丑: Astro interpretation data.
PILLAR_庚寅,庚寅,경인,庚,경,금,寅,인,호랑이,목,토,"쇠, 결단, 의리의 기운이 호랑이의 특성과 결합",금의 성질을 목의 땅에서 발휘. 경인일주.,"쇠, 결단, 의리과 관련된 분야에서 호랑이의 특성 활용",양의 천간과 목의 지지 조합이 관계에 영향,PILLAR_庚寅: Astro interpretation data.
PILLAR_辛卯,辛卯,신묘,辛,신,금,卯,묘,토끼,목,토,"보석, 섬세, 예민의 기운이 토끼의 특성과 결합",금의 성질을 목의 땅에서 발휘. 신묘일주.,"보석, 섬세, 예민과 관련된 분야에서 토끼의 특성 활용",음의 천간과 목의 지지 조합이 관계에 영향,PILLAR_辛卯: Astro interpretation data.
PILLAR_壬辰,壬辰,임진,壬,임,수,辰,진,용,토,목,"바다, 지혜, 포용의 기운이 용의 특성과 결합",수의 성질을 토의 땅에서 발휘. 임진일주.,"바다, 지혜, 포용과 관련된 분야에서 용의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_壬辰: Astro interpretation data.
PILLAR_癸巳,癸巳,계사,癸,계,수,巳,사,뱀,화,목,"비, 순응, 침투의 기운이 뱀의 특성과 결합",수의 성질을 화의 땅에서 발휘. 계사일주.,"비, 순응, 침투과 관련된 분야에서 뱀의 특성 활용",음의 천간과 화의 지지 조합이 관계에 영향,PILLAR_癸巳: Astro interpretation data.
PILLAR_甲午,甲午,갑오,甲,갑,목,午,오,말,화,금,"큰 나무, 시작, 진취의 기운이 말의 특성과 결합",목의 성질을 화의 땅에서 발휘. 갑오일주.,"큰 나무, 시작, 진취과 관련된 분야에서 말의 특성 활용",양의 천간과 화의 지지 조합이 관계에 영향,PILLAR_甲午: Astro interpretation data.
PILLAR_乙未,乙未,을미,乙,을,목,未,미,양,토,금,"풀, 유연함, 적응의 기운이 양의 특성과 결합",목의 성질을 토의 땅에서 발휘. 을미일주.,"풀, 유연함, 적응과 관련된 분야에서 양의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_乙未: Astro interpretation data.
PILLAR_丙申,丙申,병신,丙,병,화,申,신,원숭이,금,수,"태양, 열정, 밝음의 기운이 원숭이의 특성과 결합",화의 성질을 금의 땅에서 발휘. 병신일주.,"태양, 열정, 밝음과 관련된 분야에서 원숭이의 특성 활용",양의 천간과 금의 지지 조합이 관계에 영향,PILLAR_丙申: Astro interpretation data.
PILLAR_丁酉,丁酉,정유,丁,정,화,酉,유,닭,금,수,"촛불, 지혜, 정밀의 기운이 닭의 특성과 결합",화의 성질을 금의 땅에서 발휘. 정유일주.,"촛불, 지혜, 정밀과 관련된 분야에서 닭의 특성 활용",음의 천간과 금의 지지 조합이 관계에 영향,PILLAR_丁酉: Astro interpretation data.
PILLAR_戊戌,戊戌,무술,戊,무,토,戌,술,개,토,화,"산, 신뢰, 중후의 기운이 개의 특성과 결합",토의 성질을 토의 땅에서 발휘. 무술일주.,"산, 신뢰, 중후과 관련된 분야에서 개의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_戊戌: Astro interpretation data.
PILLAR_己亥,己亥,기해,己,기,토,亥,해,돼지,수,화,"밭, 포용, 수용의 기운이 돼지의 특성과 결합",토의 성질을 수의 땅에서 발휘. 기해일주.,"밭, 포용, 수용과 관련된 분야에서 돼지의 특성 활용",음의 천간과 수의 지지 조합이 관계에 영향,PILLAR_己亥: Astro interpretation data.
PILLAR_庚子,庚子,경자,庚,경,금,子,자,쥐,수,토,"쇠, 결단, 의리의 기운이 쥐의 특성과 결합",금의 성질을 수의 땅에서 발휘. 경자일주.,"쇠, 결단, 의리과 관련된 분야에서 쥐의 특성 활용",양의 천간과 수의 지지 조합이 관계에 영향,PILLAR_庚子: Astro interpretation data.
PILLAR_辛丑,辛丑,신축,辛,신,금,丑,축,소,토,토,"보석, 섬세, 예민의 기운이 소의 특성과 결합",금의 성질을 토의 땅에서 발휘. 신축일주.,"보석, 섬세, 예민과 관련된 분야에서 소의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_辛丑: Astro interpretation data.
PILLAR_壬寅,壬寅,임인,壬,임,수,寅,인,호랑이,목,목,"바다, 지혜, 포용의 기운이 호랑이의 특성과 결합",수의 성질을 목의 땅에서 발휘. 임인일주.,"바다, 지혜, 포용과 관련된 분야에서 호랑이의 특성 활용",양의 천간과 목의 지지 조합이 관계에 영향,PILLAR_壬寅: Astro interpretation data.
PILLAR_癸卯,癸卯,계묘,癸,계,수,卯,묘,토끼,목,목,"비, 순응, 침투의 기운이 토끼의 특성과 결합",수의 성질을 목의 땅에서 발휘. 계묘일주.,"비, 순응, 침투과 관련된 분야에서 토끼의 특성 활용",음의 천간과 목의 지지 조합이 관계에 영향,PILLAR_癸卯: Astro interpretation data.
PILLAR_甲辰,甲辰,갑진,甲,갑,목,辰,진,용,토,금,"큰 나무, 시작, 진취의 기운이 용의 특성과 결합",목의 성질을 토의 땅에서 발휘. 갑진일주.,"큰 나무, 시작, 진취과 관련된 분야에서 용의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_甲辰: Astro interpretation data.
PILLAR_乙巳,乙巳,을사,乙,을,목,巳,사,뱀,화,금,"풀, 유연함, 적응의 기운이 뱀의 특성과 결합",목의 성질을 화의 땅에서 발휘. 을사일주.,"풀, 유연함, 적응과 관련된 분야에서 뱀의 특성 활용",음의 천간과 화의 지지 조합이 관계에 영향,PILLAR_乙巳: Astro interpretation data.
PILLAR_丙午,丙午,병오,丙,병,화,午,오,말,화,수,"태양, 열정, 밝음의 기운이 말의 특성과 결합",화의 성질을 화의 땅에서 발휘. 병오일주.,"태양, 열정, 밝음과 관련된 분야에서 말의 특성 활용",양의 천간과 화의 지지 조합이 관계에 영향,PILLAR_丙午: Astro interpretation data.
PILLAR_丁未,丁未,정미,丁,정,화,未,미,양,토,수,"촛불, 지혜, 정밀의 기운이 양의 특성과 결합",화의 성질을 토의 땅에서 발휘. 정미일주.,"촛불, 지혜, 정밀과 관련된 분야에서 양의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_丁未: Astro interpretation data.
PILLAR_戊申,戊申,무신,戊,무,토,申,신,원숭이,금,화,"산, 신뢰, 중후의 기운이 원숭이의 특성과 결합",토의 성질을 금의 땅에서 발휘. 무신일주.,"산, 신뢰, 중후과 관련된 분야에서 원숭이의 특성 활용",양의 천간과 금의 지지 조합이 관계에 영향,PILLAR_戊申: Astro interpretation data.
PILLAR_己酉,己酉,기유,己,기,토,酉,유,닭,금,화,"밭, 포용, 수용의 기운이 닭의 특성과 결합",토의 성질을 금의 땅에서 발휘. 기유일주.,"밭, 포용, 수용과 관련된 분야에서 닭의 특성 활용",음의 천간과 금의 지지 조합이 관계에 영향,PILLAR_己酉: Astro interpretation data.
PILLAR_庚戌,庚戌,경술,庚,경,금,戌,술,개,토,토,"쇠, 결단, 의리의 기운이 개의 특성과 결합",금의 성질을 토의 땅에서 발휘. 경술일주.,"쇠, 결단, 의리과 관련된 분야에서 개의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_庚戌: Astro interpretation data.
PILLAR_辛亥,辛亥,신해,辛,신,금,亥,해,돼지,수,토,"보석, 섬세, 예민의 기운이 돼지의 특성과 결합",금의 성질을 수의 땅에서 발휘. 신해일주.,"보석, 섬세, 예민과 관련된 분야에서 돼지의 특성 활용",음의 천간과 수의 지지 조합이 관계에 영향,PILLAR_辛亥: Astro interpretation data.
PILLAR_壬子,壬子,임자,壬,임,수,子,자,쥐,수,목,"바다, 지혜, 포용의 기운이 쥐의 특성과 결합",수의 성질을 수의 땅에서 발휘. 임자일주.,"바다, 지혜, 포용과 관련된 분야에서 쥐의 특성 활용",양의 천간과 수의 지지 조합이 관계에 영향,PILLAR_壬子: Astro interpretation data.
PILLAR_癸丑,癸丑,계축,癸,계,수,丑,축,소,토,목,"비, 순응, 침투의 기운이 소의 특성과 결합",수의 성질을 토의 땅에서 발휘. 계축일주.,"비, 순응, 침투과 관련된 분야에서 소의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_癸丑: Astro interpretation data.
PILLAR_甲寅,甲寅,갑인,甲,갑,목,寅,인,호랑이,목,금,"큰 나무, 시작, 진취의 기운이 호랑이의 특성과 결합",목의 성질을 목의 땅에서 발휘. 갑인일주.,"큰 나무, 시작, 진취과 관련된 분야에서 호랑이의 특성 활용",양의 천간과 목의 지지 조합이 관계에 영향,PILLAR_甲寅: Astro interpretation data.
PILLAR_乙卯,乙卯,을묘,乙,을,목,卯,묘,토끼,목,금,"풀, 유연함, 적응의 기운이 토끼의 특성과 결합",목의 성질을 목의 땅에서 발휘. 을묘일주.,"풀, 유연함, 적응과 관련된 분야에서 토끼의 특성 활용",음의 천간과 목의 지지 조합이 관계에 영향,PILLAR_乙卯: Astro interpretation data.
PILLAR_丙辰,丙辰,병진,丙,병,화,辰,진,용,토,수,"태양, 열정, 밝음의 기운이 용의 특성과 결합",화의 성질을 토의 땅에서 발휘. 병진일주.,"태양, 열정, 밝음과 관련된 분야에서 용의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_丙辰: Astro interpretation data.
PILLAR_丁巳,丁巳,정사,丁,정,화,巳,사,뱀,화,수,"촛불, 지혜, 정밀의 기운이 뱀의 특성과 결합",화의 성질을 화의 땅에서 발휘. 정사일주.,"촛불, 지혜, 정밀과 관련된 분야에서 뱀의 특성 활용",음의 천간과 화의 지지 조합이 관계에 영향,PILLAR_丁巳: Astro interpretation data.
PILLAR_戊午,戊午,무오,戊,무,토,午,오,말,화,화,"산, 신뢰, 중후의 기운이 말의 특성과 결합",토의 성질을 화의 땅에서 발휘. 무오일주.,"산, 신뢰, 중후과 관련된 분야에서 말의 특성 활용",양의 천간과 화의 지지 조합이 관계에 영향,PILLAR_戊午: Astro interpretation data.
PILLAR_己未,己未,기미,己,기,토,未,미,양,토,화,"밭, 포용, 수용의 기운이 양의 특성과 결합",토의 성질을 토의 땅에서 발휘. 기미일주.,"밭, 포용, 수용과 관련된 분야에서 양의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_己未: Astro interpretation data.
PILLAR_庚申,庚申,경신,庚,경,금,申,신,원숭이,금,토,"쇠, 결단, 의리의 기운이 원숭이의 특성과 결합",금의 성질을 금의 땅에서 발휘. 경신일주.,"쇠, 결단, 의리과 관련된 분야에서 원숭이의 특성 활용",양의 천간과 금의 지지 조합이 관계에 영향,PILLAR_庚申: Astro interpretation data.
PILLAR_辛酉,辛酉,신유,辛,신,금,酉,유,닭,금,토,"보석, 섬세, 예민의 기운이 닭의 특성과 결합",금의 성질을 금의 땅에서 발휘. 신유일주.,"보석, 섬세, 예민과 관련된 분야에서 닭의 특성 활용",음의 천간과 금의 지지 조합이 관계에 영향,PILLAR_辛酉: Astro interpretation data.
PILLAR_壬戌,壬戌,임술,壬,임,수,戌,술,개,토,목,"바다, 지혜, 포용의 기운이 개의 특성과 결합",수의 성질을 토의 땅에서 발휘. 임술일주.,"바다, 지혜, 포용과 관련된 분야에서 개의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_壬戌: Astro interpretation data.
PILLAR_癸亥,癸亥,계해,癸,계,수,亥,해,돼지,수,목,"비, 순응, 침투의 기운이 돼지의 특성과 결합",수의 성질을 수의 땅에서 발휘. 계해일주.,"비, 순응, 침투과 관련된 분야에서 돼지의 특성 활용",음의 천간과 수의 지지 조합이 관계에 영향,PILLAR_癸亥: Astro interpretation data.
