id,label,type,combination_type,elements,condition,result_element,description,personality_effect,career_effect,relationship_effect,timing_effect,strength,advice
COMB_오미합,오미합,combination,지지육합,午未,오화와 미토가 인접하면 화/토의 합. 하지~소서 시기의 결합. 학설에 따라 합화 오행이 다름,화토,"오(午)와 미(未)의 육합. 뜨거운 태양(오)이 마른 땅(미)을 달구는 형상. 여름의 절정 에너지.","열정적이고 에너지가 넘침. 낙관적이고 행동력이 강하다. 다만 과열되어 무리할 수 있음.","스포츠/에너지/엔터 분야. 열정(오)+안정(미)으로 열정적이면서도 현실적 경영자.","뜨겁고 열정적인 관계. 여름 같은 사랑. 다만 식으면 빠르게 냉각될 수 있음.","한여름(6-7월)에 합이 극대화. 여름 프로젝트에 최적.",4,"열정을 긍정적으로 태우세요. 과열 주의. 오미합의 에너지는 강하지만 제어가 필요합니다."
COMB_인오술_삼합화,인오술 삼합화국,combination,삼합,寅午戌,인목·오화·술토 세 지지가 모이면 화(火)의 삼합이 완성. 가장 강력한 결합 중 하나,화,"인오술(寅午戌) 삼합 화국. 나무(인)가 불(오)을 피우고 흙(술)이 불씨를 보존하는 완벽한 순환. 시작·절정·보존의 완전한 화의 주기.","열정적이고 리더십이 강하다. 카리스마가 있으며 사람을 끌어모은다. 하지만 화가 과하면 다혈질적이고 독선적일 수 있다.","리더십 직위, 정치, 연예, 스포츠, 에너지/IT 분야에서 성공. CEO형 인재.","열정적인 관계. 함께 있으면 에너지가 넘친다. 하지만 화가 과하면 다툼도 격렬.","대운/세운에서 삼합이 완성되면 큰 성취 또는 큰 도전의 시기. 화기 과다 시 사고 주의.",5,"삼합 화국의 강력한 에너지를 리더십과 열정으로 활용하세요. 화가 과하면 물(水)로 제어하세요."
COMB_해묘미_삼합목,해묘미 삼합목국,combination,삼합,亥卯未,해수·묘목·미토 세 지지가 모이면 목(木)의 삼합이 완성,목,"해묘미(亥卯未) 삼합 목국. 물(해)이 나무(묘)를 키우고 흙(미)이 뿌리를 잡아주는 형상. 성장과 확장의 완전한 주기.","성장 지향적이고 배움에 열정적. 학자/교육자형. 인본주의적이고 자비로운 성격.","교육, 출판, 의료, 환경, 사회복지 분야. 사람을 키우고 가르치는 직업에 적합.","따뜻하고 성장을 돕는 관계. 서로를 키워주는 파트너십. 자녀교육에 관심이 많음.","삼합 완성 시 학업/교육/성장 관련 큰 기회. 봄에 더욱 강력.",4,"성장의 에너지를 교육과 배움에 투자하세요. 사람을 키우는 일이 천직입니다."
COMB_신자진_삼합수,신자진 삼합수국,combination,삼합,申子辰,신금·자수·진토 세 지지가 모이면 수(水)의 삼합이 완성,수,"신자진(申子辰) 삼합 수국. 금속(신)에서 물(자)이 흐르고 땅(진)이 물길을 만드는 형상. 지혜와 소통의 완전한 주기.","지적이고 소통 능력이 뛰어남. 전략적 사고가 탁월하며 유연하게 상황에 대처. 다만 감정이 차가워 보일 수 있다.","학술/연구/IT/금융/무역 분야. 분석(신)+직관(자)+축적(진)으로 데이터 기반 의사결정 탁월.","지적 교감이 중요한 관계. 대화가 통하는 사람에게 끌림. 감정 표현이 서투를 수 있음.","삼합 완성 시 지적 성취, 재정적 기회. 겨울에 더욱 강력.",4,"지혜의 삼합입니다. 분석력과 통찰력을 학문이나 사업 전략에 활용하세요."
COMB_사유축_삼합금,사유축 삼합금국,combination,삼합,巳酉丑,사화·유금·축토 세 지지가 모이면 금(金)의 삼합이 완성,금,"사유축(巳酉丑) 삼합 금국. 불(사)이 금속(유)을 단련하고 흙(축)이 금을 품는 형상. 결단과 실행의 완전한 주기.","결단력이 뛰어나고 실행력이 강하다. 칼같은 판단력. 공정하고 원칙적이지만 냉정할 수 있다.","법률/금융/의료/군경 분야. 판단(유)+전략(사)+인내(축)로 전문직에 최적.","원칙적이고 공정한 관계. 약속을 반드시 지킴. 다만 융통성이 부족할 수 있음.","삼합 완성 시 법적 승리, 재정적 결단, 직업적 성취. 가을에 더욱 강력.",4,"결단의 삼합입니다. 중요한 결정을 내릴 때 이 에너지를 활용하세요. 다만 융통성도 필요합니다."
COMB_인묘진_방합목,인묘진 방합목국,combination,방합,寅卯辰,동방의 세 지지가 모여 목기 극대화,목,"인묘진(寅卯辰) 방합 목국. 동쪽의 세 지지가 모여 봄의 에너지를 극대화. 삼합보다 순수하지만 폭발력은 더 강할 수 있다.","성장 에너지가 폭발적. 시작의 힘이 극강. 새로운 것에 대한 열정이 넘침. 하지만 인내력이 약할 수 있다.","창업/스타트업/교육/출판에 최적. 시작의 에너지가 강해 0에서 1을 만드는 능력 탁월.","성장하는 관계. 함께 새로운 것을 시작하는 파트너. 하지만 안정기에 접어들면 흥미를 잃을 수 있음.","봄(2-4월)에 방합의 에너지 극대화. 봄에 시작하는 일에 가장 유리.",4,"시작의 에너지를 활용하되 꾸준함도 길러야 합니다. 봄에 시작하고 가을에 수확하세요."
COMB_사오미_방합화,사오미 방합화국,combination,방합,巳午未,남방의 세 지지가 모여 화기 극대화,화,"사오미(巳午未) 방합 화국. 남쪽의 세 지지가 모여 여름의 에너지를 극대화. 열정과 명예의 정점.","열정과 카리스마의 극치. 표현력이 뛰어나고 주목받는 능력. 하지만 자기중심적이고 과시적일 수 있다.","연예/정치/마케팅/홍보 분야. 주목받는 직업에서 성공. 무대 위의 스타형.","뜨거운 사랑. 드라마틱한 관계. 하지만 불꽃처럼 타올랐다 꺼질 수 있음.","여름(5-7월)에 극대화. 여름에 중요한 발표/이벤트에 유리.",5,"화기가 매우 강합니다. 열정을 태우되 번아웃 주의. 물(水) 성분으로 균형을 잡으세요."
COMB_신유술_방합금,신유술 방합금국,combination,방합,申酉戌,서방의 세 지지가 모여 금기 극대화,금,"신유술(申酉戌) 방합 금국. 서쪽의 세 지지가 모여 가을의 에너지를 극대화. 수확과 결단의 정점.","결단력과 실행력의 극치. 냉철하고 정확한 판단. 하지만 냉정하고 비정할 수 있다.","법률/금융/감사/품질관리 분야. 잘못을 바로잡고 기준을 세우는 직업에 적합.","원칙적이고 공정한 관계. 배신을 용납하지 않음. 깐깐하지만 한번 맺은 인연은 지킴.","가을(8-10월)에 극대화. 가을에 중요한 결정/심판/평가에 유리.",5,"결단의 에너지가 매우 강합니다. 공정함을 유지하되 따뜻함도 잃지 마세요."
COMB_해자축_방합수,해자축 방합수국,combination,방합,亥子丑,북방의 세 지지가 모여 수기 극대화,수,"해자축(亥子丑) 방합 수국. 북쪽의 세 지지가 모여 겨울의 에너지를 극대화. 지혜와 내면 성찰의 정점.","지혜와 직관의 극치. 깊은 사고력과 통찰력. 하지만 고독하고 우울할 수 있다. 내향적 경향 강화.","연구/학술/철학/심리상담/IT 분야. 혼자서 깊이 파고드는 직업에 최적. 데이터 분석가형.","깊은 감정의 관계. 표면적으로 차갑지만 내면은 깊음. 소수의 깊은 관계를 선호.","겨울(11-1월)에 극대화. 겨울에 연구/학습/내면 탐구에 최적.",5,"지혜의 에너지가 매우 강합니다. 깊은 사고를 활용하되 고립되지 않도록 사람과의 교류를 유지하세요."
COMB_합화불성립,합화 불성립 조건,combination,합화조건,,,,"합(合)이 있어도 반드시 화(化)가 되는 것은 아니다. 합화 성립의 조건: 1) 합하는 두 글자가 인접해야 함(천간은 월간-일간, 일간-시간 등), 2) 합화되는 오행이 왕한 계절이어야 함, 3) 일간이 합에 참여하면 성격/운명 변화가 극적, 4) 합이 있으나 충이 동시에 있으면 합이 깨짐(합충), 5) 투합(妬合): 하나의 천간에 두 개가 합하려 하면 질투의 상, 6) 쟁합(爭合): 두 천간이 하나를 놓고 다투면 합이 성립하지 않음.","합화가 성립하지 않으면 합의 에너지만 있을 뿐 변화는 일어나지 않는다. 합의 기운(정, 끌림)은 있으나 실질적 변환은 없음.","합의 기운은 있어 인연은 만들지만 결과(결혼, 동업 등)로 이어지지 않을 수 있음.","서로 끌리지만 결합하지 못하는 관계. 짝사랑, 타이밍이 안 맞는 인연.","합화가 성립하는 시기(왕한 계절)를 기다려야 결과가 나옴.",0,"합이 있다고 무조건 화가 되지 않습니다. 조건을 확인하세요. 시기를 기다리는 것도 지혜입니다."
