id,label,type,daymaster,stage,description,intensity,career_effect,relationship_effect,timing_advice
TSI_갑_태,갑목태,twelve_stage_interaction,甲,태,"갑목이 태에 놓이면 새 생명이 잉태되는 형상. 아직 미약하나 무한한 가능성을 품고 있다.","★★☆☆☆","새로운 아이디어의 잉태기. 구체화되지 않았으나 가능성 풍부.","새로운 인연의 조짐. 아직 구체적이지 않으나 설렘이 있음.","아이디어를 메모하고 계획을 세우라. 아직 실행할 때는 아님."
TSI_갑_양,갑목양,twelve_stage_interaction,甲,양,"갑목이 양에 놓이면 새 생명이 양육되는 형상. 보호와 지원이 필요하며 서서히 준비하는 시기.","★★☆☆☆","멘토나 후원자의 도움이 필요한 시기. 독립보다 학습에 집중.","관계가 서서히 발전. 급하게 밀어붙이면 안 됨.","준비하고 배우는 시기. 장생(새 시작)을 위한 준비기."
TSI_을_장생,을목장생,twelve_stage_interaction,乙,장생,"을목이 장생에 놓이면 부드러운 풀이 싹트는 형상. 유연하고 섬세한 방식으로 새 시작을 한다.","★★★☆☆","섬세한 서비스업/디자인/상담 분야 시작에 유리.","부드럽고 섬세한 연애의 시작. 상대를 배려하는 첫 만남.","조용하지만 꾸준한 시작이 유리. 화려한 런칭보다 입소문 전략."
TSI_을_임관,을목임관,twelve_stage_interaction,乙,임관,"을목이 임관에 놓이면 덩굴이 큰 나무를 감싸 올라가는 형상. 좋은 환경과 파트너를 통해 성공한다.","★★★★★","좋은 조직/파트너를 만나 성공. 보좌역/참모로서 최고의 성과.","파트너에 의한 운세 상승. 좋은 배우자운. 내조/외조의 힘.","좋은 환경을 선택하는 것이 핵심. 어디에 뿌리내리느냐가 운명을 결정."
TSI_병_장생,병화장생,twelve_stage_interaction,丙,장생,"병화가 장생에 놓이면 태양이 동쪽에서 떠오르는 형상. 강렬한 열정과 밝은 미래가 펼쳐진다.","★★★★☆","리더십 발휘. 교육/방송/엔터 분야 진출 유리. 주목받는 시작.","뜨겁고 열정적인 연애 시작. 상대에게 강렬한 인상.","밝고 긍정적인 에너지를 활용하라. 사람들 앞에 나서는 일이 유리."
TSI_병_제왕,병화제왕,twelve_stage_interaction,丙,제왕,"병화가 제왕에 놓이면 한낮의 태양 형상. 최고의 밝은 에너지이나 너무 뜨거워 타인이 가까이 오기 어렵다.","★★★★★","최고의 인기와 주목. 그러나 적도 많아짐. 자기 컨트롤 필수.","너무 강렬한 사랑. 상대가 부담을 느낄 수 있음. 적당한 거리 필요.","겸손과 절제가 핵심. 빛이 강하면 그림자도 깊다."
TSI_정_장생,정화장생,twelve_stage_interaction,丁,장생,"정화가 장생에 놓이면 촛불이 처음 켜지는 형상. 은은하지만 따뜻한 시작. 내면의 불꽃이 점화된다.","★★★☆☆","예술/교육/상담 분야의 조용한 시작. 감성적 접근이 유리.","은은하고 따뜻한 연애 시작. 깊이 있는 감정 교류.","조용하지만 꾸준한 노력이 빛을 발하는 시기. 묵묵히 자기 길을 가라."
TSI_무_임관,무토임관,twelve_stage_interaction,戊,임관,"무토가 임관에 놓이면 큰 산이 위엄을 드러내는 형상. 확고한 지위와 신뢰를 구축한다.","★★★★★","부동산/건설/금융 분야 최고 성과. 안정적이고 든든한 리더.","산처럼 든든한 파트너. 변하지 않는 사랑. 결혼운 최상.","신뢰와 안정을 기반으로 한 성장. 급한 변화보다 꾸준한 확장."
TSI_기_장생,기토장생,twelve_stage_interaction,己,장생,"기토가 장생에 놓이면 비옥한 들판이 펼쳐지는 형상. 포용력 있는 새 시작으로 많은 것을 품을 수 있다.","★★★☆☆","농업/식품/교육/복지 분야 시작에 유리. 사람을 모으는 힘.","포근하고 포용적인 연애 시작. 상대를 편안하게 만드는 매력.","넓은 마음으로 시작하되 핵심에 집중하라. 모든 것을 다 하려 하지 말것."
TSI_경_장생,경금장생,twelve_stage_interaction,庚,장생,"경금이 장생에 놓이면 광석이 처음 발견되는 형상. 거친 원석 안에 보석의 가능성이 숨어있다.","★★★☆☆","기술/엔지니어링/법률 분야 진출. 실력으로 승부하는 시작.","직선적이고 솔직한 연애 시작. 꾸밈없는 진심이 매력.","자기를 갈고닦는 노력이 필요한 시기. 원석을 보석으로 만드는 과정."
TSI_경_임관,경금임관,twelve_stage_interaction,庚,임관,"경금이 임관에 놓이면 단련된 검이 완성되는 형상. 날카로운 판단력과 실행력의 정점.","★★★★★","법조/군경/외과의사/CEO로서 최고 성과. 결단력과 추진력의 극대화.","강하고 보호적인 파트너. 다소 엄격하나 든든한 배우자.","날카로움을 지혜와 자비로 감싸라. 칼은 지키기 위해 쓰는 것."
TSI_신_장생,신금장생,twelve_stage_interaction,辛,장생,"신금이 장생에 놓이면 보석이 처음 빛나는 형상. 섬세한 아름다움과 예술적 재능의 발현.","★★★☆☆","보석/패션/예술/금융 분야 시작. 미적 감각이 빛나는 시작.","세련되고 우아한 연애 시작. 고급스러운 취향의 만남.","내면의 아름다움을 외면으로 표현하는 연습. 자기만의 스타일 확립."
TSI_임_장생,임수장생,twelve_stage_interaction,壬,장생,"임수가 장생에 놓이면 큰 강이 시작되는 형상. 넓고 깊은 지혜의 물줄기가 흐르기 시작한다.","★★★★☆","학문/연구/무역/물류 분야 시작. 넓은 시야로 기회를 본다.","넓고 깊은 사랑의 시작. 포용력 있는 연애. 다소 방향이 불명확.","큰 물줄기처럼 방향을 정하고 흐르라. 산만하면 습지가 된다."
TSI_임_제왕,임수제왕,twelve_stage_interaction,壬,제왕,"임수가 제왕에 놓이면 바다처럼 거대한 형상. 무한한 가능성과 힘이나 방향 없으면 범람한다.","★★★★★","국제무역/해운/학문 최고 성과. 거대한 영향력을 행사.","깊고 넓은 사랑. 그러나 범위가 넓어 한 사람에 집중하기 어려울 수 있음.","거대한 힘을 올바른 방향으로. 뚝을 쌓아 물길을 정하라."
TSI_계_장생,계수장생,twelve_stage_interaction,癸,장생,"계수가 장생에 놓이면 이슬이 맺히는 형상. 섬세하고 영적인 감수성의 시작.","★★★☆☆","상담/심리학/예술치료/종교 분야 시작. 직관력 활용.","섬세하고 영적인 연애 시작. 감정의 미묘한 교류.","작은 물방울의 힘을 믿어라. 꾸준히 모이면 바다가 된다."
TSI_계_묘,계수묘,twelve_stage_interaction,癸,묘,"계수가 묘에 놓이면 물이 땅속으로 스며드는 형상. 잠복기이나 지하수맥처럼 보이지 않는 힘이 축적.","★☆☆☆☆","겉으로 성과가 보이지 않으나 깊은 실력이 쌓이는 시기.","관계가 표면 아래에서 진행. 숨겨진 감정과 인연.","보이지 않는다고 없는 것이 아님. 지하수맥은 반드시 솟아오른다."
