id,label,type,ganji_pair,napeum_element,napeum_name,description,personality_trait,career_affinity,health_tendency,advice
NP_11_천중수,천중수,napeum,갑신/을유,수,泉中水 (샘 속 물),"땅속에서 솟아오르는 맑은 샘물로 창의력과 순수함 그리고 끊임없는 영감의 원천을 상징한다. 지하에서 정화된 물이 세상으로 나오듯 내면의 깊은 곳에서 아이디어가 솟아나는 에너지이다.","순수하고 창의적이며 끊임없이 새로운 아이디어를 생산하는 능력이 있다. 맑은 영혼의 소유자로 거짓과 위선을 싫어한다. 원천적인 창조력으로 주변을 신선하게 만드는 매력이 있다.","작가, 발명가, 스타트업 창업자, 정수기 관련 업종, 음료 산업, 창작 활동 등 새로운 것을 만들어내는 분야에 적합하다. 원천 기술 개발이나 콘텐츠 창작에서 두각을 나타낸다.","신장과 방광 계통의 건강에 주의해야 하며 수기가 활발하여 소변 관련 질환이 올 수 있다. 찬 음식을 피하고 따뜻한 차를 자주 마시며 허리와 하복부 보온에 신경 써야 한다.","샘물이 끊임없이 솟듯이 자신의 창의력을 꾸준히 발휘하되 방향성을 잃지 않도록 해야 한다. 물이 여러 갈래로 흩어지면 힘을 잃듯이 에너지를 한 방향으로 집중하는 것이 성공의 열쇠이다."
NP_12_옥상토,옥상토,napeum,병술/정해,토,屋上土 (지붕 위 흙),"집의 지붕을 덮고 있는 흙으로 안전과 보호 그리고 가정의 따뜻함을 상징한다. 비바람으로부터 가족을 지키는 보호막의 역할을 하며 가정과 안식처의 에너지를 지닌다.","가정적이고 안정을 추구하며 사랑하는 사람들을 보호하려는 본능이 강하다. 따뜻하고 포근한 성격으로 주변 사람들에게 안식처가 되어준다. 보수적이지만 신뢰할 수 있는 든든한 존재이다.","부동산업, 인테리어 디자이너, 주택 건설, 가정상담사, 보육 교사, 요양 시설 운영 등 가정과 주거에 관련된 분야에 적합하다. 사람들에게 안정감을 제공하는 역할에서 큰 성취를 이룬다.","비위(脾胃)와 피부 건강에 주의해야 한다. 토기가 지붕에 위치하여 상체 쪽 건강 문제가 나타날 수 있으며 두피나 어깨 통증에 유의해야 한다. 규칙적인 생활과 균형 잡힌 식단이 건강의 기본이다.","안정을 추구하되 지나친 안주는 성장을 막을 수 있다. 지붕은 때때로 수리하고 개선해야 제 기능을 하듯이 자신도 변화와 성장을 두려워하지 말아야 한다. 보호하되 구속하지 않는 지혜를 길러라."
NP_13_벽력화,벽력화,napeum,무자/기축,화,霹靂火 (벼락 불),"갑작스럽게 내리치는 번개로 순간적인 통찰과 혁신 그리고 파괴적 창조의 에너지를 상징한다. 예고 없이 찾아오는 깨달음과 기존 질서를 뒤엎는 혁명적 변화의 힘을 지닌다.","직관이 매우 뛰어나고 갑작스러운 아이디어나 통찰로 주변을 놀라게 한다. 혁신적 사고를 가지고 있으며 기존의 틀을 깨는 것을 두려워하지 않는다. 변덕스럽고 예측 불가능한 면이 있지만 창조적 파괴를 이끈다.","혁신 기업가, 발명가, 전기 전자 기술자, 기상학자, 에너지 연구원, 혁명적 예술가 등 기존 질서를 뒤바꾸는 분야에 적합하다. 위기 상황에서 돌파구를 찾는 능력이 탁월하다.","심장과 신경계 건강에 특히 주의해야 한다. 갑작스러운 에너지 폭발로 불안 장애나 불면증에 시달릴 수 있다. 명상과 접지(grounding) 운동을 통해 과도한 에너지를 안정시키는 것이 중요하다.","번개처럼 강렬하지만 순간적인 에너지를 지속 가능한 힘으로 전환하는 법을 배워야 한다. 아이디어만으로는 부족하고 꾸준한 실행이 뒷받침되어야 진정한 혁신이 된다. 에너지 관리에 특히 신경 쓰라."
NP_14_송백목,송백목,napeum,경인/신묘,목,松柏木 (소나무),"사계절 푸름을 유지하는 소나무와 잣나무로 인내와 지조 그리고 변하지 않는 절개를 상징한다. 혹독한 겨울에도 푸른 잎을 유지하는 강인한 생명력과 불변의 의지를 지닌다.","지조가 있고 한번 정한 원칙을 쉽게 바꾸지 않는 고집과 인내의 소유자이다. 어떤 어려움에도 자신의 가치를 지키며 오래 견디는 항상성이 있다. 존경받는 성품이지만 다소 융통성이 부족할 수 있다.","공무원, 학자, 종교인, 한의사, 목재 관련 업종, 교육자 등 긴 시간 동안 한 분야에서 깊이를 쌓는 직업에 적합하다. 꾸준함과 일관성이 요구되는 분야에서 큰 업적을 남긴다.","간과 근골격계 건강에 주의해야 하며 특히 척추와 관절의 유연성이 떨어질 수 있다. 소나무처럼 곧은 자세를 유지하되 적절한 유연성 운동으로 몸의 경직을 풀어주는 것이 좋다.","지조를 지키되 시대의 변화에 완전히 등 돌리지는 말아야 한다. 소나무가 바위틈에서도 자라듯이 어려운 환경에서도 성장하는 법을 알고 있지만 때로는 바람에 맞서기보다 함께 흔들리는 유연함도 필요하다."
NP_15_장류수,장류수,napeum,임진/계사,수,長流水 (긴 흐르는 물),"끊임없이 흐르는 강물로 지속성과 변화 그리고 목적지를 향한 꾸준한 전진을 상징한다. 산에서 시작하여 바다로 향하는 물줄기처럼 장기적 비전과 끈기의 에너지를 지닌다.","꾸준하고 지속적인 노력으로 목표를 달성하는 성격이다. 급하지 않지만 멈추지 않는 추진력이 있으며 어떤 장애물도 돌아가거나 넘어서는 적응력을 지녔다. 장기적 안목이 뛰어나다.","물류 유통 업종, 여행 가이드, 수자원 관리, 장기 프로젝트 매니저, 역사학자, 컨설턴트 등 장기적 관점이 필요한 분야에 적합하다. 단기적 성과보다 지속적 성장을 이끄는 역할에서 빛난다.","신장 방광 비뇨기 계통의 건강에 유의해야 한다. 장기간 흐르는 수기의 영향으로 허리와 하체에 피로가 누적될 수 있다. 적절한 휴식과 하체 강화 운동이 건강 유지에 중요하다.","강물이 바다에 이르듯이 자신의 최종 목표를 명확히 하고 그 방향을 잃지 않아야 한다. 중간에 방향을 자주 바꾸면 힘이 분산되므로 큰 흐름을 유지하되 세부적인 경로는 유연하게 조정하라."
NP_16_사중금,사중금,napeum,갑오/을미,금,砂中金 (모래 속 금),"모래 속에 파묻힌 사금으로 끈기 있는 노력으로 발견하는 진정한 가치를 상징한다. 쉽게 보이지 않지만 인내심을 가지고 체로 걸러내면 반드시 빛나는 금을 찾을 수 있는 에너지이다.","인내심이 강하고 끈기 있게 목표를 추구하는 성격이다. 겉으로는 평범해 보이나 내면에 가치 있는 자질을 숨기고 있다. 어려운 환경에서도 포기하지 않고 자신의 가치를 증명해 나가는 근성이 있다.","금광 탐사, 투자 분석가, 인사 전문가(인재 발굴), 고고학자, 보석 가공업, 데이터 분석가 등 숨겨진 가치를 발견하는 분야에 적합하다. 남들이 보지 못하는 가치를 찾아내는 눈이 있다.","폐와 피부 건강에 주의해야 하며 모래의 건조한 성질로 인해 피부 건조증이나 알레르기에 취약할 수 있다. 충분한 수분 섭취와 보습 관리가 필수적이며 호흡기 건강을 위해 맑은 공기를 자주 마셔야 한다.","자신의 가치가 당장 인정받지 못하더라도 실망하지 말아야 한다. 사금은 체로 걸러야 빛나듯이 꾸준한 자기 연마와 노력이 결국 보상을 가져다준다. 조급함을 버리고 과정을 즐기는 여유를 가져라."
NP_17_산하화,산하화,napeum,병신/정유,화,山下火 (산 아래 불),"산기슭에서 타오르는 불로 실용적인 열정과 접근 가능한 따뜻함을 상징한다. 산꼭대기의 봉화와 달리 사람들 가까이에서 온기를 제공하며 일상에서 실질적인 도움을 주는 에너지이다.","실용적이고 현실적인 열정을 가지고 있다. 화려하지는 않지만 주변 사람들에게 따뜻함과 실질적인 도움을 제공한다. 친근하고 접근하기 쉬운 성격으로 많은 사람들이 의지하는 존재이다.","지역 사업가, 요리사, 캠핑 관련 업종, 지역 커뮤니티 리더, 실용 기술 교육자, 난방 설비업 등 실생활에 밀접한 분야에서 두각을 나타낸다. 이론보다 실전에서 강한 능력을 발휘한다.","심장과 소화기 계통 건강에 주의해야 하며 위산 과다나 속쓰림 증상이 나타날 수 있다. 매운 음식과 과음을 자제하고 소화에 좋은 따뜻한 음식을 규칙적으로 섭취하는 것이 좋다.","큰 꿈도 중요하지만 지금 이 자리에서 할 수 있는 일에 최선을 다하는 것이 더 중요하다. 산 아래의 불처럼 가까운 사람들을 따뜻하게 하는 것이 진정한 가치임을 알고 일상의 소중함을 잊지 마라."
NP_18_평지목,평지목,napeum,무술/기해,목,平地木 (평지의 나무),"넓은 평야에서 자유롭게 자라는 나무로 제약 없는 성장과 자유로운 확장을 상징한다. 산이나 골짜기의 제한 없이 사방으로 가지를 뻗으며 자유와 독립의 에너지를 지닌다.","자유롭고 독립적인 성격으로 구속받는 것을 싫어한다. 넓은 시야와 열린 마음을 가지고 있으며 어떤 방향으로든 성장할 수 있는 가능성의 소유자이다. 규범에 얽매이지 않는 자유로운 영혼이다.","프리랜서, 예술가, 여행 작가, 평원 지대 농업, 드론 조종사, 오픈 스페이스 설계자 등 자유롭고 넓은 활동 영역이 보장되는 분야에 적합하다. 틀에 박힌 업무보다 창의적 자유가 보장되는 환경에서 빛난다.","간과 담낭 건강에 주의해야 하며 자유로운 생활 습관으로 인해 불규칙한 식사와 수면이 건강을 해칠 수 있다. 최소한의 규칙적인 생활 패턴을 유지하는 것이 건강 관리의 핵심이다.","자유는 소중하지만 방향 없는 자유는 방황이 될 수 있다. 평야의 나무도 뿌리를 내려야 큰 나무로 자라듯이 자신만의 중심과 방향을 정하고 그 위에서 자유롭게 성장하라. 뿌리 없는 자유를 경계하라."
NP_19_벽상토,벽상토,napeum,경자/신축,토,壁上土 (벽의 흙),"벽을 이루는 흙으로 보호와 구조화 그리고 내부 공간의 확보를 상징한다. 빈 공간을 의미 있는 구조로 만들어주는 정리와 체계화의 에너지를 지닌다.","체계적이고 조직적인 성격으로 혼란 속에서 질서를 만들어내는 능력이 있다. 내부의 안정과 구조를 중시하며 논리적이고 계획적인 사고를 한다. 외부의 소란에 흔들리지 않는 내면의 견고함이 있다.","건축가, 인테리어 디자이너, 조직 컨설턴트, 시스템 설계자, 도시 계획가, 미술관 큐레이터 등 공간과 구조를 다루는 분야에 적합하다. 체계를 만들고 질서를 부여하는 역할에서 탁월한 능력을 발휘한다.","비위와 피부 건강에 주의해야 하며 특히 피부 질환이나 뼈와 관절 문제가 나타날 수 있다. 칼슘과 미네랄이 풍부한 음식을 섭취하고 적절한 일광욕으로 비타민 D를 보충하는 것이 좋다.","벽은 보호하기도 하지만 가두기도 한다는 점을 기억해야 한다. 지나친 구조화와 통제는 창의성과 자유를 억압할 수 있으므로 때로는 벽에 창문을 내는 유연함이 필요하다. 열린 마음을 유지하라."
NP_20_금박금,금박금,napeum,임인/계묘,금,金箔金 (금박),"얇게 펴진 금박으로 섬세하고 화려한 표현력과 미적 감각을 상징한다. 적은 양의 금으로도 넓은 면적을 빛나게 하는 효율적 아름다움과 겉을 빛나게 하는 표현의 에너지를 지닌다.","섬세하고 감각적이며 미적 안목이 뛰어나다. 적은 것으로 최대의 효과를 만들어내는 재능이 있으며 표면의 아름다움을 창조하는 능력이 탁월하다. 화려한 겉모습 이면에 실속도 갖추려는 노력이 필요하다.","메이크업 아티스트, 금박 공예가, 패키지 디자이너, 브랜딩 전문가, 주얼리 디자이너, 인테리어 장식가 등 미적 표현과 꾸밈이 관련된 분야에 적합하다.","폐와 피부 건강에 특히 주의해야 한다. 얇고 섬세한 금박의 성질처럼 피부가 민감하고 외부 자극에 약할 수 있다. 피부 보호와 보습에 신경 쓰고 화학 물질 노출을 최소화해야 한다.","겉의 화려함만큼 내면의 실속도 채워야 한다. 금박이 얇아도 금은 금이듯 자신의 본질적 가치를 키우는 데 힘써야 한다. 표면적 아름다움에만 집착하지 말고 내면의 깊이를 더하는 노력을 게을리하지 마라."
NP_21_복등화,복등화,napeum,갑진/을사,화,覆燈火 (등불),"덮개가 있는 등불로 내면의 지혜와 조용한 깨달음을 상징한다. 밝게 타오르지만 보호막 안에서 안정적으로 빛나며 은은하면서도 꺼지지 않는 지혜의 불꽃을 의미한다.","내면에 깊은 지혜와 깨달음을 간직하고 있다. 조용하지만 꺼지지 않는 열정을 가지고 있으며 주변을 은은하게 밝히는 영향력이 있다. 사려 깊고 명상적인 성격으로 깊은 통찰을 제공한다.","철학 교수, 명상 지도자, 심리치료사, 등대지기, 야간 근무직, 작가 등 내면의 지혜와 깊은 사고가 필요한 분야에 적합하다. 조용히 사람들을 이끄는 정신적 리더 역할에서 빛을 발한다.","심장과 눈 건강에 주의해야 하며 오랜 시간 집중하는 습관으로 안구 건조나 시력 저하가 올 수 있다. 적절한 휴식과 눈 운동 그리고 충분한 수면이 건강 유지에 중요하다.","등불이 오래 타려면 기름이 필요하듯이 자신의 에너지를 보충하는 시간이 필요하다. 남을 밝히기 전에 자신의 에너지를 먼저 채우는 지혜를 가져라. 내면의 불꽃을 소중히 지키되 세상과 나누는 것도 잊지 마라."
NP_22_천하수,천하수,napeum,병오/정미,수,天河水 (은하수),"하늘을 가로지르는 은하수로 고귀한 이상과 신비로운 영감 그리고 우주적 관점을 상징한다. 지상의 물과 달리 하늘의 물은 범접할 수 없는 고귀함과 신비의 에너지를 지닌다.","이상이 높고 영적인 감수성이 뛰어나다. 현실보다 이상의 세계를 추구하며 범인(凡人)과 다른 시각으로 세상을 바라본다. 카리스마와 신비로운 매력이 있지만 현실 감각이 다소 부족할 수 있다.","천문학자, 우주 관련 업종, 영적 상담가, 예술 감독, 고급 브랜드 마케터, 항공 우주 산업 등 높은 이상과 영감이 필요한 분야에 적합하다. 평범한 것을 초월하는 비전을 제시하는 역할에서 빛난다.","신장과 비뇨기 계통에 주의해야 하며 하늘의 수기가 지상으로 내려오지 못해 상열하한(上熱下寒) 체질이 되기 쉽다. 하체 운동과 족욕으로 기운의 순환을 도와야 하며 현실적인 생활 리듬을 유지해야 한다.","하늘의 물도 결국 비가 되어 지상을 적셔야 의미가 있듯이 높은 이상을 현실에 접목하는 노력이 필요하다. 구름 위에만 머물지 말고 발을 땅에 딛고 이상을 실현하는 실행력을 길러야 한다."
NP_23_대역토,대역토,napeum,무신/기유,토,大驛土 (역참의 흙),"역참(驛站)의 흙으로 사람과 물자가 오가는 교통과 소통의 중심지를 상징한다. 만남과 이별이 교차하는 역동적인 에너지이며 정보와 물류가 흐르는 허브의 역할을 한다.","사교적이고 소통 능력이 뛰어나며 다양한 사람들과 잘 어울린다. 이동과 변화를 즐기며 새로운 사람과 환경에 빠르게 적응한다. 네트워킹 능력이 탁월하여 사람과 사람을 연결하는 역할을 잘 한다.","물류 회사, 역무원, 여행사, 통역사, 외교관, 네트워크 관리자 등 소통과 이동이 핵심인 분야에 적합하다. 사람과 정보를 연결하는 허브 역할에서 큰 성과를 이룬다.","비위와 소화기 건강에 주의해야 하며 이동이 잦은 생활로 인해 불규칙한 식사가 위장을 해칠 수 있다. 어디서든 규칙적인 식사 습관을 유지하고 소화에 좋은 음식을 챙겨 먹어야 한다.","역참은 머무는 곳이 아니라 지나가는 곳이므로 한 곳에 정착하는 것의 소중함도 배워야 한다. 끊임없이 이동하고 소통하되 자신만의 안식처와 뿌리를 잃지 않도록 균형을 잡아야 한다."
