id,label,type,archetype_name,category,description,shadow_form,saju_connection,astro_connection,tarot_connection,growth_path,advice
creator,Creator,archetype,창조자(Creator),core_archetype,"무에서 유를 만드는 원형. 상상력과 영감으로 새로운 것을 창조하며 예술 발명 혁신의 원동력이다. 비전을 현실로 만드는 능력을 가지며 자기 표현을 통해 세상에 의미를 부여한다.","자기도취적 몽상가: 완벽주의에 빠져 아무것도 완성하지 못한다. 상상 속에서만 살며 현실과 동떨어진 환상의 세계를 만든다.","식상(食傷)이 매우 강한 사주. 식신(食神)의 창의력과 상관(傷官)의 예술성. 화개(華蓋)의 영감. 식상생재(食傷生財)의 창작 수익화 구조.","물고기자리/사자자리. 해왕성의 상상력과 태양의 창조력. 5하우스의 예술적 표현. 해왕성-금성 합의 예술적 영감.","여황제(The Empress) - 창조의 힘. 마법사(The Magician) - 현현의 능력. 별(The Star) - 영감의 원천.","창조자 → 현자: 외적 창작에서 내적 창조로. 작품이 아닌 삶 자체가 최고의 예술이 되는 경지.","창조는 무에서 유를 만드는 것이 아니라 이미 존재하는 것을 새로운 눈으로 조합하는 것이다. 당신의 삶이 최고의 작품이다."
everyman,Everyman,archetype,보통사람(Everyman),core_archetype,"평범함 속에서 가치를 찾는 원형. 소속감과 연결을 중시하며 누구와도 공감할 수 있는 능력이 있다. 특별함을 추구하기보다 일상의 아름다움을 알고 사람들과 함께하는 것에서 행복을 찾는다.","동조하는 군중: 자기 정체성을 잃고 무리에 묻혀 사는 존재. 남들과 다르기를 극도로 두려워하며 다수의 의견에 무비판적으로 따른다.","비견(比肩)이 적절한 사주. 일간의 힘이 균형 잡혀 있으며 식신(食神)의 소소한 즐거움. 충(沖)이나 형(刑)이 없는 평화로운 사주 구조.","게자리/황소자리. 달의 일상적 편안함과 금성의 소소한 즐거움. 4하우스의 가정과 2하우스의 안정. 달-금성 합의 평화.","세계(The World) - 일상의 완성. 절제(Temperance) - 균형잡힌 삶. 별(The Star) - 소박한 희망.","보통사람 → 영웅: 평범한 일상에서 비범한 용기를 발견하는 성장. 위기의 순간 평범한 사람이 영웅이 되는 이야기.","평범함은 결코 하찮지 않다. 매일 성실히 살아가는 것이야말로 가장 위대한 영웅적 행위이다."
shadow_hero,Shadow Hero,shadow,영웅의 그림자(Shadow Hero),shadow_form,"영웅의 어두운 면. 구원자 콤플렉스에 사로잡혀 남을 구한다는 명목 하에 자신의 권력욕을 충족시킨다. 자기 희생의 가면 뒤에 숨겨진 통제욕과 우월감이 핵심이다.","영웅 자체가 그림자의 보상이므로 이 그림자의 그림자는 완전한 무력감과 무가치감이다.","비겁(比劫) 과다에 관성(官星) 부재. 힘은 넘치나 제어가 없어 폭주하는 사주. 양인(羊刃)이 충(沖)을 만나 통제 불능.","양자리/사자자리의 과잉. 화성-명왕성 스퀘어의 파괴적 힘. 1하우스에 말레픽(흉성)이 집중된 구조.","탑(The Tower) - 파괴적 영웅주의. 전차(The Chariot) 역방향 - 통제 불능의 의지.","그림자 영웅 → 진정한 영웅: 구원 욕구의 근원인 내면의 상처를 치유함으로써 진정한 봉사로 전환.","남을 구하려는 충동 뒤에 숨겨진 자기 자신의 상처를 먼저 직면하라. 진정한 강함은 취약함을 인정하는 데서 시작된다."
shadow_innocent,Shadow Innocent,shadow,순수한 자의 그림자(Shadow Innocent),shadow_form,"순수함의 어두운 면. 현실을 부정하고 환상 속에 살며 불편한 진실을 외면한다. 영원한 아이로 남아 성장을 거부하며 모든 책임을 타인에게 전가한다.","이 그림자의 극단은 냉소적 허무주의자로서 모든 희망과 의미를 부정하는 상태이다.","식신(食神) 과다에 관성(官星) 부재. 달콤한 환상만 추구하고 현실의 시련을 거부. 인성(印星) 과다로 의존적 사주.","물고기자리/해왕성 과잉. 해왕성-달 스퀘어의 환상벽. 12하우스에 행성이 집중된 도피적 구조.","달(The Moon) 역방향 - 자기기만. 별(The Star) 역방향 - 거짓 희망.","그림자 순수 → 진정한 순수: 현실의 어둠을 직면한 후에도 선택적으로 빛을 보는 성숙한 순수함으로 성장.","눈을 감으면 어둠이 사라지는 것이 아니다. 진정한 순수함은 어둠을 알면서도 빛을 선택하는 용기이다."
shadow_sage,Shadow Sage,shadow,현자의 그림자(Shadow Sage),shadow_form,"지혜의 어두운 면. 지식을 무기로 사용하여 남을 깔보고 감정을 경멸한다. 상아탑에 갇혀 현실과 괴리되며 비판은 하되 대안은 제시하지 못하는 공허한 지식인.","이 그림자의 극단은 완전한 무지 또는 광기로서 이성 자체를 상실한 상태이다.","인성(印星) 과다에 식상(食傷) 부재. 배우기만 하고 표현하지 못하는 사주. 편인(偏印)이 식신을 극하는 편인도식(偏印倒食).","처녀자리/토성 과잉. 토성-수성 스퀘어의 경직된 사고. 3하우스에 토성이 자리하여 소통이 막힌 구조.","은둔자(The Hermit) 역방향 - 고립된 지식인. 교황(The Hierophant) 역방향 - 교조적 독선.","그림자 현자 → 진정한 현자: 머리에서 가슴으로 내려오는 앎. 공감과 연민이 결합된 지혜로 성장.","지식은 머리에 있지만 지혜는 가슴에 있다. 감정 없는 지식은 칼날 위의 얼음과 같아 차갑고 위험하다."
shadow_explorer,Shadow Explorer,shadow,탐험가의 그림자(Shadow Explorer),shadow_form,"자유의 어두운 면. 어디에도 정착하지 못하고 모든 관계와 책임에서 도망친다. 자유라는 명목으로 깊이 있는 유대를 회피하며 표면적 경험만 수집하는 영원한 방랑자.","이 그림자의 극단은 완전한 고립과 방향 상실로서 어디로 가는지 왜 가는지 모르는 채 떠도는 상태.","역마(驛馬) 과다에 일간이 약한 사주. 충(沖)이 많아 안정이 없는 구조. 편인(偏印)이 강하나 뿌리가 없는 사주.","사수자리/천왕성 과잉. 천왕성-달 스퀘어의 정서적 불안정. 9하우스와 12하우스의 영원한 방랑.","바보(The Fool) 역방향 - 무모한 방랑. 전차(The Chariot) 역방향 - 방향 없는 이동.","그림자 탐험가 → 진정한 탐험가: 외적 방랑에서 내적 여정으로. 정착이 감옥이 아님을 깨닫는 성장.","진정한 자유는 어디든 갈 수 있는 것이 아니라 어디에서든 자유로운 것이다. 뿌리 없는 나무는 바람에 쓰러진다."
shadow_outlaw,Shadow Outlaw,shadow,반역자의 그림자(Shadow Outlaw),shadow_form,"혁명의 어두운 면. 건설 없는 순수한 파괴에 빠져 자기 자신마저 불태운다. 분노가 정의의 탈을 쓰고 무차별적 공격을 정당화하며 결국 자신이 타도하려던 폭군이 된다.","이 그림자의 극단은 완전한 복종과 비굴함으로서 모든 저항 의지를 상실한 노예 상태.","상관(傷官) 과다에 인성(印星) 부재. 제어되지 않는 반항과 파괴. 양인(羊刃)과 상관이 결합하여 통제 불능의 분노.","전갈자리/화성-명왕성 합. 천왕성-화성 스퀘어의 폭발적 에너지. 8하우스의 자기 파괴.","탑(The Tower) - 무차별 파괴. 악마(The Devil) - 분노의 속박. 죽음(Death) 역방향 - 변혁 실패.","그림자 반역자 → 진정한 반역자: 분노를 연료가 아닌 나침반으로. 무엇에 반대하는가보다 무엇을 위해 싸우는가로 전환.","혁명가가 폭군이 되는 순간 혁명은 실패한다. 분노는 불씨이지만 비전만이 새 세상을 지을 수 있다."
shadow_magician,Shadow Magician,shadow,마법사의 그림자(Shadow Magician),shadow_form,"변환력의 어두운 면. 자신의 능력을 남을 조종하고 속이는 데 사용하는 사기꾼이자 조종자. 진실보다 환상을 만들어 타인을 기만하며 자기 이익을 위해 사람들을 꼭두각시처럼 다룬다.","이 그림자의 극단은 완전한 무력감으로서 아무것도 바꿀 수 없다는 절망에 빠진 상태.","편인(偏印) 과다에 정인(正印) 부재. 편인도식(偏印倒食)의 기만적 사주. 상관(傷官)이 편인과 결합하여 교묘한 조종.","전갈자리/해왕성-수성 스퀘어. 명왕성-수성 합의 조종적 소통. 8하우스와 12하우스의 은밀한 힘.","마법사(The Magician) 역방향 - 사기와 기만. 달(The Moon) - 환상과 속임. 악마(The Devil) - 조종.","그림자 마법사 → 진정한 마법사: 조종에서 봉사로. 힘의 사용 방향을 자기 이익에서 공동선으로 전환.","능력이 클수록 유혹도 크다. 남을 조종할 수 있다고 해서 조종해야 하는 것은 아니다. 진정한 마법은 해방시키는 것이다."
shadow_lover,Shadow Lover,shadow,연인의 그림자(Shadow Lover),shadow_form,"사랑의 어두운 면. 사랑에 중독되어 자아를 완전히 잃거나 상대에게 병적으로 집착한다. 쾌락에 빠져 자기 파괴적이 되거나 질투와 소유욕으로 관계를 독살시킨다.","이 그림자의 극단은 완전한 감정적 마비와 냉담함으로서 아무것도 느끼지 못하는 상태.","도화(桃花)와 함지(咸池) 과다. 편재(偏財)와 편관(偏官)이 겹쳐 혼란스러운 인연. 겁재(劫財)가 재성(財星)을 다투는 삼각관계.","전갈자리/금성-명왕성 스퀘어. 금성-해왕성 스퀘어의 사랑 중독. 5하우스와 8하우스의 집착적 열정.","연인(The Lovers) 역방향 - 집착. 악마(The Devil) - 관계 중독. 달(The Moon) - 감정 혼란.","그림자 연인 → 진정한 연인: 소유에서 존중으로. 자기 사랑이 선행되어야 진정한 타인 사랑이 가능.","집착은 사랑이 아니다. 상대를 자유롭게 놓아줄 수 있을 때 비로소 사랑이 시작된다."
shadow_jester,Shadow Jester,shadow,광대의 그림자(Shadow Jester),shadow_form,"유머의 어두운 면. 웃음이 공격 무기가 되어 남을 비하하고 조롱한다. 모든 것을 농담으로 만들어 아무것도 진지하게 받아들이지 못하며 내면의 공허와 고통을 감추는 가면이 된다.","이 그림자의 극단은 완전한 우울과 무미건조함으로서 삶의 즐거움을 전혀 느끼지 못하는 상태.","상관(傷官)이 과다하고 인성(印星)이 부재한 사주. 식신(食神)이 상관으로 변질되어 날카로운 풍자. 겁재(劫財)와 상관의 결합.","쌍둥이자리/수성-화성 스퀘어. 수성-천왕성 합의 독설. 3하우스의 날카로운 말과 12하우스의 숨겨진 고통.","바보(The Fool) 역방향 - 자기 파괴적 어리석음. 마법사(The Magician) 역방향 - 사기. 태양(The Sun) 역방향 - 거짓 기쁨.","그림자 광대 → 진정한 광대: 방어적 유머에서 치유적 유머로. 웃음 뒤의 눈물을 인정하는 성장.","웃음은 최고의 방어이지만 최악의 도피이기도 하다. 울 줄 아는 광대만이 진정으로 웃길 수 있다."
shadow_caregiver,Shadow Caregiver,shadow,돌봄이의 그림자(Shadow Caregiver),shadow_form,"돌봄의 어두운 면. 과도한 희생에 중독되어 자기를 돌보지 않으며 은연중에 상대에게 죄책감을 심는다. 돌봄의 탈을 쓴 통제로서 상대의 자립을 막고 의존하게 만드는 질식시키는 사랑.","이 그림자의 극단은 완전한 무관심과 냉혈함으로서 타인의 고통에 전혀 반응하지 않는 상태.","인성(印星) 과다에 비겁(比劫) 부재. 남은 돌보지만 자기 자신은 텅 빈 사주. 정인(正印) 과다로 질식시키는 모성.","게자리/달-명왕성 스퀘어. 달-토성 합의 의무적 돌봄. 4하우스와 12하우스의 자기 희생.","여황제(The Empress) 역방향 - 질식시키는 사랑. 힘(Strength) 역방향 - 소진된 돌봄. 달(The Moon) - 감정 조종.","그림자 돌봄이 → 진정한 돌봄이: 타인 돌봄에서 자기 돌봄으로. 건강한 경계 설정을 배우는 성장.","비행기 산소마스크를 자기에게 먼저 씌우는 것처럼 자기를 먼저 돌봐야 남을 오래 돌볼 수 있다."
shadow_ruler,Shadow Ruler,shadow,통치자의 그림자(Shadow Ruler),shadow_form,"권력의 어두운 면. 권력에 중독되어 모든 것을 통제하려는 독재적 폭군이 된다. 반대를 용납하지 않고 공포로 지배하며 자신의 불안을 통제욕으로 보상한다.","이 그림자의 극단은 완전한 무력감과 복종으로서 어떤 결정도 내리지 못하는 무기력한 상태.","편관(偏官) 과다에 인성(印星) 부재. 칠살(七殺)의 폭군적 통치. 양인(羊刃)과 편관의 결합으로 강압적 힘.","사자자리/토성-명왕성 합. 태양-명왕성 스퀘어의 권력 집착. 10하우스의 절대 권력.","황제(The Emperor) 역방향 - 폭정. 탑(The Tower) - 권력의 붕괴. 악마(The Devil) - 통제 중독.","그림자 통치자 → 진정한 통치자: 통제에서 섬김으로. 권력을 독점이 아닌 위임으로 사용하는 성장.","왕좌에 앉아 있다고 왕이 되는 것이 아니다. 백성의 고통을 자기 것으로 느낄 때 진정한 왕이다."
shadow_creator,Shadow Creator,shadow,창조자의 그림자(Shadow Creator),shadow_form,"창조의 어두운 면. 완벽주의에 사로잡혀 아무것도 완성하지 못하거나 자기도취에 빠져 자기 작품만 숭배한다. 창조를 빙자한 자기 과시이며 비평에 극도로 취약하다.","이 그림자의 극단은 완전한 창조적 불모와 무감각으로서 어떤 영감도 느끼지 못하는 상태.","식상(食傷) 과다에 재성(財星)과 관성(官星) 부재. 표현만 하고 결실을 맺지 못하는 사주. 상관(傷官) 과다의 완벽주의.","물고기자리/해왕성-토성 스퀘어. 해왕성의 과대한 비전과 토성의 현실적 한계 사이의 갈등. 5하우스의 자기도취.","여황제(The Empress) 역방향 - 불모의 창조력. 마법사(The Magician) 역방향 - 미완성. 달(The Moon) - 환상 속 창작.","그림자 창조자 → 진정한 창조자: 완벽에서 완성으로. 불완전한 작품이라도 세상에 내놓는 용기.","완벽한 작품은 존재하지 않는다. 세상에 내놓지 않은 걸작보다 세상에 내놓은 습작이 더 가치 있다."
shadow_everyman,Shadow Everyman,shadow,보통사람의 그림자(Shadow Everyman),shadow_form,"평범함의 어두운 면. 다수에 무비판적으로 동조하며 자기 정체성을 완전히 포기한다. 눈에 띄는 것을 극도로 두려워하며 군중 속에 숨어 어떤 입장도 취하지 않는 비겁한 방관자가 된다.","이 그림자의 극단은 극도의 고립과 소외감으로서 어디에도 속하지 못한다는 존재론적 외로움.","비겁(比劫) 과다에 식상(食傷)과 관성(官星) 부재. 자기표현과 리더십이 모두 결여된 사주. 겁재(劫財)에 의한 수동적 동조.","게자리/달-토성 스퀘어. 달-해왕성 합의 경계 없는 동조. 11하우스에서 개성을 잃은 구조.","매달린 사람(The Hanged Man) 역방향 - 무의미한 희생. 달(The Moon) - 군중 속 고독. 세계(The World) 역방향 - 미완의 평범.","그림자 보통사람 → 진정한 보통사람: 동조에서 선택적 연대로. 자기 목소리를 찾으면서도 공동체에 속하는 균형.","군중 속에서도 자기 자신일 수 있어야 한다. 소속감은 자아를 포기하는 대가로 얻는 것이 아니다."
anima_eve,Anima Stage 1 - Eve,anima_animus,아니마 1단계: 이브(Eve),anima_stage,"아니마의 가장 원초적 단계. 순수한 생물학적 여성성으로서 출산 양육 육체적 매력과 연결된다. 에덴동산의 이브처럼 본능적이고 감각적인 여성 이미지이며 남성이 여성을 순수히 육체적 존재로 인식하는 단계.","","정재(正財)의 원초적 에너지. 일간이 재성(財星)에만 집착하는 초기 단계. 도화(桃花)의 순수한 육체적 끌림.","달/게자리의 모성. 금성의 관능. 2하우스의 육체적 가치. 달-금성 합의 여성적 매력.","여황제(The Empress) - 대지의 어머니. 달(The Moon) - 본능과 감각.","이브 → 헬렌: 개인적 에로스에서 낭만적 에로스로. 육체적 끌림을 넘어 감정적 교감으로 성장.","이성에 대한 원초적 끌림을 부정하지 말되 그것이 전부라고 착각하지 말라. 육체는 영혼의 문이지 감옥이 아니다."
anima_helen,Anima Stage 2 - Helen,anima_animus,아니마 2단계: 헬렌(Helen),anima_stage,"아니마의 낭만적 단계. 트로이의 헬렌처럼 이상화된 여성 이미지이다. 심미적이고 낭만적인 사랑의 대상이며 남성이 여성에게서 아름다움과 에로스의 영감을 발견하는 단계.","","편재(偏財)의 낭만적 에너지. 도화(桃花)와 홍염(紅艶)의 결합. 식신(食神)이 재성(財星)을 생하는 아름다운 인연.","금성/천칭자리의 미(美). 5하우스의 로맨스. 해왕성의 이상화. 금성-해왕성 합의 꿈같은 사랑.","연인(The Lovers) - 이상적 사랑. 별(The Star) - 영감의 여인.","헬렌 → 마리아: 낭만적 이상화에서 영적 존경으로. 여성의 지혜와 덕성을 발견하는 성장.","이상화된 사랑은 아름답지만 환상이다. 실제 인간으로서의 여성을 보기 시작할 때 진정한 사랑이 시작된다."
anima_mary,Anima Stage 3 - Mary,anima_animus,아니마 3단계: 마리아(Mary),anima_stage,"아니마의 영적 단계. 성모 마리아처럼 순결하고 성스러운 여성 이미지이다. 에로스를 초월한 영적 사랑과 헌신의 대상이며 남성이 여성에게서 도덕적 고결함과 영적 가치를 발견하는 단계.","","정인(正印)의 영적 여성 에너지. 인성(印星)의 고결한 사랑. 화개(華蓋)의 영적 헌신. 인수(印綬)의 순수한 보살핌.","처녀자리/해왕성의 영성. 9하우스의 영적 추구. 12하우스의 초월적 사랑. 달-해왕성 합의 영적 교감.","여사제(The High Priestess) - 영적 여성성. 별(The Star) - 초월적 사랑. 세계(The World) - 완성된 여성성.","마리아 → 소피아: 경외에서 통합으로. 여성을 숭배의 대상이 아닌 동등한 지혜의 파트너로 인식하는 성장.","여성을 성녀나 창녀로 이분화하는 것은 아니마의 미성숙이다. 그녀도 당신과 같은 복잡한 인간임을 인정하라."
