id,ilgan,ilgan_kr,ilgan_ohang,wolji,wolji_kr,wolji_ohang,month,relation,energy,overall,advice,description
MONTHLY_甲_戌,甲,갑,목,戌,술,토,9,극출(극함),갑일간이 술월(개의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,갑일간 술월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_甲_亥,甲,갑,목,亥,해,수,10,생조(생해줌),갑일간이 해월(돼지의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,갑일간 해월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_乙_子,乙,을,목,子,자,수,11,생조(생해줌),을일간이 자월(쥐의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,을일간 자월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_乙_丑,乙,을,목,丑,축,토,12,극출(극함),을일간이 축월(소의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,을일간 축월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_乙_寅,乙,을,목,寅,인,목,1,비화(동일),을일간이 인월(호랑이의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 풀, 유연함, 적응의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","을일간 인월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 풀, 유연함, 적응의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_乙_卯,乙,을,목,卯,묘,목,2,비화(동일),을일간이 묘월(토끼의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 풀, 유연함, 적응의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","을일간 묘월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 풀, 유연함, 적응의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_乙_辰,乙,을,목,辰,진,토,3,극출(극함),을일간이 진월(용의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,을일간 진월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_乙_巳,乙,을,목,巳,사,화,4,설기(빼앗김),을일간이 사월(뱀의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,을일간 사월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_乙_午,乙,을,목,午,오,화,5,설기(빼앗김),을일간이 오월(말의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,을일간 오월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_乙_未,乙,을,목,未,미,토,6,극출(극함),을일간이 미월(양의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,을일간 미월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_乙_申,乙,을,목,申,신,금,7,극입(극당함),을일간이 신월(원숭이의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,을일간 신월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_乙_酉,乙,을,목,酉,유,금,8,극입(극당함),을일간이 유월(닭의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,을일간 유월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_乙_戌,乙,을,목,戌,술,토,9,극출(극함),을일간이 술월(개의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,을일간 술월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_乙_亥,乙,을,목,亥,해,수,10,생조(생해줌),을일간이 해월(돼지의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,을일간 해월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_丙_子,丙,병,화,子,자,수,11,극입(극당함),병일간이 자월(쥐의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,병일간 자월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_丙_丑,丙,병,화,丑,축,토,12,설기(빼앗김),병일간이 축월(소의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,병일간 축월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丙_寅,丙,병,화,寅,인,목,1,생조(생해줌),병일간이 인월(호랑이의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,병일간 인월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_丙_卯,丙,병,화,卯,묘,목,2,생조(생해줌),병일간이 묘월(토끼의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,병일간 묘월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_丙_辰,丙,병,화,辰,진,토,3,설기(빼앗김),병일간이 진월(용의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,병일간 진월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丙_巳,丙,병,화,巳,사,화,4,비화(동일),병일간이 사월(뱀의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 태양, 열정, 밝음의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","병일간 사월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 태양, 열정, 밝음의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_丙_午,丙,병,화,午,오,화,5,비화(동일),병일간이 오월(말의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 태양, 열정, 밝음의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","병일간 오월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 태양, 열정, 밝음의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_丙_未,丙,병,화,未,미,토,6,설기(빼앗김),병일간이 미월(양의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,병일간 미월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丙_申,丙,병,화,申,신,금,7,극출(극함),병일간이 신월(원숭이의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,병일간 신월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_丙_酉,丙,병,화,酉,유,금,8,극출(극함),병일간이 유월(닭의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,병일간 유월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_丙_戌,丙,병,화,戌,술,토,9,설기(빼앗김),병일간이 술월(개의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,병일간 술월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丙_亥,丙,병,화,亥,해,수,10,극입(극당함),병일간이 해월(돼지의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,병일간 해월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_丁_子,丁,정,화,子,자,수,11,극입(극당함),정일간이 자월(쥐의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,정일간 자월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_丁_丑,丁,정,화,丑,축,토,12,설기(빼앗김),정일간이 축월(소의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,정일간 축월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丁_寅,丁,정,화,寅,인,목,1,생조(생해줌),정일간이 인월(호랑이의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,정일간 인월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_丁_卯,丁,정,화,卯,묘,목,2,생조(생해줌),정일간이 묘월(토끼의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,정일간 묘월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_丁_辰,丁,정,화,辰,진,토,3,설기(빼앗김),정일간이 진월(용의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,정일간 진월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丁_巳,丁,정,화,巳,사,화,4,비화(동일),정일간이 사월(뱀의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 촛불, 지혜, 정밀의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","정일간 사월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 촛불, 지혜, 정밀의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_丁_午,丁,정,화,午,오,화,5,비화(동일),정일간이 오월(말의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 촛불, 지혜, 정밀의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","정일간 오월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 촛불, 지혜, 정밀의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_丁_未,丁,정,화,未,미,토,6,설기(빼앗김),정일간이 미월(양의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,정일간 미월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丁_申,丁,정,화,申,신,금,7,극출(극함),정일간이 신월(원숭이의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,정일간 신월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_丁_酉,丁,정,화,酉,유,금,8,극출(극함),정일간이 유월(닭의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,정일간 유월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_丁_戌,丁,정,화,戌,술,토,9,설기(빼앗김),정일간이 술월(개의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,정일간 술월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
MONTHLY_丁_亥,丁,정,화,亥,해,수,10,극입(극당함),정일간이 해월(돼지의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,정일간 해월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_戊_子,戊,무,토,子,자,수,11,극출(극함),무일간이 자월(쥐의 달)을 만남,일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다.,극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요,무일간 자월(극출(극함)): 일간이 월지를 극하는 달입니다. 적극적인 행동이 필요하나 무리는 금물입니다. 조언: 극출(극함)의 달에는 목표를 향해 적극적으로 나아가세요
MONTHLY_戊_丑,戊,무,토,丑,축,토,12,비화(동일),무일간이 축월(소의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 산, 신뢰, 중후의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","무일간 축월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 산, 신뢰, 중후의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_戊_寅,戊,무,토,寅,인,목,1,극입(극당함),무일간이 인월(호랑이의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,무일간 인월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_戊_卯,戊,무,토,卯,묘,목,2,극입(극당함),무일간이 묘월(토끼의 달)을 만남,월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다.,극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요,무일간 묘월(극입(극당함)): 월지가 일간을 극하는 달입니다. 도전과 시련이 있을 수 있으나 성장의 기회입니다. 조언: 극입(극당함)의 달에는 인내하며 실력을 쌓는 시기로 활용하세요
MONTHLY_戊_辰,戊,무,토,辰,진,토,3,비화(동일),무일간이 진월(용의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 산, 신뢰, 중후의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","무일간 진월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 산, 신뢰, 중후의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_戊_巳,戊,무,토,巳,사,화,4,생조(생해줌),무일간이 사월(뱀의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,무일간 사월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_戊_午,戊,무,토,午,오,화,5,생조(생해줌),무일간이 오월(말의 달)을 만남,월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다.,생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요,무일간 오월(생조(생해줌)): 월지가 일간을 생해주는 달입니다. 외부의 도움과 지지를 받기 좋은 시기입니다. 조언: 생조(생해줌)의 달에는 좋은 인연을 만나고 도움을 받아들이세요
MONTHLY_戊_未,戊,무,토,未,미,토,6,비화(동일),무일간이 미월(양의 달)을 만남,"같은 오행의 달로 에너지가 강화됩니다. 산, 신뢰, 중후의 특성이 더욱 두드러집니다.","비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물","무일간 미월(비화(동일)): 같은 오행의 달로 에너지가 강화됩니다. 산, 신뢰, 중후의 특성이 더욱 두드러집니다. 조언: 비화(동일)의 달에는 자신의 강점을 최대한 발휘하되, 과욕은 금물"
MONTHLY_戊_申,戊,무,토,申,신,금,7,설기(빼앗김),무일간이 신월(원숭이의 달)을 만남,일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요.,설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요,무일간 신월(설기(빼앗김)): 일간의 에너지가 빠져나가는 달입니다. 무리하지 말고 에너지를 보존하세요. 조언: 설기(빼앗김)의 달에는 휴식을 취하고 에너지 충전에 집중하세요
