id,label,pillar,type,category,description
PIL_년주_흉성_겁살,겁살,년주,흉성,흉성,"[년주] 겁살 (흉성) — 예기치 못한 일, 불안정, 돌발의 기운."
PIL_년주_흉성_재살,재살,년주,흉성,흉성,[년주] 재살 (흉성) — 공격적·도전·경쟁심 강함.
PIL_년주_흉성_망신,망신,년주,흉성,흉성,[년주] 망신 (흉성) — 불안정·명예훼손·변덕.
PIL_년주_흉성_천라,천라,년주,흉성,흉성,"[년주] 천라 (흉성) — 현실적 제약, 구속, 고민."
PIL_년주_흉성_지망,지망,년주,흉성,흉성,"[년주] 지망 (흉성) — 감정기복, 내면 불안."
PIL_월주_천간_戊,戊,월주,천간,structure,"[월주] 戊 천간 — 하늘의 기운, 주체·표현·행동 방향을 상징."
PIL_월주_지지_寅,寅,월주,지지,structure,[월주] 寅 지지 — 현실·환경·감정적 배경을 상징.
PIL_월주_운성_장생,장생,월주,운성,12운성,"[월주] 장생 (12운성) — 탄생·시작의 기운, 발전의 씨앗."
PIL_월주_운성_목욕,목욕,월주,운성,12운성,"[월주] 목욕 (12운성) — 순수·정화·이미지, 변화 준비."
PIL_월주_운성_관대,관대,월주,운성,12운성,[월주] 관대 (12운성) — 성숙·책임감·사회적 성장.
PIL_월주_운성_건록,건록,월주,운성,12운성,"[월주] 건록 (12운성) — 안정기, 자기 확립과 안정된 상태."
PIL_월주_운성_제왕,제왕,월주,운성,12운성,"[월주] 제왕 (12운성) — 정점의 기세, 리더십과 성취."
PIL_월주_운성_쇠,쇠,월주,운성,12운성,"[월주] 쇠 (12운성) — 기운이 감소, 실질·반성의 시기."
PIL_월주_운성_병,병,월주,운성,12운성,[월주] 병 (12운성) — 기운이 약해지고 휴식 필요.
PIL_월주_운성_사,사,월주,운성,12운성,"[월주] 사 (12운성) — 마무리의 시점, 정리·전환의 때."
PIL_월주_운성_묘,묘,월주,운성,12운성,"[월주] 묘 (12운성) — 절정 이후 숨김, 준비와 재생."
PIL_월주_운성_절,절,월주,운성,12운성,"[월주] 절 (12운성) — 단절·전환점, 다음 주기로의 진입."
PIL_월주_운성_태,태,월주,운성,12운성,"[월주] 태 (12운성) — 새로운 시작점, 미발현의 가능성."
PIL_월주_운성_양,양,월주,운성,12운성,"[월주] 양 (12운성) — 육성·성장, 새로운 생명력의 발아."
PIL_월주_신살_도화,도화,월주,신살,12신살,"[월주] 도화 (12신살) — 매력, 예술, 인기, 이성적 관심이 강한 별."
PIL_월주_신살_홍염,홍염,월주,신살,12신살,[월주] 홍염 (12신살) — 감정·연애·매력·인연이 부각되는 별.
PIL_월주_신살_문창,문창,월주,신살,12신살,"[월주] 문창 (12신살) — 지적·예술·문학적 재능, 글쓰기·예술성."
PIL_월주_신살_문곡,문곡,월주,신살,12신살,[월주] 문곡 (12신살) — 언변·조정·감성적 표현력이 풍부한 별.
PIL_월주_신살_역마,역마,월주,신살,12신살,"[월주] 역마 (12신살) — 이동·변화·활동, 여행·직업변화 많은 구조."
PIL_월주_신살_화개,화개,월주,신살,12신살,"[월주] 화개 (12신살) — 종교성·예술·철학·학문적 깊이, 고독·직관."
PIL_월주_신살_장성,장성,월주,신살,12신살,[월주] 장성 (12신살) — 명예·리더십·강한 추진력.
PIL_월주_신살_망신,망신,월주,신살,12신살,[월주] 망신 (12신살) — 표현력·재능 있으나 예민·불안감 동반.
PIL_월주_신살_겁살,겁살,월주,신살,12신살,"[월주] 겁살 (12신살) — 돌발사고·급변, 예민, 용기와 위험 공존."
PIL_월주_신살_재살,재살,월주,신살,12신살,[월주] 재살 (12신살) — 전투적·모험심·결단력.
PIL_월주_신살_천을귀인,천을귀인,월주,신살,12신살,[월주] 천을귀인 (12신살) — 보호·귀인의 도움·상생의 기운.
PIL_월주_신살_지살,지살,월주,신살,12신살,"[월주] 지살 (12신살) — 활동, 개척, 현실적 행동력."
PIL_월주_길성_천을귀인,천을귀인,월주,길성,길성,"[월주] 천을귀인 (길성) — 귀인과 도움, 보호받는 복덕."
PIL_월주_길성_문창,문창,월주,길성,길성,[월주] 문창 (길성) — 재치·예절·음악·지적 성취운.
PIL_월주_길성_문곡,문곡,월주,길성,길성,"[월주] 문곡 (길성) — 언변·발표·설득, 사람복."
PIL_월주_길성_현침,현침,월주,길성,길성,[월주] 현침 (길성) — 통찰력·예술성과 고독의 동시성.
PIL_월주_길성_화개,화개,월주,길성,길성,[월주] 화개 (길성) — 예술·철학·종교·내면탐구의 별.
PIL_월주_길성_도화,도화,월주,길성,길성,[월주] 도화 (길성) — 미적감각·대인매력·예술활동운.
PIL_월주_길성_태극귀인,태극귀인,월주,길성,길성,"[월주] 태극귀인 (길성) — 높은 이상, 종교적 보호, 정신적 탁월함."
PIL_월주_길성_귀문관,귀문관,월주,길성,길성,"[월주] 귀문관 (길성) — 영감·민감·심리통찰, 예민함 동반."
PIL_월주_길성_천덕,천덕,월주,길성,길성,"[월주] 천덕 (길성) — 귀인운, 원만한 조력과 인복."
PIL_월주_길성_월덕,월덕,월주,길성,길성,[월주] 월덕 (길성) — 명예·신망·대중적 호감 운.
PIL_월주_흉성_겁살,겁살,월주,흉성,흉성,"[월주] 겁살 (흉성) — 예기치 못한 일, 불안정, 돌발의 기운."
PIL_월주_흉성_재살,재살,월주,흉성,흉성,[월주] 재살 (흉성) — 공격적·도전·경쟁심 강함.
PIL_월주_흉성_망신,망신,월주,흉성,흉성,[월주] 망신 (흉성) — 불안정·명예훼손·변덕.
PIL_월주_흉성_천라,천라,월주,흉성,흉성,"[월주] 천라 (흉성) — 현실적 제약, 구속, 고민."
PIL_월주_흉성_지망,지망,월주,흉성,흉성,"[월주] 지망 (흉성) — 감정기복, 내면 불안."
PIL_일주_천간_辛,辛,일주,천간,structure,"[일주] 辛 천간 — 하늘의 기운, 주체·표현·행동 방향을 상징."
PIL_일주_지지_未,未,일주,지지,structure,[일주] 未 지지 — 현실·환경·감정적 배경을 상징.
PIL_일주_운성_장생,장생,일주,운성,12운성,"[일주] 장생 (12운성) — 탄생·시작의 기운, 발전의 씨앗."
PIL_일주_운성_목욕,목욕,일주,운성,12운성,"[일주] 목욕 (12운성) — 순수·정화·이미지, 변화 준비."
PIL_일주_운성_관대,관대,일주,운성,12운성,[일주] 관대 (12운성) — 성숙·책임감·사회적 성장.
PIL_일주_운성_건록,건록,일주,운성,12운성,"[일주] 건록 (12운성) — 안정기, 자기 확립과 안정된 상태."
PIL_일주_운성_제왕,제왕,일주,운성,12운성,"[일주] 제왕 (12운성) — 정점의 기세, 리더십과 성취."
PIL_일주_운성_쇠,쇠,일주,운성,12운성,"[일주] 쇠 (12운성) — 기운이 감소, 실질·반성의 시기."
PIL_일주_운성_병,병,일주,운성,12운성,[일주] 병 (12운성) — 기운이 약해지고 휴식 필요.
PIL_일주_운성_사,사,일주,운성,12운성,"[일주] 사 (12운성) — 마무리의 시점, 정리·전환의 때."
PIL_일주_운성_묘,묘,일주,운성,12운성,"[일주] 묘 (12운성) — 절정 이후 숨김, 준비와 재생."
PIL_일주_운성_절,절,일주,운성,12운성,"[일주] 절 (12운성) — 단절·전환점, 다음 주기로의 진입."
PIL_일주_운성_태,태,일주,운성,12운성,"[일주] 태 (12운성) — 새로운 시작점, 미발현의 가능성."
PIL_일주_운성_양,양,일주,운성,12운성,"[일주] 양 (12운성) — 육성·성장, 새로운 생명력의 발아."
PIL_일주_신살_도화,도화,일주,신살,12신살,"[일주] 도화 (12신살) — 매력, 예술, 인기, 이성적 관심이 강한 별."
PIL_일주_신살_홍염,홍염,일주,신살,12신살,[일주] 홍염 (12신살) — 감정·연애·매력·인연이 부각되는 별.
PIL_일주_신살_문창,문창,일주,신살,12신살,"[일주] 문창 (12신살) — 지적·예술·문학적 재능, 글쓰기·예술성."
PIL_일주_신살_문곡,문곡,일주,신살,12신살,[일주] 문곡 (12신살) — 언변·조정·감성적 표현력이 풍부한 별.
PIL_일주_신살_역마,역마,일주,신살,12신살,"[일주] 역마 (12신살) — 이동·변화·활동, 여행·직업변화 많은 구조."
PIL_일주_신살_화개,화개,일주,신살,12신살,"[일주] 화개 (12신살) — 종교성·예술·철학·학문적 깊이, 고독·직관."
PIL_일주_신살_장성,장성,일주,신살,12신살,[일주] 장성 (12신살) — 명예·리더십·강한 추진력.
PIL_일주_신살_망신,망신,일주,신살,12신살,[일주] 망신 (12신살) — 표현력·재능 있으나 예민·불안감 동반.
PIL_일주_신살_겁살,겁살,일주,신살,12신살,"[일주] 겁살 (12신살) — 돌발사고·급변, 예민, 용기와 위험 공존."
PIL_일주_신살_재살,재살,일주,신살,12신살,[일주] 재살 (12신살) — 전투적·모험심·결단력.
PIL_일주_신살_천을귀인,천을귀인,일주,신살,12신살,[일주] 천을귀인 (12신살) — 보호·귀인의 도움·상생의 기운.
PIL_일주_신살_지살,지살,일주,신살,12신살,"[일주] 지살 (12신살) — 활동, 개척, 현실적 행동력."
PIL_일주_길성_천을귀인,천을귀인,일주,길성,길성,"[일주] 천을귀인 (길성) — 귀인과 도움, 보호받는 복덕."
PIL_일주_길성_문창,문창,일주,길성,길성,[일주] 문창 (길성) — 재치·예절·음악·지적 성취운.
PIL_일주_길성_문곡,문곡,일주,길성,길성,"[일주] 문곡 (길성) — 언변·발표·설득, 사람복."
PIL_일주_길성_현침,현침,일주,길성,길성,[일주] 현침 (길성) — 통찰력·예술성과 고독의 동시성.
PIL_일주_길성_화개,화개,일주,길성,길성,[일주] 화개 (길성) — 예술·철학·종교·내면탐구의 별.
PIL_일주_길성_도화,도화,일주,길성,길성,[일주] 도화 (길성) — 미적감각·대인매력·예술활동운.
PIL_일주_길성_태극귀인,태극귀인,일주,길성,길성,"[일주] 태극귀인 (길성) — 높은 이상, 종교적 보호, 정신적 탁월함."
PIL_일주_길성_귀문관,귀문관,일주,길성,길성,"[일주] 귀문관 (길성) — 영감·민감·심리통찰, 예민함 동반."
PIL_일주_길성_천덕,천덕,일주,길성,길성,"[일주] 천덕 (길성) — 귀인운, 원만한 조력과 인복."
PIL_일주_길성_월덕,월덕,일주,길성,길성,[일주] 월덕 (길성) — 명예·신망·대중적 호감 운.
PIL_일주_흉성_겁살,겁살,일주,흉성,흉성,"[일주] 겁살 (흉성) — 예기치 못한 일, 불안정, 돌발의 기운."
PIL_일주_흉성_재살,재살,일주,흉성,흉성,[일주] 재살 (흉성) — 공격적·도전·경쟁심 강함.
PIL_일주_흉성_망신,망신,일주,흉성,흉성,[일주] 망신 (흉성) — 불안정·명예훼손·변덕.
PIL_일주_흉성_천라,천라,일주,흉성,흉성,"[일주] 천라 (흉성) — 현실적 제약, 구속, 고민."
PIL_일주_흉성_지망,지망,일주,흉성,흉성,"[일주] 지망 (흉성) — 감정기복, 내면 불안."
PIL_시주_천간_辛,辛,시주,천간,structure,"[시주] 辛 천간 — 하늘의 기운, 주체·표현·행동 방향을 상징."
PIL_시주_지지_卯,卯,시주,지지,structure,[시주] 卯 지지 — 현실·환경·감정적 배경을 상징.
PIL_시주_운성_장생,장생,시주,운성,12운성,"[시주] 장생 (12운성) — 탄생·시작의 기운, 발전의 씨앗."
PIL_시주_운성_목욕,목욕,시주,운성,12운성,"[시주] 목욕 (12운성) — 순수·정화·이미지, 변화 준비."
PIL_시주_운성_관대,관대,시주,운성,12운성,[시주] 관대 (12운성) — 성숙·책임감·사회적 성장.
PIL_시주_운성_건록,건록,시주,운성,12운성,"[시주] 건록 (12운성) — 안정기, 자기 확립과 안정된 상태."
PIL_시주_운성_제왕,제왕,시주,운성,12운성,"[시주] 제왕 (12운성) — 정점의 기세, 리더십과 성취."
PIL_시주_운성_쇠,쇠,시주,운성,12운성,"[시주] 쇠 (12운성) — 기운이 감소, 실질·반성의 시기."
PIL_시주_운성_병,병,시주,운성,12운성,[시주] 병 (12운성) — 기운이 약해지고 휴식 필요.
PIL_시주_운성_사,사,시주,운성,12운성,"[시주] 사 (12운성) — 마무리의 시점, 정리·전환의 때."
PIL_시주_운성_묘,묘,시주,운성,12운성,"[시주] 묘 (12운성) — 절정 이후 숨김, 준비와 재생."
PIL_시주_운성_절,절,시주,운성,12운성,"[시주] 절 (12운성) — 단절·전환점, 다음 주기로의 진입."
PIL_시주_운성_태,태,시주,운성,12운성,"[시주] 태 (12운성) — 새로운 시작점, 미발현의 가능성."
PIL_시주_운성_양,양,시주,운성,12운성,"[시주] 양 (12운성) — 육성·성장, 새로운 생명력의 발아."
PIL_시주_신살_도화,도화,시주,신살,12신살,"[시주] 도화 (12신살) — 매력, 예술, 인기, 이성적 관심이 강한 별."
PIL_시주_신살_홍염,홍염,시주,신살,12신살,[시주] 홍염 (12신살) — 감정·연애·매력·인연이 부각되는 별.
PIL_시주_신살_문창,문창,시주,신살,12신살,"[시주] 문창 (12신살) — 지적·예술·문학적 재능, 글쓰기·예술성."
PIL_시주_신살_문곡,문곡,시주,신살,12신살,[시주] 문곡 (12신살) — 언변·조정·감성적 표현력이 풍부한 별.
PIL_시주_신살_역마,역마,시주,신살,12신살,"[시주] 역마 (12신살) — 이동·변화·활동, 여행·직업변화 많은 구조."
PIL_시주_신살_화개,화개,시주,신살,12신살,"[시주] 화개 (12신살) — 종교성·예술·철학·학문적 깊이, 고독·직관."
PIL_시주_신살_장성,장성,시주,신살,12신살,[시주] 장성 (12신살) — 명예·리더십·강한 추진력.
PIL_시주_신살_망신,망신,시주,신살,12신살,[시주] 망신 (12신살) — 표현력·재능 있으나 예민·불안감 동반.
PIL_시주_신살_겁살,겁살,시주,신살,12신살,"[시주] 겁살 (12신살) — 돌발사고·급변, 예민, 용기와 위험 공존."
PIL_시주_신살_재살,재살,시주,신살,12신살,[시주] 재살 (12신살) — 전투적·모험심·결단력.
PIL_시주_신살_천을귀인,천을귀인,시주,신살,12신살,[시주] 천을귀인 (12신살) — 보호·귀인의 도움·상생의 기운.
PIL_시주_신살_지살,지살,시주,신살,12신살,"[시주] 지살 (12신살) — 활동, 개척, 현실적 행동력."
PIL_시주_길성_천을귀인,천을귀인,시주,길성,길성,"[시주] 천을귀인 (길성) — 귀인과 도움, 보호받는 복덕."
PIL_시주_길성_문창,문창,시주,길성,길성,[시주] 문창 (길성) — 재치·예절·음악·지적 성취운.
PIL_시주_길성_문곡,문곡,시주,길성,길성,"[시주] 문곡 (길성) — 언변·발표·설득, 사람복."
PIL_시주_길성_현침,현침,시주,길성,길성,[시주] 현침 (길성) — 통찰력·예술성과 고독의 동시성.
PIL_시주_길성_화개,화개,시주,길성,길성,[시주] 화개 (길성) — 예술·철학·종교·내면탐구의 별.
PIL_시주_길성_도화,도화,시주,길성,길성,[시주] 도화 (길성) — 미적감각·대인매력·예술활동운.
PIL_시주_길성_태극귀인,태극귀인,시주,길성,길성,"[시주] 태극귀인 (길성) — 높은 이상, 종교적 보호, 정신적 탁월함."
PIL_시주_길성_귀문관,귀문관,시주,길성,길성,"[시주] 귀문관 (길성) — 영감·민감·심리통찰, 예민함 동반."
PIL_시주_길성_천덕,천덕,시주,길성,길성,"[시주] 천덕 (길성) — 귀인운, 원만한 조력과 인복."
PIL_시주_길성_월덕,월덕,시주,길성,길성,[시주] 월덕 (길성) — 명예·신망·대중적 호감 운.
PIL_시주_흉성_겁살,겁살,시주,흉성,흉성,"[시주] 겁살 (흉성) — 예기치 못한 일, 불안정, 돌발의 기운."
PIL_시주_흉성_재살,재살,시주,흉성,흉성,[시주] 재살 (흉성) — 공격적·도전·경쟁심 강함.
PIL_시주_흉성_망신,망신,시주,흉성,흉성,[시주] 망신 (흉성) — 불안정·명예훼손·변덕.
PIL_시주_흉성_천라,천라,시주,흉성,흉성,"[시주] 천라 (흉성) — 현실적 제약, 구속, 고민."
PIL_시주_흉성_지망,지망,시주,흉성,흉성,"[시주] 지망 (흉성) — 감정기복, 내면 불안."
