id,label,type,stem,age_range,life_phase,description,career_effect,wealth_effect,relationship_effect,health_effect,key_events,advice
DU_을_50대,을목 대운 50대,daeun_interpretation,을,50-59,50대,"을목(乙木) 대운이 50대에 오면 내면의 평화와 조화를 추구하는 시기입니다. 꽃이 피듯 삶의 아름다움을 발견하고, 정원 가꾸기처럼 주변을 돌보며 보람을 느낍니다. 문화예술적 활동이 빛을 발합니다.","은퇴 준비와 함께 제2 커리어 모색. 상담사, 플로리스트, 공예가 등 부드러운 직종 적합.","은퇴 자금 점검. 안정적 수입원 확보. 자녀 독립으로 여유 자금 생김.","부부 관계 재발견. 함께하는 취미 활동으로 관계 강화. 친구 모임 활발.","관절, 소화기, 갱년기 증상 관리. 요가, 필라테스 등 유연성 운동 권장.","은퇴 준비, 취미 활동 확대, 부부 여행, 봉사 활동, 문화생활 확대","삶의 여유를 즐기세요. 을목의 유연함으로 변화에 자연스럽게 적응하면 아름다운 노후가 기다립니다."
DU_을_60대,을목 대운 60대이후,daeun_interpretation,을,60+,60대이후,"을목(乙木) 대운이 60대 이후에 오면 잔잔하고 평화로운 노후를 보냅니다. 정원의 꽃처럼 조용히 아름다움을 발하며, 가족과 이웃에게 따뜻한 존재가 됩니다. 소소한 즐거움에서 행복을 찾습니다.","봉사활동, 텃밭 가꾸기, 공예 활동 등으로 일상에 보람. 손주 돌봄에서도 능력 발휘.","연금과 저축으로 안정적 생활. 큰 지출 없이 검소하게 살면 여유로운 노후.","가족 모임의 중심. 손주와의 따뜻한 유대. 이웃과의 정 나눔.","관절염, 소화 기능 저하, 시력 감퇴 관리. 가벼운 산책과 스트레칭 필수.","가족 모임, 봉사활동, 텃밭 가꾸기, 소소한 여행, 손주 돌봄","작은 것에서 행복을 찾으세요. 건강한 식습관과 규칙적 생활이 장수의 비결입니다."
DU_병_10대,병화 대운 10대,daeun_interpretation,병,10-19,10대,"병화(丙火) 대운이 10대에 오면 태양처럼 밝고 활발한 학창시절을 보냅니다. 인기가 많고 사교적이며, 체육이나 예능 분야에서 두각을 나타냅니다. 열정이 넘치지만 집중력 유지가 과제입니다.","체육, 예능, 발표, 토론에서 두각. 학급 회장이나 동아리 리더 역할. 무대 체질로 공연이나 대회에서 빛남.","용돈을 쉽게 쓰는 경향. 충동 구매 주의. 친구들에게 잘 쏘는 편.","친구가 많고 인기가 높음. 이성에게 인기 많으나 가벼운 연애 조심. 열정적 우정.","심장, 눈 건강 주의. 과격한 운동 시 부상 조심. 여드름, 피부 열감.","인기 상승, 무대 경험, 동아리 활동, 이성 관심, 체육 대회 수상","열정을 한 방향으로 집중하세요. 여러 가지를 동시에 하면 에너지가 분산됩니다. 꾸준함이 필요합니다."
DU_병_20대,병화 대운 20대,daeun_interpretation,병,20-29,20대,"병화(丙火) 대운이 20대에 오면 사회에서 빛나는 존재가 됩니다. 태양처럼 주목받고, 자신의 능력을 마음껏 펼칩니다. 미디어, 엔터테인먼트, 영업직에서 탁월한 성과를 냅니다.","연예, 방송, 마케팅, 영업, 홍보, 이벤트 업종에서 성공. 프레젠테이션 능력 탁월. 빠른 승진 가능.","수입이 높지만 지출도 많음. 화려한 생활로 인한 과소비 주의. 재무 관리 습관 필요.","연애 운 최고. 매력 발산으로 이성 인기 폭발. 다만 진정성 있는 관계 유지가 과제.","심장 두근거림, 혈압 변동, 눈 피로, 피부 트러블 주의. 충분한 수면 필요.","첫 직장에서 빠른 두각, 연애와 결혼, SNS 인플루언서 가능성, 해외 진출","빛나는 것은 좋지만 겸손을 잃지 마세요. 진정한 실력을 갖추면 빛은 더 오래 갑니다."
DU_병_30대,병화 대운 30대,daeun_interpretation,병,30-39,30대,"병화(丙火) 대운이 30대에 오면 커리어의 전성기를 맞이합니다. 사회적 명성이 높아지고, 리더로서의 역할이 확대됩니다. 밝은 에너지로 조직을 이끌며 큰 성과를 만들어냅니다.","임원급 승진 가능. 사업 확장에 유리. 대중을 상대하는 직종에서 최고의 성과. CEO 기질 발현.","높은 수입과 함께 사회적 소비 증가. 명품이나 자동차 등 과시적 소비 주의. 세금 관리 필요.","가정과 사회생활 균형 필요. 바쁜 일상으로 배우자와 소통 부족 주의. 자녀에게 따뜻한 관심 필요.","과로로 인한 심혈관 질환 주의. 번아웃 위험. 정기적 건강 검진과 휴가 필수.","사업 성공, 명예 획득, 미디어 노출, 리더십 인정, 사회적 영향력 확대","태양은 저녁에 쉽니다. 일과 쉼의 균형을 맞추지 않으면 건강이 무너질 수 있습니다."
DU_병_40대,병화 대운 40대,daeun_interpretation,병,40-49,40대,"병화(丙火) 대운이 40대에 오면 인생에서 가장 뜨겁고 역동적인 시기입니다. 사회적 명예가 절정에 이르고, 자신의 분야에서 확고한 위치를 차지합니다. 다만 과열에 의한 위기 관리가 중요합니다.","업계 최고 위치 도달 가능. 강연, 저술, 미디어 출연 증가. 정치 입문이나 사회 활동 활발.","고수입이지만 세금, 기부, 사회적 비용 증가. 자산 분산 투자로 리스크 관리 필요.","가정에서의 역할 재정립. 자녀 독립 준비. 부부 관계에 새로운 활력 필요.","고혈압, 심장 질환, 안과 질환 주의. 스트레스 관리가 건강의 핵심.","사회적 명성 절정, 큰 프로젝트 완수, 후배 양성, 건강 경고 신호","정상에 올랐을 때 가장 조심해야 합니다. 겸손과 건강 관리가 지속적인 성공의 비결입니다."
DU_병_50대,병화 대운 50대,daeun_interpretation,병,50-59,50대,"병화(丙火) 대운이 50대에 오면 여전히 강한 열정을 가지고 있지만, 석양처럼 따뜻하고 포근한 에너지로 변합니다. 후배 양성과 사회 환원에 관심이 높아지며, 인생의 지혜를 나누는 시기입니다.","강연, 교육, 멘토링으로 제2의 커리어. 비영리 활동이나 사회 공헌 참여. 자문 역할.","안정적 자산 운용으로 여유로운 생활. 은퇴 후 수입원 준비. 자선활동 시작.","깊은 인간관계 정리. 진정한 벗과의 교류. 부부 간 깊은 이해와 존중.","심혈관 질환 정기 검진 필수. 눈 건강 관리. 적절한 운동으로 체력 유지.","은퇴 준비, 사회 공헌, 자서전 집필, 해외 여행, 후배 양성 활동","아직 열정이 있다면 그것을 세상에 나누세요. 따뜻한 빛은 주변을 밝히고 자신도 행복하게 합니다."
DU_병_60대,병화 대운 60대이후,daeun_interpretation,병,60+,60대이후,"병화(丙火) 대운이 60대 이후에 오면 노년에도 활력이 넘칩니다. 따뜻한 에너지로 가족과 이웃을 밝히며, 사교 활동과 봉사에 적극적입니다. 건강 관리만 잘하면 활기찬 노후를 보냅니다.","지역사회 리더, 봉사 단체 활동, 노인회 회장 역할. 밝은 에너지로 주변에 활력 전파.","연금과 자산 수입으로 넉넉한 노후. 자녀에게 재산 이전 계획 수립. 여유로운 소비 가능.","사교 활동 활발. 동창회, 향우회 등에서 인기. 손주에게 인기 많은 할머니/할아버지.","심장, 혈압, 눈 건강 정기 관리. 무리한 활동 자제. 규칙적 생활 유지.","사교 활동, 봉사활동, 가족 모임, 여행, 취미 활동 확대","건강이 재산입니다. 밝은 에너지를 유지하면서도 무리하지 않는 것이 장수의 비결입니다."
DU_정_10대,정화 대운 10대,daeun_interpretation,정,10-19,10대,"정화(丁火) 대운이 10대에 오면 촛불처럼 집중력이 강한 학창시절을 보냅니다. 한 분야에 깊이 파고드는 성향이 나타나며, 예술적 감수성과 학문적 탐구심이 동시에 발현됩니다.","학업에서 특정 과목에 탁월한 성적. 독서량이 많고 글쓰기에 재능. 과학 실험이나 예술 창작에 몰입.","절약하는 성향. 필요한 것만 사는 합리적 소비 습관.","소수의 깊은 친구 관계. 표면적 인기보다 진정한 우정. 첫사랑에 깊이 빠질 수 있음.","눈 피로, 신경성 두통, 불면 주의. 늦은 밤까지 공부하는 습관 조절 필요.","학업 몰입, 독서와 글쓰기, 예술 창작, 깊은 우정 형성, 내면 세계 발달","하나에 집중하는 힘이 큰 장점입니다. 다만 너무 좁은 세계에 갇히지 않도록 다양한 경험도 해보세요."
DU_정_20대,정화 대운 20대,daeun_interpretation,정,20-29,20대,"정화(丁火) 대운이 20대에 오면 내면의 열정을 조용히 불태우며 전문성을 쌓는 시기입니다. 촛불이 어둠을 밝히듯 자신만의 전문 분야에서 빛을 발합니다. 연구직이나 예술 분야에 적합합니다.","연구원, 작가, 예술가, 프로그래머, 분석가 등 집중력이 필요한 직종에서 성과. 대학원 진학 유리.","검소한 생활로 저축 가능. 큰 돈보다 안정적 수입 추구. 지식 투자에 비용 사용.","깊은 사랑을 하는 편. 만남의 기회는 적지만 한번 인연이면 오래감. 학문적 동반자 만남 가능.","눈 건강, 심장 두근거림, 불안감 주의. 카페인 과다 섭취 조심.","대학원 진학, 전문 자격 취득, 논문 발표, 작품 활동, 깊은 연애","조용히 빛나는 것이 정화의 매력입니다. 서두르지 말고 꾸준히 전문성을 쌓으세요."
DU_정_30대,정화 대운 30대,daeun_interpretation,정,30-39,30대,"정화(丁火) 대운이 30대에 오면 전문 분야에서 인정받는 시기입니다. 은은한 빛이지만 꼭 필요한 곳을 밝히듯, 조직에서 핵심 인재로 성장합니다. 결혼과 가정에서도 따뜻한 분위기를 만듭니다.","전문가로 인정. 연구 성과나 프로젝트 리더. 자격증이나 학위가 커리어에 결정적 도움.","전문직 수입 안정화. 알뜰한 재무 관리로 내 집 마련 가능. 장기 투자에 유리.","따뜻한 가정 구축. 배우자와의 깊은 정서적 유대. 자녀에게 세심한 관심.","눈, 심장, 소장 건강 주의. 야근으로 인한 피로 축적 관리. 명상이나 요가 권장.","전문 자격 획득, 결혼과 출산, 연구 성과 발표, 안정적 가정 구축","촛불은 소리 없이 밝힙니다. 자신을 과시하지 않아도 진정한 실력은 인정받게 됩니다."
DU_정_40대,정화 대운 40대,daeun_interpretation,정,40-49,40대,"정화(丁火) 대운이 40대에 오면 내면의 지혜가 무르익는 시기입니다. 촛불의 따뜻함으로 주변을 밝히며, 상담자나 조언자로서의 역할이 강해집니다. 정신적 성숙이 가장 큰 자산입니다.","전문 컨설턴트, 상담사, 교수, 연구소장 등 깊이 있는 역할 수행. 저술 활동 시작.","안정적 수입 유지. 노후 대비 저축과 보험 점검. 자녀 교육비 부담 관리.","가족 간 정서적 유대 깊어짐. 부부 관계의 질적 성숙. 자녀와 대화 시간 확보.","시력 저하, 심장 기능 관리, 정서적 번아웃 주의. 정기적 건강 검진 필수.","전문 저술, 상담 활동, 자녀 교육 투자, 정신적 성숙, 내면 수양","내면의 빛을 가꾸세요. 40대 정화 대운은 정신적으로 가장 성숙한 시기를 선사합니다."
DU_정_50대,정화 대운 50대,daeun_interpretation,정,50-59,50대,"정화(丁火) 대운이 50대에 오면 삶의 의미를 깊이 성찰하는 시기입니다. 촛불이 가장 아름답게 타오르듯, 축적된 지혜와 경험이 빛을 발합니다. 영성이나 철학에 관심이 높아집니다.","강연, 집필, 상담으로 지식과 경험 전달. 대학 강의나 문화 센터 활동. 은퇴 후 제2의 커리어 준비.","안정적 자산 운용. 불필요한 소비 줄이고 정신적 풍요에 투자. 문화생활 비용 확보.","깊은 우정과 부부애. 오래된 인연과의 재회. 가족 화합의 중심 역할.","눈 건강 악화 주의. 심장 정기 검진. 명상과 산책으로 정서 안정 유지.","은퇴 준비, 철학/영성 공부, 자서전 집필, 강연 활동, 내면 수양","삶의 깊이를 탐구하세요. 정화의 은은한 빛처럼 조용하지만 깊은 영향력을 발휘할 때입니다."
DU_정_60대,정화 대운 60대이후,daeun_interpretation,정,60+,60대이후,"정화(丁火) 대운이 60대 이후에 오면 내면의 평화와 지혜로운 노후를 보냅니다. 촛불처럼 따뜻하고 은은한 존재로 가족과 이웃에게 사랑받습니다. 명상, 독서, 글쓰기로 풍요로운 정신생활을 합니다.","저술, 서예, 그림, 명상 지도 등 정신적 활동으로 보람 있는 노후. 종교 활동이나 철학 모임 참여.","검소한 생활로 안정적 노후 자금 유지. 물질보다 정신적 풍요 추구.","가족의 정신적 지주. 손주에게 이야기 들려주는 할머니/할아버지. 조용하지만 깊은 존재감.","눈, 심장, 정서 건강 관리. 규칙적 수면과 명상으로 마음 건강 유지.","명상, 독서, 글쓰기, 가족과의 시간, 영적 수양, 문화 활동","촛불은 끝까지 아름답습니다. 마음의 평화를 유지하면서 소소한 일상에서 행복을 찾으세요."
DU_무_10대,무토 대운 10대,daeun_interpretation,무,10-19,10대,"무토(戊土) 대운이 10대에 오면 산처럼 듬직하고 안정적인 학창시절을 보냅니다. 맏이 기질이 있어 동생이나 후배를 잘 돌보며, 신뢰받는 학생으로 성장합니다. 성실하고 꾸준한 학습 태도가 특징입니다.","학업에서 꾸준한 중상위권 유지. 반장이나 봉사활동 리더. 체육보다 학습에 강점.","절약 습관이 자연스럽게 형성. 저축 습관이 있어 또래보다 경제관념 발달.","믿음직한 친구로 인기. 고민 상담 역할. 넓은 인맥보다 깊은 신뢰 관계 형성.","소화기 건강 주의. 비만 경향 관리. 규칙적 식사와 적당한 운동 필요.","반장 경험, 봉사활동, 학업 성실, 신뢰받는 친구 역할, 경제관념 형성","꾸준함이 최고의 재능입니다. 서두르지 않고 차근차근 쌓아가면 반드시 결실을 맺습니다."
DU_무_20대,무토 대운 20대,daeun_interpretation,무,20-29,20대,"무토(戊土) 대운이 20대에 오면 사회의 기둥이 되는 기반을 닦습니다. 산이 자리를 잡듯 직장이나 사업에서 안정적으로 뿌리를 내립니다. 부동산이나 건설 관련 분야와 인연이 깊습니다.","공무원, 대기업, 건설, 부동산, 금융 등 안정적 직종에 유리. 꾸준한 승진 가능. 공기업 취업도 좋음.","저축과 부동산 투자에 유리한 시기. 첫 집 마련 가능. 안정적 재무 기반 구축.","신뢰를 바탕으로 한 연애. 결혼 상대로 인기. 안정적 가정 구축 의지 강함.","체중 관리, 소화기 건강, 당뇨 초기 징후 주의. 규칙적 운동 습관 형성 필요.","취업 성공, 첫 부동산 매입, 결혼 준비, 저축 목표 달성, 자격증 취득","기반을 단단히 다지세요. 무토의 안정감은 20대에 쌓은 기초 위에서 빛을 발합니다."
DU_무_30대,무토 대운 30대,daeun_interpretation,무,30-39,30대,"무토(戊土) 대운이 30대에 오면 사회적 기반이 완성되는 시기입니다. 산이 우뚝 서듯 직장에서 핵심 인재로 자리잡고, 가정에서도 든든한 기둥 역할을 합니다. 부동산 재산이 늘어나는 시기입니다.","중간 관리자로서 안정적 성과. 부동산 관련 부업이나 투자 시작. 공무원이면 빠른 승진 가능.","부동산 가치 상승으로 자산 증식. 저축과 적금으로 안정적 재산 형성. 대출 관리 중요.","안정적 가정 운영. 가족 행사의 중심. 부모님 효도 실천. 자녀 출산과 양육에 최적.","위장 장애, 체중 증가, 당뇨 초기 검진 필요. 가벼운 운동 시작 권장.","내 집 마련, 결혼과 출산, 직장 안정, 부모 효도, 재산 형성","기초를 튼튼히 하면 어떤 폭풍에도 흔들리지 않습니다. 안정을 추구하되 성장도 게을리하지 마세요."
DU_무_40대,무토 대운 40대,daeun_interpretation,무,40-49,40대,"무토(戊土) 대운이 40대에 오면 인생의 중심축이 확고해지는 시기입니다. 큰 산처럼 흔들림 없는 존재감으로 가정과 직장에서 중추적 역할을 합니다. 부동산 투자의 최적기이기도 합니다.","조직의 핵심 리더. 부동산 투자나 개발 사업에서 성과. 관리직이나 경영진 진입.","부동산 추가 매입이나 개발로 자산 크게 증식. 안정적 포트폴리오 구축. 세금 관리 필요.","가족의 든든한 기둥. 자녀 교육에 아낌없는 투자. 부부 관계 안정적 유지.","성인병 주의. 위장 질환, 당뇨, 비만 관리가 핵심. 규칙적 건강 검진 필수.","부동산 투자 성공, 직장 내 핵심 위치, 자녀 교육 투자, 건강 관리 시작","산은 묵묵히 자리를 지킵니다. 변화에 흔들리지 않는 안정감이 40대 최고의 자산입니다."
DU_무_50대,무토 대운 50대,daeun_interpretation,무,50-59,50대,"무토(戊土) 대운이 50대에 오면 산의 위엄처럼 사회적 존경을 받는 시기입니다. 축적된 경험과 재산을 바탕으로 여유로운 삶을 즐기며, 후배 양성과 사회 공헌에 힘을 쏟습니다.","조직의 원로이자 자문 역할. 부동산 관리와 자산 운용이 주요 업무. 사회 공헌 활동 참여.","부동산 자산 정리와 이전 계획. 안정적 수익 유지. 은퇴 후 생활비 확보.","가족 모임의 중심. 자녀 결혼 준비. 손주 기대. 부부 여행으로 관계 강화.","관절, 소화기, 당뇨 관리가 핵심. 가벼운 등산이나 산책으로 체력 유지.","자산 정리, 은퇴 준비, 자녀 결혼 지원, 사회 공헌, 건강 관리 강화","산의 여유를 즐기세요. 서두르지 않아도 됩니다. 건강과 가족이 가장 중요한 자산입니다."
DU_무_60대,무토 대운 60대이후,daeun_interpretation,무,60+,60대이후,"무토(戊土) 대운이 60대 이후에 오면 산의 평화로운 모습처럼 안정적이고 넉넉한 노후를 보냅니다. 재산 관리가 잘 되어 경제적 걱정이 적으며, 가족의 정신적 기둥으로서 존경받습니다.","지역 사회 원로 역할. 부동산 자문이나 후배 지도. 텃밭 가꾸기나 농사 체험 활동.","부동산 자산으로 안정적 노후. 임대 수입이나 연금으로 여유로운 생활. 자녀에게 재산 이전.","대가족의 중심. 명절과 가족 행사의 주관자. 손주들의 사랑을 듬뿍 받음.","관절염, 소화 기능 저하, 당뇨 관리. 규칙적 식사와 가벼운 운동이 건강 비결.","가족 모임, 재산 이전, 건강 관리, 텃밭 가꾸기, 손주 돌봄","큰 산은 모든 것을 품습니다. 넉넉한 마음으로 가족을 보듬고, 건강을 최우선으로 챙기세요."
DU_기_10대,기토 대운 10대,daeun_interpretation,기,10-19,10대,"기토(己土) 대운이 10대에 오면 비옥한 논밭처럼 흡수력이 뛰어난 학창시절을 보냅니다. 다양한 지식을 스펀지처럼 흡수하며, 실용적이고 현실적인 사고를 합니다. 손재주가 뛰어나고 세밀한 작업에 강합니다.","실기 과목에서 두각. 요리, 공예, 원예, 과학 실험 등 손으로 하는 활동에 재능. 가정과목 최고.","알뜰한 소비 습관. 용돈을 잘 관리하고 저축하는 어린이/청소년. 물건의 가치를 잘 파악.","소수의 진한 친구 관계. 배려심 깊고 다정함. 친구의 고민을 잘 들어줌.","소화 장애, 피부 트러블, 알레르기 주의. 편식하지 않도록 다양한 음식 섭취.","손재주 발견, 실용적 재능 개발, 알뜰한 생활 습관, 깊은 우정, 요리/공예 관심","실용적인 재능을 키우세요. 기토의 생산력은 꾸준히 가꾸면 풍성한 수확으로 돌아옵니다."
