id,label,type,relation_type,branch1,branch2,element_clash,description,personality_effect,career_effect,health_effect,relationship_effect,timing_effect,severity,advice
BRD_묘오파,묘오파,branch_destruction,파,卯,午,,묘목(卯)과 오화(午)의 파. 나무가 불에 타는 형상이지만 상생 관계(목생화)에서도 과하면 파괴가 된다.,열정이 지나쳐 탈진. 좋은 의도가 과해서 역효과를 낳는 패턴. 번아웃 경향.,과도한 업무로 인한 탈진. 열정 프로젝트의 실패. 과잉투자.,"심장/간 부담. 화병, 열성 질환. 눈 충혈, 두통.",과한 사랑이 상대를 질식시킴. 집착적 애정 표현으로 이별.,화기가 왕한 여름(사오미월)에 특히 주의.,2,적당히 하세요. 과유불급입니다. 열정을 조절하고 쉬어가는 여유가 필요합니다.
BRD_자미해,자미해,branch_harm,해,子,未,,자수(子)와 미토(未)의 해(害). 육합(자축합)을 방해하는 관계. 좋은 인연을 끊는 파괴자.,질투심이 강하고 남의 행복을 방해하는 경향. 은근한 시기와 뒷담화. 표면적으로는 좋은 척하지만 속으로는 해치려 함.,동업자의 배신. 계약 후 뒤통수. 투자 사기. 보증으로 인한 손해.,위장/신장 약화. 스트레스성 소화불량. 신경성 질환.,연인 사이에 끼어드는 제3자. 시어머니와 며느리의 갈등(전통적 해석). 친구의 배신.,은근하게 오래 지속. 겉으로 드러나지 않아 방비가 어려움.,3,사람을 잘 보세요. 보증 서지 마세요. 계약서를 꼼꼼히 읽으세요. 뒤에서 하는 말을 조심하세요.
BRD_축오해,축오해,branch_harm,해,丑,午,,축토(丑)와 오화(午)의 해. 오미합(午未合)을 방해. 화기를 토가 억눌러 열정을 꺾는다.,의욕 저하. 하고 싶은 일이 있어도 현실적 제약에 막힘. 좌절감이 쌓이는 타입.,사업 의욕이 꺾임. 승진이 눈앞에서 무산. 자금 동결.,심장/위장 동시 약화. 소화불량 + 가슴 답답함. 우울.,열정적인 파트너와 현실적인 파트너 사이의 갈등. 시댁/처가 문제.,서서히 의욕이 사라짐. 봄~여름에 시작된 계획이 가을에 좌절.,2,현실과 이상의 균형을 잡으세요. 모든 것을 한번에 하려 하지 말고 단계별로 접근하세요.
BRD_인사해,인사해,branch_harm,해,寅,巳,,인목(寅)과 사화(巳)의 해. 인해합(寅亥合)을 방해. 새로운 시작을 불이 태워버리는 상.,좋은 시작이 중간에 무산됨. 계획은 원대하나 실행 단계에서 방해가 생긴다. 의지가 약해지기 쉽다.,사업 초기 단계에서 좌절. 파트너의 갑작스러운 이탈. 투자금 소실.,간/심장 약화. 화상 주의. 급성 열병.,새로 시작한 관계의 급격한 냉각. 기대했던 만남이 실망으로.,봄(인월)에 시작한 일이 여름(사월)에 문제 발생.,3,시작이 중요합니다. 충분한 준비 없이 급하게 시작하지 마세요. 보험과 플랜B를 항상 준비하세요.
BRD_묘진해,묘진해,branch_harm,해,卯,辰,,묘목(卯)과 진토(辰)의 해. 진유합(辰酉合)을 방해. 꽃이 흙에 묻히는 상.,재능이 묻히는 타입. 능력은 있으나 발휘할 기회가 없다. 자기표현에 어려움을 겪는다.,실력은 있으나 인정받지 못함. 뒤늦게 빛을 보는 대기만성형. 예술가의 무명 시절.,간/소화기. 만성 피로. 알레르기.,재능을 알아주는 사람을 못 만남. 좋은 인연이 엇갈림.,봄철에 기회가 왔다가 놓침. 타이밍이 자주 엇갈림.,2,때를 기다리세요. 꾸준히 실력을 갈고닦으면 반드시 빛을 봅니다. 자기 PR 능력을 키우세요.
BRD_자미원진,자미원진,branch_grudge,원진,子,未,,자(子)와 미(未)는 서로 미워하면서도 끊을 수 없는 악연. 물과 마른 땅의 갈등. 가까울수록 상처가 깊다.,가까운 사람과 갈등이 심하다. 사랑하면서도 미워하는 복잡한 감정. 애증의 관계를 반복한다.,가까운 동료/파트너와 갈등. 동업하면 반드시 다툼. 가족 사업에서의 불화.,스트레스성 질환. 신경성 위장장애. 불면.,부부 갈등의 전형. 사랑하지만 함께하면 싸움. 거리를 두면 그리움.,지속적이고 반복적. 특정 시기가 아닌 평생의 패턴으로 나타남.,3,적당한 거리를 유지하세요. 너무 가까이하면 상처받습니다. 각자의 공간을 존중하세요.
BRD_축오원진,축오원진,branch_grudge,원진,丑,午,,축(丑)과 오(午)의 원진. 차가운 흙과 뜨거운 불의 갈등. 성격이 정반대라 이해가 안 되는 관계.,정반대 성격의 사람에게 끌리지만 함께하면 힘들다. 보수(축)와 진보(오)의 갈등처럼 가치관 충돌.,보수적 경영자와 혁신적 직원의 갈등. 세대 차이로 인한 업무 마찰.,위장/심장. 냉증과 열증이 교차.,시부모와 며느리/사위 갈등. 세대 간 가치관 차이.,계절이 바뀌는 시기(환절기)에 갈등 심화.,3,다름을 인정하세요. 나와 다른 것이 틀린 것이 아닙니다. 상대의 장점에서 배우세요.
BRD_인유원진,인유원진,branch_grudge,원진,寅,酉,,인(寅)과 유(酉)의 원진. 호랑이와 닭의 갈등. 행동파와 말쟁이의 충돌.,행동이 앞서는 사람과 말이 앞서는 사람의 갈등. 서로의 방식을 이해하지 못한다.,실행력 vs 기획력의 갈등. 현장과 사무실의 마찰.,간/폐 약화. 호흡기 + 근골격계.,행동형 파트너와 사고형 파트너의 마찰. 소통 방식의 차이.,봄(인월)~가을(유월) 사이 갈등 고조.,2,"소통의 다리를 놓으세요. 말로 하는 사람과 행동으로 보여주는 사람, 둘 다 필요합니다."
BRD_묘신원진,묘신원진,branch_grudge,원진,卯,申,,묘(卯)와 신(申)의 원진. 토끼와 원숭이의 갈등. 감성과 이성의 대립.,감성적인 사람과 논리적인 사람의 갈등. 예술가 vs 과학자 같은 사고방식의 차이.,창의 부서와 관리 부서의 갈등. 예술과 상업의 타협 실패.,간/대장. 신경계 약화. 손목/손가락 통증.,감성적 소통을 원하는데 상대는 논리적으로만 접근. 공감 부족.,묘월(3월)~신월(8월) 갈등 심화.,2,서로의 언어를 배우세요. 감성과 이성은 상호보완적입니다.
BRD_진해원진,진해원진,branch_grudge,원진,辰,亥,,진(辰)과 해(亥)의 원진. 용과 돼지의 갈등. 이상주의자와 현실주의자의 대립.,큰 꿈을 꾸는 사람과 눈앞의 행복에 충실한 사람의 갈등. 야망과 안주의 충돌.,사업 확장파와 안정파의 갈등. 투자 vs 저축 논쟁.,소화기/비뇨기. 수분 대사 이상.,원대한 목표를 가진 파트너와 소소한 행복을 원하는 파트너.,대운에서 큰 결정을 앞둔 시기에 갈등 심화.,2,꿈과 현실의 균형이 필요합니다. 큰 그림을 그리되 작은 행복도 놓치지 마세요.
BRD_사술원진,사술원진,branch_grudge,원진,巳,戌,,사(巳)와 술(戌)의 원진. 뱀과 개의 갈등. 은밀함과 충직함의 대립.,전략적으로 숨기는 사람과 솔직하게 드러내는 사람의 갈등. 비밀주의 vs 투명주의.,내부 정보 관리자와 공개주의자의 갈등. 보안과 투명성 사이.,심장/소화기. 불안장애. 의심병.,비밀을 지키고 싶은데 상대가 모든 것을 공개하려 함. 신뢰의 정의가 다름.,가을(술월)~여름(사월) 사이 비밀 관련 갈등.,2,신뢰의 방식은 다양합니다. 모든 것을 공개하는 것만이 신뢰가 아닙니다. 서로의 경계를 존중하세요.
BRD_공망_갑자순,공망 갑자순,branch_void,공망,戌亥,,,갑자순(甲子~癸酉) 공망: 술(戌)·해(亥)가 빈다. 이 순에 태어난 사람은 술·해 지지가 비어 해당 영역이 허하다.,영적 감수성이 뛰어남. 물질적 집착이 적고 초연함. 하지만 해당 영역에서 노력해도 성과가 적을 수 있다.,"술(개)·해(돼지)에 해당하는 직업/재물이 허함. 부동산(술토), 해외(해수) 관련 어려움 가능.",술: 소화기/피부 허약. 해: 비뇨기/신장 허약.,술해 공망은 가을~겨울 시기의 인연이 약함. 늦가을에 시작한 관계가 오래가기 어려움.,술월(10월)·해월(11월)에 공허감이 커짐. 이 시기 중요 결정 보류 권장.,3,공망은 비워야 채워집니다. 해당 영역에 집착하지 말고 다른 강점을 키우세요. 영적 성장의 기회로 삼으세요.
BRD_공망_갑술순,공망 갑술순,branch_void,공망,申酉,,,갑술순(甲戌~癸未) 공망: 신(申)·유(酉)가 빈다. 금기(金氣)가 비어 결단력과 판단력이 약해질 수 있다.,우유부단한 면이 있다. 결정을 내리기 어려워하고 선택의 순간에 망설인다. 하지만 유연하고 포용적.,금속/금융/법률(금 관련) 분야에서 어려움. 칼을 쓰는 직업(의사/요리사)과 인연이 약함.,폐/대장 허약. 호흡기 질환 주의. 피부 건조.,가을(신유월)에 시작한 인연이 약함. 금의 기질(냉정/결단)이 부족해 우유부단한 연애.,신월(8월)·유월(9월)에 판단력 흐려짐. 이 시기 큰 결정 피할 것.,3,결단력을 키우세요. 공망이 금에 있으면 명확한 판단 연습이 필요합니다. 우유부단함이 가장 큰 적입니다.
BRD_공망_갑신순,공망 갑신순,branch_void,공망,午未,,,갑신순(甲申~癸巳) 공망: 오(午)·미(未)가 빈다. 화토(火土)가 비어 열정과 안정감이 약해질 수 있다.,열정이 부족하거나 금방 식는다. 안정적인 기반을 만들기 어려움. 하지만 차분하고 냉정한 판단 가능.,화(IT/에너지/연예)와 토(부동산/농업) 관련 어려움. 열정을 요구하는 직업에서 빠른 번아웃.,심장/소화기 허약. 냉증. 소화불량 만성화.,여름(오미월) 인연이 약함. 뜨거운 사랑이 오래가지 않음.,오월(6월)·미월(7월)에 공허감. 여름 프로젝트 주의.,3,"열정을 인위적으로 만들려 하지 마세요. 차분한 성격을 강점으로 삼고, 안정 기반은 다른 방식으로 만드세요."
BRD_공망_갑오순,공망 갑오순,branch_void,공망,辰巳,,,갑오순(甲午~癸卯) 공망: 진(辰)·사(巳)가 빈다. 토화(土火)가 비어 변화의 동력과 지혜가 약해질 수 있다.,변화에 소극적이고 지적 호기심이 약할 수 있다. 하지만 한 분야에서 깊이 파고드는 집중력이 있다.,진(토)과 사(화) 관련 분야 어려움. 변화가 필요한 스타트업보다 안정적 조직 적합.,소화기/심장. 봄~여름 환절기 건강 주의.,봄 끝(진월)~여름 초(사월) 인연이 약함. 변화기 관계 불안정.,진월(4월)·사월(5월)에 판단 흐림.,2,안정 속에서 강점을 찾으세요. 급변보다는 점진적 변화가 당신에게 맞습니다.
BRD_공망_갑진순,공망 갑진순,branch_void,공망,寅卯,,,갑진순(甲辰~癸丑) 공망: 인(寅)·묘(卯)가 빈다. 목기(木氣)가 비어 성장과 확장의 에너지가 약하다.,성장 동력이 부족하다. 새로운 것을 시작하기 어렵고 현상 유지에 머무는 경향. 하지만 완성도가 높다.,목(교육/출판/예술) 관련 어려움. 창업보다 기존 조직에서 성장. 시작보다 마무리에 강함.,간/담 허약. 근육/인대 약함. 봄철 건강 주의.,봄(인묘월) 인연이 약함. 새로운 만남보다 기존 관계 유지에 강함.,인월(2월)·묘월(3월)에 새로운 시작 불리. 마무리에 집중.,2,시작보다 완성에 집중하세요. 새로운 것을 억지로 시작하기보다 이미 있는 것을 더 잘 만드세요.
BRD_공망_갑인순,공망 갑인순,branch_void,공망,子丑,,,갑인순(甲寅~癸亥) 공망: 자(子)·축(丑)이 빈다. 수토(水土)가 비어 지혜의 근원과 안정의 기반이 약하다.,직감이 약하고 기반이 불안정할 수 있다. 하지만 현실적이고 실용적인 접근이 가능하다.,수(무역/유통/수산)와 토(부동산/건설) 관련 어려움. 겨울 사업 주의.,"신장/비장 허약. 냉증, 부종. 겨울철 건강 관리 필수.",겨울(자축월) 인연이 약함. 이성 초기 만남이 어렵지만 한번 맺은 인연은 깊음.,자월(12월)·축월(1월)에 공허감. 연말연시 외로움.,2,기반을 만드세요. 공망이 수토에 있으면 물질적/정서적 안전망을 의식적으로 구축해야 합니다.
