id,label,type,category,description,positive,negative,advice
SS_천덕귀인,천덕귀인,shinsal,길성,"하늘의 덕을 받는 귀인. 재앙을 피하고 복을 받음.","재앙 방지. 건강. 선한 영향력.","특별한 흉함 없음.","덕을 쌓으면 더 큰 복이 옵니다."
SS_월덕귀인,월덕귀인,shinsal,길성,"달의 덕을 받는 귀인. 매월 보호받음.","재앙 방지. 건강. 주변의 도움.","특별한 흉함 없음.","매달 감사하며 살면 복이 늘어납니다."
SS_문창귀인,문창귀인,shinsal,학문,"학문과 문서에 좋은 귀인. 시험운, 문서운 좋음.","학업 성취. 자격증, 시험 합격. 문서 관련 행운.","특별한 흉함 없음.","공부하세요. 자격증 취득 권장."
SS_학당귀인,학당귀인,shinsal,학문,"배움의 전당. 학문에 뛰어난 재능.","학업 성취. 교육자 자질. 지적 호기심.","현실보다 책만 파고드는 경향.","배운 것을 실전에 활용하세요."
SS_금여록,금여록,shinsal,재물,"황금 수레. 재물운과 신분 상승운.","재물운 좋음. 부자 될 가능성. 사회적 성공.","돈에 지나치게 집착할 수 있음.","재물을 나누면 더 커집니다."
SS_암록,암록,shinsal,재물,"숨은 재물. 티 나지 않게 부자가 됨.","숨은 재산. 안정적인 부. 알부자.","재산을 숨기다 문제 생길 수 있음.","적당히 드러내고 나누세요."
SS_장성살,장성살,shinsal,권력,"장군의 별. 리더십과 권력을 나타냄.","리더십. 권위. 통솔력. 출세운.","독재적일 수 있음. 아랫사람과 갈등.","권력은 책임을 수반합니다. 겸손하세요."
SS_반안살,반안살,shinsal,안정,"안장에 편안히 앉은 형상. 안정과 편안함.","안정적인 삶. 편안함. 걱정 없는 생활.","너무 편해서 게을러질 수 있음.","안주하지 말고 발전하세요."
SS_재살,재살,shinsal,재앙,"재앙의 살. 갑작스러운 불행 주의.","위기 대처 능력 향상. 경험 축적.","갑작스러운 사고, 질병, 손실 가능.","보험, 건강검진, 안전 최우선."
SS_천살,천살,shinsal,재앙,"하늘의 재앙. 예측 불가능한 사건.","하늘의 뜻에 순응. 겸손함 배움.","자연재해, 예상치 못한 사고.","대비하고 겸손하게 사세요."
SS_월살,월살,shinsal,재앙,"달의 재앙. 감정적 문제, 여성 관련 문제.","감정 이해력 향상. 여성과의 인연.","감정 기복. 여성과의 갈등. 정신적 고통.","감정 조절 연습. 명상 권장."
SS_망신살,망신살,shinsal,명예,"명예 실추의 살. 체면 손상 주의.","실패를 통한 겸손. 자기 반성.","명예 손상. 구설수. 창피당함.","말과 행동 조심. SNS 주의."
SS_육해살,육해살,shinsal,관계,"육친 간의 해로움. 가족이나 가까운 사람과의 갈등.","가족 관계 개선 노력으로 성장. 독립심 강화.","가족 간 불화. 형제자매와 갈등. 배신감.","가족과 거리를 두되 정은 유지. 독립 권장."
SS_지살,지살,shinsal,재앙,"땅의 재앙. 부동산, 주거 관련 문제 주의.","부동산 투자 시 신중함 배움. 안정 추구.","주거 불안. 이사 문제. 부동산 손실 가능.","이사나 부동산 거래 시 전문가 상담 필수."
SS_년살,년살,shinsal,재앙,"해의 재앙. 매년 반복되는 어려움.","주기적 어려움 대비 능력 향상.","매년 특정 시기에 어려움 반복.","패턴을 파악하고 미리 대비하세요."
SS_현침살,현침살,shinsal,특수,"바늘처럼 날카로운 살. 의료, 침술, 재봉 관련 재능.","섬세한 손재주. 의료인, 디자이너 적합. 정교한 작업 능력.","날카로운 성격. 신경 예민. 바늘이나 날카로운 것에 다칠 수 있음.","섬세함을 직업으로 승화. 의료, 패션 분야 추천."
SS_고신살,고신살,shinsal,고독,"외로운 별. 홀로 있는 시간이 많음.","독립심 강함. 혼자 하는 일에 적합. 내면 성찰 능력.","고독함. 인간관계 어려움. 결혼운 약함.","혼자만의 시간을 즐기되 사회적 관계도 유지하세요."
SS_태극귀인,태극귀인,shinsal,길성,"음양의 조화. 극과 극을 아우르는 능력.","균형 감각 뛰어남. 중재 능력. 양면을 이해함.","특별한 흉함 없음.","균형 잡힌 시각으로 갈등을 중재하세요."
SS_천문성,천문성,shinsal,학문,"하늘의 문. 학문과 지혜를 나타냄.","학문적 재능. 연구직 적합. 지적 호기심 왕성.","현실보다 이론에 치우침. 사회성 부족.","이론을 실제에 적용하는 연습을 하세요."
SS_문곡성,문곡성,shinsal,예술,"예술과 문학의 별. 창작 재능이 뛰어남.","문학, 예술, 음악에 재능. 창의력 풍부.","현실 감각 부족. 예민한 감성으로 상처받기 쉬움.","예술로 감정을 표현하세요. 창작 활동 권장."
SS_공망,공망,shinsal,특수,"빈 공간. 해당 지지의 기운이 비어있음.","무에서 유를 창조. 새로운 시작에 유리.","해당 영역에서 결핍감. 노력해도 성과 부족.","공망 영역은 집착하지 말고 다른 분야에 집중."
SS_천의성,천의성,shinsal,길성,"하늘의 의원. 치유와 건강을 나타냄.","의료, 힐링 분야 재능. 타인을 치유하는 능력.","특별한 흉함 없음.","의료, 상담, 힐링 분야에서 능력 발휘하세요."
SS_천주귀인,천주귀인,shinsal,길성,"하늘의 주방. 음식과 재물복을 나타냄.","음식 관련 사업 유리. 재물복 있음. 먹을 복 많음.","특별한 흉함 없음.","요식업, 식품 관련 분야 추천."
SS_건록,건록,shinsal,길성,"일간의 녹지. 재물과 직업운이 좋음.","직업운 좋음. 안정적 수입. 사회적 인정.","특별한 흉함 없음.","직장생활에 충실하면 승진과 인정이 따릅니다."
SS_제왕,제왕,shinsal,권력,"제왕의 자리. 최고의 에너지와 권력.","최고의 기운. 리더십 최강. 카리스마 넘침.","독단적일 수 있음. 내리막 대비 필요.","정상에서 겸손하세요. 후계자 양성 고려."
