id,label,type,ganji,sibsin,description
GAN_경신_편재,경신·편재,saju_ganji_sibsin,경신,편재,GAN_경신 일주의 편재 십신 결합 노드.
GAN_경오_겁재,경오·겁재,saju_ganji_sibsin,경오,겁재,GAN_경오 일주의 겁재 십신 결합 노드.
GAN_경오_비견,경오·비견,saju_ganji_sibsin,경오,비견,GAN_경오 일주의 비견 십신 결합 노드.
GAN_경오_상관,경오·상관,saju_ganji_sibsin,경오,상관,GAN_경오 일주의 상관 십신 결합 노드.
GAN_경오_식신,경오·식신,saju_ganji_sibsin,경오,식신,GAN_경오 일주의 식신 십신 결합 노드.
GAN_경오_정관,경오·정관,saju_ganji_sibsin,경오,정관,GAN_경오 일주의 정관 십신 결합 노드.
GAN_경오_정인,경오·정인,saju_ganji_sibsin,경오,정인,GAN_경오 일주의 정인 십신 결합 노드.
GAN_경오_정재,경오·정재,saju_ganji_sibsin,경오,정재,GAN_경오 일주의 정재 십신 결합 노드.
GAN_경오_편관,경오·편관,saju_ganji_sibsin,경오,편관,GAN_경오 일주의 편관 십신 결합 노드.
GAN_경오_편인,경오·편인,saju_ganji_sibsin,경오,편인,GAN_경오 일주의 편인 십신 결합 노드.
GAN_경오_편재,경오·편재,saju_ganji_sibsin,경오,편재,GAN_경오 일주의 편재 십신 결합 노드.
GAN_경인_겁재,경인·겁재,saju_ganji_sibsin,경인,겁재,GAN_경인 일주의 겁재 십신 결합 노드.
GAN_경인_비견,경인·비견,saju_ganji_sibsin,경인,비견,GAN_경인 일주의 비견 십신 결합 노드.
GAN_경인_상관,경인·상관,saju_ganji_sibsin,경인,상관,GAN_경인 일주의 상관 십신 결합 노드.
GAN_경인_식신,경인·식신,saju_ganji_sibsin,경인,식신,GAN_경인 일주의 식신 십신 결합 노드.
GAN_경인_정관,경인·정관,saju_ganji_sibsin,경인,정관,GAN_경인 일주의 정관 십신 결합 노드.
GAN_경인_정인,경인·정인,saju_ganji_sibsin,경인,정인,GAN_경인 일주의 정인 십신 결합 노드.
GAN_경인_정재,경인·정재,saju_ganji_sibsin,경인,정재,GAN_경인 일주의 정재 십신 결합 노드.
GAN_경인_편관,경인·편관,saju_ganji_sibsin,경인,편관,GAN_경인 일주의 편관 십신 결합 노드.
GAN_경인_편인,경인·편인,saju_ganji_sibsin,경인,편인,GAN_경인 일주의 편인 십신 결합 노드.
GAN_경인_편재,경인·편재,saju_ganji_sibsin,경인,편재,GAN_경인 일주의 편재 십신 결합 노드.
GAN_경자_겁재,경자·겁재,saju_ganji_sibsin,경자,겁재,GAN_경자 일주의 겁재 십신 결합 노드.
GAN_경자_비견,경자·비견,saju_ganji_sibsin,경자,비견,GAN_경자 일주의 비견 십신 결합 노드.
GAN_경자_상관,경자·상관,saju_ganji_sibsin,경자,상관,GAN_경자 일주의 상관 십신 결합 노드.
GAN_경자_식신,경자·식신,saju_ganji_sibsin,경자,식신,GAN_경자 일주의 식신 십신 결합 노드.
GAN_경자_정관,경자·정관,saju_ganji_sibsin,경자,정관,GAN_경자 일주의 정관 십신 결합 노드.
GAN_경자_정인,경자·정인,saju_ganji_sibsin,경자,정인,GAN_경자 일주의 정인 십신 결합 노드.
GAN_경자_정재,경자·정재,saju_ganji_sibsin,경자,정재,GAN_경자 일주의 정재 십신 결합 노드.
GAN_경자_편관,경자·편관,saju_ganji_sibsin,경자,편관,GAN_경자 일주의 편관 십신 결합 노드.
GAN_경자_편인,경자·편인,saju_ganji_sibsin,경자,편인,GAN_경자 일주의 편인 십신 결합 노드.
GAN_경자_편재,경자·편재,saju_ganji_sibsin,경자,편재,GAN_경자 일주의 편재 십신 결합 노드.
GAN_경진_겁재,경진·겁재,saju_ganji_sibsin,경진,겁재,GAN_경진 일주의 겁재 십신 결합 노드.
GAN_경진_비견,경진·비견,saju_ganji_sibsin,경진,비견,GAN_경진 일주의 비견 십신 결합 노드.
GAN_경진_상관,경진·상관,saju_ganji_sibsin,경진,상관,GAN_경진 일주의 상관 십신 결합 노드.
GAN_경진_식신,경진·식신,saju_ganji_sibsin,경진,식신,GAN_경진 일주의 식신 십신 결합 노드.
GAN_경진_정관,경진·정관,saju_ganji_sibsin,경진,정관,GAN_경진 일주의 정관 십신 결합 노드.
GAN_경진_정인,경진·정인,saju_ganji_sibsin,경진,정인,GAN_경진 일주의 정인 십신 결합 노드.
GAN_경진_정재,경진·정재,saju_ganji_sibsin,경진,정재,GAN_경진 일주의 정재 십신 결합 노드.
GAN_경진_편관,경진·편관,saju_ganji_sibsin,경진,편관,GAN_경진 일주의 편관 십신 결합 노드.
GAN_경진_편인,경진·편인,saju_ganji_sibsin,경진,편인,GAN_경진 일주의 편인 십신 결합 노드.
GAN_경진_편재,경진·편재,saju_ganji_sibsin,경진,편재,GAN_경진 일주의 편재 십신 결합 노드.
GAN_계묘_겁재,계묘·겁재,saju_ganji_sibsin,계묘,겁재,GAN_계묘 일주의 겁재 십신 결합 노드.
GAN_계묘_비견,계묘·비견,saju_ganji_sibsin,계묘,비견,GAN_계묘 일주의 비견 십신 결합 노드.
GAN_계묘_상관,계묘·상관,saju_ganji_sibsin,계묘,상관,GAN_계묘 일주의 상관 십신 결합 노드.
GAN_계묘_식신,계묘·식신,saju_ganji_sibsin,계묘,식신,GAN_계묘 일주의 식신 십신 결합 노드.
GAN_계묘_정관,계묘·정관,saju_ganji_sibsin,계묘,정관,GAN_계묘 일주의 정관 십신 결합 노드.
GAN_계묘_정인,계묘·정인,saju_ganji_sibsin,계묘,정인,GAN_계묘 일주의 정인 십신 결합 노드.
GAN_계묘_정재,계묘·정재,saju_ganji_sibsin,계묘,정재,GAN_계묘 일주의 정재 십신 결합 노드.
GAN_계묘_편관,계묘·편관,saju_ganji_sibsin,계묘,편관,GAN_계묘 일주의 편관 십신 결합 노드.
GAN_계묘_편인,계묘·편인,saju_ganji_sibsin,계묘,편인,GAN_계묘 일주의 편인 십신 결합 노드.
GAN_계묘_편재,계묘·편재,saju_ganji_sibsin,계묘,편재,GAN_계묘 일주의 편재 십신 결합 노드.
GAN_계미_겁재,계미·겁재,saju_ganji_sibsin,계미,겁재,GAN_계미 일주의 겁재 십신 결합 노드.
GAN_계미_비견,계미·비견,saju_ganji_sibsin,계미,비견,GAN_계미 일주의 비견 십신 결합 노드.
GAN_계미_상관,계미·상관,saju_ganji_sibsin,계미,상관,GAN_계미 일주의 상관 십신 결합 노드.
GAN_계미_식신,계미·식신,saju_ganji_sibsin,계미,식신,GAN_계미 일주의 식신 십신 결합 노드.
GAN_계미_정관,계미·정관,saju_ganji_sibsin,계미,정관,GAN_계미 일주의 정관 십신 결합 노드.
GAN_계미_정인,계미·정인,saju_ganji_sibsin,계미,정인,GAN_계미 일주의 정인 십신 결합 노드.
GAN_계미_정재,계미·정재,saju_ganji_sibsin,계미,정재,GAN_계미 일주의 정재 십신 결합 노드.
GAN_계미_편관,계미·편관,saju_ganji_sibsin,계미,편관,GAN_계미 일주의 편관 십신 결합 노드.
GAN_계미_편인,계미·편인,saju_ganji_sibsin,계미,편인,GAN_계미 일주의 편인 십신 결합 노드.
GAN_계미_편재,계미·편재,saju_ganji_sibsin,계미,편재,GAN_계미 일주의 편재 십신 결합 노드.
GAN_계사_겁재,계사·겁재,saju_ganji_sibsin,계사,겁재,GAN_계사 일주의 겁재 십신 결합 노드.
GAN_계사_비견,계사·비견,saju_ganji_sibsin,계사,비견,GAN_계사 일주의 비견 십신 결합 노드.
GAN_계사_상관,계사·상관,saju_ganji_sibsin,계사,상관,GAN_계사 일주의 상관 십신 결합 노드.
GAN_계사_식신,계사·식신,saju_ganji_sibsin,계사,식신,GAN_계사 일주의 식신 십신 결합 노드.
GAN_계사_정관,계사·정관,saju_ganji_sibsin,계사,정관,GAN_계사 일주의 정관 십신 결합 노드.
GAN_계사_정인,계사·정인,saju_ganji_sibsin,계사,정인,GAN_계사 일주의 정인 십신 결합 노드.
GAN_계사_정재,계사·정재,saju_ganji_sibsin,계사,정재,GAN_계사 일주의 정재 십신 결합 노드.
GAN_계사_편관,계사·편관,saju_ganji_sibsin,계사,편관,GAN_계사 일주의 편관 십신 결합 노드.
GAN_계사_편인,계사·편인,saju_ganji_sibsin,계사,편인,GAN_계사 일주의 편인 십신 결합 노드.
GAN_계사_편재,계사·편재,saju_ganji_sibsin,계사,편재,GAN_계사 일주의 편재 십신 결합 노드.
GAN_계유_겁재,계유·겁재,saju_ganji_sibsin,계유,겁재,GAN_계유 일주의 겁재 십신 결합 노드.
GAN_계유_비견,계유·비견,saju_ganji_sibsin,계유,비견,GAN_계유 일주의 비견 십신 결합 노드.
GAN_계유_상관,계유·상관,saju_ganji_sibsin,계유,상관,GAN_계유 일주의 상관 십신 결합 노드.
GAN_계유_식신,계유·식신,saju_ganji_sibsin,계유,식신,GAN_계유 일주의 식신 십신 결합 노드.
GAN_계유_정관,계유·정관,saju_ganji_sibsin,계유,정관,GAN_계유 일주의 정관 십신 결합 노드.
GAN_계유_정인,계유·정인,saju_ganji_sibsin,계유,정인,GAN_계유 일주의 정인 십신 결합 노드.
GAN_계유_정재,계유·정재,saju_ganji_sibsin,계유,정재,GAN_계유 일주의 정재 십신 결합 노드.
GAN_계유_편관,계유·편관,saju_ganji_sibsin,계유,편관,GAN_계유 일주의 편관 십신 결합 노드.
GAN_계유_편인,계유·편인,saju_ganji_sibsin,계유,편인,GAN_계유 일주의 편인 십신 결합 노드.
GAN_계유_편재,계유·편재,saju_ganji_sibsin,계유,편재,GAN_계유 일주의 편재 십신 결합 노드.
GAN_계축_겁재,계축·겁재,saju_ganji_sibsin,계축,겁재,GAN_계축 일주의 겁재 십신 결합 노드.
GAN_계축_비견,계축·비견,saju_ganji_sibsin,계축,비견,GAN_계축 일주의 비견 십신 결합 노드.
GAN_계축_상관,계축·상관,saju_ganji_sibsin,계축,상관,GAN_계축 일주의 상관 십신 결합 노드.
GAN_계축_식신,계축·식신,saju_ganji_sibsin,계축,식신,GAN_계축 일주의 식신 십신 결합 노드.
GAN_계축_정관,계축·정관,saju_ganji_sibsin,계축,정관,GAN_계축 일주의 정관 십신 결합 노드.
GAN_계축_정인,계축·정인,saju_ganji_sibsin,계축,정인,GAN_계축 일주의 정인 십신 결합 노드.
GAN_계축_정재,계축·정재,saju_ganji_sibsin,계축,정재,GAN_계축 일주의 정재 십신 결합 노드.
GAN_계축_편관,계축·편관,saju_ganji_sibsin,계축,편관,GAN_계축 일주의 편관 십신 결합 노드.
GAN_계축_편인,계축·편인,saju_ganji_sibsin,계축,편인,GAN_계축 일주의 편인 십신 결합 노드.
GAN_계축_편재,계축·편재,saju_ganji_sibsin,계축,편재,GAN_계축 일주의 편재 십신 결합 노드.
GAN_계해_겁재,계해·겁재,saju_ganji_sibsin,계해,겁재,GAN_계해 일주의 겁재 십신 결합 노드.
GAN_계해_비견,계해·비견,saju_ganji_sibsin,계해,비견,GAN_계해 일주의 비견 십신 결합 노드.
GAN_계해_상관,계해·상관,saju_ganji_sibsin,계해,상관,GAN_계해 일주의 상관 십신 결합 노드.
GAN_계해_식신,계해·식신,saju_ganji_sibsin,계해,식신,GAN_계해 일주의 식신 십신 결합 노드.
GAN_계해_정관,계해·정관,saju_ganji_sibsin,계해,정관,GAN_계해 일주의 정관 십신 결합 노드.
GAN_계해_정인,계해·정인,saju_ganji_sibsin,계해,정인,GAN_계해 일주의 정인 십신 결합 노드.
GAN_계해_정재,계해·정재,saju_ganji_sibsin,계해,정재,GAN_계해 일주의 정재 십신 결합 노드.
GAN_계해_편관,계해·편관,saju_ganji_sibsin,계해,편관,GAN_계해 일주의 편관 십신 결합 노드.
GAN_계해_편인,계해·편인,saju_ganji_sibsin,계해,편인,GAN_계해 일주의 편인 십신 결합 노드.
GAN_계해_편재,계해·편재,saju_ganji_sibsin,계해,편재,GAN_계해 일주의 편재 십신 결합 노드.
GAN_기묘_겁재,기묘·겁재,saju_ganji_sibsin,기묘,겁재,GAN_기묘 일주의 겁재 십신 결합 노드.
GAN_기묘_비견,기묘·비견,saju_ganji_sibsin,기묘,비견,GAN_기묘 일주의 비견 십신 결합 노드.
GAN_기묘_상관,기묘·상관,saju_ganji_sibsin,기묘,상관,GAN_기묘 일주의 상관 십신 결합 노드.
GAN_기묘_식신,기묘·식신,saju_ganji_sibsin,기묘,식신,GAN_기묘 일주의 식신 십신 결합 노드.
GAN_기묘_정관,기묘·정관,saju_ganji_sibsin,기묘,정관,GAN_기묘 일주의 정관 십신 결합 노드.
GAN_기묘_정인,기묘·정인,saju_ganji_sibsin,기묘,정인,GAN_기묘 일주의 정인 십신 결합 노드.
GAN_기묘_정재,기묘·정재,saju_ganji_sibsin,기묘,정재,GAN_기묘 일주의 정재 십신 결합 노드.
GAN_기묘_편관,기묘·편관,saju_ganji_sibsin,기묘,편관,GAN_기묘 일주의 편관 십신 결합 노드.
GAN_기묘_편인,기묘·편인,saju_ganji_sibsin,기묘,편인,GAN_기묘 일주의 편인 십신 결합 노드.
GAN_기묘_편재,기묘·편재,saju_ganji_sibsin,기묘,편재,GAN_기묘 일주의 편재 십신 결합 노드.
GAN_기미_겁재,기미·겁재,saju_ganji_sibsin,기미,겁재,GAN_기미 일주의 겁재 십신 결합 노드.
GAN_기미_비견,기미·비견,saju_ganji_sibsin,기미,비견,GAN_기미 일주의 비견 십신 결합 노드.
GAN_기미_상관,기미·상관,saju_ganji_sibsin,기미,상관,GAN_기미 일주의 상관 십신 결합 노드.
GAN_기미_식신,기미·식신,saju_ganji_sibsin,기미,식신,GAN_기미 일주의 식신 십신 결합 노드.
GAN_기미_정관,기미·정관,saju_ganji_sibsin,기미,정관,GAN_기미 일주의 정관 십신 결합 노드.
GAN_기미_정인,기미·정인,saju_ganji_sibsin,기미,정인,GAN_기미 일주의 정인 십신 결합 노드.
GAN_기미_정재,기미·정재,saju_ganji_sibsin,기미,정재,GAN_기미 일주의 정재 십신 결합 노드.
GAN_기미_편관,기미·편관,saju_ganji_sibsin,기미,편관,GAN_기미 일주의 편관 십신 결합 노드.
GAN_기미_편인,기미·편인,saju_ganji_sibsin,기미,편인,GAN_기미 일주의 편인 십신 결합 노드.
GAN_기미_편재,기미·편재,saju_ganji_sibsin,기미,편재,GAN_기미 일주의 편재 십신 결합 노드.
GAN_기사_겁재,기사·겁재,saju_ganji_sibsin,기사,겁재,GAN_기사 일주의 겁재 십신 결합 노드.
GAN_기사_비견,기사·비견,saju_ganji_sibsin,기사,비견,GAN_기사 일주의 비견 십신 결합 노드.
GAN_기사_상관,기사·상관,saju_ganji_sibsin,기사,상관,GAN_기사 일주의 상관 십신 결합 노드.
GAN_기사_식신,기사·식신,saju_ganji_sibsin,기사,식신,GAN_기사 일주의 식신 십신 결합 노드.
GAN_기사_정관,기사·정관,saju_ganji_sibsin,기사,정관,GAN_기사 일주의 정관 십신 결합 노드.
GAN_기사_정인,기사·정인,saju_ganji_sibsin,기사,정인,GAN_기사 일주의 정인 십신 결합 노드.
GAN_기사_정재,기사·정재,saju_ganji_sibsin,기사,정재,GAN_기사 일주의 정재 십신 결합 노드.
GAN_기사_편관,기사·편관,saju_ganji_sibsin,기사,편관,GAN_기사 일주의 편관 십신 결합 노드.
GAN_기사_편인,기사·편인,saju_ganji_sibsin,기사,편인,GAN_기사 일주의 편인 십신 결합 노드.
GAN_기사_편재,기사·편재,saju_ganji_sibsin,기사,편재,GAN_기사 일주의 편재 십신 결합 노드.
GAN_기유_겁재,기유·겁재,saju_ganji_sibsin,기유,겁재,GAN_기유 일주의 겁재 십신 결합 노드.
GAN_기유_비견,기유·비견,saju_ganji_sibsin,기유,비견,GAN_기유 일주의 비견 십신 결합 노드.
GAN_기유_상관,기유·상관,saju_ganji_sibsin,기유,상관,GAN_기유 일주의 상관 십신 결합 노드.
GAN_기유_식신,기유·식신,saju_ganji_sibsin,기유,식신,GAN_기유 일주의 식신 십신 결합 노드.
GAN_기유_정관,기유·정관,saju_ganji_sibsin,기유,정관,GAN_기유 일주의 정관 십신 결합 노드.
GAN_기유_정인,기유·정인,saju_ganji_sibsin,기유,정인,GAN_기유 일주의 정인 십신 결합 노드.
GAN_기유_정재,기유·정재,saju_ganji_sibsin,기유,정재,GAN_기유 일주의 정재 십신 결합 노드.
GAN_기유_편관,기유·편관,saju_ganji_sibsin,기유,편관,GAN_기유 일주의 편관 십신 결합 노드.
GAN_기유_편인,기유·편인,saju_ganji_sibsin,기유,편인,GAN_기유 일주의 편인 십신 결합 노드.
GAN_기유_편재,기유·편재,saju_ganji_sibsin,기유,편재,GAN_기유 일주의 편재 십신 결합 노드.
GAN_기축_겁재,기축·겁재,saju_ganji_sibsin,기축,겁재,GAN_기축 일주의 겁재 십신 결합 노드.
GAN_기축_비견,기축·비견,saju_ganji_sibsin,기축,비견,GAN_기축 일주의 비견 십신 결합 노드.
GAN_기축_상관,기축·상관,saju_ganji_sibsin,기축,상관,GAN_기축 일주의 상관 십신 결합 노드.
GAN_기축_식신,기축·식신,saju_ganji_sibsin,기축,식신,GAN_기축 일주의 식신 십신 결합 노드.
GAN_기축_정관,기축·정관,saju_ganji_sibsin,기축,정관,GAN_기축 일주의 정관 십신 결합 노드.
GAN_기축_정인,기축·정인,saju_ganji_sibsin,기축,정인,GAN_기축 일주의 정인 십신 결합 노드.
GAN_기축_정재,기축·정재,saju_ganji_sibsin,기축,정재,GAN_기축 일주의 정재 십신 결합 노드.
GAN_기축_편관,기축·편관,saju_ganji_sibsin,기축,편관,GAN_기축 일주의 편관 십신 결합 노드.
GAN_기축_편인,기축·편인,saju_ganji_sibsin,기축,편인,GAN_기축 일주의 편인 십신 결합 노드.
GAN_기축_편재,기축·편재,saju_ganji_sibsin,기축,편재,GAN_기축 일주의 편재 십신 결합 노드.
GAN_기해_겁재,기해·겁재,saju_ganji_sibsin,기해,겁재,GAN_기해 일주의 겁재 십신 결합 노드.
GAN_기해_비견,기해·비견,saju_ganji_sibsin,기해,비견,GAN_기해 일주의 비견 십신 결합 노드.
GAN_기해_상관,기해·상관,saju_ganji_sibsin,기해,상관,GAN_기해 일주의 상관 십신 결합 노드.
